,FL US Equity
2020-08-27,4.945
2020-08-28,4.844
2020-08-29,4.844
2020-08-30,4.844
2020-08-31,4.854
2020-09-01,4.789
2020-09-02,4.543
2020-09-03,4.622
2020-09-04,4.562
2020-09-05,4.562
2020-09-06,4.562
2020-09-07,4.562
2020-09-08,4.498
2020-09-09,4.374
2020-09-10,4.444
2020-09-11,4.305
2020-09-12,4.305
2020-09-13,4.305
2020-09-14,4.104
2020-09-15,4.108
2020-09-16,4.029
2020-09-17,4.095
2020-09-18,4.114
2020-09-19,4.114
2020-09-20,4.114
2020-09-21,4.275
2020-09-22,4.257
2020-09-23,4.446
2020-09-24,4.479
2020-09-25,4.489
2020-09-26,4.489
2020-09-27,4.489
2020-09-28,4.545
2020-09-29,4.585
2020-09-30,4.457
2020-10-01,4.316
2020-10-02,4.132
2020-10-03,4.132
2020-10-04,4.132
2020-10-05,3.958
2020-10-06,4.028
2020-10-07,3.922
2020-10-08,3.84
2020-10-09,3.871
2020-10-10,3.871
2020-10-11,3.871
2020-10-12,3.917
2020-10-13,3.854
2020-10-14,3.86
2020-10-15,3.824
2020-10-16,3.85
2020-10-17,3.85
2020-10-18,3.85
2020-10-19,3.873
2020-10-20,3.822
2020-10-21,3.786
2020-10-22,3.771
2020-10-23,3.687
2020-10-24,3.687
2020-10-25,3.687
2020-10-26,3.853
2020-10-27,3.83
2020-10-28,4.034
2020-10-29,3.964
2020-10-30,3.976
2020-10-31,3.976
2020-11-01,3.976
2020-11-02,3.927
2020-11-03,3.783
2020-11-04,3.974
2020-11-05,3.861
2020-11-06,3.957
2020-11-07,3.957
2020-11-08,3.957
2020-11-09,3.693
2020-11-10,3.745
2020-11-11,3.929
2020-11-12,4.018
2020-11-13,3.938
2020-11-14,3.938
2020-11-15,3.938
2020-11-16,3.692
2020-11-17,3.664
2020-11-18,3.672
2020-11-19,4.858
2020-11-20,3.676
2020-11-21,3.676
2020-11-22,3.676
2020-11-23,3.774
2020-11-24,3.709
2020-11-25,3.765
2020-11-26,3.765
2020-11-27,3.787
2020-11-28,3.787
2020-11-29,3.787
2020-11-30,3.861
2020-12-01,3.702
2020-12-02,3.661
2020-12-03,3.535
2020-12-04,3.465
2020-12-05,3.465
2020-12-06,3.465
2020-12-07,3.488
2020-12-08,3.378
2020-12-09,3.359
2020-12-10,3.416
2020-12-11,3.435
2020-12-12,3.435
2020-12-13,3.435
2020-12-14,3.523
2020-12-15,3.423
2020-12-16,3.54
2020-12-17,3.513
2020-12-18,3.698
2020-12-19,3.698
2020-12-20,3.698
2020-12-21,3.613
2020-12-22,3.68
2020-12-23,3.6
2020-12-24,3.656
2020-12-25,3.656
2020-12-26,3.656
2020-12-27,3.656
2020-12-28,3.578
2020-12-29,3.58
2020-12-30,3.567
2020-12-31,3.57
2021-01-01,3.57
2021-01-02,3.57
2021-01-03,3.57
2021-01-04,3.693
2021-01-05,3.58
2021-01-06,3.312
2021-01-07,3.607
2021-01-08,3.611
2021-01-09,3.611
2021-01-10,3.611
2021-01-11,3.413
2021-01-12,3.353
2021-01-13,3.425
2021-01-14,3.338
2021-01-15,3.301
2021-01-16,3.301
2021-01-17,3.301
2021-01-18,3.301
2021-01-19,3.354
2021-01-20,3.31
2021-01-21,3.303
2021-01-22,3.322
2021-01-23,3.322
2021-01-24,3.322
2021-01-25,3.346
2021-01-26,3.402
2021-01-27,3.659
2021-01-28,3.603
2021-01-29,3.605
2021-01-30,3.605
2021-01-31,3.605
2021-02-01,3.536
2021-02-02,3.48
2021-02-03,3.456
2021-02-04,3.293
2021-02-05,3.225
2021-02-06,3.225
2021-02-07,3.225
2021-02-08,3.134
2021-02-09,3.09
2021-02-10,3.09
2021-02-11,3.036
2021-02-12,3.03
2021-02-13,3.03
2021-02-14,3.03
2021-02-15,3.03
2021-02-16,3.044
2021-02-17,3.125
2021-02-18,3.05
2021-02-19,3.046
2021-02-20,3.046
2021-02-21,3.046
2021-02-22,2.927
2021-02-23,2.985
2021-02-24,2.885
2021-02-25,2.996
2021-02-26,3.367
2021-02-27,3.367
2021-02-28,3.367
2021-03-01,3.352
2021-03-02,3.449
2021-03-03,3.373
2021-03-04,3.416
2021-03-05,3.323
2021-03-06,3.323
2021-03-07,3.323
2021-03-08,3.044
2021-03-09,3.104
2021-03-10,3.055
2021-03-11,3.068
2021-03-12,3.013
2021-03-13,3.013
2021-03-14,3.013
2021-03-15,2.932
2021-03-16,2.997
2021-03-17,2.985
2021-03-18,3.058
2021-03-19,2.958
2021-03-20,2.958
2021-03-21,2.958
2021-03-22,2.983
2021-03-23,3.115
2021-03-24,3.23
2021-03-25,3.084
2021-03-26,3.008
2021-03-27,3.008
2021-03-28,3.008
2021-03-29,3.095
2021-03-30,3.021
2021-03-31,3.078
2021-04-01,3.051
2021-04-02,3.051
2021-04-03,3.051
2021-04-04,3.051
2021-04-05,3.121
2021-04-06,3.08
2021-04-07,3.086
2021-04-08,3.154
2021-04-09,3.073
2021-04-10,3.073
2021-04-11,3.073
2021-04-12,3.002
2021-04-13,3.079
2021-04-14,3.059
2021-04-15,3.042
2021-04-16,3.042
2021-04-17,3.042
2021-04-18,3.042
2021-04-19,3.079
2021-04-20,3.152
2021-04-21,3.093
2021-04-22,3.099
2021-04-23,3.026
2021-04-24,3.026
2021-04-25,3.026
2021-04-26,3.13
2021-04-27,3.044
2021-04-28,3.036
2021-04-29,3.025
2021-04-30,3.03
2021-05-01,3.03
2021-05-02,3.03
2021-05-03,2.91
2021-05-04,2.915
2021-05-05,2.926
2021-05-06,2.852
2021-05-07,2.828
2021-05-08,2.828
2021-05-09,2.828
2021-05-10,2.854
2021-05-11,2.87
2021-05-12,3.002
2021-05-13,2.896
2021-05-14,2.767
2021-05-15,2.767
2021-05-16,2.767
2021-05-17,2.46
2021-05-18,2.53
2021-05-19,2.626
2021-05-20,2.712
2021-05-21,2.66
2021-05-22,2.66
2021-05-23,2.66
2021-05-24,2.631
2021-05-25,2.636
2021-05-26,2.531
2021-05-27,2.517
2021-05-28,2.558
2021-05-29,2.558
2021-05-30,2.558
2021-05-31,2.558
2021-06-01,2.543
2021-06-02,2.573
2021-06-03,2.596
2021-06-04,2.609
2021-06-05,2.609
2021-06-06,2.609
2021-06-07,2.644
2021-06-08,2.591
2021-06-09,2.791
2021-06-10,2.83
2021-06-11,2.764
2021-06-12,2.764
2021-06-13,2.764
2021-06-14,2.809
2021-06-15,2.843
2021-06-16,2.861
2021-06-17,2.971
2021-06-18,3.024
2021-06-19,3.024
2021-06-20,3.024
2021-06-21,2.95
2021-06-22,2.917
2021-06-23,2.881
2021-06-24,2.83
2021-06-25,2.731
2021-06-26,2.731
2021-06-27,2.731
2021-06-28,2.852
2021-06-29,2.86
2021-06-30,2.809
2021-07-01,2.771
2021-07-02,2.781
2021-07-03,2.781
2021-07-04,2.781
2021-07-05,2.781
2021-07-06,2.861
2021-07-07,2.851
2021-07-08,2.851
2021-07-09,2.745
2021-07-10,2.745
2021-07-11,2.745
2021-07-12,2.734
2021-07-13,2.826
2021-07-14,2.869
2021-07-15,2.998
2021-07-16,3.081
2021-07-17,3.081
2021-07-18,3.081
2021-07-19,3.168
2021-07-20,3.025
2021-07-21,2.941
2021-07-22,2.968
2021-07-23,2.956
2021-07-24,2.956
2021-07-25,2.956
2021-07-26,2.947
2021-07-27,3.026
2021-07-28,3.038
2021-07-29,3.038
2021-07-30,3.024
2021-07-31,3.024
2021-08-01,3.024
2021-08-02,3.069
2021-08-03,3.086
2021-08-04,3.207
2021-08-05,3.149
2021-08-06,3.132
2021-08-07,3.132
2021-08-08,3.132
2021-08-09,3.132
2021-08-10,3.028
2021-08-11,2.969
2021-08-12,3.011
2021-08-13,3.061
2021-08-14,3.061
2021-08-15,3.061
2021-08-16,3.072
2021-08-17,3.171
2021-08-18,3.192
2021-08-19,3.152
2021-08-20,3.494
2021-08-21,3.494
2021-08-22,3.494
2021-08-23,3.473
2021-08-24,3.42
2021-08-25,3.498
2021-08-26,3.524
2021-08-27,3.558
2021-08-28,3.558
2021-08-29,3.558
2021-08-30,3.646
2021-08-31,3.595
2021-09-01,3.568
2021-09-02,3.534
2021-09-03,3.565
2021-09-04,3.565
2021-09-05,3.565
2021-09-06,3.565
2021-09-07,3.811
2021-09-08,3.848
2021-09-09,3.797
2021-09-10,3.905
2021-09-11,3.905
2021-09-12,3.905
2021-09-13,4.039
2021-09-14,4.097
2021-09-15,4.096
2021-09-16,4.13
2021-09-17,4.107
2021-09-18,4.107
2021-09-19,4.107
2021-09-20,4.08
2021-09-21,4.093
2021-09-22,4.03
2021-09-23,3.923
2021-09-24,4.226
2021-09-25,4.226
2021-09-26,4.226
2021-09-27,4.13
2021-09-28,4.133
2021-09-29,4.127
2021-09-30,4.464
2021-10-01,4.369
2021-10-02,4.369
2021-10-03,4.369
2021-10-04,4.375
2021-10-05,3.809
2021-10-06,3.753
2021-10-07,3.635
2021-10-08,3.653
2021-10-09,3.653
2021-10-10,3.653
2021-10-11,3.71
2021-10-12,3.678
2021-10-13,3.642
2021-10-14,3.618
2021-10-15,3.606
2021-10-16,3.606
2021-10-17,3.606
2021-10-18,3.611
2021-10-19,3.603
2021-10-20,3.606
2021-10-21,3.512
2021-10-22,3.539
2021-10-23,3.539
2021-10-24,3.539
2021-10-25,3.476
2021-10-26,3.557
2021-10-27,3.661
2021-10-28,3.622
2021-10-29,3.601
2021-10-30,3.601
2021-10-31,3.601
2021-11-01,3.538
2021-11-02,3.499
2021-11-03,3.303
2021-11-04,3.291
2021-11-05,3.243
2021-11-06,3.243
2021-11-07,3.243
2021-11-08,3.228
2021-11-09,3.138
2021-11-10,3.179
2021-11-11,3.188
2021-11-12,3.125
2021-11-13,3.125
2021-11-14,3.125
2021-11-15,3.092
2021-11-16,3.24
2021-11-17,3.28
2021-11-18,3.168
2021-11-19,3.388
2021-11-20,3.388
2021-11-21,3.388
2021-11-22,3.297
2021-11-23,3.321
2021-11-24,3.445
2021-11-25,3.445
2021-11-26,3.525
2021-11-27,3.525
2021-11-28,3.525
2021-11-29,3.58
2021-11-30,3.762
2021-12-01,3.85
2021-12-02,3.846
2021-12-03,3.905
2021-12-04,3.905
2021-12-05,3.905
2021-12-06,3.896
2021-12-07,3.806
2021-12-08,3.811
2021-12-09,3.774
2021-12-10,3.806
2021-12-11,3.806
2021-12-12,3.806
2021-12-13,4.01
2021-12-14,3.954
2021-12-15,3.952
2021-12-16,4.01
2021-12-17,4.021
2021-12-18,4.021
2021-12-19,4.021
2021-12-20,4.23
2021-12-21,4.064
2021-12-22,4.05
2021-12-23,4.032
2021-12-24,4.032
2021-12-25,4.032
2021-12-26,4.032
2021-12-27,4.006
2021-12-28,3.98
2021-12-29,3.876
2021-12-30,3.845
2021-12-31,3.874
2022-01-01,3.874
2022-01-02,3.874
2022-01-03,3.776
2022-01-04,3.915
2022-01-05,3.995
2022-01-06,4.004
2022-01-07,4.019
2022-01-08,4.019
2022-01-09,4.019
2022-01-10,4.026
2022-01-11,3.99
2022-01-12,3.911
2022-01-13,3.882
2022-01-14,3.869
2022-01-15,3.869
2022-01-16,3.869
2022-01-17,3.869
2022-01-18,3.884
2022-01-19,3.797
2022-01-20,3.891
2022-01-21,3.888
2022-01-22,3.888
2022-01-23,3.888
2022-01-24,3.612
2022-01-25,3.675
2022-01-26,3.767
2022-01-27,3.773
2022-01-28,3.778
2022-01-29,3.778
2022-01-30,3.778
2022-01-31,3.757
2022-02-01,3.9
2022-02-02,4.01
2022-02-03,4.113
2022-02-04,4.104
2022-02-05,4.104
2022-02-06,4.104
2022-02-07,4.003
2022-02-08,3.916
2022-02-09,3.862
2022-02-10,3.904
2022-02-11,3.953
2022-02-12,3.953
2022-02-13,3.953
2022-02-14,4.023
2022-02-15,3.85
2022-02-16,3.936
2022-02-17,4.048
2022-02-18,4.109
2022-02-19,4.109
2022-02-20,4.109
2022-02-21,4.109
2022-02-22,4.179
2022-02-23,4.348
2022-02-24,4.186
2022-02-25,5.914
2022-02-26,5.914
2022-02-27,5.914
2022-02-28,5.758
2022-03-01,6.477
2022-03-02,6.14
2022-03-03,6.136
2022-03-04,6.428
2022-03-05,6.428
2022-03-06,6.428
2022-03-07,6.892
2022-03-08,6.45
2022-03-09,6.442
2022-03-10,6.252
2022-03-11,6.474
2022-03-12,6.474
2022-03-13,6.474
2022-03-14,6.453
2022-03-15,6.178
2022-03-16,6.03
2022-03-17,5.955
2022-03-18,5.974
2022-03-19,5.974
2022-03-20,5.974
2022-03-21,6.23
2022-03-22,6.133
2022-03-23,6.236
2022-03-24,6.307
2022-03-25,6.334
2022-03-26,6.334
2022-03-27,6.334
2022-03-28,6.463
2022-03-29,6.191
2022-03-30,6.421
2022-03-31,6.577
2022-04-01,6.63
2022-04-02,6.63
2022-04-03,6.63
2022-04-04,6.53
2022-04-05,6.588
2022-04-06,6.847
2022-04-07,6.804
2022-04-08,6.775
2022-04-09,6.775
2022-04-10,6.775
2022-04-11,6.673
2022-04-12,6.617
2022-04-13,6.453
2022-04-14,6.33
2022-04-15,6.33
2022-04-16,6.33
2022-04-17,6.33
2022-04-18,6.346
2022-04-19,6.292
2022-04-20,6.313
2022-04-21,6.378
2022-04-22,6.637
2022-04-23,6.637
2022-04-24,6.637
2022-04-25,6.496
2022-04-26,6.606
2022-04-27,6.518
2022-04-28,6.425
2022-04-29,6.565
2022-04-30,6.565
2022-05-01,6.565
2022-05-02,6.463
2022-05-03,6.485
2022-05-04,6.258
2022-05-05,6.492
2022-05-06,6.525
2022-05-07,6.525
2022-05-08,6.525
2022-05-09,6.79
2022-05-10,6.964
2022-05-11,7.174
2022-05-12,6.752
2022-05-13,6.463
2022-05-14,6.463
2022-05-15,6.463
2022-05-16,6.336
2022-05-17,6.021
2022-05-18,6.223
2022-05-19,6.35
2022-05-20,6.259
2022-05-21,6.259
2022-05-22,6.259
2022-05-23,6.439
2022-05-24,6.568
2022-05-25,6.159
2022-05-26,6.044
2022-05-27,5.937
2022-05-28,5.937
2022-05-29,5.937
2022-05-30,5.937
2022-05-31,5.983
2022-06-01,6.054
2022-06-02,5.999
2022-06-03,6.058
2022-06-04,6.058
2022-06-05,6.058
2022-06-06,6.047
2022-06-07,6.079
2022-06-08,6.145
2022-06-09,6.316
2022-06-10,6.734
2022-06-11,6.734
2022-06-12,6.734
2022-06-13,7.159
2022-06-14,7.188
2022-06-15,6.832
2022-06-16,7.327
2022-06-17,6.985
2022-06-18,6.985
2022-06-19,6.985
2022-06-20,6.985
2022-06-21,6.849
2022-06-22,6.886
2022-06-23,6.908
2022-06-24,6.784
2022-06-25,6.784
2022-06-26,6.784
2022-06-27,6.886
2022-06-28,7.139
2022-06-29,7.449
2022-06-30,7.939
2022-07-01,7.977
2022-07-02,7.977
2022-07-03,7.977
2022-07-04,7.977
2022-07-05,7.755
2022-07-06,8.172
2022-07-07,7.936
2022-07-08,7.843
2022-07-09,7.843
2022-07-10,7.843
2022-07-11,8.07
2022-07-12,7.987
2022-07-13,8.012
2022-07-14,8.151
2022-07-15,7.729
2022-07-16,7.729
2022-07-17,7.729
2022-07-18,7.678
2022-07-19,7.33
2022-07-20,7.152
2022-07-21,7.155
2022-07-22,7.142
2022-07-23,7.142
2022-07-24,7.142
2022-07-25,7.252
2022-07-26,7.494
2022-07-27,7.26
2022-07-28,7.083
2022-07-29,6.961
2022-07-30,6.961
2022-07-31,6.961
2022-08-01,6.893
2022-08-02,7.07
2022-08-03,6.905
2022-08-04,6.948
2022-08-05,6.975
2022-08-06,6.975
2022-08-07,6.975
2022-08-08,6.613
2022-08-09,6.793
2022-08-10,6.598
2022-08-11,6.403
2022-08-12,6.265
2022-08-13,6.265
2022-08-14,6.265
2022-08-15,6.283
2022-08-16,6.089
2022-08-17,6.085
2022-08-18,6.175
2022-08-19,5.144
2022-08-20,5.144
2022-08-21,5.144
2022-08-22,5.323
2022-08-23,5.338
2022-08-24,5.376
2022-08-25,5.168
2022-08-26,5.338
2022-08-27,5.338
2022-08-28,5.338
2022-08-29,5.317
2022-08-30,5.396
2022-08-31,5.325
2022-09-01,5.293
2022-09-02,5.426
2022-09-03,5.426
2022-09-04,5.426
2022-09-05,5.426
2022-09-06,5.417
2022-09-07,5.295
2022-09-08,5.228
2022-09-09,5.053
2022-09-10,5.053
2022-09-11,5.053
2022-09-12,4.905
2022-09-13,5.162
2022-09-14,5.165
2022-09-15,4.969
2022-09-16,4.955
2022-09-17,4.955
2022-09-18,4.955
2022-09-19,4.922
2022-09-20,5.139
2022-09-21,5.161
2022-09-22,5.389
2022-09-23,5.567
2022-09-24,5.567
2022-09-25,5.567
2022-09-26,5.714
2022-09-27,5.711
2022-09-28,5.554
2022-09-29,5.931
2022-09-30,6.23
2022-10-01,6.23
2022-10-02,6.23
2022-10-03,6.091
2022-10-04,6.01
2022-10-05,5.999
2022-10-06,6.082
2022-10-07,6.143
2022-10-08,6.143
2022-10-09,6.143
2022-10-10,6.021
2022-10-11,5.98
2022-10-12,6.031
2022-10-13,5.959
2022-10-14,6.038
2022-10-15,6.038
2022-10-16,6.038
2022-10-17,6.027
2022-10-18,5.963
2022-10-19,5.987
2022-10-20,6.078
2022-10-21,6.031
2022-10-22,6.031
2022-10-23,6.031
2022-10-24,6.216
2022-10-25,5.89
2022-10-26,6.216
2022-10-27,6.172
2022-10-28,6.098
2022-10-29,6.098
2022-10-30,6.098
2022-10-31,6.042
2022-11-01,5.948
2022-11-02,6.084
2022-11-03,6.119
2022-11-04,6.029
2022-11-05,6.029
2022-11-06,6.029
2022-11-07,6.123
2022-11-08,6.198
2022-11-09,6.401
2022-11-10,5.926
2022-11-11,5.753
2022-11-12,5.753
2022-11-13,5.753
2022-11-14,5.891
2022-11-15,5.665
2022-11-16,6.094
2022-11-17,5.804
2022-11-18,5.306
2022-11-19,5.306
2022-11-20,5.306
2022-11-21,5.094
2022-11-22,5.253
2022-11-23,5.053
2022-11-24,5.053
2022-11-25,4.872
2022-11-26,4.872
2022-11-27,4.872
2022-11-28,4.882
2022-11-29,4.755
2022-11-30,4.741
2022-12-01,4.817
2022-12-02,4.739
2022-12-03,4.739
2022-12-04,4.739
2022-12-05,4.841
2022-12-06,4.932
2022-12-07,4.88
2022-12-08,4.86
2022-12-09,5.002
2022-12-10,5.002
2022-12-11,5.002
2022-12-12,5.053
2022-12-13,5.153
2022-12-14,5.211
2022-12-15,5.419
2022-12-16,5.549
2022-12-17,5.549
2022-12-18,5.549
2022-12-19,5.61
2022-12-20,5.779
2022-12-21,5.27
2022-12-22,5.455
2022-12-23,5.36
2022-12-24,5.36
2022-12-25,5.36
2022-12-26,5.36
2022-12-27,5.128
2022-12-28,5.22
2022-12-29,5.094
2022-12-30,5.021
2022-12-31,5.021
2023-01-01,5.021
2023-01-02,5.021
2023-01-03,5.121
2023-01-04,4.937
2023-01-05,4.966
2023-01-06,4.79
2023-01-07,4.79
2023-01-08,4.79
2023-01-09,4.875
2023-01-10,4.766
2023-01-11,4.753
2023-01-12,4.766
2023-01-13,4.793
2023-01-14,4.793
2023-01-15,4.793
2023-01-16,4.793
2023-01-17,4.835
2023-01-18,4.841
2023-01-19,4.993
2023-01-20,4.94
2023-01-21,4.94
2023-01-22,4.94
2023-01-23,4.778
2023-01-24,4.724
2023-01-25,4.568
2023-01-26,4.323
2023-01-27,4.257
2023-01-28,4.257
2023-01-29,4.257
2023-01-30,4.411
2023-01-31,4.303
2023-02-01,4.103
2023-02-02,3.989
2023-02-03,4.002
2023-02-04,4.002
2023-02-05,4.002
2023-02-06,4.07
2023-02-07,4.029
2023-02-08,4.098
2023-02-09,4.162
2023-02-10,4.142
2023-02-11,4.142
2023-02-12,4.142
2023-02-13,4.12
2023-02-14,4.176
2023-02-15,4.16
2023-02-16,4.179
2023-02-17,4.201
2023-02-18,4.201
2023-02-19,4.201
2023-02-20,4.201
2023-02-21,4.333
2023-02-22,4.333
2023-02-23,4.338
2023-02-24,4.327
2023-02-25,4.327
2023-02-26,4.327
2023-02-27,4.289
2023-02-28,4.246
2023-03-01,4.301
2023-03-02,4.219
2023-03-03,4.157
2023-03-04,4.157
2023-03-05,4.157
2023-03-06,4.261
2023-03-07,4.293
2023-03-08,4.189
2023-03-09,4.213
2023-03-10,4.329
2023-03-11,4.329
2023-03-12,4.329
2023-03-13,4.639
2023-03-14,4.533
2023-03-15,4.521
2023-03-16,4.306
2023-03-17,4.351
2023-03-18,4.351
2023-03-19,4.351
2023-03-20,4.599
2023-03-21,4.259
2023-03-22,4.702
2023-03-23,4.87
2023-03-24,4.838
2023-03-25,4.838
2023-03-26,4.838
2023-03-27,4.719
2023-03-28,4.59
2023-03-29,4.607
2023-03-30,4.617
2023-03-31,4.593
2023-04-01,4.593
2023-04-02,4.593
2023-04-03,4.368
2023-04-04,4.386
2023-04-05,4.443
2023-04-06,4.473
2023-04-07,4.473
2023-04-08,4.473
2023-04-09,4.473
2023-04-10,4.46
2023-04-11,4.387
2023-04-12,4.495
2023-04-13,4.512
2023-04-14,4.498
2023-04-15,4.498
2023-04-16,4.498
2023-04-17,4.416
2023-04-18,4.341
2023-04-19,4.331
2023-04-20,4.288
2023-04-21,4.347
2023-04-22,4.347
2023-04-23,4.347
2023-04-24,4.273
2023-04-25,4.4
2023-04-26,4.343
2023-04-27,4.284
2023-04-28,4.264
2023-04-29,4.264
2023-04-30,4.264
2023-05-01,4.253
2023-05-02,4.379
2023-05-03,4.395
2023-05-04,4.547
2023-05-05,4.358
2023-05-06,4.358
2023-05-07,4.358
2023-05-08,4.464
2023-05-09,4.458
2023-05-10,4.58
2023-05-11,4.605
2023-05-12,4.535
2023-05-13,4.535
2023-05-14,4.535
2023-05-15,4.447
2023-05-16,4.55
2023-05-17,4.28
2023-05-18,4.284
2023-05-19,5.885
2023-05-20,5.885
2023-05-21,5.885
2023-05-22,6.434
2023-05-23,6.558
2023-05-24,6.796
2023-05-25,6.886
2023-05-26,6.768
2023-05-27,6.768
2023-05-28,6.768
2023-05-29,6.768
2023-05-30,6.83
2023-05-31,7.022
2023-06-01,7.172
2023-06-02,6.867
2023-06-03,6.867
2023-06-04,6.867
2023-06-05,7.224
2023-06-06,6.941
2023-06-07,6.551
2023-06-08,6.593
2023-06-09,6.764
2023-06-10,6.764
2023-06-11,6.764
2023-06-12,6.536
2023-06-13,6.522
2023-06-14,6.421
2023-06-15,6.292
2023-06-16,6.423
2023-06-17,6.423
2023-06-18,6.423
2023-06-19,6.423
2023-06-20,6.573
2023-06-21,6.563
2023-06-22,6.601
2023-06-23,6.741
2023-06-24,6.741
2023-06-25,6.741
2023-06-26,6.656
2023-06-27,6.586
2023-06-28,6.645
2023-06-29,6.497
2023-06-30,6.459
2023-07-01,6.459
2023-07-02,6.459
2023-07-03,6.585
2023-07-04,6.585
2023-07-05,6.729
2023-07-06,6.771
2023-07-07,6.824
2023-07-08,6.824
