,LVS US Equity
,BEST_DIV_YLD
2020-01-01,3.138
2020-01-02,3.06
2020-01-03,3.108
2020-01-04,3.108
2020-01-05,3.108
2020-01-06,3.091
2020-01-07,3.088
2020-01-08,3.06
2020-01-09,3.03
2020-01-10,3.056
2020-01-11,3.056
2020-01-12,3.056
2020-01-13,3.003
2020-01-14,2.954
2020-01-15,2.978
2020-01-16,2.952
2020-01-17,2.926
2020-01-18,2.926
2020-01-19,2.926
2020-01-20,2.926
2020-01-21,3.093
2020-01-22,3.12
2020-01-23,3.12
2020-01-24,3.193
2020-01-25,3.193
2020-01-26,3.193
2020-01-27,3.425
2020-01-28,3.364
2020-01-29,3.349
2020-01-30,3.273
2020-01-31,3.318
2020-02-01,3.318
2020-02-02,3.318
2020-02-03,3.255
2020-02-04,3.194
2020-02-05,3.192
2020-02-06,3.119
2020-02-07,3.244
2020-02-08,3.244
2020-02-09,3.244
2020-02-10,3.179
2020-02-11,3.147
2020-02-12,3.046
2020-02-13,3.126
2020-02-14,3.183
2020-02-15,3.183
2020-02-16,3.183
2020-02-17,3.183
2020-02-18,3.179
2020-02-19,3.136
2020-02-20,3.213
2020-02-21,3.303
2020-02-22,3.303
2020-02-23,3.303
2020-02-24,3.483
2020-02-25,3.602
2020-02-26,3.662
2020-02-27,3.708
2020-02-28,3.716
2020-02-29,3.716
2020-03-01,3.716
2020-03-02,3.719
2020-03-03,3.876
2020-03-04,3.785
2020-03-05,3.944
2020-03-06,3.95
2020-03-07,3.95
2020-03-08,3.95
2020-03-09,4.363
2020-03-10,4.059
2020-03-11,4.456
2020-03-12,4.908
2020-03-13,4.421
2020-03-14,4.421
2020-03-15,4.421
2020-03-16,5.365
2020-03-17,5.199
2020-03-18,5.638
2020-03-19,5.264
2020-03-20,4.905
2020-03-21,4.905
2020-03-22,4.905
2020-03-23,4.889
2020-03-24,4.738
2020-03-25,4.486
2020-03-26,4.393
2020-03-27,5.046
2020-03-28,5.046
2020-03-29,5.046
2020-03-30,4.885
2020-03-31,5.002
2020-04-01,5.271
2020-04-02,5.275
2020-04-03,5.602
2020-04-04,5.602
2020-04-05,5.602
2020-04-06,5.22
2020-04-07,4.975
2020-04-08,4.564
2020-04-09,4.439
2020-04-10,4.439
2020-04-11,4.439
2020-04-12,4.439
2020-04-13,4.569
2020-04-14,4.414
2020-04-15,4.51
2020-04-16,4.628
2020-04-17,4.519
2020-04-18,4.519
2020-04-19,4.519
2020-04-20,4.925
2020-04-21,5.221
2020-04-22,5.178
2020-04-23,4.622
2020-04-24,4.852
2020-04-25,4.852
2020-04-26,4.852
2020-04-27,4.58
2020-04-28,4.561
2020-04-29,4.345
2020-04-30,4.424
2020-05-01,4.658
2020-05-02,4.658
2020-05-03,4.658
2020-05-04,4.674
2020-05-05,4.579
2020-05-06,4.574
2020-05-07,4.485
2020-05-08,4.17
2020-05-09,4.17
2020-05-10,4.17
2020-05-11,4.38
2020-05-12,4.622
2020-05-13,4.782
2020-05-14,4.651
2020-05-15,4.746
2020-05-16,4.746
2020-05-17,4.746
2020-05-18,4.39
2020-05-19,4.403
2020-05-20,4.234
2020-05-21,4.374
2020-05-22,4.53
2020-05-23,4.53
2020-05-24,4.53
2020-05-25,4.53
2020-05-26,4.255
2020-05-27,4.171
2020-05-28,4.376
2020-05-29,4.431
2020-05-30,4.431
2020-05-31,4.431
2020-06-01,4.333
2020-06-02,4.445
2020-06-03,4.102
2020-06-04,4.058
2020-06-05,4.01
2020-06-06,4.01
2020-06-07,4.01
2020-06-08,3.818
2020-06-09,3.959
2020-06-10,4.103
2020-06-11,4.327
2020-06-12,4.26
2020-06-13,4.26
2020-06-14,4.26
2020-06-15,4.33
2020-06-16,4.3
2020-06-17,4.344
2020-06-18,4.407
2020-06-19,4.502
2020-06-20,4.502
2020-06-21,4.502
2020-06-22,4.589
2020-06-23,4.531
2020-06-24,4.727
2020-06-25,4.722
2020-06-26,4.903
2020-06-27,4.903
2020-06-28,4.903
2020-06-29,4.758
2020-06-30,4.665
2020-07-01,4.717
2020-07-02,4.584
2020-07-03,4.584
2020-07-04,4.584
2020-07-05,4.584
2020-07-06,4.513
2020-07-07,4.718
2020-07-08,4.658
2020-07-09,4.755
2020-07-10,4.646
2020-07-11,4.646
2020-07-12,4.646
2020-07-13,4.377
2020-07-14,4.483
2020-07-15,4.228
2020-07-16,4.273
2020-07-17,4.363
2020-07-18,4.363
2020-07-19,4.363
2020-07-20,4.493
2020-07-21,4.426
2020-07-22,4.535
2020-07-23,4.733
2020-07-24,4.789
2020-07-25,4.789
2020-07-26,4.789
2020-07-27,4.886
2020-07-28,11.004
2020-07-29,10.979
2020-07-30,10.694
2020-07-31,11.15
2020-08-01,11.15
2020-08-02,11.15
2020-08-03,11.059
2020-08-04,11.127
2020-08-05,11.227
2020-08-06,10.76
2020-08-07,11.009
2020-08-08,11.009
2020-08-09,11.009
2020-08-10,10.239
2020-08-11,9.541
2020-08-12,9.916
2020-08-13,10.008
2020-08-14,10.06
2020-08-15,10.06
2020-08-16,10.06
2020-08-17,10.197
2020-08-18,10.203
2020-08-19,10.25
2020-08-20,10.252
2020-08-21,10.028
2020-08-22,10.028
2020-08-23,10.028
2020-08-24,9.769
2020-08-25,9.739
2020-08-26,9.759
2020-08-27,9.629
2020-08-28,9.329
2020-08-29,9.329
2020-08-30,9.329
2020-08-31,9.595
2020-09-01,9.8
2020-09-02,9.479
2020-09-03,9.61
2020-09-04,9.364
2020-09-05,9.364
2020-09-06,9.364
2020-09-07,9.364
2020-09-08,9.417
2020-09-09,9.571
2020-09-10,9.3
2020-09-11,9.374
2020-09-12,9.374
2020-09-13,9.374
2020-09-14,9.163
2020-09-15,9.384
2020-09-16,9.796
2020-09-17,9.914
2020-09-18,9.93
2020-09-19,9.93
2020-09-20,9.93
2020-09-21,10.478
2020-09-22,10.521
2020-09-23,10.803
2020-09-24,10.599
2020-09-25,10.362
2020-09-26,10.362
2020-09-27,10.362
2020-09-28,10.218
2020-09-29,10.415
2020-09-30,10.428
2020-10-01,10.527
2020-10-02,10.543
2020-10-03,10.543
2020-10-04,10.543
2020-10-05,10.527
2020-10-06,10.482
2020-10-07,10.537
2020-10-08,10.553
2020-10-09,10.643
2020-10-10,10.643
2020-10-11,10.643
2020-10-12,10.539
2020-10-13,10.859
2020-10-14,10.818
2020-10-15,10.638
2020-10-16,10.725
2020-10-17,10.725
2020-10-18,10.725
2020-10-19,10.822
2020-10-20,10.532
2020-10-21,10.592
2020-10-22,9.769
2020-10-23,12.795
2020-10-24,12.795
2020-10-25,12.795
2020-10-26,13.198
2020-10-27,13.428
2020-10-28,13.838
2020-10-29,13.554
2020-10-30,13.492
2020-10-31,13.492
2020-11-01,13.492
2020-11-02,13.188
2020-11-03,13.228
2020-11-04,12.992
2020-11-05,12.328
2020-11-06,12.239
2020-11-07,12.239
2020-11-08,12.239
2020-11-09,11.205
2020-11-10,11.071
2020-11-11,11.386
2020-11-12,11.671
2020-11-13,11.126
2020-11-14,11.126
2020-11-15,11.126
2020-11-16,11.107
2020-11-17,11.277
2020-11-18,11.311
2020-11-19,11.073
2020-11-20,11.6
2020-11-21,11.6
2020-11-22,11.6
2020-11-23,11.438
2020-11-24,11.165
2020-11-25,11.469
2020-11-26,11.469
2020-11-27,11.458
2020-11-28,11.458
2020-11-29,11.458
2020-11-30,11.639
2020-12-01,11.452
2020-12-02,11.256
2020-12-03,11.054
2020-12-04,10.787
2020-12-05,10.787
2020-12-06,10.787
2020-12-07,11.002
2020-12-08,11.069
2020-12-09,11.182
2020-12-10,11.316
2020-12-11,11.426
2020-12-12,11.426
2020-12-13,11.426
2020-12-14,11.471
2020-12-15,11.205
2020-12-16,11.25
2020-12-17,11.309
2020-12-18,11.291
2020-12-19,11.291
2020-12-20,11.291
2020-12-21,11.4
2020-12-22,11.528
2020-12-23,11.338
2020-12-24,11.374
2020-12-25,11.374
2020-12-26,11.374
2020-12-27,11.374
2020-12-28,10.994
2020-12-29,11.159
2020-12-30,11.039
2020-12-31,10.88
2021-01-01,10.88
2021-01-02,10.88
2021-01-03,10.88
2021-01-04,11.19
2021-01-05,10.909
2021-01-06,11.077
2021-01-07,11.151
2021-01-08,11.195
2021-01-09,11.195
2021-01-10,11.195
2021-01-11,11.495
2021-01-12,11.452
2021-01-13,11.726
2021-01-14,11.646
2021-01-15,12.134
2021-01-16,12.134
2021-01-17,12.134
2021-01-18,12.134
2021-01-19,11.909
2021-01-20,11.913
2021-01-21,11.709
2021-01-22,11.968
2021-01-23,11.968
2021-01-24,11.968
2021-01-25,12.239
2021-01-26,12.37
2021-01-27,13.223
2021-01-28,13.212
2021-01-29,13.484
2021-01-30,13.484
2021-01-31,13.484
2021-02-01,13.214
2021-02-02,12.432
2021-02-03,12.053
2021-02-04,12.246
2021-02-05,11.669
2021-02-06,11.669
2021-02-07,11.669
2021-02-08,11.726
2021-02-09,11.92
2021-02-10,6.506
2021-02-11,6.566
2021-02-12,6.447
2021-02-13,6.447
2021-02-14,6.447
2021-02-15,6.447
2021-02-16,6.285
2021-02-17,6.228
2021-02-18,6.201
2021-02-19,6.001
2021-02-20,6.001
2021-02-21,6.001
2021-02-22,5.849
2021-02-23,5.61
2021-02-24,5.572
2021-02-25,5.774
2021-02-26,5.769
2021-02-27,5.769
2021-02-28,5.769
2021-03-01,5.728
2021-03-02,5.56
2021-03-03,5.487
2021-03-04,5.792
2021-03-05,5.136
2021-03-06,5.136
2021-03-07,5.136
2021-03-08,5.069
2021-03-09,5.162
2021-03-10,5.171
2021-03-11,5.077
2021-03-12,5.135
2021-03-13,5.135
2021-03-14,5.135
2021-03-15,4.844
2021-03-16,4.936
2021-03-17,4.864
2021-03-18,4.951
2021-03-19,5.031
2021-03-20,5.031
2021-03-21,5.031
2021-03-22,5.101
2021-03-23,5.403
2021-03-24,5.42
2021-03-25,5.281
2021-03-26,5.257
2021-03-27,5.257
2021-03-28,5.257
2021-03-29,5.37
2021-03-30,5.238
2021-03-31,5.278
2021-04-01,5.185
2021-04-02,5.185
2021-04-03,5.185
2021-04-04,5.185
2021-04-05,5.123
2021-04-06,5.041
2021-04-07,5.161
2021-04-08,5.123
2021-04-09,5.177
2021-04-10,5.177
2021-04-11,5.177
2021-04-12,5.205
2021-04-13,5.257
2021-04-14,5.23
2021-04-15,5.232
2021-04-16,5.257
2021-04-17,5.257
2021-04-18,5.257
2021-04-19,5.29
2021-04-20,5.432
2021-04-21,5.278
2021-04-22,5.498
2021-04-23,5.62
2021-04-24,5.62
2021-04-25,5.62
2021-04-26,5.664
2021-04-27,5.53
2021-04-28,5.44
2021-04-29,5.489
2021-04-30,5.482
2021-05-01,5.482
2021-05-02,5.482
2021-05-03,5.5
2021-05-04,5.66
2021-05-05,5.648
2021-05-06,5.864
2021-05-07,5.54
2021-05-08,5.54
2021-05-09,5.54
2021-05-10,5.594
2021-05-11,5.684
2021-05-12,5.818
2021-05-13,5.733
2021-05-14,5.521
2021-05-15,5.521
2021-05-16,5.521
2021-05-17,5.632
2021-05-18,5.637
2021-05-19,5.695
2021-05-20,5.534
2021-05-21,5.538
2021-05-22,5.538
2021-05-23,5.538
2021-05-24,5.536
2021-05-25,5.543
2021-05-26,5.417
2021-05-27,5.459
2021-05-28,5.535
2021-05-29,5.535
2021-05-30,5.535
2021-05-31,5.535
2021-06-01,5.4
2021-06-02,5.425
2021-06-03,5.632
2021-06-04,5.656
2021-06-05,5.656
2021-06-06,5.656
2021-06-07,5.656
2021-06-08,5.716
2021-06-09,5.803
2021-06-10,5.771
2021-06-11,5.746
2021-06-12,5.746
2021-06-13,5.746
2021-06-14,5.903
2021-06-15,5.888
2021-06-16,5.879
2021-06-17,5.904
2021-06-18,6.031
2021-06-19,6.031
2021-06-20,6.031
2021-06-21,5.858
2021-06-22,5.964
2021-06-23,5.99
2021-06-24,6.157
2021-06-25,6.068
2021-06-26,6.068
2021-06-27,6.068
2021-06-28,6.223
2021-06-29,6.246
2021-06-30,6.067
2021-07-01,6.017
2021-07-02,6.023
2021-07-03,6.023
2021-07-04,6.023
2021-07-05,6.023
2021-07-06,6.203
2021-07-07,6.286
2021-07-08,6.361
2021-07-09,6.228
2021-07-10,6.228
2021-07-11,6.228
2021-07-12,6.583
2021-07-13,6.652
2021-07-14,6.701
2021-07-15,6.793
2021-07-16,7.023
2021-07-17,7.023
2021-07-18,7.023
