,HES US Equity
,BEST_DIV_YLD
2020-01-01,1.596
2020-01-02,1.574
2020-01-03,1.526
2020-01-04,1.526
2020-01-05,1.526
2020-01-06,1.504
2020-01-07,1.503
2020-01-08,1.556
2020-01-09,1.543
2020-01-10,1.556
2020-01-11,1.556
2020-01-12,1.556
2020-01-13,1.538
2020-01-14,1.522
2020-01-15,1.521
2020-01-16,1.516
2020-01-17,1.525
2020-01-18,1.525
2020-01-19,1.525
2020-01-20,1.525
2020-01-21,1.556
2020-01-22,1.586
2020-01-23,1.602
2020-01-24,1.655
2020-01-25,1.655
2020-01-26,1.655
2020-01-27,1.715
2020-01-28,1.716
2020-01-29,1.844
2020-01-30,1.82
2020-01-31,1.884
2020-02-01,1.884
2020-02-02,1.884
2020-02-03,1.889
2020-02-04,1.848
2020-02-05,1.797
2020-02-06,1.869
2020-02-07,1.922
2020-02-08,1.922
2020-02-09,1.922
2020-02-10,1.94
2020-02-11,1.898
2020-02-12,1.814
2020-02-13,1.777
2020-02-14,1.767
2020-02-15,1.767
2020-02-16,1.767
2020-02-17,1.767
2020-02-18,1.744
2020-02-19,1.677
2020-02-20,1.647
2020-02-21,1.655
2020-02-22,1.655
2020-02-23,1.655
2020-02-24,1.77
2020-02-25,1.857
2020-02-26,1.908
2020-02-27,1.937
2020-02-28,1.897
2020-02-29,1.897
2020-03-01,1.897
2020-03-02,1.864
2020-03-03,1.847
2020-03-04,1.87
2020-03-05,1.957
2020-03-06,2.144
2020-03-07,2.144
2020-03-08,2.144
2020-03-09,3.232
2020-03-10,2.686
2020-03-11,2.905
2020-03-12,3.246
2020-03-13,3.029
2020-03-14,3.029
2020-03-15,3.029
2020-03-16,9.761
2020-03-17,9.898
2020-03-18,10.056
2020-03-19,9.736
2020-03-20,9.876
2020-03-21,9.876
2020-03-22,9.876
2020-03-23,10.484
2020-03-24,8.78
2020-03-25,8.724
2020-03-26,8.263
2020-03-27,8.906
2020-03-28,8.906
2020-03-29,8.906
2020-03-30,9.492
2020-03-31,9.101
2020-04-01,9.477
2020-04-02,8.586
2020-04-03,9.042
2020-04-04,9.042
2020-04-05,9.042
2020-04-06,8.627
2020-04-07,8.625
2020-04-08,7.736
2020-04-09,7.506
2020-04-10,7.506
2020-04-11,7.506
2020-04-12,7.506
2020-04-13,7.594
2020-04-14,7.852
2020-04-15,8.557
2020-04-16,9.314
2020-04-17,8.115
2020-04-18,8.115
2020-04-19,8.115
2020-04-20,8.435
2020-04-21,8.333
2020-04-22,7.696
2020-04-23,7.273
2020-04-24,7.138
2020-04-25,7.138
2020-04-26,7.138
2020-04-27,7.021
2020-04-28,6.842
2020-04-29,6.184
2020-04-30,6.231
2020-05-01,6.845
2020-05-02,6.845
2020-05-03,6.845
2020-05-04,6.547
2020-05-05,6.569
2020-05-06,6.734
2020-05-07,6.532
2020-05-08,6.252
2020-05-09,6.252
2020-05-10,6.252
2020-05-11,6.431
2020-05-12,6.765
2020-05-13,7.155
2020-05-14,7.086
2020-05-15,6.877
2020-05-16,6.877
2020-05-17,6.877
2020-05-18,6.171
2020-05-19,6.609
2020-05-20,5.437
2020-05-21,5.448
2020-05-22,5.465
2020-05-23,5.465
2020-05-24,5.465
2020-05-25,5.465
2020-05-26,5.293
2020-05-27,5.211
2020-05-28,5.313
2020-05-29,5.422
2020-05-30,5.422
2020-05-31,5.422
2020-06-01,5.285
2020-06-02,4.974
2020-06-03,4.939
2020-06-04,4.904
2020-06-05,4.513
2020-06-06,4.513
2020-06-07,4.513
2020-06-08,4.291
2020-06-09,4.463
2020-06-10,4.805
2020-06-11,5.299
2020-06-12,5.161
2020-06-13,5.161
2020-06-14,5.161
2020-06-15,5.162
2020-06-16,4.904
2020-06-17,5.079
2020-06-18,4.957
2020-06-19,4.997
2020-06-20,4.997
2020-06-21,4.997
2020-06-22,4.941
2020-06-23,4.886
2020-06-24,5.23
2020-06-25,5.057
2020-06-26,5.282
2020-06-27,5.282
2020-06-28,5.282
2020-06-29,5.127
2020-06-30,4.942
2020-07-01,6.65
2020-07-02,6.438
2020-07-03,6.438
2020-07-04,6.438
2020-07-05,6.438
2020-07-06,6.699
2020-07-07,6.855
2020-07-08,6.722
2020-07-09,7.42
2020-07-10,7.383
2020-07-11,7.383
2020-07-12,7.383
2020-07-13,7.313
2020-07-14,6.982
2020-07-15,6.813
2020-07-16,6.811
2020-07-17,10.399
2020-07-18,10.399
2020-07-19,10.399
2020-07-20,10.328
2020-07-21,9.525
2020-07-22,9.556
2020-07-23,9.753
2020-07-24,9.865
2020-07-25,9.865
2020-07-26,9.865
2020-07-27,9.899
2020-07-28,10.349
2020-07-29,9.956
2020-07-30,10.471
2020-07-31,10.116
2020-08-01,10.116
2020-08-02,10.116
2020-08-03,9.988
2020-08-04,9.822
2020-08-05,9.286
2020-08-06,9.324
2020-08-07,9.387
2020-08-08,9.387
2020-08-09,9.387
2020-08-10,9.028
2020-08-11,9.301
2020-08-12,9.248
2020-08-13,9.44
2020-08-14,9.256
2020-08-15,9.256
2020-08-16,9.256
2020-08-17,9.487
2020-08-18,9.952
2020-08-19,10.266
2020-08-20,10.341
2020-08-21,10.478
2020-08-22,10.478
2020-08-23,10.478
2020-08-24,10.408
2020-08-25,10.302
2020-08-26,10.752
2020-08-27,10.724
2020-08-28,10.605
2020-08-29,10.605
2020-08-30,10.605
2020-08-31,10.812
2020-09-01,10.836
2020-09-02,10.848
2020-09-03,10.726
2020-09-04,10.558
2020-09-05,10.558
2020-09-06,10.558
2020-09-07,10.558
2020-09-08,10.893
2020-09-09,10.603
2020-09-10,11.438
2020-09-11,11.51
2020-09-12,11.51
2020-09-13,11.51
2020-09-14,11.289
2020-09-15,11.55
2020-09-16,11.197
2020-09-17,11.185
2020-09-18,11.504
2020-09-19,11.504
2020-09-20,11.504
2020-09-21,12.027
2020-09-22,12.004
2020-09-23,12.561
2020-09-24,12.545
2020-09-25,12.226
2020-09-26,12.226
2020-09-27,12.226
2020-09-28,12.062
2020-09-29,12.163
2020-09-30,12.092
2020-10-01,12.697
2020-10-02,13.124
2020-10-03,13.124
2020-10-04,13.124
2020-10-05,12.574
2020-10-06,13.034
2020-10-07,13.135
2020-10-08,12.825
2020-10-09,13.004
2020-10-10,13.004
2020-10-11,13.004
2020-10-12,12.808
2020-10-13,12.805
2020-10-14,12.825
2020-10-15,12.587
2020-10-16,13.004
2020-10-17,13.004
2020-10-18,13.004
2020-10-19,13.522
2020-10-20,13.076
