,PNC US Equity
,BEST_DIV_YLD
2020-01-01,5.256
2020-01-02,5.232
2020-01-03,5.283
2020-01-04,5.283
2020-01-05,5.283
2020-01-06,5.294
2020-01-07,5.336
2020-01-08,5.281
2020-01-09,5.218
2020-01-10,5.292
2020-01-11,5.292
2020-01-12,5.292
2020-01-13,5.263
2020-01-14,5.248
2020-01-15,5.446
2020-01-16,5.457
2020-01-17,5.431
2020-01-18,5.431
2020-01-19,5.431
2020-01-20,5.431
2020-01-21,5.492
2020-01-22,5.47
2020-01-23,5.454
2020-01-24,5.538
2020-01-25,5.538
2020-01-26,5.538
2020-01-27,5.607
2020-01-28,5.564
2020-01-29,5.605
2020-01-30,5.517
2020-01-31,5.606
2020-02-01,5.606
2020-02-02,5.606
2020-02-03,5.569
2020-02-04,5.528
2020-02-05,5.415
2020-02-06,5.449
2020-02-07,5.431
2020-02-08,5.431
2020-02-09,5.431
2020-02-10,5.413
2020-02-11,5.38
2020-02-12,5.366
2020-02-13,5.362
2020-02-14,5.403
2020-02-15,5.403
2020-02-16,5.403
2020-02-17,5.403
2020-02-18,5.501
2020-02-19,5.431
2020-02-20,5.391
2020-02-21,5.415
2020-02-22,5.415
2020-02-23,5.415
2020-02-24,5.597
2020-02-25,5.892
2020-02-26,6.004
2020-02-27,6.376
2020-02-28,6.589
2020-02-29,6.589
2020-03-01,6.589
2020-03-02,6.279
2020-03-03,6.637
2020-03-04,6.436
2020-03-05,6.901
2020-03-06,7.291
2020-03-07,7.291
2020-03-08,7.291
2020-03-09,8.434
2020-03-10,7.708
2020-03-11,8.17
2020-03-12,8.792
2020-03-13,7.785
2020-03-14,7.785
2020-03-15,7.785
2020-03-16,9.257
2020-03-17,8.675
2020-03-18,9.515
2020-03-19,9.011
2020-03-20,9.306
2020-03-21,9.306
2020-03-22,9.306
2020-03-23,10.328
2020-03-24,9.235
2020-03-25,9.048
2020-03-26,8.092
2020-03-27,8.317
2020-03-28,8.317
2020-03-29,8.317
2020-03-30,8.248
2020-03-31,8.701
2020-04-01,9.534
2020-04-02,9.179
2020-04-03,9.776
2020-04-04,9.776
2020-04-05,9.776
2020-04-06,8.738
2020-04-07,8.774
2020-04-08,8.37
2020-04-09,7.9
2020-04-10,7.9
2020-04-11,7.9
2020-04-12,7.9
2020-04-13,8.249
2020-04-14,8.373
2020-04-15,8.906
2020-04-16,9.092
2020-04-17,8.11
2020-04-18,8.11
2020-04-19,8.11
2020-04-20,8.027
2020-04-21,8.315
2020-04-22,8.324
2020-04-23,8.279
2020-04-24,8.172
2020-04-25,8.172
2020-04-26,8.172
2020-04-27,7.804
2020-04-28,7.767
2020-04-29,7.417
2020-04-30,7.717
2020-05-01,7.995
2020-05-02,7.995
2020-05-03,7.995
2020-05-04,8.102
2020-05-05,8.251
2020-05-06,8.357
2020-05-07,8.127
2020-05-08,7.838
2020-05-09,7.838
2020-05-10,7.838
2020-05-11,8.061
2020-05-12,8.232
2020-05-13,8.505
2020-05-14,8.414
2020-05-15,8.465
2020-05-16,8.465
2020-05-17,8.465
2020-05-18,7.911
2020-05-19,8.14
2020-05-20,7.885
2020-05-21,7.977
2020-05-22,7.869
2020-05-23,7.869
2020-05-24,7.869
2020-05-25,7.869
2020-05-26,7.514
2020-05-27,7.06
2020-05-28,7.109
2020-05-29,7.218
2020-05-30,7.218
2020-05-31,7.218
2020-06-01,7.179
2020-06-02,7.167
2020-06-03,6.877
2020-06-04,6.708
2020-06-05,6.43
2020-06-06,6.43
2020-06-07,6.43
2020-06-08,6.278
2020-06-09,6.523
2020-06-10,6.922
2020-06-11,7.657
2020-06-12,7.432
2020-06-13,7.432
2020-06-14,7.432
2020-06-15,7.287
2020-06-16,7.162
2020-06-17,7.363
2020-06-18,7.434
2020-06-19,7.606
2020-06-20,7.606
2020-06-21,7.606
2020-06-22,7.583
2020-06-23,7.641
2020-06-24,7.963
2020-06-25,7.733
2020-06-26,8.156
2020-06-27,8.156
2020-06-28,8.156
2020-06-29,8.005
2020-06-30,7.824
2020-07-01,8.005
2020-07-02,8.059
2020-07-03,8.059
2020-07-04,8.059
2020-07-05,8.059
2020-07-06,7.965
2020-07-07,8.256
2020-07-08,8.22
2020-07-09,8.328
2020-07-10,8.102
2020-07-11,8.102
2020-07-12,8.102
2020-07-13,8.017
2020-07-14,8.13
2020-07-15,7.91
2020-07-16,7.754
2020-07-17,7.902
2020-07-18,7.902
2020-07-19,7.902
2020-07-20,7.908
2020-07-21,7.559
2020-07-22,7.635
2020-07-23,7.584
2020-07-24,7.62
2020-07-25,7.62
2020-07-26,7.62
2020-07-27,7.759
2020-07-28,7.766
2020-07-29,7.472
2020-07-30,7.661
2020-07-31,7.632
2020-08-01,7.632
2020-08-02,7.632
2020-08-03,7.685
2020-08-04,7.732
2020-08-05,7.64
2020-08-06,7.606
2020-08-07,7.421
2020-08-08,7.421
2020-08-09,7.421
2020-08-10,7.424
2020-08-11,7.238
2020-08-12,7.269
2020-08-13,7.334
2020-08-14,7.285
2020-08-15,7.285
2020-08-16,7.285
2020-08-17,7.379
2020-08-18,7.603
2020-08-19,7.652
2020-08-20,7.674
2020-08-21,7.648
2020-08-22,7.648
2020-08-23,7.648
2020-08-24,7.414
2020-08-25,7.349
2020-08-26,7.38
2020-08-27,7.236
2020-08-28,7.246
2020-08-29,7.246
2020-08-30,7.246
2020-08-31,7.321
2020-09-01,7.295
2020-09-02,7.243
2020-09-03,7.29
2020-09-04,7.198
2020-09-05,7.198
2020-09-06,7.198
2020-09-07,7.198
2020-09-08,7.381
2020-09-09,7.407
2020-09-10,7.523
2020-09-11,7.351
2020-09-12,7.351
2020-09-13,7.351
2020-09-14,7.13
2020-09-15,7.315
2020-09-16,7.164
2020-09-17,7.277
2020-09-18,7.284
2020-09-19,7.284
2020-09-20,7.284
2020-09-21,7.48
2020-09-22,7.727
2020-09-23,7.944
2020-09-24,7.869
2020-09-25,7.761
2020-09-26,7.761
2020-09-27,7.761
2020-09-28,7.529
2020-09-29,7.613
2020-09-30,7.407
2020-10-01,7.439
2020-10-02,7.258
2020-10-03,7.258
2020-10-04,7.258
2020-10-05,7.091
2020-10-06,7.194
2020-10-07,7.068
2020-10-08,6.986
2020-10-09,7.05
2020-10-10,7.05
2020-10-11,7.05
2020-10-12,7.001
2020-10-13,7.236
2020-10-14,7.412
2020-10-15,7.353
2020-10-16,7.226
2020-10-17,7.226
2020-10-18,7.226
2020-10-19,7.324
2020-10-20,7.189
2020-10-21,7.281
2020-10-22,6.986
2020-10-23,7.017
2020-10-24,7.017
2020-10-25,7.017
2020-10-26,7.216
2020-10-27,7.378
2020-10-28,7.41
2020-10-29,7.335
2020-10-30,7.2
