,VNOM US Equity
,BEST_DIV_YLD
2020-01-01,17.968
2020-01-02,17.167
2020-01-03,17.009
2020-01-04,17.009
2020-01-05,17.009
2020-01-06,16.62
2020-01-07,16.633
2020-01-08,16.841
2020-01-09,17.088
2020-01-10,17.403
2020-01-11,17.403
2020-01-12,17.403
2020-01-13,17.458
2020-01-14,17.766
2020-01-15,18.034
2020-01-16,17.983
2020-01-17,18.393
2020-01-18,18.393
2020-01-19,18.393
2020-01-20,18.393
2020-01-21,18.586
2020-01-22,18.688
2020-01-23,19.173
2020-01-24,19.781
2020-01-25,19.781
2020-01-26,19.781
2020-01-27,20.223
2020-01-28,20.077
2020-01-29,19.248
2020-01-30,19.425
2020-01-31,20.316
2020-02-01,20.316
2020-02-02,20.316
2020-02-03,20.41
2020-02-04,19.746
2020-02-05,18.903
2020-02-06,19.107
2020-02-07,20.04
2020-02-08,20.04
2020-02-09,20.04
2020-02-10,20.391
2020-02-11,20.667
2020-02-12,19.763
2020-02-13,19.459
2020-02-14,18.799
2020-02-15,18.799
2020-02-16,18.799
2020-02-17,18.799
2020-02-18,19.356
2020-02-19,19.053
2020-02-20,19.387
2020-02-21,19.439
2020-02-22,19.439
2020-02-23,19.439
2020-02-24,20.813
2020-02-25,22.66
2020-02-26,22.943
2020-02-27,24.673
2020-02-28,24.77
2020-02-29,24.77
2020-03-01,24.77
2020-03-02,24.756
2020-03-03,24.673
2020-03-04,24.529
2020-03-05,25.979
2020-03-06,30.105
2020-03-07,30.105
2020-03-08,30.105
2020-03-09,54.659
2020-03-10,52.452
2020-03-11,54.524
2020-03-12,59.202
2020-03-13,51.534
2020-03-14,51.534
2020-03-15,51.534
2020-03-16,53.533
2020-03-17,61.855
2020-03-18,81.635
2020-03-19,69.88
2020-03-20,54.136
2020-03-21,54.136
2020-03-22,54.136
2020-03-23,59.988
2020-03-24,49.718
2020-03-25,47.153
2020-03-26,46.036
2020-03-27,52.579
2020-03-28,52.579
2020-03-29,52.579
2020-03-30,51.362
2020-03-31,46.869
2020-04-01,45.697
2020-04-02,38.842
2020-04-03,40.147
2020-04-04,40.147
2020-04-05,40.147
2020-04-06,39.992
2020-04-07,39.284
2020-04-08,36.558
2020-04-09,38.601
2020-04-10,38.601
2020-04-11,38.601
2020-04-12,38.601
2020-04-13,39.838
2020-04-14,38.553
2020-04-15,41.487
2020-04-16,45.697
2020-04-17,43.158
2020-04-18,43.158
2020-04-19,43.158
2020-04-20,44.905
2020-04-21,43.643
2020-04-22,40.356
2020-04-23,37.849
2020-04-24,38.128
2020-04-25,38.128
2020-04-26,38.128
2020-04-27,38.128
2020-04-28,36.905
2020-04-29,35.513
2020-04-30,33.485
2020-05-01,36.133
2020-05-02,36.133
2020-05-03,36.133
2020-05-04,36.133
2020-05-05,37.988
2020-05-06,39.038
2020-05-07,37.895
2020-05-08,35.152
2020-05-09,35.152
2020-05-10,35.152
2020-05-11,34.758
2020-05-12,35.311
2020-05-13,36.704
2020-05-14,37.102
2020-05-15,35.722
2020-05-16,35.722
2020-05-17,35.722
2020-05-18,31.444
2020-05-19,29.595
2020-05-20,27.026
2020-05-21,27.283
2020-05-22,27.232
2020-05-23,27.232
2020-05-24,27.232
2020-05-25,27.232
2020-05-26,26.138
2020-05-27,27.232
2020-05-28,26.899
2020-05-29,27.309
2020-05-30,27.309
2020-05-31,27.309
2020-06-01,27.154
2020-06-02,25.67
2020-06-03,25.262
2020-06-04,24.782
2020-06-05,22.207
2020-06-06,22.207
2020-06-07,22.207
2020-06-08,20.911
2020-06-09,21.54
2020-06-10,22.882
2020-06-11,25.601
2020-06-12,24.739
2020-06-13,24.739
2020-06-14,24.739
2020-06-15,24.319
2020-06-16,24.013
2020-06-17,25.397
2020-06-18,25.064
2020-06-19,25.601
2020-06-20,25.601
2020-06-21,25.601
2020-06-22,25.152
2020-06-23,24.836
2020-06-24,27.582
2020-06-25,27.062
2020-06-26,28.013
2020-06-27,28.013
2020-06-28,28.013
2020-06-29,27.45
2020-06-30,27.689
2020-07-01,28.234
2020-07-02,27.689
2020-07-03,27.689
2020-07-04,27.689
2020-07-05,27.689
2020-07-06,27.742
2020-07-07,28.543
2020-07-08,28.743
2020-07-09,30.452
2020-07-10,29.211
2020-07-11,29.211
2020-07-12,29.211
2020-07-13,29.943
2020-07-14,15.408
2020-07-15,17.958
2020-07-16,17.552
2020-07-17,17.987
2020-07-18,17.987
2020-07-19,17.987
2020-07-20,17.723
2020-07-21,16.619
2020-07-22,16.648
2020-07-23,17.093
2020-07-24,16.996
2020-07-25,16.996
2020-07-26,16.996
2020-07-27,17.308
2020-07-28,22.274
2020-07-29,21.475
2020-07-30,21.742
2020-07-31,21.994
2020-08-01,21.994
2020-08-02,21.994
2020-08-03,21.557
2020-08-04,21.889
2020-08-05,21.022
2020-08-06,22.187
2020-08-07,22.058
2020-08-08,22.058
2020-08-09,22.058
2020-08-10,20.869
2020-08-11,16.351
2020-08-12,15.802
2020-08-13,16.503
2020-08-14,15.84
2020-08-15,15.84
2020-08-16,15.84
2020-08-17,16.349
2020-08-18,16.844
2020-08-19,16.844
2020-08-20,17.109
2020-08-21,17.296
2020-08-22,17.296
2020-08-23,17.296
2020-08-24,16.943
2020-08-25,16.731
2020-08-26,17.143
2020-08-27,17.042
2020-08-28,17.015
2020-08-29,17.015
2020-08-30,17.015
2020-08-31,17.232
2020-09-01,17.3
2020-09-02,18.029
2020-09-03,18.216
2020-09-04,18.505
2020-09-05,18.505
2020-09-06,18.505
2020-09-07,18.505
2020-09-08,20.003
2020-09-09,19.912
2020-09-10,21.577
2020-09-11,22.094
2020-09-12,22.094
2020-09-13,22.094
2020-09-14,21.765
2020-09-15,22.066
2020-09-16,21.212
2020-09-17,21.446
2020-09-18,21.956
2020-09-19,21.956
2020-09-20,21.956
2020-09-21,22.606
2020-09-22,22.347
2020-09-23,23.39
2020-09-24,23.082
2020-09-25,23.328
2020-09-26,23.328
2020-09-27,23.328
2020-09-28,22.665
2020-09-29,22.842
2020-09-30,23.328
2020-10-01,23.9
2020-10-02,23.515
2020-10-03,23.515
2020-10-04,23.515
2020-10-05,22.665
2020-10-06,23.174
2020-10-07,23.174
2020-10-08,21.873
2020-10-09,22.376
2020-10-10,22.376
2020-10-11,22.376
2020-10-12,22.606
2020-10-13,23.578
2020-10-14,28.686
2020-10-15,28.294
2020-10-16,30.229
2020-10-17,30.229
2020-10-18,30.229
2020-10-19,30.626
2020-10-20,29.846
2020-10-21,30.749
2020-10-22,30.349
2020-10-23,30.628
2020-10-24,30.628
2020-10-25,30.628
2020-10-26,31.881
2020-10-27,31.881
2020-10-28,34.417
2020-10-29,33.384
2020-10-30,30.387
2020-10-31,30.387
2020-11-01,30.387
2020-11-02,29.504
2020-11-03,28.227
2020-11-04,28.648
2020-11-05,27.781
2020-11-06,28.077
2020-11-07,28.077
2020-11-08,28.077
2020-11-09,25.225
2020-11-10,23.272
2020-11-11,23.601
2020-11-12,24.79
2020-11-13,18.356
2020-11-14,18.356
2020-11-15,18.356
2020-11-16,17.778
2020-11-17,17.165
2020-11-18,17.113
2020-11-19,16.84
2020-11-20,16.757
2020-11-21,16.757
2020-11-22,16.757
2020-11-23,15.527
2020-11-24,14.898
2020-11-25,14.755
2020-11-26,14.755
2020-11-27,14.768
2020-11-28,14.768
2020-11-29,14.768
2020-11-30,15.111
2020-12-01,14.794
2020-12-02,14.691
2020-12-03,14.163
2020-12-04,13.15
2020-12-05,13.15
2020-12-06,13.15
2020-12-07,13.26
2020-12-08,13.816
2020-12-09,13.849
2020-12-10,13.486
2020-12-11,13.591
2020-12-12,13.591
2020-12-13,13.591
2020-12-14,14.06
2020-12-15,13.719
2020-12-16,13.915
2020-12-17,13.959
2020-12-18,13.959
2020-12-19,13.959
2020-12-20,13.959
2020-12-21,14.771
2020-12-22,15.6
2020-12-23,14.722
2020-12-24,14.846
2020-12-25,14.846
2020-12-26,14.846
2020-12-27,14.846
2020-12-28,14.922
2020-12-29,15.154
2020-12-30,15.273
2020-12-31,15.108
2021-01-01,15.108
2021-01-02,15.108
2021-01-03,15.108
2021-01-04,14.414
2021-01-05,13.78
2021-01-06,13.442
2021-01-07,12.685
2021-01-08,12.805
2021-01-09,12.805
2021-01-10,12.805
2021-01-11,12.937
2021-01-12,12.005
2021-01-13,12.424
2021-01-14,12.169
2021-01-15,12.355
2021-01-16,12.355
2021-01-17,12.355
2021-01-18,12.355
2021-01-19,11.926
2021-01-20,11.649
2021-01-21,12.242
2021-01-22,12.525
2021-01-23,12.525
2021-01-24,12.525
2021-01-25,12.551
2021-01-26,13.078
2021-01-27,13.971
2021-01-28,13.492
2021-01-29,13.669
2021-01-30,13.669
2021-01-31,13.669
2021-02-01,13.264
2021-02-02,13.236
2021-02-03,12.446
2021-02-04,12.471
2021-02-05,12.647
2021-02-06,12.647
2021-02-07,12.647
2021-02-08,12.086
2021-02-09,11.993
2021-02-10,11.459
2021-02-11,11.396
2021-02-12,11.022
2021-02-13,11.022
2021-02-14,11.022
2021-02-15,11.022
2021-02-16,10.996
2021-02-17,11.253
2021-02-18,11.79
2021-02-19,11.768
2021-02-20,11.768
2021-02-21,11.768
2021-02-22,11.355
2021-02-23,11.289
2021-02-24,11.242
2021-02-25,11.693
2021-02-26,12.081
2021-02-27,12.081
2021-02-28,12.081
2021-03-01,11.921
2021-03-02,12.308
2021-03-03,11.772
2021-03-04,11.719
2021-03-05,11.231
2021-03-06,11.231
2021-03-07,11.231
2021-03-08,11.356
2021-03-09,11.817
2021-03-10,11.252
2021-03-11,10.982
2021-03-12,10.865
2021-03-13,10.865
2021-03-14,10.865
2021-03-15,10.212
2021-03-16,10.638
2021-03-17,10.409
2021-03-18,11.314
2021-03-19,10.982
2021-03-20,10.982
2021-03-21,10.982
2021-03-22,11.356
2021-03-23,12.035
2021-03-24,11.81
2021-03-25,11.902
2021-03-26,11.742
2021-03-27,11.742
2021-03-28,11.742
2021-03-29,12.443
2021-03-30,12.649
2021-03-31,12.597
2021-04-01,10.697
2021-04-02,10.697
2021-04-03,10.697
2021-04-04,10.697
2021-04-05,11.241
2021-04-06,11.287
2021-04-07,11.187
2021-04-08,11.218
2021-04-09,10.853
2021-04-10,10.853
2021-04-11,10.853
2021-04-12,10.545
2021-04-13,11.139
2021-04-14,10.677
2021-04-15,10.59
2021-04-16,10.864
2021-04-17,10.864
2021-04-18,10.864
2021-04-19,10.818
2021-04-20,10.747
2021-04-21,10.293
2021-04-22,10.293
2021-04-23,10.436
2021-04-24,10.436
2021-04-25,10.436
2021-04-26,10.013
2021-04-27,10.086
2021-04-28,9.801
2021-04-29,9.769
2021-04-30,10.013
2021-05-01,10.013
2021-05-02,10.013
2021-05-03,9.817
2021-05-04,10.013
2021-05-05,9.696
2021-05-06,9.775
2021-05-07,9.527
2021-05-08,9.527
2021-05-09,9.527
2021-05-10,9.743
2021-05-11,9.92
2021-05-12,9.746
2021-05-13,9.859
2021-05-14,9.588
2021-05-15,9.588
2021-05-16,9.588
2021-05-17,8.848
2021-05-18,8.045
2021-05-19,8.4
2021-05-20,8.382
2021-05-21,8.429
2021-05-22,8.429
