,CG US Equity
,BEST_DIV_YLD
2020-01-01,5.652
2020-01-02,5.662
2020-01-03,5.765
2020-01-04,5.765
2020-01-05,5.765
2020-01-06,5.765
2020-01-07,5.783
2020-01-08,5.759
2020-01-09,5.707
2020-01-10,5.749
2020-01-11,5.749
2020-01-12,5.749
2020-01-13,5.73
2020-01-14,5.769
2020-01-15,5.666
2020-01-16,5.504
2020-01-17,5.448
2020-01-18,5.448
2020-01-19,5.448
2020-01-20,5.448
2020-01-21,5.427
2020-01-22,5.289
2020-01-23,5.263
2020-01-24,5.377
2020-01-25,5.377
2020-01-26,5.377
2020-01-27,5.509
2020-01-28,5.468
2020-01-29,5.383
2020-01-30,5.553
2020-01-31,5.582
2020-02-01,5.582
2020-02-02,5.582
2020-02-03,5.631
2020-02-04,5.412
2020-02-05,5.551
2020-02-06,5.587
2020-02-07,5.516
2020-02-08,5.516
2020-02-09,5.516
2020-02-10,5.427
2020-02-11,5.396
2020-02-12,5.382
2020-02-13,5.504
2020-02-14,5.6
2020-02-15,5.6
2020-02-16,5.6
2020-02-17,5.6
2020-02-18,5.623
2020-02-19,5.667
2020-02-20,5.738
2020-02-21,5.754
2020-02-22,5.754
2020-02-23,5.754
2020-02-24,5.821
2020-02-25,6.145
2020-02-26,6.034
2020-02-27,6.232
2020-02-28,6.322
2020-02-29,6.322
2020-03-01,6.322
2020-03-02,5.894
2020-03-03,6.156
2020-03-04,6.209
2020-03-05,6.287
2020-03-06,6.823
2020-03-07,6.823
2020-03-08,6.823
2020-03-09,7.746
2020-03-10,7.66
2020-03-11,8.051
2020-03-12,8.667
2020-03-13,7.615
2020-03-14,7.615
2020-03-15,7.615
2020-03-16,9.663
2020-03-17,9.816
2020-03-18,10.535
2020-03-19,9.006
2020-03-20,9.28
2020-03-21,9.28
2020-03-22,9.28
2020-03-23,9.881
2020-03-24,8.983
2020-03-25,8.018
2020-03-26,7.582
2020-03-27,7.913
2020-03-28,7.913
2020-03-29,7.913
2020-03-30,7.992
2020-03-31,8.311
2020-04-01,9.129
2020-04-02,8.912
2020-04-03,9.046
2020-04-04,9.046
2020-04-05,9.046
2020-04-06,8.246
2020-04-07,8.098
2020-04-08,7.833
2020-04-09,7.478
2020-04-10,7.478
2020-04-11,7.478
2020-04-12,7.478
2020-04-13,7.888
2020-04-14,7.494
2020-04-15,7.934
2020-04-16,7.934
2020-04-17,7.84
2020-04-18,7.84
2020-04-19,7.84
2020-04-20,8.227
2020-04-21,8.568
2020-04-22,8.296
2020-04-23,8.105
2020-04-24,7.969
2020-04-25,7.969
2020-04-26,7.969
2020-04-27,7.362
2020-04-28,7.252
2020-04-29,6.931
2020-04-30,7.676
2020-05-01,8.112
2020-05-02,8.112
2020-05-03,8.112
2020-05-04,8.186
2020-05-05,7.759
2020-05-06,7.803
2020-05-07,7.529
2020-05-08,7.329
2020-05-09,7.329
2020-05-10,7.329
2020-05-11,7.246
2020-05-12,7.314
2020-05-13,7.579
2020-05-14,7.505
2020-05-15,7.585
2020-05-16,7.585
2020-05-17,7.585
2020-05-18,7.113
2020-05-19,7.135
2020-05-20,6.868
2020-05-21,6.721
2020-05-22,6.641
2020-05-23,6.641
2020-05-24,6.641
2020-05-25,6.641
2020-05-26,6.395
2020-05-27,6.34
2020-05-28,6.368
2020-05-29,6.439
2020-05-30,6.439
2020-05-31,6.439
2020-06-01,6.334
2020-06-02,6.163
2020-06-03,5.923
2020-06-04,5.987
2020-06-05,6.005
2020-06-06,6.005
2020-06-07,6.005
2020-06-08,5.803
2020-06-09,5.947
2020-06-10,5.945
2020-06-11,6.352
2020-06-12,6.062
2020-06-13,6.062
2020-06-14,6.062
2020-06-15,5.788
2020-06-16,5.828
2020-06-17,5.782
2020-06-18,5.756
2020-06-19,5.966
2020-06-20,5.966
2020-06-21,5.966
2020-06-22,6.124
2020-06-23,6.07
2020-06-24,6.273
2020-06-25,6.273
2020-06-26,6.728
2020-06-27,6.728
2020-06-28,6.728
2020-06-29,6.526
2020-06-30,6.384
2020-07-01,6.386
2020-07-02,6.368
2020-07-03,6.368
2020-07-04,6.368
2020-07-05,6.368
2020-07-06,6.331
2020-07-07,6.579
2020-07-08,6.249
2020-07-09,6.322
2020-07-10,6.304
2020-07-11,6.304
2020-07-12,6.304
2020-07-13,6.491
2020-07-14,6.249
2020-07-15,6.116
2020-07-16,6.171
2020-07-17,6.131
2020-07-18,6.131
2020-07-19,6.131
2020-07-20,6.131
2020-07-21,6.021
2020-07-22,6.058
2020-07-23,6.137
2020-07-24,6.203
2020-07-25,6.203
2020-07-26,6.203
2020-07-27,6.11
2020-07-28,6.165
2020-07-29,6.015
2020-07-30,6.081
2020-07-31,6.256
2020-08-01,6.256
2020-08-02,6.256
2020-08-03,6.282
2020-08-04,6.386
2020-08-05,6.309
2020-08-06,6.43
2020-08-07,6.481
2020-08-08,6.481
2020-08-09,6.481
2020-08-10,6.486
2020-08-11,6.546
2020-08-12,6.467
2020-08-13,6.536
2020-08-14,6.503
2020-08-15,6.503
2020-08-16,6.503
2020-08-17,6.446
2020-08-18,6.45
2020-08-19,6.493
2020-08-20,6.687
2020-08-21,6.635
2020-08-22,6.635
2020-08-23,6.635
2020-08-24,6.63
2020-08-25,6.69
2020-08-26,6.551
2020-08-27,6.63
2020-08-28,6.769
2020-08-29,6.769
2020-08-30,6.769
2020-08-31,6.838
2020-09-01,6.632
2020-09-02,6.565
2020-09-03,6.819
2020-09-04,6.835
2020-09-05,6.835
2020-09-06,6.835
2020-09-07,6.835
2020-09-08,7.068
2020-09-09,6.891
2020-09-10,6.981
2020-09-11,7.012
2020-09-12,7.012
2020-09-13,7.012
2020-09-14,6.913
2020-09-15,6.838
2020-09-16,6.84
2020-09-17,7.09
2020-09-18,7.136
2020-09-19,7.136
2020-09-20,7.136
2020-09-21,7.194
2020-09-22,7.183
2020-09-23,7.332
2020-09-24,7.487
2020-09-25,7.45
2020-09-26,7.45
2020-09-27,7.45
2020-09-28,7.133
2020-09-29,7.171
2020-09-30,7.154
2020-10-01,7.093
2020-10-02,6.975
2020-10-03,6.975
2020-10-04,6.975
2020-10-05,6.782
2020-10-06,6.848
2020-10-07,6.809
2020-10-08,6.61
2020-10-09,6.585
2020-10-10,6.585
2020-10-11,6.585
2020-10-12,6.563
2020-10-13,6.592
2020-10-14,6.573
2020-10-15,6.472
2020-10-16,6.376
2020-10-17,6.376
2020-10-18,6.376
2020-10-19,6.371
2020-10-20,6.385
2020-10-21,6.434
2020-10-22,6.38
2020-10-23,6.427
2020-10-24,6.427
2020-10-25,6.427
2020-10-26,6.723
2020-10-27,6.848
2020-10-28,7.014
2020-10-29,6.905
2020-10-30,7.082
2020-10-31,7.082
2020-11-01,7.082
2020-11-02,6.951
2020-11-03,6.964
2020-11-04,6.667
2020-11-05,6.443
2020-11-06,6.46
2020-11-07,6.46
2020-11-08,6.46
2020-11-09,6.322
2020-11-10,6.247
2020-11-11,6.311
2020-11-12,6.373
2020-11-13,6.29
2020-11-14,6.29
2020-11-15,6.29
2020-11-16,6.146
2020-11-17,6.108
2020-11-18,6.254
2020-11-19,6.29
2020-11-20,6.259
2020-11-21,6.259
2020-11-22,6.259
2020-11-23,6.299
2020-11-24,6.093
2020-11-25,6.078
2020-11-26,6.078
2020-11-27,6.108
2020-11-28,6.108
2020-11-29,6.108
2020-11-30,6.155
2020-12-01,6.099
2020-12-02,6.059
2020-12-03,6.07
2020-12-04,6.015
2020-12-05,6.015
2020-12-06,6.015
2020-12-07,5.96
2020-12-08,5.872
2020-12-09,5.829
2020-12-10,5.884
2020-12-11,5.9
2020-12-12,5.9
2020-12-13,5.9
2020-12-14,5.948
2020-12-15,5.773
2020-12-16,5.659
2020-12-17,5.614
2020-12-18,5.668
2020-12-19,5.668
2020-12-20,5.668
2020-12-21,5.67
2020-12-22,5.644
2020-12-23,5.572
2020-12-24,5.576
2020-12-25,5.576
2020-12-26,5.576
2020-12-27,5.576
2020-12-28,5.562
2020-12-29,5.594
2020-12-30,5.565
2020-12-31,5.562
2021-01-01,5.562
2021-01-02,5.562
2021-01-03,5.562
2021-01-04,5.621
2021-01-05,5.562
2021-01-06,5.635
2021-01-07,5.557
2021-01-08,5.437
2021-01-09,5.437
2021-01-10,5.437
2021-01-11,5.362
2021-01-12,5.234
2021-01-13,5.273
