,PCAR US Equity
,BEST_DIV_YLD
2020-01-01,6.395
2020-01-02,6.362
2020-01-03,6.425
2020-01-04,6.425
2020-01-05,6.425
2020-01-06,6.449
2020-01-07,6.492
2020-01-08,6.407
2020-01-09,6.448
2020-01-10,6.501
2020-01-11,6.501
2020-01-12,6.501
2020-01-13,6.48
2020-01-14,6.469
2020-01-15,6.531
2020-01-16,6.439
2020-01-17,6.443
2020-01-18,6.443
2020-01-19,6.443
2020-01-20,6.443
2020-01-21,6.524
2020-01-22,6.575
2020-01-23,6.519
2020-01-24,6.588
2020-01-25,6.588
2020-01-26,6.588
2020-01-27,6.73
2020-01-28,6.589
2020-01-29,6.647
2020-01-30,6.651
2020-01-31,6.817
2020-02-01,6.817
2020-02-02,6.817
2020-02-03,6.805
2020-02-04,6.64
2020-02-05,6.486
2020-02-06,6.52
2020-02-07,6.708
2020-02-08,6.708
2020-02-09,6.708
2020-02-10,6.689
2020-02-11,6.658
2020-02-12,6.579
2020-02-13,6.732
2020-02-14,6.74
2020-02-15,6.74
2020-02-16,6.74
2020-02-17,6.74
2020-02-18,6.78
2020-02-19,6.786
2020-02-20,6.668
2020-02-21,6.684
2020-02-22,6.684
2020-02-23,6.684
2020-02-24,6.926
2020-02-25,7.197
2020-02-26,7.256
2020-02-27,7.433
2020-02-28,7.529
2020-02-29,7.529
2020-03-01,7.529
2020-03-02,7.229
2020-03-03,7.457
2020-03-04,7.253
2020-03-05,7.707
2020-03-06,7.802
2020-03-07,7.802
2020-03-08,7.802
2020-03-09,8.27
2020-03-10,7.791
2020-03-11,8.061
2020-03-12,8.507
2020-03-13,7.734
2020-03-14,7.734
2020-03-15,7.734
2020-03-16,8.372
2020-03-17,8.442
2020-03-18,9.035
2020-03-19,8.99
2020-03-20,9.631
2020-03-21,9.631
2020-03-22,9.631
2020-03-23,10.093
2020-03-24,8.837
2020-03-25,8.541
2020-03-26,8.333
2020-03-27,8.467
2020-03-28,8.467
2020-03-29,8.467
2020-03-30,8.089
2020-03-31,8.24
2020-04-01,8.379
2020-04-02,8.275
2020-04-03,8.176
2020-04-04,8.176
2020-04-05,8.176
2020-04-06,7.757
2020-04-07,7.687
2020-04-08,7.579
2020-04-09,7.488
2020-04-10,7.488
2020-04-11,7.488
2020-04-12,7.488
2020-04-13,7.64
2020-04-14,7.54
2020-04-15,7.704
2020-04-16,7.61
2020-04-17,7.446
2020-04-18,7.446
2020-04-19,7.446
2020-04-20,7.496
2020-04-21,7.664
2020-04-22,7.616
2020-04-23,7.643
2020-04-24,7.465
2020-04-25,7.465
2020-04-26,7.465
2020-04-27,7.32
2020-04-28,7.283
2020-04-29,7.238
2020-04-30,7.276
2020-05-01,7.376
2020-05-02,7.376
2020-05-03,7.376
2020-05-04,7.368
2020-05-05,7.401
2020-05-06,7.375
2020-05-07,7.342
2020-05-08,7.235
2020-05-09,7.235
2020-05-10,7.235
2020-05-11,7.285
2020-05-12,6.084
2020-05-13,6.161
2020-05-14,6.105
2020-05-15,6.085
2020-05-16,6.085
2020-05-17,6.085
2020-05-18,5.812
2020-05-19,5.932
2020-05-20,5.891
2020-05-21,5.963
2020-05-22,5.943
2020-05-23,5.943
2020-05-24,5.943
2020-05-25,5.943
2020-05-26,5.606
2020-05-27,5.418
2020-05-28,5.495
2020-05-29,5.506
2020-05-30,5.506
2020-05-31,5.506
2020-06-01,5.561
2020-06-02,5.538
2020-06-03,5.449
2020-06-04,5.372
2020-06-05,5.217
2020-06-06,5.217
2020-06-07,5.217
2020-06-08,5.158
2020-06-09,5.151
2020-06-10,5.295
2020-06-11,5.603
2020-06-12,5.557
2020-06-13,5.557
2020-06-14,5.557
2020-06-15,5.516
2020-06-16,5.457
2020-06-17,5.473
2020-06-18,5.46
2020-06-19,5.425
2020-06-20,5.425
2020-06-21,5.425
2020-06-22,5.442
2020-06-23,5.439
2020-06-24,5.607
2020-06-25,5.551
2020-06-26,5.613
2020-06-27,5.613
2020-06-28,5.613
2020-06-29,5.519
2020-06-30,5.433
2020-07-01,5.477
2020-07-02,5.373
2020-07-03,5.373
2020-07-04,5.373
2020-07-05,5.373
2020-07-06,5.27
2020-07-07,5.367
2020-07-08,5.389
2020-07-09,5.463
2020-07-10,5.405
2020-07-11,5.405
2020-07-12,5.405
2020-07-13,5.376
2020-07-14,5.278
2020-07-15,5.166
2020-07-16,5.118
2020-07-17,5.119
2020-07-18,5.119
2020-07-19,5.119
2020-07-20,5.103
2020-07-21,4.861
2020-07-22,5.059
