,NKE US Equity
,BEST_DIV_YLD
2020-01-01,1.733
2020-01-02,1.718
2020-01-03,1.723
2020-01-04,1.723
2020-01-05,1.723
2020-01-06,1.724
2020-01-07,1.725
2020-01-08,1.729
2020-01-09,1.73
2020-01-10,1.74
2020-01-11,1.74
2020-01-12,1.74
2020-01-13,1.719
2020-01-14,1.706
2020-01-15,1.708
2020-01-16,1.698
2020-01-17,1.68
2020-01-18,1.68
2020-01-19,1.68
2020-01-20,1.68
2020-01-21,1.679
2020-01-22,1.68
2020-01-23,1.704
2020-01-24,1.721
2020-01-25,1.721
2020-01-26,1.721
2020-01-27,1.751
2020-01-28,1.749
2020-01-29,1.759
2020-01-30,1.788
2020-01-31,1.823
2020-02-01,1.823
2020-02-02,1.823
2020-02-03,1.769
2020-02-04,1.732
2020-02-05,1.746
2020-02-06,1.751
2020-02-07,1.766
2020-02-08,1.766
2020-02-09,1.766
2020-02-10,1.755
2020-02-11,1.755
2020-02-12,1.705
2020-02-13,1.698
2020-02-14,1.696
2020-02-15,1.696
2020-02-16,1.696
2020-02-17,1.696
2020-02-18,1.721
2020-02-19,1.714
2020-02-20,1.712
2020-02-21,1.751
2020-02-22,1.751
2020-02-23,1.751
2020-02-24,1.831
2020-02-25,1.89
2020-02-26,1.908
2020-02-27,1.888
2020-02-28,1.866
2020-02-29,1.866
2020-03-01,1.866
2020-03-02,1.799
2020-03-03,1.834
2020-03-04,1.778
2020-03-05,1.841
2020-03-06,1.887
2020-03-07,1.887
2020-03-08,1.887
2020-03-09,1.982
2020-03-10,1.888
2020-03-11,1.985
2020-03-12,2.247
2020-03-13,2.206
2020-03-14,2.206
2020-03-15,2.206
2020-03-16,2.2
2020-03-17,2.104
2020-03-18,2.16
2020-03-19,2.089
2020-03-20,2.179
2020-03-21,2.179
2020-03-22,2.179
2020-03-23,2.34
2020-03-24,2.176
2020-03-25,1.992
2020-03-26,1.867
2020-03-27,1.891
2020-03-28,1.891
2020-03-29,1.891
2020-03-30,1.843
2020-03-31,1.902
2020-04-01,1.986
2020-04-02,1.964
2020-04-03,1.996
2020-04-04,1.996
2020-04-05,1.996
2020-04-06,1.859
2020-04-07,1.87
2020-04-08,1.845
2020-04-09,1.813
2020-04-10,1.813
2020-04-11,1.813
2020-04-12,1.813
2020-04-13,1.863
2020-04-14,1.799
2020-04-15,1.851
2020-04-16,1.823
2020-04-17,1.75
2020-04-18,1.75
2020-04-19,1.75
2020-04-20,1.79
2020-04-21,1.847
2020-04-22,1.773
2020-04-23,1.802
2020-04-24,1.781
2020-04-25,1.781
2020-04-26,1.781
2020-04-27,1.761
2020-04-28,1.772
2020-04-29,1.787
2020-04-30,1.805
2020-05-01,1.84
2020-05-02,1.84
2020-05-03,1.84
2020-05-04,1.835
2020-05-05,1.805
2020-05-06,1.779
2020-05-07,1.777
2020-05-08,1.74
2020-05-09,1.74
2020-05-10,1.74
2020-05-11,1.731
2020-05-12,1.783
2020-05-13,1.829
2020-05-14,1.818
2020-05-15,1.809
2020-05-16,1.809
2020-05-17,1.809
2020-05-18,1.729
2020-05-19,1.72
2020-05-20,1.693
2020-05-21,1.669
2020-05-22,1.679
2020-05-23,1.679
2020-05-24,1.679
2020-05-25,1.679
2020-05-26,1.629
2020-05-27,1.576
2020-05-28,1.598
2020-05-29,1.592
2020-05-30,1.592
2020-05-31,1.592
2020-06-01,1.525
2020-06-02,1.507
2020-06-03,1.458
2020-06-04,1.499
2020-06-05,1.478
2020-06-06,1.478
2020-06-07,1.478
2020-06-08,1.455
2020-06-09,1.479
2020-06-10,1.486
2020-06-11,1.595
2020-06-12,1.574
2020-06-13,1.574
2020-06-14,1.574
2020-06-15,1.551
2020-06-16,1.532
2020-06-17,1.53
2020-06-18,1.542
2020-06-19,1.585
2020-06-20,1.585
2020-06-21,1.585
2020-06-22,1.525
2020-06-23,1.489
2020-06-24,1.517
2020-06-25,1.473
2020-06-26,1.547
2020-06-27,1.547
2020-06-28,1.547
2020-06-29,1.512
2020-06-30,1.478
2020-07-01,1.488
2020-07-02,1.472
2020-07-03,1.472
2020-07-04,1.472
2020-07-05,1.472
2020-07-06,1.45
2020-07-07,1.493
2020-07-08,1.466
2020-07-09,1.494
2020-07-10,1.479
2020-07-11,1.479
2020-07-12,1.479
2020-07-13,1.502
2020-07-14,1.498
2020-07-15,1.471
2020-07-16,1.49
2020-07-17,1.505
2020-07-18,1.505
2020-07-19,1.505
2020-07-20,1.563
2020-07-21,1.52
2020-07-22,1.511
2020-07-23,1.521
2020-07-24,1.519
