,FHB US Equity
,BEST_DIV_YLD
2020-01-01,4.544
2020-01-02,4.563
2020-01-03,4.566
2020-01-04,4.566
2020-01-05,4.566
2020-01-06,4.6
2020-01-07,4.652
2020-01-08,4.637
2020-01-09,4.621
2020-01-10,4.621
2020-01-11,4.621
2020-01-12,4.621
2020-01-13,4.608
2020-01-14,4.591
2020-01-15,4.588
2020-01-16,4.536
2020-01-17,4.531
2020-01-18,4.531
2020-01-19,4.531
2020-01-20,4.531
2020-01-21,4.567
2020-01-22,4.548
2020-01-23,4.533
2020-01-24,4.582
2020-01-25,4.582
2020-01-26,4.582
2020-01-27,4.595
2020-01-28,4.55
2020-01-29,4.503
2020-01-30,4.482
2020-01-31,4.511
2020-02-01,4.511
2020-02-02,4.511
2020-02-03,4.402
2020-02-04,4.374
2020-02-05,4.246
2020-02-06,4.324
2020-02-07,4.414
2020-02-08,4.414
2020-02-09,4.414
2020-02-10,4.445
2020-02-11,4.451
2020-02-12,4.454
2020-02-13,4.43
2020-02-14,4.426
2020-02-15,4.426
2020-02-16,4.426
2020-02-17,4.426
2020-02-18,4.55
2020-02-19,4.531
2020-02-20,4.488
2020-02-21,4.591
2020-02-22,4.591
2020-02-23,4.591
2020-02-24,4.709
2020-02-25,4.906
2020-02-26,5.006
2020-02-27,5.195
2020-02-28,5.425
2020-02-29,5.425
2020-03-01,5.425
2020-03-02,5.213
2020-03-03,5.369
2020-03-04,5.434
2020-03-05,5.686
2020-03-06,5.9
2020-03-07,5.9
2020-03-08,5.9
2020-03-09,6.673
2020-03-10,6.506
2020-03-11,6.948
2020-03-12,7.353
2020-03-13,6.788
2020-03-14,6.788
2020-03-15,6.788
2020-03-16,7.218
2020-03-17,6.598
2020-03-18,6.753
2020-03-19,6.795
2020-03-20,7.471
2020-03-21,7.471
2020-03-22,7.471
2020-03-23,8.286
2020-03-24,7.879
2020-03-25,7.936
2020-03-26,7.411
2020-03-27,7.936
2020-03-28,7.936
2020-03-29,7.936
2020-03-30,7.789
2020-03-31,7.86
2020-04-01,8.644
2020-04-02,8.661
2020-04-03,9.06
2020-04-04,9.06
2020-04-05,9.06
2020-04-06,8.57
2020-04-07,8.564
2020-04-08,8.06
2020-04-09,7.373
2020-04-10,7.373
2020-04-11,7.373
2020-04-12,7.373
2020-04-13,7.874
2020-04-14,8.11
2020-04-15,8.627
2020-04-16,8.431
2020-04-17,7.927
2020-04-18,7.927
2020-04-19,7.927
2020-04-20,7.903
2020-04-21,8.025
2020-04-22,8.166
2020-04-23,7.961
2020-04-24,7.78
2020-04-25,7.78
2020-04-26,7.78
2020-04-27,7.17
2020-04-28,7.378
2020-04-29,7.107
2020-04-30,7.386
2020-05-01,7.615
2020-05-02,7.615
2020-05-03,7.615
2020-05-04,7.656
2020-05-05,7.922
2020-05-06,8.13
2020-05-07,8.12
2020-05-08,7.867
2020-05-09,7.867
2020-05-10,7.867
2020-05-11,8.161
2020-05-12,8.755
2020-05-13,9.162
2020-05-14,9.149
2020-05-15,9.293
2020-05-16,9.293
2020-05-17,9.293
2020-05-18,8.404
2020-05-19,8.737
2020-05-20,8.212
2020-05-21,7.985
2020-05-22,8.046
2020-05-23,8.046
2020-05-24,8.046
2020-05-25,8.046
2020-05-26,7.463
2020-05-27,7.13
2020-05-28,7.339
2020-05-29,7.411
2020-05-30,7.411
2020-05-31,7.411
2020-06-01,7.433
2020-06-02,7.415
2020-06-03,7.102
2020-06-04,6.827
2020-06-05,6.376
2020-06-06,6.376
2020-06-07,6.376
2020-06-08,6.037
2020-06-09,6.258
2020-06-10,6.8
2020-06-11,7.339
2020-06-12,7.194
2020-06-13,7.194
2020-06-14,7.194
2020-06-15,7.235
2020-06-16,6.963
2020-06-17,7.202
2020-06-18,7.158
2020-06-19,7.126
2020-06-20,7.126
2020-06-21,7.126
2020-06-22,7.194
2020-06-23,7.211
2020-06-24,7.605
2020-06-25,7.377
2020-06-26,7.87
2020-06-27,7.87
2020-06-28,7.87
2020-06-29,7.674
2020-06-30,7.415
2020-07-01,7.651
2020-07-02,7.715
2020-07-03,7.715
2020-07-04,7.715
2020-07-05,7.715
2020-07-06,7.637
2020-07-07,8.174
2020-07-08,8.206
2020-07-09,8.523
2020-07-10,8.091
2020-07-11,8.091
2020-07-12,8.091
2020-07-13,7.965
2020-07-14,8.185
2020-07-15,7.697
2020-07-16,7.781
2020-07-17,8.046
2020-07-18,8.046
2020-07-19,8.046
2020-07-20,8.232
2020-07-21,7.194
2020-07-22,7.13
2020-07-23,6.877
2020-07-24,7.247
2020-07-25,7.247
2020-07-26,7.247
2020-07-27,7.565
2020-07-28,7.52
2020-07-29,7.297
2020-07-30,7.39
2020-07-31,7.356
2020-08-01,7.356
2020-08-02,7.356
2020-08-03,7.494
2020-08-04,7.623
2020-08-05,7.347
2020-08-06,7.347
2020-08-07,7.067
2020-08-08,7.067
2020-08-09,7.067
2020-08-10,6.997
2020-08-11,6.918
2020-08-12,6.997
2020-08-13,7.126
2020-08-14,7.059
2020-08-15,7.059
2020-08-16,7.059
2020-08-17,7.13
2020-08-18,7.56
2020-08-19,7.498
2020-08-20,7.701
2020-08-21,7.749
2020-08-22,7.749
2020-08-23,7.749
2020-08-24,7.491
2020-08-25,7.515
2020-08-26,7.744
2020-08-27,7.531
2020-08-28,7.517
2020-08-29,7.517
2020-08-30,7.517
2020-08-31,7.613
2020-09-01,7.72
2020-09-02,7.664
2020-09-03,7.634
2020-09-04,7.549
2020-09-05,7.549
2020-09-06,7.549
2020-09-07,7.549
2020-09-08,7.875
2020-09-09,7.939
2020-09-10,8.093
2020-09-11,8.103
2020-09-12,8.103
2020-09-13,8.103
2020-09-14,7.905
2020-09-15,8.119
2020-09-16,8.15
2020-09-17,8.103
2020-09-18,8.103
2020-09-19,8.103
2020-09-20,8.103
2020-09-21,8.35
2020-09-22,8.491
2020-09-23,8.625
2020-09-24,8.637
2020-09-25,8.685
2020-09-26,8.685
2020-09-27,8.685
2020-09-28,8.44
2020-09-29,8.667
2020-09-30,8.697
2020-10-01,8.727
2020-10-02,8.412
2020-10-03,8.412
2020-10-04,8.412
2020-10-05,8.182
2020-10-06,8.093
2020-10-07,7.885
2020-10-08,7.758
2020-10-09,7.811
2020-10-10,7.811
2020-10-11,7.811
2020-10-12,7.716
2020-10-13,8.124
2020-10-14,8.182
2020-10-15,8.072
2020-10-16,8.056
2020-10-17,8.056
2020-10-18,8.056
2020-10-19,8.209
2020-10-20,7.995
2020-10-21,7.797
2020-10-22,7.504
2020-10-23,7.078
2020-10-24,7.078
2020-10-25,7.078
2020-10-26,7.118
2020-10-27,7.522
2020-10-28,7.687
2020-10-29,7.517
2020-10-30,7.291
2020-10-31,7.291
2020-11-01,7.291
2020-11-02,6.956
2020-11-03,6.895
2020-11-04,7.54
2020-11-05,7.078
2020-11-06,7.274
2020-11-07,7.274
2020-11-08,7.274
2020-11-09,5.831
2020-11-10,5.692
2020-11-11,5.984
2020-11-12,6.091
2020-11-13,5.916
2020-11-14,5.916
2020-11-15,5.916
2020-11-16,5.63
2020-11-17,5.59
2020-11-18,5.712
2020-11-19,5.741
2020-11-20,5.785
2020-11-21,5.785
2020-11-22,5.785
2020-11-23,5.67
2020-11-24,5.341
2020-11-25,5.374
2020-11-26,5.374
2020-11-27,5.463
2020-11-28,5.463
2020-11-29,5.463
2020-11-30,5.673
2020-12-01,5.564
2020-12-02,5.432
2020-12-03,5.485
2020-12-04,5.399
2020-12-05,5.399
2020-12-06,5.399
2020-12-07,5.397
2020-12-08,5.404
2020-12-09,5.364
2020-12-10,5.339
2020-12-11,5.402
2020-12-12,5.402
2020-12-13,5.402
2020-12-14,5.399
2020-12-15,5.273
2020-12-16,5.351
2020-12-17,5.416
2020-12-18,5.48
2020-12-19,5.48
2020-12-20,5.48
2020-12-21,5.466
2020-12-22,5.468
2020-12-23,5.296
2020-12-24,5.362
2020-12-25,5.362
2020-12-26,5.362
2020-12-27,5.362
2020-12-28,5.251
2020-12-29,5.399
2020-12-30,5.285
2020-12-31,5.273
2021-01-01,5.273
2021-01-02,5.273
2021-01-03,5.273
2021-01-04,5.247
2021-01-05,5.262
2021-01-06,4.919
2021-01-07,4.855
2021-01-08,4.97
2021-01-09,4.97
2021-01-10,4.97
2021-01-11,4.884
2021-01-12,4.825
2021-01-13,4.882
2021-01-14,4.762
2021-01-15,4.838
2021-01-16,4.838
2021-01-17,4.838
2021-01-18,4.838
2021-01-19,4.757
2021-01-20,4.801
2021-01-21,4.886
2021-01-22,4.948
2021-01-23,4.948
2021-01-24,4.948
2021-01-25,4.65
2021-01-26,4.827
2021-01-27,4.874
2021-01-28,4.809
2021-01-29,5.002
2021-01-30,5.002
2021-01-31,5.002
2021-02-01,4.88
2021-02-02,4.803
2021-02-03,4.837
2021-02-04,4.731
2021-02-05,4.723
2021-02-06,4.723
2021-02-07,4.723
2021-02-08,4.567
2021-02-09,4.449
2021-02-10,4.459
2021-02-11,4.469
2021-02-12,4.41
2021-02-13,4.41
2021-02-14,4.41
2021-02-15,4.41
2021-02-16,4.278
2021-02-17,4.302
2021-02-18,4.318
2021-02-19,4.189
2021-02-20,4.189
2021-02-21,4.189
2021-02-22,4.042
2021-02-23,3.989
2021-02-24,3.928
2021-02-25,3.996
2021-02-26,4.129
2021-02-27,4.129
2021-02-28,4.129
2021-03-01,3.995
2021-03-02,4.042
2021-03-03,3.984
2021-03-04,4.069
2021-03-05,3.929
2021-03-06,3.929
2021-03-07,3.929
2021-03-08,3.841
2021-03-09,3.932
2021-03-10,3.85
2021-03-11,3.889
2021-03-12,3.807
2021-03-13,3.807
2021-03-14,3.807
2021-03-15,3.882
2021-03-16,3.954
2021-03-17,3.948
2021-03-18,3.92
2021-03-19,3.993
2021-03-20,3.993
2021-03-21,3.993
2021-03-22,4.119
2021-03-23,4.24
2021-03-24,4.271
2021-03-25,4.129
2021-03-26,4.085
2021-03-27,4.085
2021-03-28,4.085
2021-03-29,4.245
2021-03-30,4.119
2021-03-31,4.208
2021-04-01,4.161
2021-04-02,4.161
2021-04-03,4.161
2021-04-04,4.161
2021-04-05,4.195
2021-04-06,4.182
2021-04-07,4.254
2021-04-08,4.251
2021-04-09,4.229
2021-04-10,4.229
2021-04-11,4.229
2021-04-12,4.193
2021-04-13,4.296
2021-04-14,4.246
2021-04-15,4.176
2021-04-16,4.152
2021-04-17,4.152
2021-04-18,4.152
2021-04-19,4.212
2021-04-20,4.351
2021-04-21,4.282
2021-04-22,4.296
2021-04-23,4.285
2021-04-24,4.285
2021-04-25,4.285
2021-04-26,4.285
2021-04-27,4.285
2021-04-28,4.285
2021-04-29,4.285
2021-04-30,4.285
2021-05-01,4.285
2021-05-02,4.285
2021-05-03,4.285
2021-05-04,4.285
2021-05-05,4.285
2021-05-06,4.285
2021-05-07,4.285
2021-05-08,4.285
2021-05-09,4.285
2021-05-10,4.285
2021-05-11,4.285
2021-05-12,4.285
2021-05-13,4.285
2021-05-14,4.285
2021-05-15,4.285
2021-05-16,4.285
2021-05-17,4.285
2021-05-18,4.285
2021-05-19,4.285
2021-05-20,4.285
2021-05-21,4.285
2021-05-22,4.285
2021-05-23,4.285
2021-05-24,4.285
2021-05-25,4.285
2021-05-26,4.285
2021-05-27,4.285
2021-05-28,4.285
2021-05-29,4.285
2021-05-30,4.285
2021-05-31,4.285
2021-06-01,4.285
2021-06-02,4.285
2021-06-03,4.285
2021-06-04,4.285
2021-06-05,4.285
2021-06-06,4.285
2021-06-07,4.285
2021-06-08,4.285
2021-06-09,4.285
2021-06-10,4.285
2021-06-11,4.285
2021-06-12,4.285
2021-06-13,4.285
2021-06-14,4.285
2021-06-15,4.285
2021-06-16,4.285
2021-06-17,4.285
2021-06-18,4.285
2021-06-19,4.285
2021-06-20,4.285
2021-06-21,4.285
2021-06-22,4.285
2021-06-23,4.285
2021-06-24,4.285
2021-06-25,4.285
2021-06-26,4.285
2021-06-27,4.285
2021-06-28,4.285
2021-06-29,4.285
2021-06-30,4.285
2021-07-01,4.285
2021-07-02,4.285
2021-07-03,4.285
2021-07-04,4.285
2021-07-05,4.285
2021-07-06,4.285
2021-07-07,4.285
2021-07-08,4.285
2021-07-09,4.285
2021-07-10,4.285
2021-07-11,4.285
2021-07-12,4.285
2021-07-13,4.285
2021-07-14,4.285
2021-07-15,4.285
2021-07-16,4.285
2021-07-17,4.285
2021-07-18,4.285
2021-07-19,4.285
2021-07-20,4.285
2021-07-21,4.285
2021-07-22,4.285
2021-07-23,4.285
2021-07-24,4.285
2021-07-25,4.285
2021-07-26,4.285
2021-07-27,4.285
2021-07-28,4.285
2021-07-29,4.285
2021-07-30,4.285
2021-07-31,4.285
2021-08-01,4.285
2021-08-02,4.285
2021-08-03,4.285
2021-08-04,4.285
2021-08-05,4.285
2021-08-06,4.285
2021-08-07,4.285
2021-08-08,4.285
2021-08-09,4.285
2021-08-10,4.285
2021-08-11,4.285
2021-08-12,4.285
2021-08-13,4.285
2021-08-14,4.285
2021-08-15,4.285
2021-08-16,4.285
2021-08-17,4.285
2021-08-18,4.285
2021-08-19,4.285
2021-08-20,4.285
