,MXIM US Equity
,BEST_DIV_YLD
2020-01-01,2.796
2020-01-02,2.755
2020-01-03,2.803
2020-01-04,2.803
2020-01-05,2.803
2020-01-06,2.855
2020-01-07,2.792
2020-01-08,2.793
2020-01-09,2.773
2020-01-10,2.799
2020-01-11,2.799
2020-01-12,2.799
2020-01-13,2.781
2020-01-14,2.766
2020-01-15,2.799
2020-01-16,2.776
2020-01-17,2.803
2020-01-18,2.803
2020-01-19,2.803
2020-01-20,2.803
2020-01-21,2.773
2020-01-22,2.752
2020-01-23,2.705
2020-01-24,2.749
2020-01-25,2.749
2020-01-26,2.749
2020-01-27,2.853
2020-01-28,2.836
2020-01-29,2.862
2020-01-30,2.837
2020-01-31,2.929
2020-02-01,2.929
2020-02-02,2.929
2020-02-03,2.894
2020-02-04,2.822
2020-02-05,2.73
2020-02-06,2.748
2020-02-07,2.816
2020-02-08,2.816
2020-02-09,2.816
2020-02-10,2.795
2020-02-11,2.764
2020-02-12,2.731
2020-02-13,2.739
2020-02-14,2.77
2020-02-15,2.77
2020-02-16,2.77
2020-02-17,2.77
2020-02-18,2.82
2020-02-19,2.786
2020-02-20,2.821
2020-02-21,2.879
2020-02-22,2.879
2020-02-23,2.879
2020-02-24,2.985
2020-02-25,3.071
2020-02-26,3.034
2020-02-27,3.12
2020-02-28,3.139
2020-02-29,3.139
2020-03-01,3.139
2020-03-02,3.02
2020-03-03,3.125
2020-03-04,3.009
2020-03-05,3.125
2020-03-06,3.188
2020-03-07,3.188
2020-03-08,3.188
2020-03-09,3.498
2020-03-10,3.296
2020-03-11,3.525
2020-03-12,3.9
2020-03-13,3.596
2020-03-14,3.596
2020-03-15,3.596
2020-03-16,4.109
2020-03-17,3.626
2020-03-18,3.902
2020-03-19,3.816
2020-03-20,4.05
2020-03-21,4.05
2020-03-22,4.05
2020-03-23,3.899
2020-03-24,3.652
2020-03-25,3.609
2020-03-26,3.496
2020-03-27,3.689
2020-03-28,3.689
2020-03-29,3.689
2020-03-30,3.515
2020-03-31,3.609
2020-04-01,3.812
2020-04-02,3.673
2020-04-03,3.607
2020-04-04,3.607
2020-04-05,3.607
2020-04-06,3.281
2020-04-07,3.389
2020-04-08,3.29
2020-04-09,3.387
2020-04-10,3.387
2020-04-11,3.387
2020-04-12,3.387
2020-04-13,3.358
2020-04-14,3.297
2020-04-15,3.366
2020-04-16,3.341
2020-04-17,3.304
2020-04-18,3.304
2020-04-19,3.304
2020-04-20,3.385
2020-04-21,3.484
2020-04-22,3.35
2020-04-23,3.345
2020-04-24,3.269
2020-04-25,3.269
2020-04-26,3.269
2020-04-27,3.18
2020-04-28,3.19
2020-04-29,3.161
2020-04-30,3.3
2020-05-01,3.485
2020-05-02,3.485
2020-05-03,3.485
2020-05-04,3.515
2020-05-05,3.44
2020-05-06,3.431
2020-05-07,3.433
2020-05-08,3.352
2020-05-09,3.352
2020-05-10,3.352
2020-05-11,3.323
2020-05-12,3.354
2020-05-13,3.42
2020-05-14,3.399
2020-05-15,3.485
2020-05-16,3.485
2020-05-17,3.485
2020-05-18,3.29
2020-05-19,3.295
2020-05-20,3.184
2020-05-21,3.26
2020-05-22,3.233
2020-05-23,3.233
2020-05-24,3.233
2020-05-25,3.233
2020-05-26,3.117
2020-05-27,3.125
2020-05-28,3.183
2020-05-29,3.119
2020-05-30,3.119
2020-05-31,3.119
2020-06-01,3.11
2020-06-02,3.065
2020-06-03,2.971
2020-06-04,2.97
2020-06-05,2.936
2020-06-06,2.936
2020-06-07,2.936
2020-06-08,2.94
2020-06-09,2.966
2020-06-10,3.001
2020-06-11,3.153
2020-06-12,3.148
2020-06-13,3.148
2020-06-14,3.148
2020-06-15,3.087
2020-06-16,3.005
2020-06-17,2.982
2020-06-18,2.971
2020-06-19,2.976
2020-06-20,2.976
2020-06-21,2.976
2020-06-22,2.97
2020-06-23,2.925
2020-06-24,3.003
2020-06-25,2.989
2020-06-26,3.039
2020-06-27,3.039
2020-06-28,3.039
2020-06-29,3.019
2020-06-30,2.968
2020-07-01,3.014
2020-07-02,2.979
2020-07-03,2.979
2020-07-04,2.979
2020-07-05,2.979
2020-07-06,2.903
2020-07-07,2.925
2020-07-08,2.898
2020-07-09,2.791
2020-07-10,2.807
2020-07-11,2.807
2020-07-12,2.807
2020-07-13,2.597
2020-07-14,2.534
2020-07-15,2.972
2020-07-16,3.011
2020-07-17,2.914
2020-07-18,2.914
2020-07-19,2.914
2020-07-20,2.86
2020-07-21,2.958
2020-07-22,2.961
2020-07-23,3.026
2020-07-24,3.04
2020-07-25,3.04
2020-07-26,3.04
2020-07-27,2.962
2020-07-28,2.96
2020-07-29,2.881
2020-07-30,2.918
2020-07-31,2.957
2020-08-01,2.957
2020-08-02,2.957
2020-08-03,2.923
2020-08-04,2.911
2020-08-05,2.923
2020-08-06,2.915
2020-08-07,2.932
2020-08-08,2.932
2020-08-09,2.932
2020-08-10,2.922
2020-08-11,2.928
2020-08-12,2.873
2020-08-13,2.902
2020-08-14,2.935
2020-08-15,2.935
2020-08-16,2.935
