,WTS US Equity
,BEST_DIV_YLD
2020-01-01,1.244
2020-01-02,1.24
2020-01-03,1.237
2020-01-04,1.237
2020-01-05,1.237
2020-01-06,1.25
2020-01-07,1.26
2020-01-08,1.255
2020-01-09,1.253
2020-01-10,1.261
2020-01-11,1.261
2020-01-12,1.261
2020-01-13,1.241
2020-01-14,1.242
2020-01-15,1.244
2020-01-16,1.23
2020-01-17,1.223
2020-01-18,1.223
2020-01-19,1.223
2020-01-20,1.223
2020-01-21,1.227
2020-01-22,1.213
2020-01-23,1.219
2020-01-24,1.223
2020-01-25,1.223
2020-01-26,1.223
2020-01-27,1.231
2020-01-28,1.229
2020-01-29,1.248
2020-01-30,1.225
2020-01-31,1.245
2020-02-01,1.245
2020-02-02,1.245
2020-02-03,1.235
2020-02-04,1.218
2020-02-05,1.197
2020-02-06,1.204
2020-02-07,1.238
2020-02-08,1.238
2020-02-09,1.238
2020-02-10,1.223
2020-02-11,1.155
2020-02-12,1.147
2020-02-13,1.158
2020-02-14,1.16
2020-02-15,1.16
2020-02-16,1.16
2020-02-17,1.16
2020-02-18,1.162
2020-02-19,1.173
2020-02-20,1.163
2020-02-21,1.17
2020-02-22,1.17
2020-02-23,1.17
2020-02-24,1.211
2020-02-25,1.255
2020-02-26,1.267
2020-02-27,1.292
2020-02-28,1.319
2020-02-29,1.319
2020-03-01,1.319
2020-03-02,1.295
2020-03-03,1.285
2020-03-04,1.243
2020-03-05,1.284
2020-03-06,1.305
2020-03-07,1.305
2020-03-08,1.305
2020-03-09,1.334
2020-03-10,1.294
2020-03-11,1.358
2020-03-12,1.545
2020-03-13,1.42
2020-03-14,1.42
2020-03-15,1.42
2020-03-16,1.682
2020-03-17,1.484
2020-03-18,1.629
2020-03-19,1.638
2020-03-20,1.643
2020-03-21,1.643
2020-03-22,1.643
2020-03-23,1.71
2020-03-24,1.572
2020-03-25,1.586
2020-03-26,1.469
2020-03-27,1.534
2020-03-28,1.534
2020-03-29,1.534
2020-03-30,1.514
2020-03-31,1.463
2020-04-01,1.655
2020-04-02,1.593
2020-04-03,1.633
2020-04-04,1.633
2020-04-05,1.633
2020-04-06,1.536
2020-04-07,1.577
2020-04-08,1.531
2020-04-09,1.474
2020-04-10,1.474
2020-04-11,1.474
2020-04-12,1.474
2020-04-13,1.523
2020-04-14,1.52
2020-04-15,1.591
2020-04-16,1.615
2020-04-17,1.529
2020-04-18,1.529
2020-04-19,1.529
2020-04-20,1.576
2020-04-21,1.629
2020-04-22,1.596
2020-04-23,1.622
2020-04-24,1.592
2020-04-25,1.592
2020-04-26,1.592
2020-04-27,1.564
2020-04-28,1.503
2020-04-29,1.419
2020-04-30,1.503
2020-05-01,1.51
2020-05-02,1.51
2020-05-03,1.51
2020-05-04,1.515
2020-05-05,1.518
2020-05-06,1.528
2020-05-07,1.584
2020-05-08,1.532
2020-05-09,1.532
2020-05-10,1.532
2020-05-11,1.593
2020-05-12,1.647
2020-05-13,1.685
2020-05-14,1.687
2020-05-15,1.676
2020-05-16,1.676
2020-05-17,1.676
2020-05-18,1.572
2020-05-19,1.599
2020-05-20,1.568
2020-05-21,1.567
2020-05-22,1.557
2020-05-23,1.557
2020-05-24,1.557
2020-05-25,1.557
2020-05-26,1.494
2020-05-27,1.439
2020-05-28,1.463
2020-05-29,1.485
2020-05-30,1.485
2020-05-31,1.485
2020-06-01,1.501
2020-06-02,1.474
2020-06-03,1.43
2020-06-04,1.43
2020-06-05,1.355
2020-06-06,1.355
2020-06-07,1.355
2020-06-08,1.357
2020-06-09,1.403
2020-06-10,1.448
2020-06-11,1.549
2020-06-12,1.54
2020-06-13,1.54
2020-06-14,1.54
2020-06-15,1.529
2020-06-16,1.509
2020-06-17,1.523
2020-06-18,1.534
2020-06-19,1.526
2020-06-20,1.526
2020-06-21,1.526
2020-06-22,1.521
2020-06-23,1.505
2020-06-24,1.581
2020-06-25,1.556
2020-06-26,1.578
2020-06-27,1.578
2020-06-28,1.578
2020-06-29,1.53
2020-06-30,1.525
2020-07-01,1.553
2020-07-02,1.533
2020-07-03,1.533
2020-07-04,1.533
2020-07-05,1.533
2020-07-06,1.528
2020-07-07,1.564
2020-07-08,1.566
2020-07-09,1.566
2020-07-10,1.547
2020-07-11,1.547
2020-07-12,1.547
2020-07-13,1.547
2020-07-14,1.517
2020-07-15,1.118
2020-07-16,1.12
2020-07-17,1.123
2020-07-18,1.123
2020-07-19,1.123
2020-07-20,1.13
2020-07-21,1.114
2020-07-22,1.118
2020-07-23,1.106
2020-07-24,1.122
2020-07-25,1.122
2020-07-26,1.122
2020-07-27,1.11
2020-07-28,1.124
2020-07-29,1.101
2020-07-30,1.131
2020-07-31,1.129
2020-08-01,1.129
2020-08-02,1.129
2020-08-03,1.101
2020-08-04,1.091
2020-08-05,1.056
2020-08-06,1.064
2020-08-07,1.037
2020-08-08,1.037
2020-08-09,1.037
2020-08-10,1.022
2020-08-11,1.002
2020-08-12,1.002
2020-08-13,1.005
2020-08-14,1.003
2020-08-15,1.003
2020-08-16,1.003
2020-08-17,0.995
2020-08-18,0.996
2020-08-19,1.002
2020-08-20,1.007
2020-08-21,1.006
2020-08-22,1.006
2020-08-23,1.006
2020-08-24,0.993
2020-08-25,0.992
2020-08-26,0.99
2020-08-27,0.986
2020-08-28,0.967
2020-08-29,0.967
2020-08-30,0.967
2020-08-31,0.986
2020-09-01,0.979
2020-09-02,0.967
2020-09-03,0.978
2020-09-04,0.978
2020-09-05,0.978
2020-09-06,0.978
2020-09-07,0.978
2020-09-08,0.977
2020-09-09,0.958
2020-09-10,0.964
2020-09-11,0.963
2020-09-12,0.963
2020-09-13,0.963
2020-09-14,0.955
2020-09-15,0.943
2020-09-16,0.926
2020-09-17,0.917
2020-09-18,0.922
2020-09-19,0.922
2020-09-20,0.922
2020-09-21,0.972
2020-09-22,0.959
2020-09-23,0.984
2020-09-24,0.975
2020-09-25,0.973
2020-09-26,0.973
2020-09-27,0.973
2020-09-28,0.962
2020-09-29,0.956
2020-09-30,0.943
2020-10-01,0.935
2020-10-02,0.928
2020-10-03,0.928
2020-10-04,0.928
2020-10-05,0.909
2020-10-06,0.911
2020-10-07,0.892
2020-10-08,0.889
2020-10-09,0.879
2020-10-10,0.879
2020-10-11,0.879
2020-10-12,0.858
2020-10-13,0.864
2020-10-14,0.858
2020-10-15,0.849
2020-10-16,0.843
2020-10-17,0.843
2020-10-18,0.843
2020-10-19,0.845
2020-10-20,0.841
2020-10-21,0.847
2020-10-22,0.838
2020-10-23,0.84
2020-10-24,0.84
2020-10-25,0.84
2020-10-26,0.842
2020-10-27,0.844
2020-10-28,0.855
2020-10-29,0.856
2020-10-30,0.853
2020-10-31,0.853
2020-11-01,0.853
2020-11-02,0.831
2020-11-03,0.815
2020-11-04,0.816
2020-11-05,0.825
2020-11-06,0.852
2020-11-07,0.852
2020-11-08,0.852
2020-11-09,0.839
2020-11-10,0.806
2020-11-11,0.808
2020-11-12,0.819
2020-11-13,0.801
2020-11-14,0.801
2020-11-15,0.801
2020-11-16,0.8
2020-11-17,0.801
2020-11-18,0.817
2020-11-19,0.812
2020-11-20,0.812
2020-11-21,0.812
2020-11-22,0.812
2020-11-23,0.815
2020-11-24,0.79
2020-11-25,0.796
2020-11-26,0.796
2020-11-27,0.796
2020-11-28,0.796
2020-11-29,0.796
2020-11-30,0.805
2020-12-01,0.802
2020-12-02,0.812
2020-12-03,0.806
2020-12-04,0.801
2020-12-05,0.801
2020-12-06,0.801
2020-12-07,0.809
2020-12-08,0.797
2020-12-09,0.798
2020-12-10,0.804
2020-12-11,0.8
