,CVX US Equity
,BEST_DIV_YLD
2020-01-01,6.177
2020-01-02,6.13
2020-01-03,6.152
2020-01-04,6.152
2020-01-05,6.152
2020-01-06,6.173
2020-01-07,6.252
2020-01-08,6.325
2020-01-09,6.335
2020-01-10,6.393
2020-01-11,6.393
2020-01-12,6.393
2020-01-13,6.381
2020-01-14,6.401
2020-01-15,6.41
2020-01-16,6.369
2020-01-17,6.441
2020-01-18,6.441
2020-01-19,6.441
2020-01-20,6.441
2020-01-21,6.57
2020-01-22,6.594
2020-01-23,6.582
2020-01-24,6.656
2020-01-25,6.656
2020-01-26,6.656
2020-01-27,6.744
2020-01-28,6.699
2020-01-29,6.745
2020-01-30,6.682
2020-01-31,6.682
2020-02-01,6.682
2020-02-02,6.682
2020-02-03,6.682
2020-02-04,6.682
2020-02-05,6.682
2020-02-06,6.682
2020-02-07,6.682
2020-02-08,6.682
2020-02-09,6.682
2020-02-10,6.682
2020-02-11,6.682
2020-02-12,6.682
2020-02-13,6.682
2020-02-14,6.682
2020-02-15,6.682
2020-02-16,6.682
2020-02-17,6.682
2020-02-18,6.682
2020-02-19,6.682
2020-02-20,6.682
2020-02-21,6.682
2020-02-22,6.682
2020-02-23,6.682
2020-02-24,6.682
2020-02-25,6.682
2020-02-26,6.682
2020-02-27,6.682
2020-02-28,6.682
2020-02-29,6.682
2020-03-01,6.682
2020-03-02,6.682
2020-03-03,6.682
2020-03-04,6.682
2020-03-05,6.682
2020-03-06,6.682
2020-03-07,6.682
2020-03-08,6.682
2020-03-09,6.682
2020-03-10,6.682
2020-03-11,6.682
2020-03-12,6.682
2020-03-13,6.682
2020-03-14,6.682
2020-03-15,6.682
2020-03-16,6.682
2020-03-17,6.682
2020-03-18,6.682
2020-03-19,6.682
2020-03-20,6.682
2020-03-21,6.682
2020-03-22,6.682
2020-03-23,6.682
2020-03-24,6.682
2020-03-25,6.682
2020-03-26,6.682
2020-03-27,6.682
2020-03-28,6.682
2020-03-29,6.682
2020-03-30,6.682
2020-03-31,6.682
2020-04-01,6.682
2020-04-02,6.682
2020-04-03,6.682
2020-04-04,6.682
2020-04-05,6.682
2020-04-06,6.682
2020-04-07,6.682
2020-04-08,6.682
2020-04-09,6.682
2020-04-10,6.682
2020-04-11,6.682
2020-04-12,6.682
2020-04-13,6.682
2020-04-14,6.682
2020-04-15,6.682
2020-04-16,6.682
2020-04-17,6.682
2020-04-18,6.682
2020-04-19,6.682
2020-04-20,6.682
2020-04-21,6.682
2020-04-22,6.682
2020-04-23,6.682
2020-04-24,6.682
2020-04-25,6.682
2020-04-26,6.682
2020-04-27,6.682
2020-04-28,6.682
2020-04-29,6.682
2020-04-30,6.682
2020-05-01,6.682
2020-05-02,6.682
2020-05-03,6.682
2020-05-04,7.327
2020-05-05,7.213
2020-05-06,7.44
2020-05-07,7.232
2020-05-08,7.018
2020-05-09,7.018
2020-05-10,7.018
2020-05-11,7.176
2020-05-12,7.355
2020-05-13,8.006
2020-05-14,7.886
2020-05-15,7.964
2020-05-16,7.964
2020-05-17,7.964
2020-05-18,7.562
2020-05-19,7.809
2020-05-20,7.198
2020-05-21,7.273
2020-05-22,7.415
2020-05-23,7.415
2020-05-24,7.415
2020-05-25,7.415
2020-05-26,7.175
2020-05-27,7.129
2020-05-28,7.367
2020-05-29,7.3
2020-05-30,7.3
2020-05-31,7.3
2020-06-01,7.214
2020-06-02,7.069
2020-06-03,6.738
2020-06-04,6.801
2020-06-05,6.69
2020-06-06,6.69
2020-06-07,6.69
2020-06-08,6.533
2020-06-09,6.62
2020-06-10,6.888
2020-06-11,7.521
2020-06-12,7.275
2020-06-13,7.275
2020-06-14,7.275
2020-06-15,7.367
2020-06-16,7.148
2020-06-17,7.342
2020-06-18,7.31
2020-06-19,7.416
2020-06-20,7.416
2020-06-21,7.416
2020-06-22,7.338
2020-06-23,7.35
2020-06-24,7.669
2020-06-25,7.534
2020-06-26,7.774
2020-06-27,7.774
2020-06-28,7.774
