,ZTS US Equity
,BEST_DIV_YLD
2020-01-01,1.168
2020-01-02,1.152
2020-01-03,1.152
2020-01-04,1.152
2020-01-05,1.152
2020-01-06,1.161
2020-01-07,1.157
2020-01-08,1.159
2020-01-09,0.969
2020-01-10,0.965
2020-01-11,0.965
2020-01-12,0.965
2020-01-13,0.959
2020-01-14,0.953
2020-01-15,0.944
2020-01-16,0.938
2020-01-17,0.932
2020-01-18,0.932
2020-01-19,0.932
2020-01-20,0.932
2020-01-21,0.921
2020-01-22,0.923
2020-01-23,0.944
2020-01-24,0.959
2020-01-25,0.959
2020-01-26,0.959
2020-01-27,0.961
2020-01-28,0.945
2020-01-29,0.943
2020-01-30,0.947
2020-01-31,0.974
2020-02-01,0.974
2020-02-02,0.974
2020-02-03,0.964
2020-02-04,0.94
2020-02-05,0.948
2020-02-06,0.94
2020-02-07,0.941
2020-02-08,0.941
2020-02-09,0.941
2020-02-10,0.917
2020-02-11,0.907
2020-02-12,0.914
2020-02-13,0.901
2020-02-14,1.199
2020-02-15,1.199
2020-02-16,1.199
2020-02-17,1.199
2020-02-18,1.203
2020-02-19,1.2
2020-02-20,1.204
2020-02-21,1.215
2020-02-22,1.215
2020-02-23,1.215
2020-02-24,1.249
2020-02-25,1.282
2020-02-26,1.27
2020-02-27,1.29
2020-02-28,1.297
2020-02-29,1.297
2020-03-01,1.297
2020-03-02,1.244
2020-03-03,1.259
2020-03-04,1.203
2020-03-05,1.238
2020-03-06,1.261
2020-03-07,1.261
2020-03-08,1.261
2020-03-09,1.332
2020-03-10,1.302
2020-03-11,1.327
2020-03-12,1.437
2020-03-13,1.377
2020-03-14,1.377
2020-03-15,1.377
2020-03-16,1.615
2020-03-17,1.556
2020-03-18,1.633
2020-03-19,1.689
2020-03-20,1.712
2020-03-21,1.712
2020-03-22,1.712
2020-03-23,1.865
2020-03-24,1.666
2020-03-25,1.597
2020-03-26,1.466
2020-03-27,1.546
2020-03-28,1.546
2020-03-29,1.546
2020-03-30,1.481
2020-03-31,1.469
2020-04-01,1.544
2020-04-02,1.49
2020-04-03,1.508
2020-04-04,1.508
2020-04-05,1.508
2020-04-06,1.363
2020-04-07,1.371
2020-04-08,1.358
2020-04-09,1.342
2020-04-10,1.342
2020-04-11,1.342
2020-04-12,1.342
2020-04-13,1.406
2020-04-14,1.352
2020-04-15,1.396
2020-04-16,1.354
2020-04-17,1.32
2020-04-18,1.32
2020-04-19,1.32
2020-04-20,1.355
2020-04-21,1.384
2020-04-22,1.372
2020-04-23,1.396
2020-04-24,1.371
2020-04-25,1.371
2020-04-26,1.371
2020-04-27,1.354
2020-04-28,1.403
2020-04-29,1.374
2020-04-30,1.334
2020-05-01,1.353
2020-05-02,1.353
2020-05-03,1.353
2020-05-04,1.354
2020-05-05,1.314
2020-05-06,1.13
2020-05-07,1.046
2020-05-08,1.036
2020-05-09,1.036
2020-05-10,1.036
2020-05-11,1.028
2020-05-12,1.048
2020-05-13,1.01
2020-05-14,0.986
2020-05-15,0.975
2020-05-16,0.975
2020-05-17,0.975
2020-05-18,0.946
2020-05-19,0.925
2020-05-20,0.932
2020-05-21,0.954
2020-05-22,0.955
2020-05-23,0.955
2020-05-24,0.955
2020-05-25,0.955
2020-05-26,0.953
2020-05-27,0.916
2020-05-28,0.9
2020-05-29,0.892
2020-05-30,0.892
2020-05-31,0.892
2020-06-01,0.898
2020-06-02,0.878
2020-06-03,0.872
2020-06-04,0.884
2020-06-05,0.881
2020-06-06,0.881
2020-06-07,0.881
2020-06-08,0.88
2020-06-09,0.895
2020-06-10,0.888
2020-06-11,0.948
2020-06-12,0.927
2020-06-13,0.927
2020-06-14,0.927
2020-06-15,0.932
2020-06-16,0.912
2020-06-17,0.909
2020-06-18,0.905
2020-06-19,0.905
2020-06-20,0.905
2020-06-21,0.905
2020-06-22,0.908
2020-06-23,0.9
2020-06-24,0.925
2020-06-25,0.919
2020-06-26,0.937
2020-06-27,0.937
2020-06-28,0.937
2020-06-29,0.942
2020-06-30,0.907
2020-07-01,0.906
2020-07-02,0.903
2020-07-03,0.903
2020-07-04,0.903
2020-07-05,0.903
2020-07-06,0.897
2020-07-07,0.898
2020-07-08,0.895
2020-07-09,0.903
2020-07-10,0.907
2020-07-11,0.907
2020-07-12,0.907
2020-07-13,0.899
2020-07-14,0.885
2020-07-15,0.87
2020-07-16,0.868
2020-07-17,0.858
2020-07-18,0.858
2020-07-19,0.858
2020-07-20,0.85
2020-07-21,0.856
2020-07-22,0.855
2020-07-23,0.861
2020-07-24,0.861
2020-07-25,0.861
2020-07-26,0.861
2020-07-27,0.845
2020-07-28,0.85
2020-07-29,0.841
2020-07-30,0.831
2020-07-31,0.817
2020-08-01,0.817
2020-08-02,0.817
2020-08-03,0.802
2020-08-04,0.796
2020-08-05,0.786
2020-08-06,0.768
2020-08-07,0.782
2020-08-08,0.782
2020-08-09,0.782
2020-08-10,0.786
2020-08-11,0.792
2020-08-12,0.78
2020-08-13,0.783
2020-08-14,0.792
2020-08-15,0.792
2020-08-16,0.792
2020-08-17,0.799
2020-08-18,0.785
2020-08-19,0.793
2020-08-20,0.793
2020-08-21,0.794
2020-08-22,0.794
2020-08-23,0.794
2020-08-24,0.802
2020-08-25,0.793
2020-08-26,0.787
2020-08-27,0.788
2020-08-28,0.786
2020-08-29,0.786
2020-08-30,0.786
2020-08-31,0.785
2020-09-01,0.776
2020-09-02,0.761
2020-09-03,0.792
2020-09-04,0.8
2020-09-05,0.8
2020-09-06,0.8
2020-09-07,0.8
2020-09-08,0.819
2020-09-09,0.791
2020-09-10,0.795
2020-09-11,0.793
2020-09-12,0.793
2020-09-13,0.793
2020-09-14,0.782
2020-09-15,0.775
2020-09-16,0.78
2020-09-17,0.784
2020-09-18,0.782
2020-09-19,0.782
2020-09-20,0.782
2020-09-21,0.8
2020-09-22,0.797
2020-09-23,0.808
2020-09-24,0.815
2020-09-25,0.8
2020-09-26,0.8
2020-09-27,0.8
2020-09-28,0.798
2020-09-29,0.792
2020-09-30,0.778
2020-10-01,0.785
2020-10-02,0.787
2020-10-03,0.787
2020-10-04,0.787
2020-10-05,0.788
2020-10-06,0.797
2020-10-07,0.805
2020-10-08,0.789
2020-10-09,0.778
2020-10-10,0.778
2020-10-11,0.778
2020-10-12,0.764
2020-10-13,0.779
2020-10-14,0.787
2020-10-15,0.79
2020-10-16,0.787
2020-10-17,0.787
