,RRX US Equity
,BEST_DIV_YLD
2020-01-01,0.987
2020-01-02,0.975
2020-01-03,0.985
2020-01-04,0.985
2020-01-05,0.985
2020-01-06,0.99
2020-01-07,0.995
2020-01-08,0.985
2020-01-09,0.979
2020-01-10,0.986
2020-01-11,0.986
2020-01-12,0.986
2020-01-13,0.971
2020-01-14,0.974
2020-01-15,0.98
2020-01-16,0.972
2020-01-17,0.976
2020-01-18,0.976
2020-01-19,0.976
2020-01-20,0.976
2020-01-21,0.989
2020-01-22,0.998
2020-01-23,1.003
2020-01-24,1.015
2020-01-25,1.015
2020-01-26,1.015
2020-01-27,1.043
2020-01-28,1.034
2020-01-29,1.042
2020-01-30,1.034
2020-01-31,1.076
2020-02-01,1.076
2020-02-02,1.076
2020-02-03,1.077
2020-02-04,0.996
2020-02-05,0.981
2020-02-06,0.984
2020-02-07,0.985
2020-02-08,0.985
2020-02-09,0.985
2020-02-10,0.986
2020-02-11,0.966
2020-02-12,0.941
2020-02-13,0.944
2020-02-14,0.949
2020-02-15,0.949
2020-02-16,0.949
2020-02-17,0.949
2020-02-18,0.955
2020-02-19,0.958
2020-02-20,0.943
2020-02-21,0.942
2020-02-22,0.942
2020-02-23,0.942
2020-02-24,0.972
2020-02-25,1.016
2020-02-26,1.025
2020-02-27,1.058
2020-02-28,1.088
2020-02-29,1.088
2020-03-01,1.088
2020-03-02,1.044
2020-03-03,1.06
2020-03-04,1.041
2020-03-05,1.08
2020-03-06,1.11
2020-03-07,1.11
2020-03-08,1.11
2020-03-09,1.245
2020-03-10,1.146
2020-03-11,1.165
2020-03-12,1.333
2020-03-13,1.25
2020-03-14,1.25
2020-03-15,1.25
2020-03-16,1.382
2020-03-17,1.229
2020-03-18,1.471
2020-03-19,1.428
2020-03-20,1.465
2020-03-21,1.465
2020-03-22,1.465
2020-03-23,1.59
2020-03-24,1.478
2020-03-25,1.396
2020-03-26,1.336
2020-03-27,1.419
2020-03-28,1.419
2020-03-29,1.419
2020-03-30,1.373
2020-03-31,1.335
2020-04-01,1.396
2020-04-02,1.359
2020-04-03,1.453
2020-04-04,1.453
2020-04-05,1.453
2020-04-06,1.284
2020-04-07,1.265
2020-04-08,1.191
2020-04-09,1.182
2020-04-10,1.182
2020-04-11,1.182
2020-04-12,1.182
2020-04-13,1.217
2020-04-14,1.21
2020-04-15,1.303
2020-04-16,1.333
2020-04-17,1.279
2020-04-18,1.279
2020-04-19,1.279
2020-04-20,1.317
2020-04-21,1.329
2020-04-22,1.31
2020-04-23,1.285
2020-04-24,1.273
2020-04-25,1.273
2020-04-26,1.273
2020-04-27,1.224
2020-04-28,1.192
2020-04-29,1.151
2020-04-30,1.184
2020-05-01,1.213
2020-05-02,1.213
2020-05-03,1.213
2020-05-04,1.245
2020-05-05,1.16
2020-05-06,1.18
2020-05-07,1.155
2020-05-08,1.11
2020-05-09,1.11
2020-05-10,1.11
2020-05-11,1.138
2020-05-12,1.209
2020-05-13,1.287
2020-05-14,1.226
2020-05-15,1.207
2020-05-16,1.207
2020-05-17,1.207
2020-05-18,1.107
2020-05-19,1.114
2020-05-20,1.082
2020-05-21,1.089
2020-05-22,1.097
2020-05-23,1.097
2020-05-24,1.097
2020-05-25,1.097
2020-05-26,1.053
2020-05-27,1.024
2020-05-28,1.04
2020-05-29,1.057
2020-05-30,1.057
2020-05-31,1.057
2020-06-01,1.034
2020-06-02,1.029
2020-06-03,1.0
2020-06-04,0.98
2020-06-05,0.94
2020-06-06,0.94
2020-06-07,0.94
2020-06-08,0.94
2020-06-09,0.945
2020-06-10,0.986
2020-06-11,1.066
2020-06-12,1.033
2020-06-13,1.033
2020-06-14,1.033
2020-06-15,1.031
2020-06-16,0.995
2020-06-17,0.998
2020-06-18,1.012
2020-06-19,1.014
2020-06-20,1.014
2020-06-21,1.014
2020-06-22,1.017
2020-06-23,1.014
2020-06-24,1.042
2020-06-25,1.007
2020-06-26,0.994
2020-06-27,0.994
2020-06-28,0.994
2020-06-29,0.976
2020-06-30,0.959
2020-07-01,0.988
2020-07-02,0.972
2020-07-03,0.972
2020-07-04,0.972
2020-07-05,0.972
2020-07-06,0.954
2020-07-07,0.978
2020-07-08,0.96
2020-07-09,0.972
2020-07-10,0.968
2020-07-11,0.968
2020-07-12,0.968
2020-07-13,0.956
2020-07-14,0.929
2020-07-15,0.91
2020-07-16,0.911
2020-07-17,0.911
2020-07-18,0.911
2020-07-19,0.911
2020-07-20,0.92
2020-07-21,0.915
2020-07-22,0.912
2020-07-23,0.903
2020-07-24,0.912
2020-07-25,0.912
2020-07-26,0.912
2020-07-27,0.895
2020-07-28,0.914
2020-07-29,0.886
2020-07-30,0.9
2020-07-31,0.91
2020-08-01,0.91
2020-08-02,0.91
2020-08-03,0.882
2020-08-04,0.904
2020-08-05,0.866
2020-08-06,0.877
2020-08-07,0.865
2020-08-08,0.865
2020-08-09,0.865
2020-08-10,0.858
2020-08-11,0.849
2020-08-12,0.835
2020-08-13,0.852
2020-08-14,0.859
2020-08-15,0.859
2020-08-16,0.859
2020-08-17,0.87
2020-08-18,0.877
2020-08-19,0.881
2020-08-20,0.872
2020-08-21,0.866
2020-08-22,0.866
2020-08-23,0.866
2020-08-24,0.853
2020-08-25,0.841
2020-08-26,0.841
2020-08-27,0.839
2020-08-28,0.84
2020-08-29,0.84
2020-08-30,0.84
2020-08-31,0.847
2020-09-01,0.828
2020-09-02,0.813
2020-09-03,0.844
2020-09-04,0.844
2020-09-05,0.844
2020-09-06,0.844
2020-09-07,0.844
2020-09-08,0.859
