,DAL US Equity
,BEST_DIV_YLD
2020-01-01,2.775
2020-01-02,2.749
2020-01-03,2.795
2020-01-04,2.795
2020-01-05,2.795
2020-01-06,2.814
2020-01-07,2.817
2020-01-08,2.758
2020-01-09,2.752
2020-01-10,2.739
2020-01-11,2.739
2020-01-12,2.739
2020-01-13,2.728
2020-01-14,2.641
2020-01-15,2.634
2020-01-16,2.622
2020-01-17,2.616
2020-01-18,2.616
2020-01-19,2.616
2020-01-20,2.616
2020-01-21,2.689
2020-01-22,2.721
2020-01-23,2.693
2020-01-24,2.759
2020-01-25,2.759
2020-01-26,2.759
2020-01-27,2.856
2020-01-28,2.823
2020-01-29,2.865
2020-01-30,2.842
2020-01-31,2.911
2020-02-01,2.911
2020-02-02,2.911
2020-02-03,2.896
2020-02-04,2.801
2020-02-05,2.756
2020-02-06,2.789
2020-02-07,2.802
2020-02-08,2.802
2020-02-09,2.802
2020-02-10,2.812
2020-02-11,2.766
2020-02-12,2.729
2020-02-13,2.744
2020-02-14,2.755
2020-02-15,2.755
2020-02-16,2.755
2020-02-17,2.755
2020-02-18,2.764
2020-02-19,2.755
2020-02-20,2.761
2020-02-21,2.785
2020-02-22,2.785
2020-02-23,2.785
2020-02-24,2.972
2020-02-25,3.167
2020-02-26,3.25
2020-02-27,3.344
2020-02-28,3.494
2020-02-29,3.494
2020-03-01,3.494
2020-03-02,3.417
2020-03-03,3.49
2020-03-04,3.323
2020-03-05,3.581
2020-03-06,3.512
2020-03-07,3.512
2020-03-08,3.512
2020-03-09,3.703
2020-03-10,3.544
2020-03-11,3.777
2020-03-12,4.781
2020-03-13,4.201
2020-03-14,4.201
2020-03-15,4.201
2020-03-16,4.501
2020-03-17,5.078
2020-03-18,6.861
2020-03-19,7.493
2020-03-20,7.549
2020-03-21,7.549
2020-03-22,7.549
2020-03-23,7.253
2020-03-24,5.994
2020-03-25,5.182
2020-03-26,5.084
2020-03-27,5.454
2020-03-28,5.454
2020-03-29,5.454
2020-03-30,5.621
2020-03-31,5.649
2020-04-01,6.752
2020-04-02,7.106
2020-04-03,7.169
2020-04-04,7.169
2020-04-05,7.169
2020-04-06,7.221
2020-04-07,7.243
2020-04-08,6.938
2020-04-09,6.608
2020-04-10,6.608
2020-04-11,6.608
2020-04-12,6.608
2020-04-13,6.932
2020-04-14,6.568
2020-04-15,6.619
2020-04-16,7.075
2020-04-17,6.641
2020-04-18,6.641
2020-04-19,6.641
2020-04-20,6.818
2020-04-21,6.977
2020-04-22,7.173
2020-04-23,7.169
2020-04-24,7.192
2020-04-25,7.192
2020-04-26,7.192
2020-04-27,7.273
2020-04-28,6.622
2020-04-29,5.899
2020-04-30,6.22
2020-05-01,6.682
2020-05-02,6.682
2020-05-03,6.682
2020-05-04,7.141
2020-05-05,7.424
2020-05-06,7.675
2020-05-07,7.434
2020-05-08,7.094
2020-05-09,7.094
2020-05-10,7.094
2020-05-11,7.322
2020-05-12,7.664
2020-05-13,8.303
2020-05-14,8.316
2020-05-15,8.399
2020-05-16,8.399
2020-05-17,8.399
2020-05-18,7.373
2020-05-19,7.407
2020-05-20,7.094
2020-05-21,6.959
2020-05-22,7.103
2020-05-23,7.103
2020-05-24,7.103
2020-05-25,7.103
2020-05-26,6.283
2020-05-27,6.123
2020-05-28,6.281
2020-05-29,6.393
2020-05-30,6.393
2020-05-31,6.393
2020-06-01,6.158
2020-06-02,6.103
2020-06-03,5.661
2020-06-04,4.977
2020-06-05,4.718
2020-06-06,4.718
2020-06-07,4.718
2020-06-08,4.359
2020-06-09,4.717
2020-06-10,5.094
2020-06-11,5.925
2020-06-12,5.296
2020-06-13,5.296
2020-06-14,5.296
2020-06-15,5.291
2020-06-16,5.149
2020-06-17,5.246
2020-06-18,5.234
2020-06-19,5.461
2020-06-20,5.461
2020-06-21,5.461
2020-06-22,5.499
2020-06-23,5.437
2020-06-24,5.895
