,ETN US Equity
,BEST_DIV_YLD
2020-01-01,3.993
2020-01-02,3.945
2020-01-03,3.974
2020-01-04,3.974
2020-01-05,3.974
2020-01-06,3.967
2020-01-07,3.988
2020-01-08,3.976
2020-01-09,3.973
2020-01-10,3.982
2020-01-11,3.982
2020-01-12,3.982
2020-01-13,3.987
2020-01-14,4.019
2020-01-15,4.028
2020-01-16,3.989
2020-01-17,3.953
2020-01-18,3.953
2020-01-19,3.953
2020-01-20,3.953
2020-01-21,4.001
2020-01-22,3.893
2020-01-23,3.863
2020-01-24,3.905
2020-01-25,3.905
2020-01-26,3.905
2020-01-27,3.996
2020-01-28,3.928
2020-01-29,3.904
2020-01-30,3.89
2020-01-31,4.003
2020-02-01,4.003
2020-02-02,4.003
2020-02-03,3.961
2020-02-04,3.748
2020-02-05,3.695
2020-02-06,3.69
2020-02-07,3.709
2020-02-08,3.709
2020-02-09,3.709
2020-02-10,3.675
2020-02-11,3.653
2020-02-12,3.635
2020-02-13,3.676
2020-02-14,3.652
2020-02-15,3.652
2020-02-16,3.652
2020-02-17,3.652
2020-02-18,3.62
2020-02-19,3.626
2020-02-20,3.598
2020-02-21,3.604
2020-02-22,3.604
2020-02-23,3.604
2020-02-24,3.721
2020-02-25,3.851
2020-02-26,3.916
2020-02-27,4.056
2020-02-28,4.169
2020-02-29,4.169
2020-03-01,4.169
2020-03-02,3.953
2020-03-03,4.073
2020-03-04,3.854
2020-03-05,4.038
2020-03-06,4.077
2020-03-07,4.077
2020-03-08,4.077
2020-03-09,4.549
2020-03-10,4.247
2020-03-11,4.483
2020-03-12,4.938
2020-03-13,4.382
2020-03-14,4.382
2020-03-15,4.382
2020-03-16,4.978
2020-03-17,5.084
2020-03-18,5.448
2020-03-19,5.175
2020-03-20,5.774
2020-03-21,5.774
2020-03-22,5.774
2020-03-23,6.49
2020-03-24,5.265
2020-03-25,5.026
2020-03-26,4.791
2020-03-27,5.03
2020-03-28,5.03
2020-03-29,5.03
2020-03-30,4.787
2020-03-31,4.826
2020-04-01,5.126
2020-04-02,5.095
2020-04-03,5.262
2020-04-04,5.262
2020-04-05,5.262
2020-04-06,4.844
2020-04-07,4.923
2020-04-08,4.678
2020-04-09,4.604
2020-04-10,4.604
2020-04-11,4.604
2020-04-12,4.604
2020-04-13,4.783
2020-04-14,4.696
2020-04-15,4.95
2020-04-16,4.945
2020-04-17,4.73
2020-04-18,4.73
2020-04-19,4.73
2020-04-20,4.814
2020-04-21,4.875
2020-04-22,4.828
2020-04-23,4.797
2020-04-24,4.754
2020-04-25,4.754
2020-04-26,4.754
2020-04-27,4.542
2020-04-28,4.512
2020-04-29,4.371
2020-04-30,4.49
2020-05-01,5.266
2020-05-02,5.266
2020-05-03,5.266
2020-05-04,5.448
2020-05-05,5.348
2020-05-06,5.407
2020-05-07,5.384
2020-05-08,5.254
2020-05-09,5.254
2020-05-10,5.254
2020-05-11,5.33
2020-05-12,5.579
2020-05-13,5.795
2020-05-14,5.714
2020-05-15,5.807
2020-05-16,5.807
2020-05-17,5.807
2020-05-18,6.446
2020-05-19,6.609
2020-05-20,6.474
2020-05-21,6.444
2020-05-22,6.413
2020-05-23,6.413
2020-05-24,6.413
2020-05-25,6.413
2020-05-26,6.159
2020-05-27,5.847
2020-05-28,5.926
2020-05-29,5.942
2020-05-30,5.942
2020-05-31,5.942
2020-06-01,5.959
2020-06-02,5.892
2020-06-03,5.648
2020-06-04,5.484
2020-06-05,5.287
2020-06-06,5.287
2020-06-07,5.287
2020-06-08,5.273
2020-06-09,5.287
2020-06-10,5.485
2020-06-11,5.926
2020-06-12,5.866
2020-06-13,5.866
2020-06-14,5.866
2020-06-15,5.82
2020-06-16,5.672
2020-06-17,5.679
2020-06-18,5.764
2020-06-19,5.647
2020-06-20,5.647
2020-06-21,5.647
2020-06-22,5.794
2020-06-23,5.422
2020-06-24,5.622
2020-06-25,5.526
2020-06-26,5.524
2020-06-27,5.524
2020-06-28,5.524
2020-06-29,5.435
2020-06-30,5.399
2020-07-01,5.423
2020-07-02,5.353
2020-07-03,5.353
2020-07-04,5.353
2020-07-05,5.353
2020-07-06,5.314
2020-07-07,5.359
2020-07-08,5.362
2020-07-09,5.469
2020-07-10,5.418
2020-07-11,5.418
2020-07-12,5.418
2020-07-13,5.357
2020-07-14,5.165
2020-07-15,5.014
2020-07-16,5.006
2020-07-17,4.952
2020-07-18,4.952
2020-07-19,4.952
2020-07-20,5.048
2020-07-21,5.006
2020-07-22,4.984
2020-07-23,4.991
2020-07-24,5.003
2020-07-25,5.003
2020-07-26,5.003
2020-07-27,4.918
2020-07-28,5.018
2020-07-29,4.834
2020-07-30,4.958
2020-07-31,4.985
2020-08-01,4.985
2020-08-02,4.985
2020-08-03,4.893
2020-08-04,4.905
2020-08-05,4.819
2020-08-06,4.81
2020-08-07,4.749
2020-08-08,4.749
2020-08-09,4.749
2020-08-10,4.654
2020-08-11,4.543
2020-08-12,4.527
2020-08-13,4.544
2020-08-14,4.569
2020-08-15,4.569
2020-08-16,4.569
2020-08-17,4.568
2020-08-18,4.577
2020-08-19,4.587
2020-08-20,4.634
2020-08-21,4.486
2020-08-22,4.486
2020-08-23,4.486
2020-08-24,4.387
2020-08-25,4.389
2020-08-26,4.407
2020-08-27,4.42
2020-08-28,4.36
2020-08-29,4.36
2020-08-30,4.36
2020-08-31,4.42
2020-09-01,4.363
2020-09-02,4.275
2020-09-03,4.418
2020-09-04,4.399
2020-09-05,4.399
2020-09-06,4.399
2020-09-07,4.399
2020-09-08,4.491
2020-09-09,4.4
2020-09-10,4.468
2020-09-11,4.402
2020-09-12,4.402
2020-09-13,4.402
2020-09-14,4.374
2020-09-15,4.387
2020-09-16,4.323
2020-09-17,4.298
2020-09-18,4.364
2020-09-19,4.364
2020-09-20,4.364
2020-09-21,4.634
2020-09-22,4.544
2020-09-23,4.569
2020-09-24,4.529
2020-09-25,4.515
2020-09-26,4.515
2020-09-27,4.515
2020-09-28,4.41
2020-09-29,4.46
2020-09-30,4.423
2020-10-01,4.486
2020-10-02,4.396
2020-10-03,4.396
2020-10-04,4.396
2020-10-05,4.294
2020-10-06,4.321
2020-10-07,4.22
2020-10-08,4.199
2020-10-09,4.197
2020-10-10,4.197
2020-10-11,4.197
2020-10-12,4.17
2020-10-13,4.194
2020-10-14,4.171
2020-10-15,4.154
2020-10-16,4.13
2020-10-17,4.13
2020-10-18,4.13
2020-10-19,3.679
2020-10-20,3.65
2020-10-21,3.666
2020-10-22,3.612
2020-10-23,3.615
2020-10-24,3.615
2020-10-25,3.615
2020-10-26,3.695
2020-10-27,3.765
2020-10-28,3.88
2020-10-29,3.809
2020-10-30,3.824
2020-10-31,3.824
2020-11-01,3.824
2020-11-02,3.698
2020-11-03,3.568
2020-11-04,3.865
2020-11-05,3.701
2020-11-06,3.696
2020-11-07,3.696
2020-11-08,3.696
2020-11-09,3.581
2020-11-10,3.539
2020-11-11,3.563
2020-11-12,3.587
2020-11-13,3.823
2020-11-14,3.823
2020-11-15,3.823
2020-11-16,3.724
2020-11-17,3.77
2020-11-18,3.748
2020-11-19,3.704
2020-11-20,3.727
2020-11-21,3.727
2020-11-22,3.727
2020-11-23,3.638
2020-11-24,3.55
2020-11-25,3.581
2020-11-26,3.581
2020-11-27,3.589
2020-11-28,3.589
2020-11-29,3.589
2020-11-30,3.613
2020-12-01,3.625
2020-12-02,3.679
2020-12-03,3.748
2020-12-04,3.682
2020-12-05,3.682
2020-12-06,3.682
2020-12-07,3.727
2020-12-08,3.712
2020-12-09,3.711
2020-12-10,3.8
2020-12-11,3.785
2020-12-12,3.785
2020-12-13,3.785
2020-12-14,3.843
2020-12-15,3.754
2020-12-16,3.792
2020-12-17,3.795
2020-12-18,3.769
2020-12-19,3.769
2020-12-20,3.769
2020-12-21,3.74
2020-12-22,3.752
2020-12-23,3.626
2020-12-24,3.594
2020-12-25,3.594
2020-12-26,3.594
2020-12-27,3.594
2020-12-28,3.605
2020-12-29,3.622
2020-12-30,3.557
2020-12-31,3.532
2021-01-01,3.532
2021-01-02,3.532
2021-01-03,3.532
2021-01-04,3.573
2021-01-05,3.536
2021-01-06,3.356
2021-01-07,3.287
2021-01-08,3.344
2021-01-09,3.344
2021-01-10,3.344
2021-01-11,3.342
2021-01-12,3.306
2021-01-13,3.384
2021-01-14,3.405
2021-01-15,3.445
2021-01-16,3.445
2021-01-17,3.445
2021-01-18,3.445
2021-01-19,3.381
2021-01-20,3.368
2021-01-21,3.391
2021-01-22,3.41
2021-01-23,3.41
2021-01-24,3.41
2021-01-25,3.483
2021-01-26,3.514
2021-01-27,3.694
2021-01-28,3.587
2021-01-29,3.605
2021-01-30,3.605
2021-01-31,3.605
2021-02-01,3.491
2021-02-02,3.523
2021-02-03,3.55
2021-02-04,3.52
2021-02-05,3.48
2021-02-06,3.48
2021-02-07,3.48
2021-02-08,3.53
2021-02-09,3.541
2021-02-10,3.485
2021-02-11,3.435
2021-02-12,3.423
2021-02-13,3.423
2021-02-14,3.423
2021-02-15,3.423
2021-02-16,3.395
2021-02-17,3.394
2021-02-18,3.389
2021-02-19,3.32
2021-02-20,3.32
2021-02-21,3.32
2021-02-22,3.243
2021-02-23,3.243
2021-02-24,3.198
2021-02-25,3.26
2021-02-26,3.259
2021-02-27,3.259
2021-02-28,3.259
2021-03-01,3.161
2021-03-02,2.99
2021-03-03,2.956
2021-03-04,2.979
2021-03-05,2.916
2021-03-06,2.916
2021-03-07,2.916
2021-03-08,2.873
2021-03-09,2.94
2021-03-10,2.877
2021-03-11,2.878
2021-03-12,2.846
2021-03-13,2.846
2021-03-14,2.846
2021-03-15,2.855
2021-03-16,2.912
2021-03-17,2.887
2021-03-18,2.909
2021-03-19,2.99
2021-03-20,2.99
2021-03-21,2.99
2021-03-22,2.954
2021-03-23,2.997
2021-03-24,2.963
2021-03-25,2.933
2021-03-26,2.83
2021-03-27,2.83
2021-03-28,2.83
2021-03-29,2.833
2021-03-30,2.81
