,RHI US Equity
,BEST_DIV_YLD
2020-01-01,2.938
2020-01-02,2.911
2020-01-03,2.931
2020-01-04,2.931
2020-01-05,2.931
2020-01-06,2.954
2020-01-07,2.952
2020-01-08,2.949
2020-01-09,2.919
2020-01-10,2.942
2020-01-11,2.942
2020-01-12,2.942
2020-01-13,2.97
2020-01-14,2.964
2020-01-15,2.944
2020-01-16,2.923
2020-01-17,2.93
2020-01-18,2.93
2020-01-19,2.93
2020-01-20,2.93
2020-01-21,2.965
2020-01-22,2.977
2020-01-23,2.967
2020-01-24,2.995
2020-01-25,2.995
2020-01-26,2.995
2020-01-27,3.033
2020-01-28,3.039
2020-01-29,3.039
2020-01-30,3.037
2020-01-31,3.096
2020-02-01,3.096
2020-02-02,3.096
2020-02-03,3.093
2020-02-04,3.033
2020-02-05,2.946
2020-02-06,2.998
2020-02-07,3.04
2020-02-08,3.04
2020-02-09,3.04
2020-02-10,3.033
2020-02-11,3.0
2020-02-12,2.946
2020-02-13,2.981
2020-02-14,2.991
2020-02-15,2.991
2020-02-16,2.991
2020-02-17,2.991
2020-02-18,3.033
2020-02-19,3.027
2020-02-20,3.039
2020-02-21,3.041
2020-02-22,3.041
2020-02-23,3.041
2020-02-24,3.159
2020-02-25,3.349
2020-02-26,3.426
2020-02-27,3.527
2020-02-28,3.552
2020-02-29,3.552
2020-03-01,3.552
2020-03-02,3.506
2020-03-03,3.696
2020-03-04,3.568
2020-03-05,3.754
2020-03-06,3.649
2020-03-07,3.649
2020-03-08,3.649
2020-03-09,4.008
2020-03-10,3.722
2020-03-11,3.85
2020-03-12,4.11
2020-03-13,3.791
2020-03-14,3.791
2020-03-15,3.791
2020-03-16,4.122
2020-03-17,4.319
2020-03-18,4.547
2020-03-19,4.687
2020-03-20,5.116
2020-03-21,5.116
2020-03-22,5.116
2020-03-23,5.048
2020-03-24,4.403
2020-03-25,4.327
2020-03-26,3.969
2020-03-27,4.422
2020-03-28,4.422
2020-03-29,4.422
2020-03-30,4.279
2020-03-31,4.57
2020-04-01,4.519
2020-04-02,4.56
2020-04-03,4.543
2020-04-04,4.543
2020-04-05,4.543
2020-04-06,4.522
2020-04-07,4.294
2020-04-08,4.167
2020-04-09,3.986
2020-04-10,3.986
2020-04-11,3.986
2020-04-12,3.986
2020-04-13,4.215
2020-04-14,4.133
2020-04-15,4.189
2020-04-16,4.27
2020-04-17,4.0
2020-04-18,4.0
2020-04-19,4.0
2020-04-20,4.233
2020-04-21,4.222
2020-04-22,4.217
2020-04-23,3.983
2020-04-24,3.957
2020-04-25,3.957
2020-04-26,3.957
2020-04-27,3.831
2020-04-28,3.766
2020-04-29,3.611
2020-04-30,3.689
2020-05-01,3.929
2020-05-02,3.929
2020-05-03,3.929
2020-05-04,3.944
2020-05-05,3.931
2020-05-06,3.973
2020-05-07,3.861
2020-05-08,3.68
2020-05-09,3.68
2020-05-10,3.68
2020-05-11,3.755
2020-05-12,3.887
2020-05-13,4.004
2020-05-14,3.908
2020-05-15,3.863
2020-05-16,3.863
2020-05-17,3.863
2020-05-18,3.59
2020-05-19,3.62
2020-05-20,3.559
2020-05-21,3.595
2020-05-22,3.652
2020-05-23,3.652
2020-05-24,3.652
2020-05-25,3.652
2020-05-26,3.424
2020-05-27,3.344
2020-05-28,3.366
2020-05-29,3.412
2020-05-30,3.412
2020-05-31,3.412
2020-06-01,3.34
2020-06-02,3.256
2020-06-03,3.142
2020-06-04,3.099
2020-06-05,2.991
2020-06-06,2.991
2020-06-07,2.991
2020-06-08,2.889
2020-06-09,2.995
2020-06-10,3.122
2020-06-11,3.387
2020-06-12,3.376
2020-06-13,3.376
2020-06-14,3.376
2020-06-15,3.355
2020-06-16,3.306
2020-06-17,3.297
2020-06-18,3.35
2020-06-19,3.388
2020-06-20,3.388
2020-06-21,3.388
2020-06-22,3.378
2020-06-23,3.335
2020-06-24,3.5
2020-06-25,3.439
2020-06-26,3.422
2020-06-27,3.422
2020-06-28,3.422
2020-06-29,3.34
2020-06-30,3.277
2020-07-01,3.362
2020-07-02,3.348
2020-07-03,3.348
2020-07-04,3.348
2020-07-05,3.348
2020-07-06,3.303
2020-07-07,3.422
2020-07-08,3.426
2020-07-09,3.514
2020-07-10,3.416
2020-07-11,3.416
2020-07-12,3.416
2020-07-13,3.359
2020-07-14,3.33
2020-07-15,3.2
2020-07-16,3.167
2020-07-17,3.197
2020-07-18,3.197
2020-07-19,3.197
2020-07-20,3.262
2020-07-21,3.23
2020-07-22,3.233
2020-07-23,3.215
2020-07-24,3.565
2020-07-25,3.565
2020-07-26,3.565
2020-07-27,3.592
2020-07-28,3.675
2020-07-29,3.618
2020-07-30,3.691
2020-07-31,3.695
2020-08-01,3.695
2020-08-02,3.695
2020-08-03,3.685
2020-08-04,3.628
2020-08-05,3.532
2020-08-06,3.56
2020-08-07,3.508
2020-08-08,3.508
2020-08-09,3.508
2020-08-10,3.411
