,EIX US Equity
,BEST_DIV_YLD
2020-01-01,5.035
2020-01-02,5.104
2020-01-03,5.077
2020-01-04,5.077
2020-01-05,5.077
2020-01-06,5.053
2020-01-07,5.005
2020-01-08,5.013
2020-01-09,4.986
2020-01-10,5.029
2020-01-11,5.029
2020-01-12,5.029
2020-01-13,5.037
2020-01-14,5.06
2020-01-15,4.935
2020-01-16,4.959
2020-01-17,4.933
2020-01-18,4.933
2020-01-19,4.933
2020-01-20,4.933
2020-01-21,4.855
2020-01-22,4.926
2020-01-23,4.887
2020-01-24,4.936
2020-01-25,4.936
2020-01-26,4.936
2020-01-27,4.982
2020-01-28,4.944
2020-01-29,4.932
2020-01-30,4.952
2020-01-31,4.96
2020-02-01,4.96
2020-02-02,4.96
2020-02-03,4.889
2020-02-04,5.031
2020-02-05,4.91
2020-02-06,4.977
2020-02-07,4.931
2020-02-08,4.931
2020-02-09,4.931
2020-02-10,4.855
2020-02-11,4.867
2020-02-12,4.899
2020-02-13,4.907
2020-02-14,4.922
2020-02-15,4.922
2020-02-16,4.922
2020-02-17,4.922
2020-02-18,4.923
2020-02-19,4.954
2020-02-20,4.91
2020-02-21,4.894
2020-02-22,4.894
2020-02-23,4.894
2020-02-24,4.975
2020-02-25,5.057
2020-02-26,5.109
2020-02-27,5.404
2020-02-28,5.651
2020-02-29,5.651
2020-03-01,5.651
2020-03-02,5.39
2020-03-03,5.559
2020-03-04,5.411
2020-03-05,5.502
2020-03-06,5.617
2020-03-07,5.617
2020-03-08,5.617
2020-03-09,6.147
2020-03-10,5.942
2020-03-11,6.355
2020-03-12,7.241
2020-03-13,7.13
2020-03-14,7.13
2020-03-15,7.13
2020-03-16,8.227
2020-03-17,7.392
2020-03-18,7.742
2020-03-19,7.786
2020-03-20,8.102
2020-03-21,8.102
2020-03-22,8.102
2020-03-23,8.538
2020-03-24,7.536
2020-03-25,7.054
2020-03-26,6.577
2020-03-27,6.858
2020-03-28,6.858
2020-03-29,6.858
2020-03-30,6.665
2020-03-31,6.85
2020-04-01,7.32
2020-04-02,7.283
2020-04-03,7.603
2020-04-04,7.603
2020-04-05,7.603
2020-04-06,7.058
2020-04-07,6.946
2020-04-08,6.519
2020-04-09,6.227
2020-04-10,6.227
2020-04-11,6.227
2020-04-12,6.227
2020-04-13,6.319
2020-04-14,6.27
2020-04-15,6.484
2020-04-16,6.274
2020-04-17,6.047
2020-04-18,6.047
2020-04-19,6.047
2020-04-20,6.254
2020-04-21,6.449
2020-04-22,6.362
2020-04-23,6.445
2020-04-24,6.334
2020-04-25,6.334
2020-04-26,6.334
2020-04-27,6.178
2020-04-28,6.035
2020-04-29,6.217
2020-04-30,6.392
2020-05-01,6.739
2020-05-02,6.739
2020-05-03,6.739
2020-05-04,6.662
2020-05-05,6.655
2020-05-06,6.945
2020-05-07,6.882
2020-05-08,6.327
2020-05-09,6.327
2020-05-10,6.327
2020-05-11,6.353
2020-05-12,6.399
2020-05-13,6.287
2020-05-14,6.275
2020-05-15,6.451
2020-05-16,6.451
2020-05-17,6.451
2020-05-18,6.313
2020-05-19,6.286
2020-05-20,6.416
2020-05-21,6.415
2020-05-22,6.396
2020-05-23,6.396
2020-05-24,6.396
2020-05-25,6.396
2020-05-26,6.444
2020-05-27,6.327
2020-05-28,6.224
2020-05-29,6.211
2020-05-30,6.211
2020-05-31,6.211
2020-06-01,6.092
2020-06-02,6.03
2020-06-03,5.92
2020-06-04,6.112
2020-06-05,5.929
2020-06-06,5.929
2020-06-07,5.929
2020-06-08,5.574
2020-06-09,5.857
2020-06-10,5.982
2020-06-11,6.354
2020-06-12,6.27
2020-06-13,6.27
2020-06-14,6.27
2020-06-15,6.071
2020-06-16,5.964
2020-06-17,6.027
2020-06-18,6.134
2020-06-19,6.485
2020-06-20,6.485
2020-06-21,6.485
2020-06-22,6.47
2020-06-23,6.472
2020-06-24,6.639
2020-06-25,6.576
2020-06-26,6.584
2020-06-27,6.584
2020-06-28,6.584
2020-06-29,6.522
2020-06-30,6.646
2020-07-01,6.524
2020-07-02,6.424
2020-07-03,6.424
2020-07-04,6.424
2020-07-05,6.424
2020-07-06,6.366
2020-07-07,6.549
2020-07-08,6.551
2020-07-09,6.616
2020-07-10,6.448
2020-07-11,6.448
2020-07-12,6.448
2020-07-13,6.374
2020-07-14,6.296
2020-07-15,6.454
2020-07-16,6.361
2020-07-17,6.331
2020-07-18,6.331
2020-07-19,6.331
2020-07-20,6.758
2020-07-21,6.63
2020-07-22,6.541
2020-07-23,6.547
2020-07-24,6.622
2020-07-25,6.622
2020-07-26,6.622
2020-07-27,6.978
2020-07-28,6.731
2020-07-29,6.898
2020-07-30,6.589
2020-07-31,6.494
2020-08-01,6.494
2020-08-02,6.494
2020-08-03,6.703
2020-08-04,6.609
2020-08-05,6.743
2020-08-06,6.711
2020-08-07,6.62
2020-08-08,6.62
2020-08-09,6.62
2020-08-10,6.664
2020-08-11,6.747
2020-08-12,6.63
2020-08-13,6.743
2020-08-14,6.861
2020-08-15,6.861
2020-08-16,6.861
2020-08-17,6.982
2020-08-18,7.021
2020-08-19,6.919
2020-08-20,7.055
2020-08-21,7.053
2020-08-22,7.053
2020-08-23,7.053
2020-08-24,6.907
2020-08-25,6.952
2020-08-26,7.076
2020-08-27,6.986
2020-08-28,6.93
2020-08-29,6.93
2020-08-30,6.93
2020-08-31,6.828
2020-09-01,6.916
2020-09-02,6.816
2020-09-03,6.766
2020-09-04,6.782
2020-09-05,6.782
2020-09-06,6.782
2020-09-07,6.782
2020-09-08,6.9
2020-09-09,6.877
2020-09-10,7.018
2020-09-11,7.0
2020-09-12,7.0
2020-09-13,7.0
2020-09-14,6.862
2020-09-15,6.881
2020-09-16,6.746
2020-09-17,6.734
2020-09-18,6.893
2020-09-19,6.893
2020-09-20,6.893
2020-09-21,7.131
2020-09-22,7.03
2020-09-23,7.189
2020-09-24,6.971
2020-09-25,6.878
2020-09-26,6.878
2020-09-27,6.878
2020-09-28,6.846
2020-09-29,6.878
2020-09-30,6.902
2020-10-01,6.957
2020-10-02,6.813
2020-10-03,6.813
2020-10-04,6.813
2020-10-05,6.67
2020-10-06,6.515
2020-10-07,6.387
2020-10-08,6.255
2020-10-09,6.256
2020-10-10,6.256
2020-10-11,6.256
2020-10-12,6.236
2020-10-13,6.235
2020-10-14,6.239
2020-10-15,6.177
2020-10-16,6.145
2020-10-17,6.145
2020-10-18,6.145
2020-10-19,6.129
2020-10-20,5.976
2020-10-21,6.047
2020-10-22,5.962
2020-10-23,5.903
2020-10-24,5.903
2020-10-25,5.903
2020-10-26,6.136
2020-10-27,6.177
2020-10-28,6.313
2020-10-29,6.368
2020-10-30,6.372
2020-10-31,6.372
2020-11-01,6.372
2020-11-02,6.205
2020-11-03,6.113
2020-11-04,6.218
2020-11-05,6.013
2020-11-06,6.123
2020-11-07,6.123
2020-11-08,6.123
2020-11-09,5.877
2020-11-10,5.693
2020-11-11,5.677
2020-11-12,5.687
2020-11-13,5.574
2020-11-14,5.574
2020-11-15,5.574
2020-11-16,5.479
2020-11-17,5.443
2020-11-18,5.533
2020-11-19,5.613
2020-11-20,5.634
2020-11-21,5.634
2020-11-22,5.634
2020-11-23,5.566
2020-11-24,5.456
2020-11-25,5.605
2020-11-26,5.605
2020-11-27,5.687
2020-11-28,5.687
2020-11-29,5.687
2020-11-30,5.819
