,ALK US Equity
,BEST_DIV_YLD
2020-01-01,2.227
2020-01-02,2.213
2020-01-03,2.254
2020-01-04,2.254
2020-01-05,2.254
2020-01-06,2.265
2020-01-07,2.279
2020-01-08,2.268
2020-01-09,2.273
2020-01-10,2.289
2020-01-11,2.289
2020-01-12,2.289
2020-01-13,2.29
2020-01-14,2.279
2020-01-15,2.265
2020-01-16,2.267
2020-01-17,2.264
2020-01-18,2.264
2020-01-19,2.264
2020-01-20,2.264
2020-01-21,2.321
2020-01-22,2.3
2020-01-23,2.245
2020-01-24,2.261
2020-01-25,2.261
2020-01-26,2.261
2020-01-27,2.309
2020-01-28,2.302
2020-01-29,2.255
2020-01-30,2.285
2020-01-31,2.336
2020-02-01,2.336
2020-02-02,2.336
2020-02-03,2.333
2020-02-04,2.294
2020-02-05,2.274
2020-02-06,2.356
2020-02-07,2.359
2020-02-08,2.359
2020-02-09,2.359
2020-02-10,2.341
2020-02-11,2.337
2020-02-12,2.302
2020-02-13,2.268
2020-02-14,2.269
2020-02-15,2.269
2020-02-16,2.269
2020-02-17,2.269
2020-02-18,2.29
2020-02-19,2.302
2020-02-20,2.295
2020-02-21,2.293
2020-02-22,2.293
2020-02-23,2.293
2020-02-24,2.381
2020-02-25,2.551
2020-02-26,2.615
2020-02-27,2.832
2020-02-28,2.973
2020-02-29,2.973
2020-03-01,2.973
2020-03-02,2.998
2020-03-03,3.167
2020-03-04,3.019
2020-03-05,3.451
2020-03-06,3.318
2020-03-07,3.318
2020-03-08,3.318
2020-03-09,3.473
2020-03-10,3.206
2020-03-11,3.282
2020-03-12,4.276
2020-03-13,3.953
2020-03-14,3.953
2020-03-15,3.953
2020-03-16,4.611
2020-03-17,4.611
2020-03-18,5.969
2020-03-19,6.203
2020-03-20,6.367
2020-03-21,6.367
2020-03-22,6.367
2020-03-23,6.242
2020-03-24,5.189
2020-03-25,5.027
2020-03-26,4.617
2020-03-27,5.022
2020-03-28,5.022
2020-03-29,5.022
2020-03-30,5.295
2020-03-31,5.269
2020-04-01,5.693
2020-04-02,6.083
2020-04-03,6.075
2020-04-04,6.075
2020-04-05,6.075
2020-04-06,5.624
2020-04-07,5.167
2020-04-08,5.148
2020-04-09,4.745
2020-04-10,4.745
2020-04-11,4.745
2020-04-12,4.745
2020-04-13,5.083
2020-04-14,4.831
2020-04-15,4.987
2020-04-16,5.308
2020-04-17,5.012
2020-04-18,5.012
2020-04-19,5.012
2020-04-20,5.132
2020-04-21,5.302
2020-04-22,5.449
2020-04-23,5.319
2020-04-24,5.355
2020-04-25,5.355
2020-04-26,5.355
2020-04-27,5.386
2020-04-28,4.75
2020-04-29,4.412
2020-04-30,4.613
2020-05-01,4.982
2020-05-02,4.982
2020-05-03,4.982
2020-05-04,5.214
2020-05-05,5.178
2020-05-06,5.39
2020-05-07,5.31
2020-05-08,5.0
2020-05-09,5.0
2020-05-10,5.0
2020-05-11,5.289
2020-05-12,5.587
2020-05-13,5.878
2020-05-14,5.738
2020-05-15,5.853
2020-05-16,5.853
2020-05-17,5.853
2020-05-18,5.164
2020-05-19,5.234
2020-05-20,4.957
2020-05-21,4.711
2020-05-22,4.836
2020-05-23,4.836
2020-05-24,4.836
2020-05-25,4.836
2020-05-26,4.282
2020-05-27,4.197
2020-05-28,4.353
2020-05-29,4.387
2020-05-30,4.387
2020-05-31,4.387
2020-06-01,4.154
2020-06-02,4.144
2020-06-03,3.817
2020-06-04,3.544
2020-06-05,3.511
2020-06-06,3.511
2020-06-07,3.511
2020-06-08,2.986
2020-06-09,3.254
2020-06-10,3.616
2020-06-11,4.215
2020-06-12,3.899
2020-06-13,3.899
2020-06-14,3.899
2020-06-15,3.971
2020-06-16,3.926
2020-06-17,4.01
2020-06-18,4.005
2020-06-19,4.133
2020-06-20,4.133
2020-06-21,4.133
2020-06-22,4.113
2020-06-23,4.073
2020-06-24,4.362
2020-06-25,4.228
2020-06-26,4.373
