,SC US Equity
,BEST_DIV_YLD
2020-01-01,4.571
2020-01-02,4.554
2020-01-03,4.611
2020-01-04,4.611
2020-01-05,4.611
2020-01-06,4.544
2020-01-07,4.573
2020-01-08,4.561
2020-01-09,4.559
2020-01-10,4.585
2020-01-11,4.585
2020-01-12,4.585
2020-01-13,4.616
2020-01-14,4.63
2020-01-15,4.583
2020-01-16,4.54
2020-01-17,4.488
2020-01-18,4.488
2020-01-19,4.488
2020-01-20,4.488
2020-01-21,4.488
2020-01-22,4.371
2020-01-23,4.342
2020-01-24,4.416
2020-01-25,4.416
2020-01-26,4.416
2020-01-27,4.549
2020-01-28,4.475
2020-01-29,3.999
2020-01-30,3.906
2020-01-31,3.921
2020-02-01,3.921
2020-02-02,3.921
2020-02-03,3.916
2020-02-04,3.925
2020-02-05,3.922
2020-02-06,3.918
2020-02-07,3.921
2020-02-08,3.921
2020-02-09,3.921
2020-02-10,3.915
2020-02-11,3.891
2020-02-12,3.878
2020-02-13,3.825
2020-02-14,3.872
2020-02-15,3.872
2020-02-16,3.872
2020-02-17,3.872
2020-02-18,3.89
2020-02-19,3.894
2020-02-20,3.882
2020-02-21,3.882
2020-02-22,3.882
2020-02-23,3.882
2020-02-24,3.94
2020-02-25,4.007
2020-02-26,3.985
2020-02-27,4.043
2020-02-28,4.242
2020-02-29,4.242
2020-03-01,4.242
2020-03-02,4.304
2020-03-03,4.408
2020-03-04,4.197
2020-03-05,4.465
2020-03-06,4.538
2020-03-07,4.538
2020-03-08,4.538
2020-03-09,5.178
2020-03-10,4.868
2020-03-11,5.022
2020-03-12,5.565
2020-03-13,5.222
2020-03-14,5.222
2020-03-15,5.222
2020-03-16,6.501
2020-03-17,6.691
2020-03-18,7.913
2020-03-19,8.208
2020-03-20,8.916
2020-03-21,8.916
2020-03-22,8.916
2020-03-23,10.133
2020-03-24,7.941
2020-03-25,6.525
2020-03-26,6.314
2020-03-27,6.839
2020-03-28,6.839
2020-03-29,6.839
2020-03-30,6.956
2020-03-31,7.311
2020-04-01,8.221
2020-04-02,7.927
2020-04-03,8.568
2020-04-04,8.568
2020-04-05,8.568
2020-04-06,7.722
2020-04-07,7.264
2020-04-08,6.798
2020-04-09,6.092
2020-04-10,6.092
2020-04-11,6.092
2020-04-12,6.092
2020-04-13,6.49
2020-04-14,6.799
2020-04-15,7.265
2020-04-16,7.8
2020-04-17,7.047
2020-04-18,7.047
2020-04-19,7.047
2020-04-20,7.417
2020-04-21,7.896
2020-04-22,7.998
2020-04-23,7.772
2020-04-24,7.628
2020-04-25,7.628
2020-04-26,7.628
2020-04-27,7.306
2020-04-28,6.703
2020-04-29,5.797
2020-04-30,6.23
2020-05-01,6.487
2020-05-02,6.487
2020-05-03,6.487
2020-05-04,6.427
2020-05-05,6.423
2020-05-06,6.457
2020-05-07,6.289
2020-05-08,6.05
2020-05-09,6.05
2020-05-10,6.05
2020-05-11,6.327
2020-05-12,6.728
2020-05-13,7.189
2020-05-14,6.496
2020-05-15,6.649
2020-05-16,6.649
2020-05-17,6.649
2020-05-18,6.13
2020-05-19,6.165
2020-05-20,6.048
2020-05-21,6.142
2020-05-22,6.189
2020-05-23,6.189
2020-05-24,6.189
2020-05-25,6.189
2020-05-26,5.733
2020-05-27,5.322
2020-05-28,5.541
2020-05-29,5.792
2020-05-30,5.792
2020-05-31,5.792
2020-06-01,5.346
2020-06-02,5.379
2020-06-03,5.123
2020-06-04,4.883
2020-06-05,4.516
2020-06-06,4.516
2020-06-07,4.516
2020-06-08,4.42
2020-06-09,4.63
2020-06-10,4.868
2020-06-11,5.29
2020-06-12,5.045
2020-06-13,5.045
2020-06-14,5.045
2020-06-15,5.034
2020-06-16,4.946
2020-06-17,4.984
2020-06-18,5.01
2020-06-19,5.085
2020-06-20,5.085
2020-06-21,5.085
2020-06-22,5.058
2020-06-23,5.066
2020-06-24,5.284
2020-06-25,5.074
2020-06-26,5.238
2020-06-27,5.238
2020-06-28,5.238
2020-06-29,5.079
2020-06-30,5.201
2020-07-01,5.4
2020-07-02,5.352
2020-07-03,5.352
2020-07-04,5.352
2020-07-05,5.352
2020-07-06,5.029
2020-07-07,5.367
2020-07-08,5.221
2020-07-09,5.531
2020-07-10,5.462
2020-07-11,5.462
2020-07-12,5.462
2020-07-13,5.316
2020-07-14,5.37
2020-07-15,4.858
2020-07-16,4.808
2020-07-17,4.956
2020-07-18,4.956
2020-07-19,4.956
2020-07-20,4.995
2020-07-21,4.877
2020-07-22,4.789
2020-07-23,4.823
2020-07-24,4.848
2020-07-25,4.848
2020-07-26,4.848
2020-07-27,4.916
2020-07-28,4.819
2020-07-29,5.021
2020-07-30,4.192
2020-07-31,4.121
2020-08-01,4.121
2020-08-02,4.121
2020-08-03,4.134
2020-08-04,4.188
2020-08-05,3.999
2020-08-06,4.05
2020-08-07,4.069
2020-08-08,4.069
2020-08-09,4.069
2020-08-10,3.991
2020-08-11,4.199
2020-08-12,4.202
2020-08-13,4.301
2020-08-14,4.277
2020-08-15,4.277
2020-08-16,4.277
2020-08-17,4.328
2020-08-18,4.41
2020-08-19,4.418
2020-08-20,4.48
2020-08-21,4.462
2020-08-22,4.462
2020-08-23,4.462
2020-08-24,4.346
2020-08-25,4.427
2020-08-26,4.476
2020-08-27,4.349
2020-08-28,4.293
2020-08-29,4.293
2020-08-30,4.293
2020-08-31,4.458
2020-09-01,4.489
2020-09-02,4.371
2020-09-03,4.354
2020-09-04,4.248
2020-09-05,4.248
2020-09-06,4.248
2020-09-07,4.248
2020-09-08,4.406
2020-09-09,4.406
2020-09-10,4.465
2020-09-11,4.394
2020-09-12,4.394
2020-09-13,4.394
2020-09-14,4.416
2020-09-15,4.445
2020-09-16,4.187
2020-09-17,4.147
2020-09-18,4.206
2020-09-19,4.206
2020-09-20,4.206
2020-09-21,4.447
2020-09-22,4.476
2020-09-23,4.635
2020-09-24,4.661
2020-09-25,4.624
2020-09-26,4.624
2020-09-27,4.624
2020-09-28,4.455
2020-09-29,4.429
2020-09-30,4.217
2020-10-01,4.127
2020-10-02,3.827
2020-10-03,3.827
2020-10-04,3.827
2020-10-05,3.867
2020-10-06,3.982
2020-10-07,3.953
2020-10-08,3.885
2020-10-09,3.842
2020-10-10,3.842
2020-10-11,3.842
2020-10-12,3.804
2020-10-13,3.802
2020-10-14,3.802
2020-10-15,3.832
2020-10-16,3.715
2020-10-17,3.715
2020-10-18,3.715
2020-10-19,3.701
2020-10-20,3.671
2020-10-21,3.699
2020-10-22,3.61
2020-10-23,3.582
2020-10-24,3.582
2020-10-25,3.582
2020-10-26,3.681
2020-10-27,3.66
2020-10-28,3.659
2020-10-29,3.781
2020-10-30,3.868
2020-10-31,3.868
2020-11-01,3.868
2020-11-02,3.713
2020-11-03,3.621
2020-11-04,3.722
2020-11-05,3.699
2020-11-06,3.727
2020-11-07,3.727
2020-11-08,3.727
2020-11-09,3.509
2020-11-10,3.505
2020-11-11,3.525
2020-11-12,3.588
2020-11-13,3.469
2020-11-14,3.469
2020-11-15,3.469
2020-11-16,3.338
2020-11-17,3.354
2020-11-18,3.391
2020-11-19,3.431
2020-11-20,3.528
2020-11-21,3.528
2020-11-22,3.528
2020-11-23,3.412
2020-11-24,3.338
2020-11-25,3.377
2020-11-26,3.377
2020-11-27,3.437
2020-11-28,3.437
2020-11-29,3.437
2020-11-30,3.579
2020-12-01,3.539
2020-12-02,3.473
2020-12-03,3.529
2020-12-04,3.427
2020-12-05,3.427
2020-12-06,3.427
2020-12-07,3.446
2020-12-08,3.473
2020-12-09,3.49
2020-12-10,3.439
2020-12-11,3.573
2020-12-12,3.573
2020-12-13,3.573
2020-12-14,3.622
2020-12-15,3.483
2020-12-16,3.674
2020-12-17,3.729
2020-12-18,3.817
2020-12-19,3.817
2020-12-20,3.817
2020-12-21,3.749
2020-12-22,3.813
2020-12-23,3.679
2020-12-24,3.743
2020-12-25,3.743
2020-12-26,3.743
2020-12-27,3.743
2020-12-28,3.707
2020-12-29,3.729
2020-12-30,3.647
2020-12-31,3.611
2021-01-01,3.611
2021-01-02,3.611
2021-01-03,3.611
2021-01-04,3.741
2021-01-05,3.683
2021-01-06,3.895
2021-01-07,4.103
2021-01-08,4.22
2021-01-09,4.22
2021-01-10,4.22
2021-01-11,4.17
2021-01-12,4.051
2021-01-13,3.996
2021-01-14,3.803
2021-01-15,3.764
2021-01-16,3.764
2021-01-17,3.764
2021-01-18,3.764
2021-01-19,3.653
2021-01-20,3.696
2021-01-21,3.806
2021-01-22,3.8
2021-01-23,3.8
2021-01-24,3.8
2021-01-25,3.839
2021-01-26,3.816
2021-01-27,3.987
2021-01-28,3.831
2021-01-29,4.023
2021-01-30,4.023
2021-01-31,4.023
2021-02-01,3.908
2021-02-02,3.758
2021-02-03,3.498
2021-02-04,3.071
2021-02-05,3.0
2021-02-06,3.0
2021-02-07,3.0
2021-02-08,2.993
2021-02-09,3.026
2021-02-10,2.947
2021-02-11,2.925
2021-02-12,2.955
2021-02-13,2.955
2021-02-14,2.955
2021-02-15,2.955
2021-02-16,2.883
2021-02-17,2.84
2021-02-18,2.883
2021-02-19,2.884
2021-02-20,2.884
2021-02-21,2.884
2021-02-22,2.894
2021-02-23,2.905
2021-02-24,2.931
2021-02-25,3.062
2021-02-26,3.027
2021-02-27,3.027
2021-02-28,3.027
2021-03-01,2.984
2021-03-02,2.957
2021-03-03,2.911
2021-03-04,2.858
2021-03-05,2.909
2021-03-06,2.909
2021-03-07,2.909
2021-03-08,2.843
2021-03-09,2.906
2021-03-10,2.822
2021-03-11,2.765
2021-03-12,2.763
2021-03-13,2.763
2021-03-14,2.763
2021-03-15,2.748
2021-03-16,2.787
2021-03-17,2.738
2021-03-18,2.751
2021-03-19,2.824
2021-03-20,2.824
2021-03-21,2.824
2021-03-22,2.809
2021-03-23,2.863
2021-03-24,2.879
2021-03-25,2.81
2021-03-26,2.753
2021-03-27,2.753
2021-03-28,2.753
2021-03-29,2.769
2021-03-30,2.75
2021-03-31,2.747
2021-04-01,2.968
2021-04-02,2.968
2021-04-03,2.968
2021-04-04,2.968
2021-04-05,2.909
2021-04-06,2.914
2021-04-07,2.934
2021-04-08,3.133
2021-04-09,3.122
2021-04-10,3.122
2021-04-11,3.122
2021-04-12,3.0
2021-04-13,3.048
2021-04-14,3.02
2021-04-15,2.955
2021-04-16,2.907
2021-04-17,2.907
2021-04-18,2.907
2021-04-19,2.953
2021-04-20,3.02
2021-04-21,2.98
2021-04-22,3.025
2021-04-23,2.883
2021-04-24,2.883
2021-04-25,2.883
2021-04-26,2.85
2021-04-27,2.786
2021-04-28,3.288
2021-04-29,4.028
2021-04-30,3.997
2021-05-01,3.997
2021-05-02,3.997
2021-05-03,3.967
2021-05-04,3.953
2021-05-05,3.987
2021-05-06,3.972
2021-05-07,3.848
2021-05-08,3.848
2021-05-09,3.848
2021-05-10,3.876
2021-05-11,3.936
2021-05-12,4.026
2021-05-13,3.919
2021-05-14,3.806
2021-05-15,3.806
2021-05-16,3.806
2021-05-17,3.769
2021-05-18,3.796
2021-05-19,3.666
2021-05-20,3.739
2021-05-21,3.697
2021-05-22,3.697
2021-05-23,3.697
2021-05-24,3.654
2021-05-25,3.727
2021-05-26,3.647
2021-05-27,3.596
2021-05-28,3.597
2021-05-29,3.597
2021-05-30,3.597
2021-05-31,3.597
2021-06-01,3.528
2021-06-02,3.535
2021-06-03,3.574
2021-06-04,3.541
2021-06-05,3.541
2021-06-06,3.541
2021-06-07,3.532
2021-06-08,3.528
2021-06-09,3.545
2021-06-10,3.583
2021-06-11,3.549
2021-06-12,3.549
2021-06-13,3.549
2021-06-14,3.65
2021-06-15,3.585
2021-06-16,3.629
2021-06-17,3.762
2021-06-18,3.859
2021-06-19,3.859
2021-06-20,3.859
2021-06-21,3.712
2021-06-22,3.737
2021-06-23,3.725
2021-06-24,3.667
2021-06-25,3.628
2021-06-26,3.628
2021-06-27,3.628
2021-06-28,3.718
2021-06-29,3.82
2021-06-30,3.806
2021-07-01,3.795
2021-07-02,3.408
2021-07-03,3.408
2021-07-04,3.408
2021-07-05,3.408
2021-07-06,2.895
2021-07-07,2.552
2021-07-08,2.549
2021-07-09,2.523
2021-07-10,2.523
2021-07-11,2.523
2021-07-12,2.517
2021-07-13,2.511
2021-07-14,2.515
