,DFS US Equity
,BEST_DIV_YLD
2020-01-01,1.568
2020-01-02,1.559
2020-01-03,1.586
2020-01-04,1.586
2020-01-05,1.586
2020-01-06,1.614
2020-01-07,1.632
2020-01-08,1.615
2020-01-09,1.594
2020-01-10,1.609
2020-01-11,1.609
2020-01-12,1.609
2020-01-13,1.605
2020-01-14,1.602
2020-01-15,1.596
2020-01-16,1.59
2020-01-17,1.575
2020-01-18,1.575
2020-01-19,1.575
2020-01-20,1.575
2020-01-21,1.59
2020-01-22,1.559
2020-01-23,1.549
2020-01-24,1.744
2020-01-25,1.744
2020-01-26,1.744
2020-01-27,1.8
2020-01-28,1.768
2020-01-29,1.755
2020-01-30,1.742
2020-01-31,1.77
2020-02-01,1.77
2020-02-02,1.77
2020-02-03,1.771
2020-02-04,1.755
2020-02-05,1.719
2020-02-06,1.742
2020-02-07,1.767
2020-02-08,1.767
2020-02-09,1.767
2020-02-10,1.754
2020-02-11,1.756
2020-02-12,1.749
2020-02-13,1.746
2020-02-14,1.741
2020-02-15,1.741
2020-02-16,1.741
2020-02-17,1.741
2020-02-18,1.765
2020-02-19,1.75
2020-02-20,1.745
2020-02-21,1.756
2020-02-22,1.756
2020-02-23,1.756
2020-02-24,1.808
2020-02-25,1.903
2020-02-26,1.916
2020-02-27,1.998
2020-02-28,2.016
2020-02-29,2.016
2020-03-01,2.016
2020-03-02,1.948
2020-03-03,2.056
2020-03-04,1.983
2020-03-05,2.048
2020-03-06,2.113
2020-03-07,2.113
2020-03-08,2.113
2020-03-09,2.415
2020-03-10,2.292
2020-03-11,2.486
2020-03-12,2.946
2020-03-13,2.555
2020-03-14,2.555
2020-03-15,2.555
2020-03-16,3.492
2020-03-17,3.587
2020-03-18,4.898
2020-03-19,4.668
2020-03-20,5.237
2020-03-21,5.237
2020-03-22,5.237
2020-03-23,4.962
2020-03-24,3.915
2020-03-25,3.531
2020-03-26,3.17
2020-03-27,3.443
2020-03-28,3.443
2020-03-29,3.443
2020-03-30,3.518
