,WHR US Equity
,BEST_DIV_YLD
2020-01-01,6.634
2020-01-02,6.593
2020-01-03,6.707
2020-01-04,6.707
2020-01-05,6.707
2020-01-06,6.645
2020-01-07,6.642
2020-01-08,6.551
2020-01-09,6.509
2020-01-10,6.538
2020-01-11,6.538
2020-01-12,6.538
2020-01-13,6.406
2020-01-14,6.387
2020-01-15,6.358
2020-01-16,6.348
2020-01-17,6.412
2020-01-18,6.412
2020-01-19,6.412
2020-01-20,6.412
2020-01-21,6.464
2020-01-22,6.672
2020-01-23,6.493
2020-01-24,6.55
2020-01-25,6.55
2020-01-26,6.55
2020-01-27,6.602
2020-01-28,6.247
2020-01-29,6.351
2020-01-30,6.405
2020-01-31,6.695
2020-02-01,6.695
2020-02-02,6.695
2020-02-03,6.651
2020-02-04,6.518
2020-02-05,6.337
2020-02-06,6.394
2020-02-07,6.559
2020-02-08,6.559
2020-02-09,6.559
2020-02-10,6.55
2020-02-11,6.44
2020-02-12,6.418
2020-02-13,6.437
2020-02-14,6.432
2020-02-15,6.432
2020-02-16,6.432
2020-02-17,6.432
2020-02-18,6.609
2020-02-19,6.648
2020-02-20,6.565
2020-02-21,6.649
2020-02-22,6.649
2020-02-23,6.649
2020-02-24,6.952
2020-02-25,7.136
2020-02-26,7.127
2020-02-27,7.38
2020-02-28,7.587
2020-02-29,7.587
2020-03-01,7.587
2020-03-02,7.247
2020-03-03,7.587
2020-03-04,7.353
2020-03-05,7.77
2020-03-06,8.01
2020-03-07,8.01
2020-03-08,8.01
2020-03-09,8.633
2020-03-10,8.266
2020-03-11,8.78
2020-03-12,9.438
2020-03-13,8.404
2020-03-14,8.404
2020-03-15,8.404
2020-03-16,10.455
2020-03-17,9.963
2020-03-18,10.903
2020-03-19,11.749
2020-03-20,13.031
2020-03-21,13.031
2020-03-22,13.031
2020-03-23,15.106
2020-03-24,11.659
2020-03-25,11.775
2020-03-26,11.66
2020-03-27,11.513
2020-03-28,11.513
2020-03-29,11.513
2020-03-30,11.061
2020-03-31,11.307
2020-04-01,12.036
2020-04-02,11.884
2020-04-03,11.739
2020-04-04,11.739
2020-04-05,11.739
2020-04-06,10.489
2020-04-07,10.222
2020-04-08,9.732
2020-04-09,9.261
2020-04-10,9.261
2020-04-11,9.261
2020-04-12,9.261
2020-04-13,9.639
2020-04-14,9.372
2020-04-15,9.712
2020-04-16,10.039
2020-04-17,9.21
2020-04-18,9.21
2020-04-19,9.21
2020-04-20,9.701
2020-04-21,9.881
2020-04-22,9.765
2020-04-23,9.488
2020-04-24,9.276
2020-04-25,9.276
2020-04-26,9.276
2020-04-27,8.886
2020-04-28,8.521
2020-04-29,7.919
2020-04-30,8.682
2020-05-01,8.647
2020-05-02,8.647
2020-05-03,8.647
2020-05-04,9.15
2020-05-05,8.879
2020-05-06,9.056
2020-05-07,9.075
2020-05-08,8.616
2020-05-09,8.616
2020-05-10,8.616
2020-05-11,8.927
2020-05-12,9.174
2020-05-13,9.351
2020-05-14,8.882
2020-05-15,8.813
2020-05-16,8.813
2020-05-17,8.813
2020-05-18,8.086
2020-05-19,8.093
2020-05-20,8.068
2020-05-21,8.058
2020-05-22,8.011
2020-05-23,8.011
2020-05-24,8.011
2020-05-25,8.011
2020-05-26,7.638
2020-05-27,7.422
2020-05-28,7.881
2020-05-29,7.871
2020-05-30,7.871
2020-05-31,7.871
2020-06-01,7.747
2020-06-02,7.484
2020-06-03,7.367
2020-06-04,7.109
2020-06-05,7.007
2020-06-06,7.007
2020-06-07,7.007
2020-06-08,6.806
2020-06-09,6.999
2020-06-10,7.123
2020-06-11,7.829
2020-06-12,7.853
2020-06-13,7.853
2020-06-14,7.853
2020-06-15,7.635
2020-06-16,7.591
2020-06-17,7.596
2020-06-18,7.572
2020-06-19,7.545
2020-06-20,7.545
2020-06-21,7.545
2020-06-22,7.624
2020-06-23,7.519
2020-06-24,7.765
2020-06-25,7.714
2020-06-26,7.809
2020-06-27,7.809
2020-06-28,7.809
2020-06-29,7.542
2020-06-30,7.403
2020-07-01,7.548
2020-07-02,7.423
2020-07-03,7.423
2020-07-04,7.423
2020-07-05,7.423
2020-07-06,7.184
2020-07-07,7.174
2020-07-08,7.051
2020-07-09,7.201
2020-07-10,7.069
2020-07-11,7.069
2020-07-12,7.069
2020-07-13,7.027
2020-07-14,6.9
2020-07-15,6.699
2020-07-16,6.645
2020-07-17,6.726
2020-07-18,6.726
2020-07-19,6.726
