,RS US Equity
,BEST_DIV_YLD
2020-01-01,2.24
2020-01-02,2.249
2020-01-03,2.258
2020-01-04,2.258
2020-01-05,2.258
2020-01-06,2.263
2020-01-07,2.257
2020-01-08,2.259
2020-01-09,2.241
2020-01-10,2.273
2020-01-11,2.273
2020-01-12,2.273
2020-01-13,2.225
2020-01-14,2.212
2020-01-15,2.21
2020-01-16,2.22
2020-01-17,2.208
2020-01-18,2.208
2020-01-19,2.208
2020-01-20,2.208
2020-01-21,2.293
2020-01-22,2.284
2020-01-23,2.272
2020-01-24,2.298
2020-01-25,2.298
2020-01-26,2.298
2020-01-27,2.333
2020-01-28,2.318
2020-01-29,2.337
2020-01-30,2.28
2020-01-31,2.336
2020-02-01,2.336
2020-02-02,2.336
2020-02-03,2.309
2020-02-04,2.298
2020-02-05,2.254
2020-02-06,2.262
2020-02-07,2.311
2020-02-08,2.311
2020-02-09,2.311
2020-02-10,2.302
2020-02-11,2.276
2020-02-12,2.293
2020-02-13,2.305
2020-02-14,2.311
2020-02-15,2.311
2020-02-16,2.311
2020-02-17,2.311
2020-02-18,2.312
2020-02-19,2.289
2020-02-20,2.452
2020-02-21,2.417
2020-02-22,2.417
2020-02-23,2.417
2020-02-24,2.466
2020-02-25,2.496
2020-02-26,2.469
2020-02-27,2.567
2020-02-28,2.622
2020-02-29,2.622
2020-03-01,2.622
2020-03-02,2.536
2020-03-03,2.545
2020-03-04,2.467
2020-03-05,2.548
2020-03-06,2.612
2020-03-07,2.612
2020-03-08,2.612
2020-03-09,2.846
2020-03-10,2.71
2020-03-11,2.809
2020-03-12,3.097
2020-03-13,3.097
2020-03-14,3.097
2020-03-15,3.097
2020-03-16,3.097
2020-03-17,3.097
2020-03-18,3.097
2020-03-19,3.097
2020-03-20,3.097
2020-03-21,3.097
2020-03-22,3.097
2020-03-23,3.097
2020-03-24,3.097
2020-03-25,3.097
2020-03-26,3.097
2020-03-27,3.097
2020-03-28,3.097
2020-03-29,3.097
2020-03-30,3.097
2020-03-31,3.097
2020-04-01,3.097
2020-04-02,3.097
2020-04-03,3.097
2020-04-04,3.097
2020-04-05,3.097
2020-04-06,3.097
2020-04-07,3.097
2020-04-08,3.097
2020-04-09,3.097
2020-04-10,3.097
2020-04-11,3.097
2020-04-12,3.097
2020-04-13,3.097
2020-04-14,3.097
2020-04-15,3.097
2020-04-16,3.097
2020-04-17,3.097
2020-04-18,3.097
2020-04-19,3.097
2020-04-20,3.097
2020-04-21,3.097
2020-04-22,3.097
2020-04-23,3.097
2020-04-24,3.097
2020-04-25,3.097
2020-04-26,3.097
2020-04-27,3.097
2020-04-28,3.097
2020-04-29,3.097
2020-04-30,3.097
2020-05-01,3.097
2020-05-02,3.097
2020-05-03,3.097
2020-05-04,3.097
2020-05-05,3.097
2020-05-06,3.097
2020-05-07,3.097
2020-05-08,3.097
2020-05-09,3.097
2020-05-10,3.097
2020-05-11,3.097
2020-05-12,3.097
2020-05-13,3.097
2020-05-14,3.097
2020-05-15,3.097
2020-05-16,3.097
2020-05-17,3.097
2020-05-18,3.097
2020-05-19,3.097
2020-05-20,3.097
2020-05-21,3.097
2020-05-22,3.097
2020-05-23,3.097
2020-05-24,3.097
2020-05-25,3.097
2020-05-26,3.097
2020-05-27,3.097
2020-05-28,3.097
2020-05-29,3.097
2020-05-30,3.097
2020-05-31,3.097
2020-06-01,3.097
2020-06-02,3.097
2020-06-03,3.097
2020-06-04,3.097
2020-06-05,3.097
2020-06-06,3.097
2020-06-07,3.097
2020-06-08,3.097
2020-06-09,3.097
2020-06-10,3.097
2020-06-11,3.097
2020-06-12,3.097
2020-06-13,3.097
2020-06-14,3.097
2020-06-15,3.097
2020-06-16,3.097
2020-06-17,3.097
2020-06-18,3.097
2020-06-19,3.097
2020-06-20,3.097
2020-06-21,3.097
2020-06-22,3.097
