,DUK US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,6.047
2020-01-18,6.047
2020-01-19,6.047
2020-01-20,6.047
2020-01-21,5.979
2020-01-22,5.946
2020-01-23,5.899
2020-01-24,5.886
2020-01-25,5.886
2020-01-26,5.886
2020-01-27,5.897
2020-01-28,5.891
2020-01-29,5.858
2020-01-30,5.815
2020-01-31,5.805
2020-02-01,5.805
2020-02-02,5.805
2020-02-03,5.803
2020-02-04,5.867
2020-02-05,5.834
2020-02-06,5.847
2020-02-07,5.887
2020-02-08,5.887
2020-02-09,5.887
2020-02-10,5.889
2020-02-11,5.843
2020-02-12,5.788
2020-02-13,5.607
2020-02-14,5.542
2020-02-15,5.542
2020-02-16,5.542
2020-02-17,5.542
2020-02-18,5.502
2020-02-19,5.534
2020-02-20,5.534
2020-02-21,5.48
2020-02-22,5.48
2020-02-23,5.48
2020-02-24,5.487
2020-02-25,5.654
2020-02-26,5.673
2020-02-27,5.909
2020-02-28,6.121
2020-02-29,6.121
2020-03-01,6.121
2020-03-02,5.806
2020-03-03,5.87
2020-03-04,5.522
2020-03-05,5.605
2020-03-06,5.667
2020-03-07,5.667
2020-03-08,5.667
2020-03-09,5.934
2020-03-10,5.905
2020-03-11,6.172
2020-03-12,6.974
2020-03-13,6.544
2020-03-14,6.544
2020-03-15,6.544
2020-03-16,7.329
2020-03-17,6.526
2020-03-18,7.08
2020-03-19,7.479
2020-03-20,8.206
2020-03-21,8.206
2020-03-22,8.206
2020-03-23,8.749
2020-03-24,7.85
2020-03-25,7.513
2020-03-26,6.913
2020-03-27,6.999
2020-03-28,6.999
2020-03-29,6.999
2020-03-30,6.725
2020-03-31,6.94
2020-04-01,7.236
2020-04-02,7.07
2020-04-03,7.383
2020-04-04,7.383
2020-04-05,7.383
2020-04-06,6.908
2020-04-07,7.006
2020-04-08,6.565
2020-04-09,6.215
2020-04-10,6.215
2020-04-11,6.215
2020-04-12,6.215
2020-04-13,6.425
2020-04-14,6.207
2020-04-15,6.412
2020-04-16,6.408
2020-04-17,6.229
2020-04-18,6.229
2020-04-19,6.229
2020-04-20,6.229
2020-04-21,6.229
2020-04-22,6.229
2020-04-23,6.229
2020-04-24,6.229
2020-04-25,6.229
2020-04-26,6.229
2020-04-27,6.229
2020-04-28,6.229
2020-04-29,6.229
2020-04-30,6.229
2020-05-01,6.229
2020-05-02,6.229
2020-05-03,6.229
2020-05-04,6.229
2020-05-05,6.229
2020-05-06,6.229
2020-05-07,6.229
2020-05-08,6.229
2020-05-09,6.229
2020-05-10,6.229
2020-05-11,6.229
2020-05-12,6.229
2020-05-13,6.229
2020-05-14,6.229
2020-05-15,6.229
2020-05-16,6.229
2020-05-17,6.229
2020-05-18,6.229
2020-05-19,6.229
2020-05-20,6.229
2020-05-21,6.229
2020-05-22,6.229
2020-05-23,6.229
2020-05-24,6.229
2020-05-25,6.229
2020-05-26,6.229
2020-05-27,6.229
2020-05-28,6.229
2020-05-29,6.229
2020-05-30,6.229
2020-05-31,6.229
2020-06-01,6.229
2020-06-02,6.229
2020-06-03,6.229
2020-06-04,6.229
2020-06-05,6.229
2020-06-06,6.229
2020-06-07,6.229
2020-06-08,6.229
2020-06-09,6.229
2020-06-10,6.229
2020-06-11,6.229
2020-06-12,6.229
2020-06-13,6.229
2020-06-14,6.229
2020-06-15,6.38
2020-06-16,6.381
2020-06-17,6.435
2020-06-18,6.468
2020-06-19,6.757
2020-06-20,6.757
2020-06-21,6.757
2020-06-22,6.722
2020-06-23,6.778
2020-06-24,6.894
2020-06-25,6.983
2020-06-26,7.029
2020-06-27,7.029
2020-06-28,7.029
2020-06-29,6.913
2020-06-30,6.945
2020-07-01,6.772
2020-07-02,6.473
2020-07-03,6.473
2020-07-04,6.473
2020-07-05,6.473
2020-07-06,6.637
2020-07-07,6.865
2020-07-08,6.812
2020-07-09,6.958
2020-07-10,6.822
2020-07-11,6.822
2020-07-12,6.822
2020-07-13,6.814
2020-07-14,6.791
2020-07-15,6.898
2020-07-16,6.843
2020-07-17,6.733
2020-07-18,6.733
2020-07-19,6.733
2020-07-20,6.733
2020-07-21,6.733
2020-07-22,6.733
2020-07-23,6.733
2020-07-24,6.733
2020-07-25,6.733
2020-07-26,6.733
2020-07-27,6.733
2020-07-28,6.733
2020-07-29,6.733
2020-07-30,6.733
2020-07-31,6.733
2020-08-01,6.733
2020-08-02,6.733
2020-08-03,6.733
2020-08-04,6.733
2020-08-05,6.733
2020-08-06,6.733
2020-08-07,6.733
2020-08-08,6.733
2020-08-09,6.733
2020-08-10,6.733
2020-08-11,6.733
2020-08-12,5.709
2020-08-13,5.751
2020-08-14,5.793
