,TGT US Equity
,BEST_DIV_YLD
2020-01-01,3.872
2020-01-02,3.938
2020-01-03,3.979
2020-01-04,3.979
2020-01-05,3.979
2020-01-06,4.017
2020-01-07,4.01
2020-01-08,4.023
2020-01-09,4.02
2020-01-10,3.98
2020-01-11,3.98
2020-01-12,3.98
2020-01-13,4.008
2020-01-14,3.963
2020-01-15,4.243
2020-01-16,4.268
2020-01-17,4.246
2020-01-18,4.246
2020-01-19,4.246
2020-01-20,4.246
2020-01-21,4.353
2020-01-22,4.359
2020-01-23,4.297
2020-01-24,4.343
2020-01-25,4.343
2020-01-26,4.343
2020-01-27,4.288
2020-01-28,4.301
2020-01-29,4.345
2020-01-30,4.329
2020-01-31,4.483
2020-02-01,4.483
2020-02-02,4.483
2020-02-03,4.413
2020-02-04,4.384
2020-02-05,4.297
2020-02-06,4.312
2020-02-07,4.294
2020-02-08,4.294
2020-02-09,4.294
2020-02-10,4.244
2020-02-11,4.254
2020-02-12,4.203
2020-02-13,4.197
2020-02-14,4.257
2020-02-15,4.257
2020-02-16,4.257
2020-02-17,4.257
2020-02-18,4.189
2020-02-19,4.205
2020-02-20,4.174
2020-02-21,4.219
2020-02-22,4.219
2020-02-23,4.219
2020-02-24,4.339
2020-02-25,4.419
2020-02-26,4.461
2020-02-27,4.674
2020-02-28,4.793
2020-02-29,4.793
2020-03-01,4.793
2020-03-02,4.526
2020-03-03,4.664
2020-03-04,4.578
2020-03-05,4.658
2020-03-06,4.659
2020-03-07,4.659
2020-03-08,4.659
2020-03-09,4.745
2020-03-10,4.557
2020-03-11,4.676
2020-03-12,5.33
2020-03-13,4.887
2020-03-14,4.887
2020-03-15,4.887
2020-03-16,5.263
2020-03-17,4.764
2020-03-18,4.801
2020-03-19,4.912
2020-03-20,5.068
2020-03-21,5.068
2020-03-22,5.068
2020-03-23,5.105
2020-03-24,4.909
2020-03-25,5.422
2020-03-26,5.138
2020-03-27,5.211
2020-03-28,5.211
2020-03-29,5.211
2020-03-30,5.142
2020-03-31,5.31
2020-04-01,5.182
2020-04-02,5.232
2020-04-03,5.333
2020-04-04,5.333
2020-04-05,5.333
2020-04-06,5.063
2020-04-07,5.024
2020-04-08,4.718
2020-04-09,4.737
2020-04-10,4.737
2020-04-11,4.737
2020-04-12,4.737
2020-04-13,4.716
2020-04-14,4.555
2020-04-15,4.647
2020-04-16,4.516
2020-04-17,4.352
2020-04-18,4.352
2020-04-19,4.352
2020-04-20,4.53
2020-04-21,4.618
2020-04-22,4.62
2020-04-23,4.753
2020-04-24,4.578
2020-04-25,4.578
