,SYF US Equity
,BEST_DIV_YLD
2020-01-01,2.997
2020-01-02,2.981
2020-01-03,3.024
2020-01-04,3.024
2020-01-05,3.024
2020-01-06,3.025
2020-01-07,3.068
2020-01-08,3.045
2020-01-09,3.046
2020-01-10,3.043
2020-01-11,3.043
2020-01-12,3.043
2020-01-13,3.048
2020-01-14,3.049
2020-01-15,3.066
2020-01-16,3.042
2020-01-17,3.018
2020-01-18,3.018
2020-01-19,3.018
2020-01-20,3.018
2020-01-21,3.022
2020-01-22,2.963
2020-01-23,2.981
2020-01-24,3.308
2020-01-25,3.308
2020-01-26,3.308
2020-01-27,3.352
2020-01-28,3.314
2020-01-29,3.307
2020-01-30,3.259
2020-01-31,3.33
2020-02-01,3.33
2020-02-02,3.33
2020-02-03,3.329
2020-02-04,3.306
2020-02-05,3.228
2020-02-06,3.23
2020-02-07,3.23
2020-02-08,3.23
2020-02-09,3.23
2020-02-10,3.223
2020-02-11,3.217
2020-02-12,3.193
2020-02-13,3.17
2020-02-14,3.177
2020-02-15,3.177
2020-02-16,3.177
2020-02-17,3.177
2020-02-18,3.223
2020-02-19,3.213
2020-02-20,3.187
2020-02-21,3.217
2020-02-22,3.217
2020-02-23,3.217
2020-02-24,3.325
2020-02-25,3.486
2020-02-26,3.505
2020-02-27,3.612
2020-02-28,3.684
2020-02-29,3.684
2020-03-01,3.684
2020-03-02,3.528
2020-03-03,3.714
2020-03-04,3.557
2020-03-05,3.664
2020-03-06,3.795
2020-03-07,3.795
2020-03-08,3.795
2020-03-09,4.285
2020-03-10,4.081
2020-03-11,4.378
2020-03-12,4.948
2020-03-13,4.443
2020-03-14,4.443
2020-03-15,4.443
2020-03-16,6.007
2020-03-17,6.141
2020-03-18,7.697
2020-03-19,7.344
2020-03-20,7.995
2020-03-21,7.995
2020-03-22,7.995
2020-03-23,8.376
2020-03-24,7.274
2020-03-25,6.436
2020-03-26,5.634
2020-03-27,6.27
2020-03-28,6.27
2020-03-29,6.27
2020-03-30,6.393
2020-03-31,6.664
2020-04-01,7.389
2020-04-02,7.493
2020-04-03,8.092
2020-04-04,8.092
2020-04-05,8.092
2020-04-06,6.922
2020-04-07,6.651
2020-04-08,6.374
2020-04-09,6.085
2020-04-10,6.085
2020-04-11,6.085
2020-04-12,6.085
2020-04-13,6.61
2020-04-14,6.743
2020-04-15,7.172
2020-04-16,7.567
2020-04-17,6.864
2020-04-18,6.864
2020-04-19,6.864
2020-04-20,6.877
2020-04-21,7.068
2020-04-22,6.68
2020-04-23,6.66
2020-04-24,6.318
2020-04-25,6.318
2020-04-26,6.318
2020-04-27,6.085
2020-04-28,5.721
2020-04-29,5.093
2020-04-30,5.418
2020-05-01,5.728
2020-05-02,5.728
