,MCO US Equity
,BEST_DIV_YLD
2020-01-01,1.556
2020-01-02,1.528
2020-01-03,1.532
2020-01-04,1.532
2020-01-05,1.532
2020-01-06,1.527
2020-01-07,1.532
2020-01-08,1.504
2020-01-09,1.484
2020-01-10,1.489
2020-01-11,1.489
2020-01-12,1.489
2020-01-13,1.469
2020-01-14,1.481
2020-01-15,1.46
2020-01-16,1.442
2020-01-17,1.434
2020-01-18,1.434
2020-01-19,1.434
2020-01-20,1.434
2020-01-21,1.441
2020-01-22,1.434
2020-01-23,1.437
2020-01-24,1.445
2020-01-25,1.445
2020-01-26,1.445
2020-01-27,1.448
2020-01-28,1.419
2020-01-29,1.417
2020-01-30,1.4
2020-01-31,1.438
2020-02-01,1.438
2020-02-02,1.438
2020-02-03,1.415
2020-02-04,1.384
2020-02-05,1.397
2020-02-06,1.378
2020-02-07,1.381
2020-02-08,1.381
2020-02-09,1.381
2020-02-10,1.376
2020-02-11,1.363
2020-02-12,1.351
2020-02-13,1.354
2020-02-14,1.329
2020-02-15,1.329
2020-02-16,1.329
2020-02-17,1.329
2020-02-18,1.316
2020-02-19,1.294
2020-02-20,1.324
2020-02-21,1.359
2020-02-22,1.359
2020-02-23,1.359
2020-02-24,1.384
2020-02-25,1.417
2020-02-26,1.412
2020-02-27,1.51
2020-02-28,1.535
2020-02-29,1.535
2020-03-01,1.535
2020-03-02,1.42
2020-03-03,1.458
2020-03-04,1.367
2020-03-05,1.459
2020-03-06,1.546
2020-03-07,1.546
2020-03-08,1.546
2020-03-09,1.748
2020-03-10,1.619
2020-03-11,1.745
2020-03-12,1.906
2020-03-13,1.73
2020-03-14,1.73
2020-03-15,1.73
2020-03-16,1.988
2020-03-17,1.824
2020-03-18,2.114
2020-03-19,2.072
2020-03-20,2.096
2020-03-21,2.096
2020-03-22,2.096
2020-03-23,2.233
2020-03-24,1.883
2020-03-25,1.779
2020-03-26,1.643
2020-03-27,1.674
2020-03-28,1.674
2020-03-29,1.674
2020-03-30,1.659
2020-03-31,1.743
2020-04-01,1.866
2020-04-02,1.783
2020-04-03,1.765
2020-04-04,1.765
2020-04-05,1.765
2020-04-06,1.608
2020-04-07,1.611
2020-04-08,1.627
2020-04-09,1.525
2020-04-10,1.525
2020-04-11,1.525
2020-04-12,1.525
2020-04-13,1.595
2020-04-14,1.55
2020-04-15,1.604
2020-04-16,1.57
2020-04-17,1.54
2020-04-18,1.54
2020-04-19,1.54
2020-04-20,1.539
2020-04-21,1.615
2020-04-22,1.537
2020-04-23,1.536
2020-04-24,1.503
2020-04-25,1.503
2020-04-26,1.503
2020-04-27,1.448
2020-04-28,1.462
2020-04-29,1.445
2020-04-30,1.511
2020-05-01,1.524
2020-05-02,1.524
2020-05-03,1.524
2020-05-04,1.502
2020-05-05,1.471
2020-05-06,1.526
2020-05-07,1.488
2020-05-08,1.464
2020-05-09,1.464
2020-05-10,1.464
2020-05-11,1.456
2020-05-12,1.471
2020-05-13,1.488
2020-05-14,1.452
2020-05-15,1.467
2020-05-16,1.467
