,OMC US Equity
,BEST_DIV_YLD
2020-01-01,4.646
2020-01-02,4.713
2020-01-03,4.709
2020-01-04,4.709
2020-01-05,4.709
2020-01-06,4.733
2020-01-07,4.758
2020-01-08,4.746
2020-01-09,4.72
2020-01-10,4.75
2020-01-11,4.75
2020-01-12,4.75
2020-01-13,4.724
2020-01-14,4.727
2020-01-15,4.737
2020-01-16,4.723
2020-01-17,4.677
2020-01-18,4.677
2020-01-19,4.677
2020-01-20,4.677
2020-01-21,4.69
2020-01-22,4.737
2020-01-23,4.78
2020-01-24,4.845
2020-01-25,4.845
2020-01-26,4.845
2020-01-27,4.897
2020-01-28,4.904
2020-01-29,4.939
2020-01-30,4.846
2020-01-31,4.889
2020-02-01,4.889
2020-02-02,4.889
2020-02-03,4.868
2020-02-04,4.799
2020-02-05,4.735
2020-02-06,4.808
2020-02-07,4.862
2020-02-08,4.862
2020-02-09,4.862
2020-02-10,4.782
2020-02-11,4.765
2020-02-12,4.67
2020-02-13,4.63
2020-02-14,4.633
2020-02-15,4.633
2020-02-16,4.633
2020-02-17,4.633
2020-02-18,4.605
2020-02-19,4.604
2020-02-20,4.595
2020-02-21,4.625
2020-02-22,4.625
2020-02-23,4.625
2020-02-24,4.748
2020-02-25,4.891
2020-02-26,4.999
2020-02-27,5.207
2020-02-28,5.225
2020-02-29,5.225
2020-03-01,5.225
2020-03-02,5.145
2020-03-03,5.232
2020-03-04,5.1
2020-03-05,5.314
2020-03-06,5.5
2020-03-07,5.5
2020-03-08,5.5
2020-03-09,5.937
2020-03-10,5.585
2020-03-11,5.761
2020-03-12,6.338
2020-03-13,5.697
2020-03-14,5.697
2020-03-15,5.697
2020-03-16,6.263
2020-03-17,6.023
2020-03-18,6.397
2020-03-19,6.536
2020-03-20,7.24
2020-03-21,7.24
2020-03-22,7.24
2020-03-23,7.421
2020-03-24,6.962
2020-03-25,6.872
2020-03-26,6.361
2020-03-27,6.896
2020-03-28,6.896
2020-03-29,6.896
2020-03-30,6.526
2020-03-31,6.529
2020-04-01,6.937
2020-04-02,6.878
2020-04-03,7.228
2020-04-04,7.228
2020-04-05,7.228
2020-04-06,6.601
2020-04-07,6.135
2020-04-08,6.089
2020-04-09,5.861
2020-04-10,5.861
2020-04-11,5.861
2020-04-12,5.861
2020-04-13,5.971
2020-04-14,5.988
2020-04-15,6.407
2020-04-16,6.278
2020-04-17,6.1
2020-04-18,6.1
2020-04-19,6.1
2020-04-20,6.174
2020-04-21,6.484
2020-04-22,6.567
2020-04-23,6.465
2020-04-24,6.398
2020-04-25,6.398
2020-04-26,6.398
2020-04-27,6.126
2020-04-28,5.892
2020-04-29,5.393
2020-04-30,5.802
2020-05-01,5.921
2020-05-02,5.921
2020-05-03,5.921
2020-05-04,6.097
2020-05-05,6.103
2020-05-06,6.09
2020-05-07,6.17
2020-05-08,6.005
2020-05-09,6.005
2020-05-10,6.005
2020-05-11,6.174
2020-05-12,6.307
2020-05-13,6.667
2020-05-14,6.51
2020-05-15,6.426
2020-05-16,6.426
2020-05-17,6.426
2020-05-18,6.152
2020-05-19,6.255
2020-05-20,6.237
2020-05-21,6.307
2020-05-22,6.317
2020-05-23,6.317
2020-05-24,6.317
2020-05-25,6.317
2020-05-26,6.047
2020-05-27,5.658
2020-05-28,5.929
2020-05-29,5.97
2020-05-30,5.97
2020-05-31,5.97
2020-06-01,5.885
2020-06-02,5.919
2020-06-03,5.725
2020-06-04,5.653
2020-06-05,5.381
2020-06-06,5.381
2020-06-07,5.381
2020-06-08,5.119
2020-06-09,5.421
2020-06-10,5.628
2020-06-11,5.94
2020-06-12,5.877
2020-06-13,5.877
2020-06-14,5.877
2020-06-15,5.743
2020-06-16,5.738
2020-06-17,5.839
2020-06-18,5.836
2020-06-19,6.065
2020-06-20,6.065
2020-06-21,6.065
2020-06-22,6.13
2020-06-23,5.978
2020-06-24,6.166
2020-06-25,6.125
2020-06-26,6.128
2020-06-27,6.128
2020-06-28,6.128
2020-06-29,5.957
2020-06-30,5.923
2020-07-01,5.93
2020-07-02,5.922
2020-07-03,5.922
2020-07-04,5.922
2020-07-05,5.922
2020-07-06,5.853
2020-07-07,5.805
2020-07-08,5.927
2020-07-09,6.149
2020-07-10,5.76
2020-07-11,5.76
2020-07-12,5.76
2020-07-13,5.685
2020-07-14,5.651
2020-07-15,5.513
2020-07-16,5.511
2020-07-17,5.566
2020-07-18,5.566
2020-07-19,5.566
2020-07-20,5.744
2020-07-21,5.688
2020-07-22,5.638
2020-07-23,5.503
2020-07-24,5.481
2020-07-25,5.481
2020-07-26,5.481
2020-07-27,5.437
2020-07-28,5.671
2020-07-29,5.738
2020-07-30,5.82
2020-07-31,5.769
2020-08-01,5.769
2020-08-02,5.769
2020-08-03,5.773
2020-08-04,5.833
2020-08-05,5.882
2020-08-06,5.775
2020-08-07,5.819
2020-08-08,5.819
2020-08-09,5.819
2020-08-10,5.635
2020-08-11,5.561
2020-08-12,5.725
2020-08-13,5.707
2020-08-14,5.652
2020-08-15,5.652
2020-08-16,5.652
2020-08-17,5.759
2020-08-18,5.728
2020-08-19,5.769
2020-08-20,5.864
2020-08-21,5.899
2020-08-22,5.899
2020-08-23,5.899
2020-08-24,5.689
2020-08-25,5.762
2020-08-26,5.777
2020-08-27,5.64
2020-08-28,5.625
2020-08-29,5.625
2020-08-30,5.625
2020-08-31,5.731
2020-09-01,6.459
2020-09-02,6.35
2020-09-03,6.308
2020-09-04,6.333
2020-09-05,6.333
2020-09-06,6.333
2020-09-07,6.333
2020-09-08,6.362
2020-09-09,6.462
2020-09-10,6.612
2020-09-11,6.546
2020-09-12,6.546
2020-09-13,6.546
2020-09-14,6.362
2020-09-15,6.376
2020-09-16,6.352
2020-09-17,6.391
2020-09-18,6.563
2020-09-19,6.563
2020-09-20,6.563
2020-09-21,6.87
2020-09-22,6.806
2020-09-23,6.931
2020-09-24,6.919
2020-09-25,6.884
2020-09-26,6.884
2020-09-27,6.884
2020-09-28,6.816
2020-09-29,6.926
2020-09-30,6.835
2020-10-01,6.825
2020-10-02,6.591
2020-10-03,6.591
2020-10-04,6.591
2020-10-05,6.544
2020-10-06,6.605
2020-10-07,6.488
2020-10-08,6.365
2020-10-09,6.448
2020-10-10,6.448
2020-10-11,6.448
2020-10-12,6.296
2020-10-13,6.366
2020-10-14,6.328
2020-10-15,6.375
2020-10-16,6.412
2020-10-17,6.412
2020-10-18,6.412
2020-10-19,6.619
2020-10-20,6.579
2020-10-21,6.534
2020-10-22,6.524
2020-10-23,6.383
2020-10-24,6.383
2020-10-25,6.383
2020-10-26,6.567
2020-10-27,6.893
