,OGS US Equity
,BEST_DIV_YLD
2020-01-01,3.552
2020-01-02,3.596
2020-01-03,3.591
2020-01-04,3.591
2020-01-05,3.591
2020-01-06,3.609
2020-01-07,3.653
2020-01-08,3.671
2020-01-09,3.664
2020-01-10,3.631
2020-01-11,3.631
2020-01-12,3.631
2020-01-13,3.58
2020-01-14,3.578
2020-01-15,3.529
2020-01-16,3.51
2020-01-17,3.516
2020-01-18,3.516
2020-01-19,3.516
2020-01-20,3.516
2020-01-21,3.495
2020-01-22,3.495
2020-01-23,3.495
2020-01-24,3.495
2020-01-25,3.495
2020-01-26,3.495
2020-01-27,3.495
2020-01-28,3.495
2020-01-29,3.495
2020-01-30,3.495
2020-01-31,3.495
2020-02-01,3.495
2020-02-02,3.495
2020-02-03,3.495
2020-02-04,3.495
2020-02-05,3.495
2020-02-06,3.495
2020-02-07,3.495
2020-02-08,3.495
2020-02-09,3.495
2020-02-10,3.495
2020-02-11,3.495
2020-02-12,3.495
2020-02-13,3.495
2020-02-14,3.495
2020-02-15,3.495
2020-02-16,3.495
2020-02-17,3.495
2020-02-18,3.495
2020-02-19,3.495
2020-02-20,3.495
2020-02-21,3.495
2020-02-22,3.495
2020-02-23,3.495
2020-02-24,3.495
2020-02-25,3.495
2020-02-26,3.495
2020-02-27,3.495
2020-02-28,3.495
2020-02-29,3.495
2020-03-01,3.495
2020-03-02,3.495
2020-03-03,3.495
2020-03-04,3.495
2020-03-05,3.495
2020-03-06,3.495
2020-03-07,3.495
2020-03-08,3.495
2020-03-09,3.495
2020-03-10,3.495
2020-03-11,3.495
2020-03-12,3.495
2020-03-13,3.495
2020-03-14,3.495
2020-03-15,3.495
2020-03-16,3.495
2020-03-17,3.495
2020-03-18,4.42
2020-03-19,4.189
2020-03-20,4.696
2020-03-21,4.696
2020-03-22,4.696
2020-03-23,4.719
2020-03-24,4.424
2020-03-25,4.442
2020-03-26,4.101
2020-03-27,4.019
2020-03-28,4.019
2020-03-29,4.019
2020-03-30,3.821
2020-03-31,3.816
2020-04-01,4.123
2020-04-02,4.042
2020-04-03,4.095
2020-04-04,4.095
2020-04-05,4.095
2020-04-06,3.718
2020-04-07,3.853
2020-04-08,3.692
2020-04-09,3.504
2020-04-10,3.504
2020-04-11,3.504
2020-04-12,3.504
2020-04-13,3.667
2020-04-14,3.536
2020-04-15,3.734
2020-04-16,3.715
2020-04-17,3.595
2020-04-18,3.595
2020-04-19,3.595
2020-04-20,3.799
2020-04-21,3.743
2020-04-22,3.669
2020-04-23,3.722
2020-04-24,3.722
2020-04-25,3.722
2020-04-26,3.722
2020-04-27,3.722
2020-04-28,3.722
2020-04-29,3.722
2020-04-30,3.722
2020-05-01,3.722
2020-05-02,3.722
2020-05-03,3.722
2020-05-04,3.722
2020-05-05,3.722
2020-05-06,3.722
2020-05-07,3.722
2020-05-08,3.722
2020-05-09,3.722
2020-05-10,3.722
2020-05-11,3.722
2020-05-12,3.722
2020-05-13,3.722
2020-05-14,3.722
2020-05-15,3.722
2020-05-16,3.722
2020-05-17,3.722
2020-05-18,3.722
2020-05-19,3.722
2020-05-20,3.722
2020-05-21,3.722
