,MAR US Equity
,BEST_DIV_YLD
2020-01-01,1.236
2020-01-02,1.236
2020-01-03,1.254
2020-01-04,1.254
2020-01-05,1.254
2020-01-06,1.271
2020-01-07,1.292
2020-01-08,1.276
2020-01-09,1.278
2020-01-10,1.288
2020-01-11,1.288
2020-01-12,1.288
2020-01-13,1.275
2020-01-14,1.272
2020-01-15,1.271
2020-01-16,1.256
2020-01-17,1.246
2020-01-18,1.246
2020-01-19,1.246
2020-01-20,1.246
2020-01-21,1.246
2020-01-22,1.246
2020-01-23,1.246
2020-01-24,1.246
2020-01-25,1.246
2020-01-26,1.246
2020-01-27,1.246
2020-01-28,1.246
2020-01-29,1.246
2020-01-30,1.246
2020-01-31,1.246
2020-02-01,1.246
2020-02-02,1.246
2020-02-03,1.246
2020-02-04,1.246
2020-02-05,1.246
2020-02-06,1.246
2020-02-07,1.246
2020-02-08,1.246
2020-02-09,1.246
2020-02-10,1.246
2020-02-11,1.246
2020-02-12,1.246
2020-02-13,1.246
2020-02-14,1.246
2020-02-15,1.246
2020-02-16,1.246
2020-02-17,1.246
2020-02-18,1.246
2020-02-19,1.246
2020-02-20,1.246
2020-02-21,1.246
2020-02-22,1.246
2020-02-23,1.246
2020-02-24,1.246
2020-02-25,1.246
2020-02-26,1.246
2020-02-27,1.246
2020-02-28,2.268
2020-02-29,2.268
2020-03-01,2.268
2020-03-02,2.287
2020-03-03,2.592
2020-03-04,2.545
2020-03-05,2.732
2020-03-06,2.721
2020-03-07,2.721
2020-03-08,2.721
2020-03-09,2.89
2020-03-10,2.738
2020-03-11,3.008
2020-03-12,3.213
2020-03-13,3.149
2020-03-14,3.149
2020-03-15,3.149
2020-03-16,3.484
2020-03-17,4.002
2020-03-18,4.61
2020-03-19,3.992
2020-03-20,3.575
2020-03-21,3.575
2020-03-22,3.575
2020-03-23,3.705
2020-03-24,3.283
2020-03-25,3.14
2020-03-26,3.232
2020-03-27,3.395
2020-03-28,3.395
2020-03-29,3.395
2020-03-30,3.515
2020-03-31,3.578
2020-04-01,3.709
2020-04-02,4.071
2020-04-03,4.341
2020-04-04,4.341
2020-04-05,4.341
2020-04-06,3.633
2020-04-07,3.474
2020-04-08,3.108
2020-04-09,3.154
2020-04-10,3.154
2020-04-11,3.154
2020-04-12,3.154
2020-04-13,3.284
2020-04-14,3.102
2020-04-15,3.177
2020-04-16,3.19
2020-04-17,2.89
2020-04-18,2.89
2020-04-19,2.89
2020-04-20,3.053
2020-04-21,3.048
2020-04-22,3.043
2020-04-23,3.003
2020-04-24,3.017
2020-04-25,3.017
2020-04-26,3.017
2020-04-27,2.856
2020-04-28,2.786
2020-04-29,2.537
2020-04-30,2.678
2020-05-01,2.873
2020-05-02,2.873
2020-05-03,2.873
2020-05-04,2.949
2020-05-05,2.911
2020-05-06,3.002
2020-05-07,2.832
2020-05-08,2.794
2020-05-09,2.794
2020-05-10,2.794
2020-05-11,2.81
2020-05-12,2.916
2020-05-13,3.073
2020-05-14,2.854
2020-05-15,2.836
2020-05-16,2.836
2020-05-17,2.836
2020-05-18,2.416
2020-05-19,2.495
2020-05-20,2.441
2020-05-21,2.476
2020-05-22,2.484
2020-05-23,2.484
2020-05-24,2.484
2020-05-25,2.484
2020-05-26,2.383
2020-05-27,2.309
2020-05-28,2.468
2020-05-29,2.556
2020-05-30,2.556
2020-05-31,2.556
2020-06-01,2.102
2020-06-02,2.089
2020-06-03,1.999
2020-06-04,1.905
2020-06-05,1.85
2020-06-06,1.85
2020-06-07,1.85
2020-06-08,1.765
2020-06-09,1.861
2020-06-10,1.946
2020-06-11,2.184
2020-06-12,2.165
2020-06-13,2.165
2020-06-14,2.165
2020-06-15,2.2
2020-06-16,2.125
2020-06-17,2.192
2020-06-18,2.153
2020-06-19,2.227
2020-06-20,2.227
2020-06-21,2.227
2020-06-22,2.215
2020-06-23,2.204
2020-06-24,2.35
2020-06-25,2.376
2020-06-26,2.467
2020-06-27,2.467
2020-06-28,2.467
2020-06-29,2.306
2020-06-30,2.33
2020-07-01,2.306
2020-07-02,2.275
2020-07-03,2.275
2020-07-04,2.275
2020-07-05,2.275
2020-07-06,2.223
2020-07-07,2.284
2020-07-08,2.219
2020-07-09,2.316
2020-07-10,2.256
2020-07-11,2.256
2020-07-12,2.256
2020-07-13,2.282
2020-07-14,2.292
2020-07-15,2.124
2020-07-16,2.145
2020-07-17,2.183
2020-07-18,2.183
2020-07-19,2.183
2020-07-20,2.257
2020-07-21,2.22
2020-07-22,2.334
2020-07-23,2.382
2020-07-24,2.422
2020-07-25,2.422
2020-07-26,2.422
2020-07-27,2.457
2020-07-28,2.449
2020-07-29,2.432
2020-07-30,2.479
2020-07-31,2.528
2020-08-01,2.528
2020-08-02,2.528
2020-08-03,2.538
2020-08-04,2.462
2020-08-05,2.429
2020-08-06,2.345
2020-08-07,2.26
2020-08-08,2.26
2020-08-09,2.26
2020-08-10,2.182
2020-08-11,2.216
2020-08-12,2.239
2020-08-13,2.228
2020-08-14,2.239
2020-08-15,2.239
2020-08-16,2.239
2020-08-17,2.246
2020-08-18,2.277
2020-08-19,2.287
2020-08-20,2.203
2020-08-21,2.174
