,AAPL US Equity
,BEST_DIV_YLD
2020-01-01,1.4
2020-01-02,1.369
2020-01-03,1.382
2020-01-04,1.382
2020-01-05,1.382
2020-01-06,1.371
2020-01-07,1.378
2020-01-08,1.356
2020-01-09,1.328
2020-01-10,1.325
2020-01-11,1.325
2020-01-12,1.325
2020-01-13,1.297
2020-01-14,1.315
2020-01-15,1.32
2020-01-16,1.304
2020-01-17,1.29
2020-01-18,1.29
2020-01-19,1.29
2020-01-20,1.29
2020-01-21,1.299
2020-01-22,1.294
2020-01-23,1.288
2020-01-24,1.292
2020-01-25,1.292
2020-01-26,1.292
2020-01-27,1.331
2020-01-28,1.294
2020-01-29,1.268
2020-01-30,1.269
2020-01-31,1.328
2020-02-01,1.328
2020-02-02,1.328
2020-02-03,1.332
2020-02-04,1.289
2020-02-05,1.279
2020-02-06,1.264
2020-02-07,1.282
2020-02-08,1.282
2020-02-09,1.282
2020-02-10,1.275
2020-02-11,1.283
2020-02-12,1.253
2020-02-13,1.262
2020-02-14,1.262
2020-02-15,1.262
2020-02-16,1.262
2020-02-17,1.262
2020-02-18,1.286
2020-02-19,1.267
2020-02-20,1.28
2020-02-21,1.31
2020-02-22,1.31
2020-02-23,1.31
2020-02-24,1.375
2020-02-25,1.424
2020-02-26,1.401
2020-02-27,1.499
2020-02-28,1.5
2020-02-29,1.5
2020-03-01,1.5
2020-03-02,1.373
2020-03-03,1.418
2020-03-04,1.355
2020-03-05,1.4
2020-03-06,1.419
2020-03-07,1.419
2020-03-08,1.419
2020-03-09,1.541
2020-03-10,1.437
2020-03-11,1.489
2020-03-12,1.652
2020-03-13,1.475
2020-03-14,1.475
2020-03-15,1.475
2020-03-16,1.693
2020-03-17,1.622
2020-03-18,1.663
2020-03-19,1.676
2020-03-20,1.789
2020-03-21,1.789
2020-03-22,1.789
2020-03-23,1.828
2020-03-24,1.661
2020-03-25,1.67
2020-03-26,1.587
2020-03-27,1.655
2020-03-28,1.655
2020-03-29,1.655
2020-03-30,1.61
2020-03-31,1.613
2020-04-01,1.702
2020-04-02,1.674
2020-04-03,1.699
2020-04-04,1.699
2020-04-05,1.699
2020-04-06,1.563
2020-04-07,1.581
2020-04-08,1.541
2020-04-09,1.53
2020-04-10,1.53
2020-04-11,1.53
2020-04-12,1.53
2020-04-13,1.501
2020-04-14,1.429
2020-04-15,1.442
2020-04-16,1.431
2020-04-17,1.45
2020-04-18,1.45
2020-04-19,1.45
2020-04-20,1.481
2020-04-21,1.528
2020-04-22,1.485
2020-04-23,1.491
2020-04-24,1.449
2020-04-25,1.449
2020-04-26,1.449
2020-04-27,1.448
2020-04-28,1.472
2020-04-29,1.425
2020-04-30,1.396
2020-05-01,1.419
2020-05-02,1.419
2020-05-03,1.419
2020-05-04,1.399
2020-05-05,1.378
2020-05-06,1.364
2020-05-07,1.35
2020-05-08,1.319
2020-05-09,1.319
2020-05-10,1.319
2020-05-11,1.298
2020-05-12,1.313
2020-05-13,1.33
2020-05-14,1.321
2020-05-15,1.329
2020-05-16,1.329
2020-05-17,1.329
2020-05-18,1.299
2020-05-19,1.306
2020-05-20,1.281
2020-05-21,1.291
2020-05-22,1.283
2020-05-23,1.283
2020-05-24,1.283
2020-05-25,1.283
2020-05-26,1.291
2020-05-27,1.286
2020-05-28,1.285
2020-05-29,1.286
2020-05-30,1.286
2020-05-31,1.286
2020-06-01,1.271
2020-06-02,1.265
2020-06-03,1.258
2020-06-04,1.269
2020-06-05,1.234
2020-06-06,1.234
2020-06-07,1.234
2020-06-08,1.227
