,SPR US Equity
,BEST_DIV_YLD
2020-01-01,1.446
2020-01-02,1.418
2020-01-03,1.424
2020-01-04,1.424
2020-01-05,1.424
2020-01-06,1.428
2020-01-07,1.405
2020-01-08,1.425
2020-01-09,1.448
2020-01-10,1.512
2020-01-11,1.512
2020-01-12,1.512
2020-01-13,1.555
2020-01-14,1.55
2020-01-15,1.576
2020-01-16,1.55
2020-01-17,1.566
2020-01-18,1.566
2020-01-19,1.566
2020-01-20,1.566
2020-01-21,1.628
2020-01-22,1.599
2020-01-23,1.556
2020-01-24,1.496
2020-01-25,1.496
2020-01-26,1.496
2020-01-27,1.528
2020-01-28,1.543
2020-01-29,1.558
2020-01-30,1.619
2020-01-31,1.613
2020-02-01,1.613
2020-02-02,1.613
2020-02-03,1.648
2020-02-04,1.608
2020-02-05,1.57
2020-02-06,1.504
2020-02-07,1.521
2020-02-08,1.521
2020-02-09,1.521
2020-02-10,1.518
2020-02-11,1.537
2020-02-12,1.527
2020-02-13,1.528
2020-02-14,1.552
2020-02-15,1.552
2020-02-16,1.552
2020-02-17,1.552
2020-02-18,1.582
2020-02-19,1.606
2020-02-20,1.62
2020-02-21,1.611
2020-02-22,1.611
2020-02-23,1.611
2020-02-24,1.684
2020-02-25,1.779
2020-02-26,1.785
2020-02-27,1.88
2020-02-28,1.994
2020-02-29,1.994
2020-03-01,1.994
2020-03-02,1.989
2020-03-03,2.099
2020-03-04,2.065
2020-03-05,2.315
2020-03-06,2.224
2020-03-07,2.224
2020-03-08,2.224
2020-03-09,2.5
2020-03-10,2.389
2020-03-11,1.858
2020-03-12,2.156
2020-03-13,2.052
2020-03-14,2.052
2020-03-15,2.052
2020-03-16,2.71
2020-03-17,3.029
2020-03-18,3.862
2020-03-19,3.805
2020-03-20,3.872
2020-03-21,3.872
2020-03-22,3.872
2020-03-23,3.43
2020-03-24,2.843
2020-03-25,2.271
2020-03-26,1.972
2020-03-27,2.445
2020-03-28,2.445
2020-03-29,2.445
2020-03-30,2.999
2020-03-31,3.039
2020-04-01,3.708
2020-04-02,3.882
2020-04-03,3.946
2020-04-04,3.946
2020-04-05,3.946
2020-04-06,3.739
2020-04-07,3.961
2020-04-08,3.414
2020-04-09,3.22
2020-04-10,3.22
2020-04-11,3.22
2020-04-12,3.22
2020-04-13,3.521
2020-04-14,3.638
2020-04-15,3.476
2020-04-16,3.809
2020-04-17,3.212
2020-04-18,3.212
2020-04-19,3.212
2020-04-20,3.484
2020-04-21,3.754
2020-04-22,3.845
2020-04-23,3.76
2020-04-24,4.02
2020-04-25,4.02
2020-04-26,4.02
2020-04-27,3.799
