,IBP US Equity
,BEST_DIV_YLD
2020-01-01,1.942
2020-01-02,1.936
2020-01-03,1.923
2020-01-04,1.923
2020-01-05,1.923
2020-01-06,1.915
2020-01-07,1.937
2020-01-08,1.908
2020-01-09,1.928
2020-01-10,1.913
2020-01-11,1.913
2020-01-12,1.913
2020-01-13,1.876
2020-01-14,1.842
2020-01-15,1.765
2020-01-16,1.784
2020-01-17,1.789
2020-01-18,1.789
2020-01-19,1.789
2020-01-20,1.789
2020-01-21,1.758
2020-01-22,1.748
2020-01-23,1.691
2020-01-24,1.736
2020-01-25,1.736
2020-01-26,1.736
2020-01-27,1.751
2020-01-28,1.73
2020-01-29,1.745
2020-01-30,1.746
2020-01-31,1.804
2020-02-01,1.804
2020-02-02,1.804
2020-02-03,1.771
2020-02-04,1.781
2020-02-05,1.744
2020-02-06,1.749
2020-02-07,1.765
2020-02-08,1.765
2020-02-09,1.765
2020-02-10,1.761
2020-02-11,1.764
2020-02-12,1.794
2020-02-13,1.79
2020-02-14,1.774
2020-02-15,1.774
2020-02-16,1.774
2020-02-17,1.774
2020-02-18,1.777
2020-02-19,1.73
2020-02-20,1.717
2020-02-21,1.69
2020-02-22,1.69
2020-02-23,1.69
2020-02-24,1.729
2020-02-25,1.898
2020-02-26,1.919
2020-02-27,1.943
2020-02-28,2.025
2020-02-29,2.025
2020-03-01,2.025
2020-03-02,2.063
2020-03-03,2.035
2020-03-04,1.853
2020-03-05,1.927
2020-03-06,2.063
2020-03-07,2.063
2020-03-08,2.063
2020-03-09,2.488
2020-03-10,2.405
2020-03-11,2.696
2020-03-12,3.173
2020-03-13,2.864
2020-03-14,2.864
2020-03-15,2.864
2020-03-16,3.884
2020-03-17,3.653
2020-03-18,4.41
2020-03-19,3.705
2020-03-20,3.68
2020-03-21,3.68
2020-03-22,3.68
2020-03-23,3.859
2020-03-24,3.417
2020-03-25,3.01
2020-03-26,2.84
2020-03-27,3.022
2020-03-28,3.022
2020-03-29,3.022
2020-03-30,3.278
2020-03-31,3.354
2020-04-01,3.959
2020-04-02,3.893
2020-04-03,4.244
2020-04-04,4.244
2020-04-05,4.244
2020-04-06,3.503
2020-04-07,3.511
2020-04-08,3.063
2020-04-09,2.984
2020-04-10,2.984
2020-04-11,2.984
2020-04-12,2.984
2020-04-13,3.274
2020-04-14,3.224
2020-04-15,3.469
2020-04-16,3.663
2020-04-17,3.234
2020-04-18,3.234
2020-04-19,3.234
2020-04-20,3.447
2020-04-21,3.539
2020-04-22,3.582
2020-04-23,3.505
2020-04-24,3.317
2020-04-25,3.317
2020-04-26,3.317
2020-04-27,3.116
2020-04-28,2.875
2020-04-29,2.533
2020-04-30,2.712
2020-05-01,2.866
2020-05-02,2.866
2020-05-03,2.866
2020-05-04,2.854
