,EFX US Equity
,BEST_DIV_YLD
2020-11-28,0.969
2020-11-29,0.969
2020-11-30,0.957
2020-12-01,0.957
2020-12-02,0.97
2020-12-03,0.966
2020-12-04,0.959
2020-12-05,0.959
2020-12-06,0.959
2020-12-07,0.935
2020-12-08,0.867
2020-12-09,0.887
2020-12-10,0.871
2020-12-11,0.849
2020-12-12,0.849
2020-12-13,0.849
2020-12-14,0.844
2020-12-15,0.825
2020-12-16,0.826
2020-12-17,0.824
2020-12-18,0.818
2020-12-19,0.818
2020-12-20,0.818
2020-12-21,0.821
2020-12-22,0.823
2020-12-23,0.828
2020-12-24,0.823
2020-12-25,0.823
2020-12-26,0.823
2020-12-27,0.823
2020-12-28,0.825
2020-12-29,0.837
2020-12-30,0.835
2020-12-31,0.828
2021-01-01,0.828
2021-01-02,0.828
2021-01-03,0.828
2021-01-04,0.85
2021-01-05,0.841
2021-01-06,0.878
2021-01-07,0.881
2021-01-08,0.858
2021-01-09,0.858
2021-01-10,0.858
2021-01-11,0.865
2021-01-12,0.868
2021-01-13,1.127
2021-01-14,1.156
2021-01-15,1.16
2021-01-16,1.16
2021-01-17,1.16
2021-01-18,1.16
2021-01-19,1.166
2021-01-20,1.152
2021-01-21,1.15
2021-01-22,1.148
2021-01-23,1.148
2021-01-24,1.148
2021-01-25,1.148
2021-01-26,1.137
2021-01-27,1.149
2021-01-28,1.133
2021-01-29,1.159
2021-01-30,1.159
2021-01-31,1.159
2021-02-01,1.138
2021-02-02,1.137
2021-02-03,1.148
2021-02-04,1.135
2021-02-05,1.149
2021-02-06,1.149
2021-02-07,1.149
2021-02-08,1.144
2021-02-09,1.12
2021-02-10,1.122
2021-02-11,1.16
2021-02-12,1.049
2021-02-13,1.049
2021-02-14,1.049
2021-02-15,1.049
2021-02-16,1.063
2021-02-17,1.052
2021-02-18,1.046
2021-02-19,1.05
2021-02-20,1.05
2021-02-21,1.05
2021-02-22,1.091
2021-02-23,1.079
2021-02-24,1.086
2021-02-25,1.134
2021-02-26,1.145
2021-02-27,1.145
2021-02-28,1.145
2021-03-01,1.113
2021-03-02,1.116
2021-03-03,1.11
2021-03-04,1.132
2021-03-05,1.092
2021-03-06,1.092
2021-03-07,1.092
2021-03-08,1.071
2021-03-09,1.06
2021-03-10,1.074
2021-03-11,1.206
2021-03-12,1.207
2021-03-13,1.207
2021-03-14,1.207
2021-03-15,1.185
2021-03-16,1.193
2021-03-17,1.197
2021-03-18,1.192
2021-03-19,1.182
2021-03-20,1.182
2021-03-21,1.182
2021-03-22,1.175
2021-03-23,1.173
2021-03-24,1.18
2021-03-25,1.163
2021-03-26,1.128
2021-03-27,1.128
2021-03-28,1.128
2021-03-29,1.121
2021-03-30,1.123
2021-03-31,1.136
2021-04-01,1.127
2021-04-02,1.127
2021-04-03,1.127
2021-04-04,1.127
2021-04-05,1.102
2021-04-06,1.112
2021-04-07,1.134
2021-04-08,1.12
2021-04-09,1.108
2021-04-10,1.108
2021-04-11,1.108
2021-04-12,1.099
2021-04-13,1.095
2021-04-14,1.109
2021-04-15,1.093
2021-04-16,1.078
2021-04-17,1.078
2021-04-18,1.078
2021-04-19,1.086
2021-04-20,1.071
2021-04-21,1.069
2021-04-22,0.93
2021-04-23,0.896
2021-04-24,0.896
2021-04-25,0.896
2021-04-26,0.922
2021-04-27,0.887
2021-04-28,0.915
2021-04-29,0.912
2021-04-30,0.907
2021-05-01,0.907
2021-05-02,0.907
2021-05-03,0.889
2021-05-04,0.877
2021-05-05,0.867
2021-05-06,0.877
2021-05-07,0.868
2021-05-08,0.868
2021-05-09,0.868
2021-05-10,0.869
2021-05-11,0.871
2021-05-12,0.891
2021-05-13,0.877
2021-05-14,0.868
2021-05-15,0.868
2021-05-16,0.868
2021-05-17,0.875
2021-05-18,0.89
2021-05-19,0.891
2021-05-20,0.891
2021-05-21,0.877
2021-05-22,0.877
2021-05-23,0.877
2021-05-24,0.874
2021-05-25,0.883
2021-05-26,0.89
2021-05-27,0.881
2021-05-28,0.883
2021-05-29,0.883
2021-05-30,0.883
2021-05-31,0.883
2021-06-01,0.89
2021-06-02,0.896
2021-06-03,0.906
2021-06-04,0.889
2021-06-05,0.889
2021-06-06,0.889
2021-06-07,0.907
2021-06-08,0.903
2021-06-09,0.908
2021-06-10,0.906
2021-06-11,0.899
2021-06-12,0.899
2021-06-13,0.899
2021-06-14,0.907
2021-06-15,0.897
2021-06-16,0.899
2021-06-17,0.886
2021-06-18,0.891
2021-06-19,0.891
2021-06-20,0.891
2021-06-21,0.869
2021-06-22,0.872
2021-06-23,0.884
2021-06-24,0.868
2021-06-25,0.868
2021-06-26,0.868
2021-06-27,0.868
2021-06-28,0.874
2021-06-29,0.867
2021-06-30,0.866
2021-07-01,0.861
2021-07-02,0.856
2021-07-03,0.856
2021-07-04,0.856
2021-07-05,0.856
2021-07-06,0.844
2021-07-07,1.023
2021-07-08,1.037
2021-07-09,1.022
2021-07-10,1.022
2021-07-11,1.022
2021-07-12,1.027
2021-07-13,1.036
2021-07-14,1.027
2021-07-15,1.013
2021-07-16,0.997
2021-07-17,0.997
2021-07-18,0.997
2021-07-19,1.021
2021-07-20,0.99
2021-07-21,0.996
2021-07-22,1.017
2021-07-23,1.003
2021-07-24,1.003
2021-07-25,1.003
2021-07-26,0.995
2021-07-27,0.983
2021-07-28,0.981
2021-07-29,0.974
2021-07-30,0.974
2021-07-31,0.974
2021-08-01,0.974
2021-08-02,0.982
2021-08-03,0.978
2021-08-04,0.992
2021-08-05,0.993
2021-08-06,1.0
2021-08-07,1.0
2021-08-08,1.0
2021-08-09,1.003
2021-08-10,0.98
2021-08-11,0.816
2021-08-12,0.821
2021-08-13,0.819
2021-08-14,0.819
2021-08-15,0.819
2021-08-16,0.818
2021-08-17,0.814
2021-08-18,0.838
2021-08-19,0.824
2021-08-20,0.825
2021-08-21,0.825
2021-08-22,0.825
2021-08-23,0.82
2021-08-24,0.823
2021-08-25,0.805
2021-08-26,0.81
2021-08-27,0.799
2021-08-28,0.799
2021-08-29,0.799
2021-08-30,0.798
2021-08-31,0.783
2021-09-01,0.779
2021-09-02,0.767
2021-09-03,0.765
2021-09-04,0.765
2021-09-05,0.765
2021-09-06,0.765
2021-09-07,0.776
2021-09-08,0.772
2021-09-09,0.771
2021-09-10,0.78
2021-09-11,0.78
2021-09-12,0.78
2021-09-13,0.777
2021-09-14,0.777
2021-09-15,0.779
2021-09-16,0.794
2021-09-17,0.81
2021-09-18,0.81
2021-09-19,0.81
2021-09-20,0.826
2021-09-21,0.838
2021-09-22,0.828
2021-09-23,0.82
2021-09-24,0.819
2021-09-25,0.819
2021-09-26,0.819
2021-09-27,0.828
2021-09-28,0.848
2021-09-29,0.848
2021-09-30,0.858
2021-10-01,0.848
2021-10-02,0.848
2021-10-03,0.848
2021-10-04,0.858
2021-10-05,0.841
2021-10-06,0.846
2021-10-07,0.838
2021-10-08,0.841
2021-10-09,0.841
2021-10-10,0.841
2021-10-11,0.844
2021-10-12,0.851
2021-10-13,0.853
2021-10-14,0.833
2021-10-15,0.824
2021-10-16,0.824
2021-10-17,0.824
2021-10-18,0.809
2021-10-19,0.796
2021-10-20,0.806
2021-10-21,0.851
2021-10-22,0.81
2021-10-23,0.81
2021-10-24,0.81
2021-10-25,0.791
2021-10-26,0.802
2021-10-27,0.813
2021-10-28,0.789
2021-10-29,0.784
2021-10-30,0.784
2021-10-31,0.784
2021-11-01,0.739
2021-11-02,0.748
2021-11-03,0.739
2021-11-04,0.721
2021-11-05,0.721
2021-11-06,0.721
2021-11-07,0.721
2021-11-08,0.715
2021-11-09,0.712
2021-11-10,0.74
2021-11-11,0.744
2021-11-12,0.733
2021-11-13,0.733
2021-11-14,0.733
2021-11-15,0.727
2021-11-16,0.704
2021-11-17,0.653
2021-11-18,0.656
2021-11-19,0.657
2021-11-20,0.657
2021-11-21,0.657
2021-11-22,0.675
2021-11-23,0.67
2021-11-24,0.668
2021-11-25,0.668
2021-11-26,0.682
2021-11-27,0.682
2021-11-28,0.682
2021-11-29,0.667
2021-11-30,0.68
2021-12-01,0.683
2021-12-02,0.651
2021-12-03,0.671
2021-12-04,0.671
2021-12-05,0.671
2021-12-06,0.671
2021-12-07,0.649
2021-12-08,0.642
2021-12-09,0.649
2021-12-10,0.642
2021-12-11,0.642
2021-12-12,0.642
2021-12-13,0.638
2021-12-14,0.657
2021-12-15,0.65
2021-12-16,0.653
2021-12-17,0.685
2021-12-18,0.685
2021-12-19,0.685
2021-12-20,0.687
2021-12-21,0.676
2021-12-22,0.669
2021-12-23,0.66
2021-12-24,0.66
2021-12-25,0.66
2021-12-26,0.66
2021-12-27,0.651
2021-12-28,0.644
2021-12-29,0.644
2021-12-30,0.65
2021-12-31,0.647
2022-01-01,0.647
2022-01-02,0.647
2022-01-03,0.667
2022-01-04,0.663
2022-01-05,0.678
2022-01-06,0.677
2022-01-07,0.708
2022-01-08,0.708
2022-01-09,0.708
2022-01-10,0.727
2022-01-11,0.72
2022-01-12,0.724
2022-01-13,0.743
2022-01-14,0.759
2022-01-15,0.759
2022-01-16,0.759
2022-01-17,0.759
2022-01-18,0.787
2022-01-19,0.81
2022-01-20,0.829
2022-01-21,0.84
2022-01-22,0.84
2022-01-23,0.84
2022-01-24,0.809
2022-01-25,0.838
2022-01-26,0.836
2022-01-27,0.842
2022-01-28,0.809
2022-01-29,0.809
2022-01-30,0.809
2022-01-31,0.79
2022-02-01,0.782
2022-02-02,0.773
2022-02-03,0.812
2022-02-04,0.809
2022-02-05,0.809
2022-02-06,0.809
2022-02-07,0.808
2022-02-08,0.803
2022-02-09,0.788
2022-02-10,0.788
2022-02-11,0.81
2022-02-12,0.81
2022-02-13,0.81
2022-02-14,0.825
2022-02-15,0.822
2022-02-16,0.822
2022-02-17,0.86
2022-02-18,0.854
2022-02-19,0.854
2022-02-20,0.854
2022-02-21,0.854
2022-02-22,0.857
2022-02-23,0.874
2022-02-24,0.842
2022-02-25,0.832
2022-02-26,0.832
2022-02-27,0.832
2022-02-28,0.833
2022-03-01,0.83
2022-03-02,0.81
2022-03-03,0.811
2022-03-04,0.799
2022-03-05,0.799
2022-03-06,0.799
2022-03-07,0.835
2022-03-08,0.837
2022-03-09,0.808
2022-03-10,0.804
2022-03-11,0.812
2022-03-12,0.812
2022-03-13,0.812
2022-03-14,0.796
2022-03-15,0.788
2022-03-16,0.778
2022-03-17,0.731
2022-03-18,0.725
2022-03-19,0.725
2022-03-20,0.725
2022-03-21,0.735
2022-03-22,0.73
2022-03-23,0.739
2022-03-24,0.739
2022-03-25,0.743
2022-03-26,0.743
2022-03-27,0.743
2022-03-28,0.733
2022-03-29,0.719
2022-03-30,0.73
2022-03-31,0.744
2022-04-01,0.754
2022-04-02,0.754
2022-04-03,0.754
2022-04-04,0.752
2022-04-05,0.761
2022-04-06,0.791
2022-04-07,0.786
2022-04-08,0.777
2022-04-09,0.777
2022-04-10,0.777
2022-04-11,0.785
2022-04-12,0.788
2022-04-13,0.797
2022-04-14,0.846
2022-04-15,0.846
2022-04-16,0.846
2022-04-17,0.846
2022-04-18,0.86
2022-04-19,0.838
2022-04-20,0.827
2022-04-21,0.895
2022-04-22,0.858
2022-04-23,0.858
2022-04-24,0.858
2022-04-25,0.818
2022-04-26,0.841
2022-04-27,0.871
2022-04-28,0.846
2022-04-29,0.858
2022-04-30,0.858
2022-05-01,0.858
2022-05-02,0.85
2022-05-03,0.852
2022-05-04,0.808
2022-05-05,0.866
2022-05-06,0.879
2022-05-07,0.879
2022-05-08,0.879
2022-05-09,0.904
2022-05-10,0.9
2022-05-11,0.942
2022-05-12,0.936
2022-05-13,0.91
2022-05-14,0.91
2022-05-15,0.91
2022-05-16,0.92
2022-05-17,0.914
2022-05-18,0.959
2022-05-19,0.944
2022-05-20,0.927
2022-05-21,0.927
2022-05-22,0.927
2022-05-23,0.916
2022-05-24,0.94
2022-05-25,0.92
2022-05-26,0.89
2022-05-27,0.873
2022-05-28,0.873
2022-05-29,0.873
2022-05-30,0.873
2022-05-31,0.889
2022-06-01,0.907
2022-06-02,0.884
2022-06-03,0.898
2022-06-04,0.898
2022-06-05,0.898
2022-06-06,0.903
2022-06-07,0.898
2022-06-08,0.918
2022-06-09,0.938
2022-06-10,0.982
2022-06-11,0.982
2022-06-12,0.982
2022-06-13,1.002
2022-06-14,1.047
2022-06-15,1.009
2022-06-16,1.057
2022-06-17,1.04
2022-06-18,1.04
2022-06-19,1.04
2022-06-20,1.04
2022-06-21,1.027
2022-06-22,0.996
2022-06-23,0.987
2022-06-24,0.974
2022-06-25,0.974
2022-06-26,0.974
2022-06-27,0.973
2022-06-28,1.003
2022-06-29,0.999
2022-06-30,0.979
2022-07-01,0.959
2022-07-02,0.959
2022-07-03,0.959
2022-07-04,0.959
2022-07-05,0.962
2022-07-06,0.947
2022-07-07,0.937
2022-07-08,0.939
2022-07-09,0.939
2022-07-10,0.939
2022-07-11,0.943
2022-07-12,0.956
2022-07-13,0.969
2022-07-14,0.942
2022-07-15,0.927
2022-07-16,0.927
2022-07-17,0.927
2022-07-18,0.931
2022-07-19,0.888
2022-07-20,0.87
2022-07-21,0.89
2022-07-22,0.888
2022-07-23,0.888
2022-07-24,0.888
2022-07-25,0.9
2022-07-26,0.923
2022-07-27,0.878
2022-07-28,0.84
2022-07-29,0.834
2022-07-30,0.834
2022-07-31,0.834
2022-08-01,0.827
2022-08-02,0.845
2022-08-03,0.805
2022-08-04,0.802
2022-08-05,0.807
2022-08-06,0.807
2022-08-07,0.807
2022-08-08,0.805
2022-08-09,0.808
2022-08-10,0.781
2022-08-11,0.786
2022-08-12,0.771
2022-08-13,0.771
2022-08-14,0.771
2022-08-15,0.805
2022-08-16,0.821
2022-08-17,0.828
2022-08-18,0.833
2022-08-19,0.85
2022-08-20,0.85
2022-08-21,0.85
2022-08-22,0.854
2022-08-23,0.867
2022-08-24,0.861
2022-08-25,0.854
2022-08-26,0.899
2022-08-27,0.899
2022-08-28,0.899
2022-08-29,0.923
2022-08-30,0.934
2022-08-31,0.939
2022-09-01,0.933
2022-09-02,0.944
2022-09-03,0.944
2022-09-04,0.944
2022-09-05,0.944
2022-09-06,0.944
2022-09-07,0.914
2022-09-08,0.901
2022-09-09,0.897
2022-09-10,0.897
2022-09-11,0.897
2022-09-12,0.891
2022-09-13,0.925
2022-09-14,0.941
2022-09-15,0.948
2022-09-16,0.966
2022-09-17,0.966
2022-09-18,0.966
2022-09-19,0.969
2022-09-20,0.995
2022-09-21,1.001
2022-09-22,1.027
2022-09-23,1.012
2022-09-24,1.012
2022-09-25,1.012
2022-09-26,1.021
2022-09-27,1.045
2022-09-28,1.022
2022-09-29,1.059
2022-09-30,1.032
2022-10-01,1.032
2022-10-02,1.032
