,DRI US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,6.024
2020-01-10,6.015
2020-01-11,6.015
2020-01-12,6.015
2020-01-13,6.084
2020-01-14,6.141
2020-01-15,6.191
2020-01-16,6.097
2020-01-17,6.07
2020-01-18,6.07
2020-01-19,6.07
2020-01-20,6.07
2020-01-21,6.015
2020-01-22,5.993
2020-01-23,5.858
2020-01-24,5.885
2020-01-25,5.885
2020-01-26,5.885
2020-01-27,5.921
2020-01-28,5.867
2020-01-29,5.78
2020-01-30,5.829
2020-01-31,5.918
2020-02-01,5.918
2020-02-02,5.918
2020-02-03,5.996
2020-02-04,5.963
2020-02-05,5.865
2020-02-06,5.671
2020-02-07,5.708
2020-02-08,5.708
2020-02-09,5.708
2020-02-10,5.658
2020-02-11,5.637
2020-02-12,5.627
2020-02-13,5.635
2020-02-14,5.661
2020-02-15,5.661
2020-02-16,5.661
2020-02-17,5.661
2020-02-18,5.719
2020-02-19,5.71
2020-02-20,5.71
2020-02-21,5.69
2020-02-22,5.69
2020-02-23,5.69
2020-02-24,5.845
2020-02-25,6.166
2020-02-26,6.435
2020-02-27,6.935
2020-02-28,7.067
2020-02-29,7.067
2020-03-01,7.067
2020-03-02,6.974
2020-03-03,7.229
2020-03-04,7.248
2020-03-05,7.834
2020-03-06,7.817
2020-03-07,7.817
2020-03-08,7.817
2020-03-09,8.899
2020-03-10,8.342
2020-03-11,9.814
2020-03-12,11.645
2020-03-13,10.549
2020-03-14,10.549
2020-03-15,10.549
2020-03-16,14.002
2020-03-17,16.433
2020-03-18,20.171
2020-03-19,12.117
2020-03-20,13.179
2020-03-21,13.179
2020-03-22,13.179
2020-03-23,12.527
2020-03-24,6.362
2020-03-25,5.866
2020-03-26,5.661
2020-03-27,6.272
2020-03-28,6.272
2020-03-29,6.272
2020-03-30,6.031
2020-03-31,6.295
2020-04-01,7.45
2020-04-02,7.737
2020-04-03,7.538
2020-04-04,7.538
2020-04-05,7.538
2020-04-06,6.543
2020-04-07,5.815
2020-04-08,5.393
2020-04-09,5.329
2020-04-10,5.329
2020-04-11,5.329
2020-04-12,5.329
2020-04-13,5.631
2020-04-14,5.607
2020-04-15,5.832
2020-04-16,5.913
2020-04-17,5.412
2020-04-18,5.412
2020-04-19,5.412
2020-04-20,5.549
2020-04-21,5.414
2020-04-22,5.02
2020-04-23,5.127
2020-04-24,4.982
2020-04-25,4.982
2020-04-26,4.982
2020-04-27,4.735
2020-04-28,4.583
2020-04-29,4.384
2020-04-30,4.646
2020-05-01,4.908
2020-05-02,4.908
2020-05-03,4.908
2020-05-04,4.855
2020-05-05,4.969
2020-05-06,5.026
2020-05-07,4.861
2020-05-08,4.588
2020-05-09,4.588
2020-05-10,4.588
2020-05-11,4.637
2020-05-12,4.875
2020-05-13,5.204
2020-05-14,5.143
2020-05-15,4.925
2020-05-16,4.925
2020-05-17,4.925
2020-05-18,4.544
2020-05-19,4.522
2020-05-20,4.377
2020-05-21,4.44
2020-05-22,4.533
2020-05-23,4.533
2020-05-24,4.533
2020-05-25,4.533
2020-05-26,4.369
2020-05-27,4.204
2020-05-28,4.312
2020-05-29,4.461
2020-05-30,4.461
2020-05-31,4.461
2020-06-01,4.378
2020-06-02,4.389
2020-06-03,3.99
2020-06-04,3.985
2020-06-05,4.006
2020-06-06,4.006
2020-06-07,4.006
2020-06-08,4.046
2020-06-09,4.238
2020-06-10,4.408
2020-06-11,4.701
2020-06-12,4.515
2020-06-13,4.515
2020-06-14,4.515
2020-06-15,4.482
2020-06-16,4.469
2020-06-17,4.621
2020-06-18,4.625
2020-06-19,5.396
2020-06-20,5.396
2020-06-21,5.396
2020-06-22,5.315
2020-06-23,5.032
2020-06-24,5.355
2020-06-25,5.084
2020-06-26,5.198
2020-06-27,5.198
2020-06-28,5.198
2020-06-29,4.948
2020-06-30,5.005
2020-07-01,4.982
2020-07-02,5.751
2020-07-03,5.751
2020-07-04,5.751
2020-07-05,5.751
2020-07-06,5.735
2020-07-07,5.958
2020-07-08,5.882
2020-07-09,5.723
2020-07-10,5.663
2020-07-11,5.663
2020-07-12,5.663
2020-07-13,5.601
2020-07-14,5.598
2020-07-15,5.16
2020-07-16,5.324
2020-07-17,5.267
2020-07-18,5.267
2020-07-19,5.267
2020-07-20,5.496
2020-07-21,4.4
2020-07-22,4.293
2020-07-23,4.362
2020-07-24,4.225
2020-07-25,4.225
2020-07-26,4.225
2020-07-27,4.35
2020-07-28,4.38
2020-07-29,4.214
2020-07-30,4.229
2020-07-31,4.377
2020-08-01,4.377
2020-08-02,4.377
2020-08-03,4.46
2020-08-04,4.344
2020-08-05,4.386
2020-08-06,4.343
2020-08-07,4.202
2020-08-08,4.202
2020-08-09,4.202
2020-08-10,4.075
2020-08-11,3.948
2020-08-12,3.927
