,SCHW US Equity
,BEST_DIV_YLD
2020-01-01,2.122
2020-01-02,2.093
2020-01-03,2.147
2020-01-04,2.147
2020-01-05,2.147
2020-01-06,2.132
2020-01-07,2.12
2020-01-08,2.107
2020-01-09,2.098
2020-01-10,2.112
2020-01-11,2.112
2020-01-12,2.112
2020-01-13,2.102
2020-01-14,2.116
2020-01-15,2.142
2020-01-16,2.06
2020-01-17,2.088
2020-01-18,2.088
2020-01-19,2.088
2020-01-20,2.088
2020-01-21,2.083
2020-01-22,2.063
2020-01-23,2.084
2020-01-24,2.141
2020-01-25,2.141
2020-01-26,2.141
2020-01-27,2.206
2020-01-28,2.019
2020-01-29,2.035
2020-01-30,1.981
2020-01-31,2.053
2020-02-01,2.053
2020-02-02,2.053
2020-02-03,2.047
2020-02-04,1.986
2020-02-05,1.936
2020-02-06,1.955
2020-02-07,1.976
2020-02-08,1.976
2020-02-09,1.976
2020-02-10,1.999
2020-02-11,1.961
2020-02-12,1.956
2020-02-13,1.97
2020-02-14,1.972
2020-02-15,1.972
2020-02-16,1.972
2020-02-17,1.972
2020-02-18,1.993
2020-02-19,1.963
2020-02-20,1.917
2020-02-21,2.016
2020-02-22,2.016
2020-02-23,2.016
2020-02-24,2.127
2020-02-25,2.239
2020-02-26,2.249
2020-02-27,2.222
2020-02-28,2.286
2020-02-29,2.286
2020-03-01,2.286
2020-03-02,2.219
2020-03-03,2.432
2020-03-04,2.507
2020-03-05,2.676
2020-03-06,2.729
2020-03-07,2.729
2020-03-08,2.729
2020-03-09,3.077
2020-03-10,2.828
2020-03-11,2.872
2020-03-12,3.276
2020-03-13,2.75
2020-03-14,2.75
2020-03-15,2.75
2020-03-16,3.048
2020-03-17,2.765
2020-03-18,2.873
2020-03-19,2.927
2020-03-20,3.029
2020-03-21,3.029
2020-03-22,3.029
2020-03-23,3.268
2020-03-24,3.032
2020-03-25,2.726
2020-03-26,2.727
2020-03-27,2.771
2020-03-28,2.771
2020-03-29,2.771
2020-03-30,2.771
2020-03-31,2.771
2020-04-01,2.771
2020-04-02,2.771
2020-04-03,2.771
2020-04-04,2.771
2020-04-05,2.771
2020-04-06,2.771
2020-04-07,2.771
2020-04-08,2.771
2020-04-09,2.771
2020-04-10,2.771
2020-04-11,2.771
2020-04-12,2.771
2020-04-13,2.771
2020-04-14,2.771
2020-04-15,2.771
2020-04-16,2.771
2020-04-17,2.771
2020-04-18,2.771
2020-04-19,2.771
2020-04-20,2.771
2020-04-21,2.771
2020-04-22,2.125
2020-04-23,2.138
2020-04-24,2.153
2020-04-25,2.153
2020-04-26,2.153
2020-04-27,2.069
2020-04-28,2.055
2020-04-29,1.965
2020-04-30,2.02
2020-05-01,2.091
2020-05-02,2.091
2020-05-03,2.091
2020-05-04,2.139
2020-05-05,2.184
2020-05-06,2.204
2020-05-07,2.156
2020-05-08,2.076
2020-05-09,2.076
2020-05-10,2.076
2020-05-11,2.115
2020-05-12,2.209
2020-05-13,2.287
2020-05-14,2.27
2020-05-15,2.328
2020-05-16,2.328
2020-05-17,2.328
2020-05-18,2.216
2020-05-19,2.298
2020-05-20,2.25
2020-05-21,2.282
2020-05-22,2.309
2020-05-23,2.309
2020-05-24,2.309
2020-05-25,2.309
2020-05-26,2.197
2020-05-27,2.044
2020-05-28,2.105
2020-05-29,2.111
2020-05-30,2.111
2020-05-31,2.111
2020-06-01,2.076
2020-06-02,2.041
2020-06-03,1.919
2020-06-04,1.819
2020-06-05,1.77
2020-06-06,1.77
2020-06-07,1.77
2020-06-08,1.813
2020-06-09,1.887
2020-06-10,1.989
2020-06-11,2.097
2020-06-12,2.074
2020-06-13,2.074
2020-06-14,2.074
2020-06-15,2.068
2020-06-16,2.053
2020-06-17,2.067
2020-06-18,2.056
2020-06-19,2.067
2020-06-20,2.067
2020-06-21,2.067
2020-06-22,2.082
2020-06-23,2.112
2020-06-24,2.243
2020-06-25,2.224
2020-06-26,2.388
2020-06-27,2.388
2020-06-28,2.388
2020-06-29,2.315
2020-06-30,2.247
2020-07-01,2.296
2020-07-02,2.27
2020-07-03,2.27
2020-07-04,2.27
2020-07-05,2.27
2020-07-06,2.216
2020-07-07,2.237
2020-07-08,2.202
2020-07-09,2.238
2020-07-10,2.178
