,ETR US Equity
,BEST_DIV_YLD
2020-01-01,4.155
2020-01-02,4.221
2020-01-03,4.193
2020-01-04,4.193
2020-01-05,4.193
2020-01-06,4.178
2020-01-07,4.178
2020-01-08,4.184
2020-01-09,4.139
2020-01-10,4.127
2020-01-11,4.127
2020-01-12,4.127
2020-01-13,4.096
2020-01-14,4.094
2020-01-15,4.023
2020-01-16,3.984
2020-01-17,4.104
2020-01-18,4.104
2020-01-19,4.104
2020-01-20,4.104
2020-01-21,4.07
2020-01-22,4.053
2020-01-23,3.989
2020-01-24,3.965
2020-01-25,3.965
2020-01-26,3.965
2020-01-27,4.001
2020-01-28,3.988
2020-01-29,3.971
2020-01-30,3.935
2020-01-31,3.941
2020-02-01,3.941
2020-02-02,3.941
2020-02-03,3.921
2020-02-04,3.97
2020-02-05,3.97
2020-02-06,3.945
2020-02-07,3.929
2020-02-08,3.929
2020-02-09,3.929
2020-02-10,3.901
2020-02-11,3.901
2020-02-12,3.913
2020-02-13,3.863
2020-02-14,3.838
2020-02-15,3.838
2020-02-16,3.838
2020-02-17,3.838
2020-02-18,3.819
2020-02-19,3.868
2020-02-20,3.916
2020-02-21,3.961
2020-02-22,3.961
2020-02-23,3.961
2020-02-24,3.968
2020-02-25,4.076
2020-02-26,4.097
2020-02-27,4.261
2020-02-28,4.403
2020-02-29,4.403
2020-03-01,4.403
2020-03-02,4.147
2020-03-03,4.223
2020-03-04,4.01
2020-03-05,4.039
2020-03-06,4.142
2020-03-07,4.142
2020-03-08,4.142
2020-03-09,4.461
2020-03-10,4.315
2020-03-11,4.612
2020-03-12,5.064
2020-03-13,5.001
2020-03-14,5.001
2020-03-15,5.001
2020-03-16,5.934
2020-03-17,5.167
2020-03-18,5.957
2020-03-19,6.124
2020-03-20,6.435
2020-03-21,6.435
2020-03-22,6.435
2020-03-23,6.584
2020-03-24,5.875
2020-03-25,5.701
2020-03-26,5.244
2020-03-27,5.21
2020-03-28,5.21
2020-03-29,5.21
2020-03-30,5.068
2020-03-31,5.397
2020-04-01,5.926
2020-04-02,5.75
2020-04-03,6.082
2020-04-04,6.082
2020-04-05,6.082
2020-04-06,5.453
2020-04-07,5.415
2020-04-08,5.045
2020-04-09,4.928
2020-04-10,4.928
2020-04-11,4.928
2020-04-12,4.928
2020-04-13,5.181
2020-04-14,5.038
2020-04-15,5.212
2020-04-16,5.22
2020-04-17,5.008
2020-04-18,5.008
2020-04-19,5.008
2020-04-20,5.125
2020-04-21,5.222
2020-04-22,4.969
2020-04-23,5.097
2020-04-24,5.068
2020-04-25,5.068
2020-04-26,5.068
2020-04-27,4.879
2020-04-28,4.959
2020-04-29,5.024
2020-04-30,5.175
2020-05-01,5.283
2020-05-02,5.283
2020-05-03,5.283
2020-05-04,5.18
2020-05-05,5.109
2020-05-06,5.283
2020-05-07,5.277
2020-05-08,5.153
2020-05-09,5.153
2020-05-10,5.153
2020-05-11,5.088
2020-05-12,5.099
2020-05-13,5.202
2020-05-14,5.156
2020-05-15,5.154
2020-05-16,5.154
2020-05-17,5.154
2020-05-18,4.924
2020-05-19,5.07
2020-05-20,5.016
2020-05-21,5.014
2020-05-22,4.997
2020-05-23,4.997
2020-05-24,4.997
2020-05-25,4.997
2020-05-26,4.908
2020-05-27,4.922
2020-05-28,4.75
2020-05-29,4.808
2020-05-30,4.808
2020-05-31,4.808
2020-06-01,4.768
2020-06-02,4.729
2020-06-03,4.705
2020-06-04,4.836
2020-06-05,4.719
2020-06-06,4.719
2020-06-07,4.719
2020-06-08,4.623
2020-06-09,4.737
2020-06-10,4.791
2020-06-11,5.059
2020-06-12,5.077
2020-06-13,5.077
2020-06-14,5.077
2020-06-15,5.037
2020-06-16,4.999
2020-06-17,5.043
2020-06-18,5.021
2020-06-19,5.179
2020-06-20,5.179
2020-06-21,5.179
2020-06-22,5.048
2020-06-23,5.153
