,GIS US Equity
,BEST_DIV_YLD
2020-01-01,4.896
2020-01-02,5.03
2020-01-03,5.048
2020-01-04,5.048
2020-01-05,5.048
2020-01-06,4.986
2020-01-07,5.02
2020-01-08,4.949
2020-01-09,4.96
2020-01-10,4.972
2020-01-11,4.972
2020-01-12,4.972
2020-01-13,4.896
2020-01-14,4.902
2020-01-15,4.868
2020-01-16,4.836
2020-01-17,4.824
2020-01-18,4.824
2020-01-19,4.824
2020-01-20,4.824
2020-01-21,4.781
2020-01-22,4.813
2020-01-23,4.79
2020-01-24,4.837
2020-01-25,4.837
2020-01-26,4.837
2020-01-27,4.881
2020-01-28,4.901
2020-01-29,4.899
2020-01-30,4.835
2020-01-31,4.975
2020-02-01,4.975
2020-02-02,4.975
2020-02-03,4.903
2020-02-04,4.944
2020-02-05,4.943
2020-02-06,5.024
2020-02-07,5.006
2020-02-08,5.006
2020-02-09,5.006
2020-02-10,4.962
2020-02-11,4.924
2020-02-12,4.908
2020-02-13,4.903
2020-02-14,4.873
2020-02-15,4.873
2020-02-16,4.873
2020-02-17,4.873
2020-02-18,4.852
2020-02-19,4.88
2020-02-20,4.799
2020-02-21,4.818
2020-02-22,4.818
2020-02-23,4.818
2020-02-24,4.836
2020-02-25,4.946
2020-02-26,4.983
2020-02-27,5.181
2020-02-28,5.302
2020-02-29,5.302
2020-03-01,5.302
2020-03-02,5.053
2020-03-03,5.03
2020-03-04,4.796
2020-03-05,4.784
2020-03-06,4.743
2020-03-07,4.743
2020-03-08,4.743
2020-03-09,4.798
2020-03-10,4.803
2020-03-11,4.914
2020-03-12,5.196
2020-03-13,4.858
2020-03-14,4.858
2020-03-15,4.858
2020-03-16,4.867
2020-03-17,4.354
2020-03-18,4.499
2020-03-19,4.84
2020-03-20,4.868
2020-03-21,4.868
2020-03-22,4.868
2020-03-23,5.495
2020-03-24,5.386
2020-03-25,5.452
2020-03-26,5.196
2020-03-27,5.013
2020-03-28,5.013
2020-03-29,5.013
2020-03-30,4.802
2020-03-31,4.923
2020-04-01,4.891
2020-04-02,4.734
2020-04-03,4.581
2020-04-04,4.581
2020-04-05,4.581
2020-04-06,4.502
2020-04-07,4.603
2020-04-08,4.621
2020-04-09,4.487
2020-04-10,4.487
2020-04-11,4.487
2020-04-12,4.487
2020-04-13,4.466
2020-04-14,4.376
2020-04-15,4.361
2020-04-16,4.243
2020-04-17,4.245
2020-04-18,4.245
2020-04-19,4.245
2020-04-20,4.239
2020-04-21,4.308
2020-04-22,4.279
2020-04-23,4.313
2020-04-24,4.258
2020-04-25,4.258
2020-04-26,4.258
2020-04-27,4.294
2020-04-28,4.225
2020-04-29,4.271
2020-04-30,4.3
2020-05-01,4.322
2020-05-02,4.322
2020-05-03,4.322
2020-05-04,4.312
2020-05-05,4.306
2020-05-06,4.367
2020-05-07,4.382
2020-05-08,4.309
2020-05-09,4.309
2020-05-10,4.309
2020-05-11,4.235
2020-05-12,4.12
2020-05-13,4.052
2020-05-14,4.14
2020-05-15,4.121
2020-05-16,4.121
2020-05-17,4.121
2020-05-18,4.182
2020-05-19,4.241
2020-05-20,4.227
2020-05-21,4.296
2020-05-22,4.295
2020-05-23,4.295
2020-05-24,4.295
2020-05-25,4.295
2020-05-26,4.298
2020-05-27,4.234
2020-05-28,4.16
2020-05-29,4.085
2020-05-30,4.085
2020-05-31,4.085
2020-06-01,4.053
2020-06-02,4.061
2020-06-03,4.19
2020-06-04,4.239
2020-06-05,4.222
2020-06-06,4.222
2020-06-07,4.222
2020-06-08,4.144
2020-06-09,4.1
2020-06-10,4.102
2020-06-11,4.251
2020-06-12,4.282
2020-06-13,4.282
2020-06-14,4.282
2020-06-15,4.231
2020-06-16,4.168
2020-06-17,4.167
2020-06-18,4.17
2020-06-19,4.182
2020-06-20,4.182
2020-06-21,4.182
2020-06-22,4.186
2020-06-23,4.222
2020-06-24,4.272
2020-06-25,4.269
2020-06-26,4.349
2020-06-27,4.349
2020-06-28,4.349
2020-06-29,4.24
2020-06-30,4.177
2020-07-01,3.971
2020-07-02,3.999
2020-07-03,3.999
2020-07-04,3.999
2020-07-05,3.999
2020-07-06,3.953
2020-07-07,3.904
2020-07-08,3.906
2020-07-09,3.9
2020-07-10,3.838
2020-07-11,3.838
2020-07-12,3.838
2020-07-13,3.838
2020-07-14,3.743
2020-07-15,3.776
2020-07-16,3.771
2020-07-17,3.774
2020-07-18,3.774
2020-07-19,3.774
2020-07-20,3.833
2020-07-21,3.782
2020-07-22,3.769
2020-07-23,3.753
2020-07-24,3.798
2020-07-25,3.798
2020-07-26,3.798
2020-07-27,3.807
2020-07-28,3.78
2020-07-29,3.79
2020-07-30,3.843
2020-07-31,3.855
2020-08-01,3.855
2020-08-02,3.855
2020-08-03,3.776
2020-08-04,3.711
2020-08-05,3.787
2020-08-06,3.801
2020-08-07,3.791
2020-08-08,3.791
2020-08-09,3.791
2020-08-10,3.826
2020-08-11,3.926
2020-08-12,3.868
2020-08-13,3.874
2020-08-14,3.855
2020-08-15,3.855
2020-08-16,3.855
2020-08-17,3.795
2020-08-18,3.774
2020-08-19,3.784
2020-08-20,3.799
2020-08-21,3.81
2020-08-22,3.81
2020-08-23,3.81
2020-08-24,3.804
2020-08-25,3.817
2020-08-26,3.797
2020-08-27,3.77
2020-08-28,3.848
2020-08-29,3.848
2020-08-30,3.848
2020-08-31,3.814
2020-09-01,3.865
2020-09-02,3.782
2020-09-03,3.874
2020-09-04,3.895
2020-09-05,3.895
2020-09-06,3.895
2020-09-07,3.895
2020-09-08,4.132
2020-09-09,4.101
2020-09-10,4.205
2020-09-11,4.202
2020-09-12,4.202
2020-09-13,4.202
2020-09-14,4.186
2020-09-15,4.167
2020-09-16,4.187
2020-09-17,4.272
2020-09-18,4.291
2020-09-19,4.291
2020-09-20,4.291
2020-09-21,4.25
2020-09-22,4.241
2020-09-23,4.261
2020-09-24,4.225
2020-09-25,4.345
2020-09-26,4.345
2020-09-27,4.345
2020-09-28,4.328
2020-09-29,4.372
2020-09-30,4.243
2020-10-01,4.183
2020-10-02,4.186
2020-10-03,4.186
2020-10-04,4.186
2020-10-05,4.175
2020-10-06,4.274
2020-10-07,4.249
2020-10-08,4.228
2020-10-09,4.195
2020-10-10,4.195
2020-10-11,4.195
2020-10-12,4.163
2020-10-13,4.138
2020-10-14,4.18
2020-10-15,4.14
2020-10-16,4.161
2020-10-17,4.161
2020-10-18,4.161
2020-10-19,4.235
2020-10-20,4.247
2020-10-21,4.257
2020-10-22,4.233
2020-10-23,4.201
2020-10-24,4.201
2020-10-25,4.201
2020-10-26,4.256
2020-10-27,4.247
2020-10-28,4.361
2020-10-29,4.383
2020-10-30,4.39
2020-10-31,4.39
2020-11-01,4.39
2020-11-02,4.345
2020-11-03,4.263
2020-11-04,4.292
2020-11-05,4.286
2020-11-06,4.25
2020-11-07,4.25
2020-11-08,4.25
2020-11-09,4.447
2020-11-10,4.405
2020-11-11,4.334
