,WDR US Equity
,BEST_DIV_YLD
2020-01-01,5.558
2020-01-02,5.578
2020-01-03,5.666
2020-01-04,5.666
2020-01-05,5.666
2020-01-06,5.666
2020-01-07,5.625
2020-01-08,5.615
2020-01-09,5.555
2020-01-10,5.528
2020-01-11,5.528
2020-01-12,5.528
2020-01-13,5.468
2020-01-14,5.433
2020-01-15,5.693
2020-01-16,5.563
2020-01-17,5.682
2020-01-18,5.682
2020-01-19,5.682
2020-01-20,5.682
2020-01-21,5.751
2020-01-22,5.706
2020-01-23,5.72
2020-01-24,5.814
2020-01-25,5.814
2020-01-26,5.814
2020-01-27,6.003
2020-01-28,5.977
2020-01-29,5.951
2020-01-30,5.821
2020-01-31,5.985
2020-02-01,5.985
2020-02-02,5.985
2020-02-03,5.907
2020-02-04,5.918
2020-02-05,5.785
2020-02-06,5.691
2020-02-07,5.785
2020-02-08,5.785
2020-02-09,5.785
2020-02-10,5.792
2020-02-11,5.675
2020-02-12,5.83
2020-02-13,5.904
2020-02-14,6.046
2020-02-15,6.046
2020-02-16,6.046
2020-02-17,6.046
2020-02-18,6.095
2020-02-19,6.012
2020-02-20,5.965
2020-02-21,6.087
2020-02-22,6.087
2020-02-23,6.087
2020-02-24,6.351
2020-02-25,6.564
2020-02-26,6.631
2020-02-27,7.08
2020-02-28,7.24
2020-02-29,7.24
2020-03-01,7.24
2020-03-02,6.976
2020-03-03,7.1
2020-03-04,6.923
2020-03-05,7.131
2020-03-06,7.352
2020-03-07,7.352
2020-03-08,7.352
2020-03-09,7.938
2020-03-10,7.758
2020-03-11,7.864
2020-03-12,8.588
2020-03-13,6.872
2020-03-14,6.872
2020-03-15,6.872
2020-03-16,7.092
2020-03-17,6.236
2020-03-18,6.413
2020-03-19,6.433
2020-03-20,6.912
2020-03-21,6.912
2020-03-22,6.912
2020-03-23,7.302
2020-03-24,7.192
2020-03-25,7.231
2020-03-26,6.924
2020-03-27,7.256
2020-03-28,7.256
2020-03-29,7.256
2020-03-30,7.001
2020-03-31,7.173
2020-04-01,7.503
2020-04-02,7.224
2020-04-03,7.239
2020-04-04,7.239
2020-04-05,7.239
2020-04-06,6.747
2020-04-07,6.822
2020-04-08,6.481
2020-04-09,6.053
2020-04-10,6.053
2020-04-11,6.053
2020-04-12,6.053
2020-04-13,6.164
2020-04-14,5.936
2020-04-15,6.174
2020-04-16,7.14
2020-04-17,6.904
2020-04-18,6.904
2020-04-19,6.904
2020-04-20,6.877
2020-04-21,6.964
2020-04-22,6.915
2020-04-23,7.17
2020-04-24,7.17
2020-04-25,7.17
2020-04-26,7.17
2020-04-27,6.703
2020-04-28,6.868
2020-04-29,6.688
2020-04-30,6.642
2020-05-01,6.859
2020-05-02,6.859
2020-05-03,6.859
2020-05-04,6.854
2020-05-05,7.069
2020-05-06,7.217
2020-05-07,7.132
2020-05-08,6.878
2020-05-09,6.878
2020-05-10,6.878
2020-05-11,6.796
2020-05-12,6.988
2020-05-13,7.457
2020-05-14,7.451
2020-05-15,7.52
2020-05-16,7.52
2020-05-17,7.52
2020-05-18,7.038
2020-05-19,7.371
2020-05-20,7.18
2020-05-21,7.206
2020-05-22,7.316
2020-05-23,7.316
2020-05-24,7.316
2020-05-25,7.316
2020-05-26,7.116
2020-05-27,6.888
2020-05-28,7.228
2020-05-29,7.411
2020-05-30,7.411
2020-05-31,7.411
2020-06-01,7.266
2020-06-02,7.038
2020-06-03,6.73
2020-06-04,6.646
2020-06-05,6.283
2020-06-06,6.283
2020-06-07,6.283
2020-06-08,6.055
2020-06-09,6.078
2020-06-10,6.199
2020-06-11,6.683
2020-06-12,6.53
2020-06-13,6.53
2020-06-14,6.53
2020-06-15,6.4
2020-06-16,6.345
2020-06-17,6.312
2020-06-18,6.251
2020-06-19,6.203
2020-06-20,6.203
2020-06-21,6.203
2020-06-22,6.263
2020-06-23,6.279
2020-06-24,6.455
2020-06-25,6.37
2020-06-26,6.565
2020-06-27,6.565
2020-06-28,6.565
2020-06-29,6.4
2020-06-30,6.231
2020-07-01,6.3
2020-07-02,6.239
2020-07-03,6.239
2020-07-04,6.239
2020-07-05,6.239
2020-07-06,6.215
2020-07-07,6.223
2020-07-08,6.14
2020-07-09,6.425
2020-07-10,6.167
2020-07-11,6.167
2020-07-12,6.167
2020-07-13,6.327
2020-07-14,6.34
2020-07-15,6.104
2020-07-16,6.1
2020-07-17,6.219
2020-07-18,6.219
2020-07-19,6.219
2020-07-20,6.352
2020-07-21,6.147
2020-07-22,6.352
2020-07-23,6.24
2020-07-24,6.382
2020-07-25,6.382
2020-07-26,6.382
2020-07-27,6.24
2020-07-28,6.482
2020-07-29,6.399
2020-07-30,6.531
2020-07-31,6.513
2020-08-01,6.513
2020-08-02,6.513
2020-08-03,6.577
2020-08-04,6.586
2020-08-05,6.323
2020-08-06,6.391
2020-08-07,6.195
2020-08-08,6.195
2020-08-09,6.195
2020-08-10,6.1
2020-08-11,6.092
2020-08-12,6.072
2020-08-13,6.163
2020-08-14,6.131
2020-08-15,6.131
2020-08-16,6.131
2020-08-17,6.092
2020-08-18,6.065
2020-08-19,6.038
2020-08-20,6.179
2020-08-21,6.219
2020-08-22,6.219
2020-08-23,6.219
2020-08-24,6.038
2020-08-25,6.007
2020-08-26,6.068
2020-08-27,6.057
2020-08-28,6.034
2020-08-29,6.034
2020-08-30,6.034
2020-08-31,6.034
2020-09-01,6.057
2020-09-02,5.906
2020-09-03,5.996
2020-09-04,6.022
2020-09-05,6.022
2020-09-06,6.022
2020-09-07,6.022
2020-09-08,6.139
2020-09-09,6.068
2020-09-10,6.256
2020-09-11,6.314
2020-09-12,6.314
2020-09-13,6.314
2020-09-14,6.215
2020-09-15,6.183
2020-09-16,6.068
2020-09-17,6.119
2020-09-18,6.131
2020-09-19,6.131
2020-09-20,6.131
2020-09-21,6.443
2020-09-22,6.474
2020-09-23,6.788
2020-09-24,6.745
2020-09-25,6.664
2020-09-26,6.664
2020-09-27,6.664
2020-09-28,6.357
2020-09-29,6.478
2020-09-30,6.399
2020-10-01,6.531
2020-10-02,6.314
2020-10-03,6.314
2020-10-04,6.314
2020-10-05,6.171
2020-10-06,6.151
2020-10-07,6.029
2020-10-08,5.598
2020-10-09,6.001
2020-10-10,6.001
2020-10-11,6.001
2020-10-12,6.108
2020-10-13,6.108
2020-10-14,5.737
2020-10-15,5.702
2020-10-16,5.783
2020-10-17,5.783
2020-10-18,5.783
2020-10-19,5.897
2020-10-20,5.9
2020-10-21,6.04
2020-10-22,6.018
2020-10-23,6.047
2020-10-24,6.047
2020-10-25,6.047
2020-10-26,6.16
2020-10-27,6.251
2020-10-28,6.581
