,CMI US Equity
,BEST_DIV_YLD
2020-01-01,4.104
2020-01-02,4.095
2020-01-03,4.153
2020-01-04,4.153
2020-01-05,4.153
2020-01-06,4.217
2020-01-07,4.214
2020-01-08,4.212
2020-01-09,4.232
2020-01-10,4.284
2020-01-11,4.284
2020-01-12,4.284
2020-01-13,4.257
2020-01-14,4.26
2020-01-15,4.254
2020-01-16,4.19
2020-01-17,4.225
2020-01-18,4.225
2020-01-19,4.225
2020-01-20,4.225
2020-01-21,4.293
2020-01-22,4.317
2020-01-23,4.278
2020-01-24,4.341
2020-01-25,4.341
2020-01-26,4.341
2020-01-27,4.457
2020-01-28,4.422
2020-01-29,4.432
2020-01-30,4.421
2020-01-31,4.591
2020-02-01,4.591
2020-02-02,4.591
2020-02-03,4.508
2020-02-04,4.561
2020-02-05,4.412
2020-02-06,4.425
2020-02-07,4.567
2020-02-08,4.567
2020-02-09,4.567
2020-02-10,4.527
2020-02-11,4.47
2020-02-12,4.37
2020-02-13,4.421
2020-02-14,4.403
2020-02-15,4.403
2020-02-16,4.403
2020-02-17,4.403
2020-02-18,4.422
2020-02-19,4.375
2020-02-20,4.36
2020-02-21,4.351
2020-02-22,4.351
2020-02-23,4.351
2020-02-24,4.476
2020-02-25,4.525
2020-02-26,4.612
2020-02-27,4.717
2020-02-28,4.816
2020-02-29,4.816
2020-03-01,4.816
2020-03-02,4.681
2020-03-03,4.789
2020-03-04,4.658
2020-03-05,4.901
2020-03-06,4.903
2020-03-07,4.903
2020-03-08,4.903
2020-03-09,5.232
2020-03-10,5.003
2020-03-11,5.165
2020-03-12,5.644
2020-03-13,5.325
2020-03-14,5.325
2020-03-15,5.325
2020-03-16,5.543
2020-03-17,5.326
2020-03-18,5.901
2020-03-19,6.146
2020-03-20,6.255
2020-03-21,6.255
2020-03-22,6.255
2020-03-23,7.091
2020-03-24,5.853
2020-03-25,5.703
2020-03-26,5.399
2020-03-27,5.534
2020-03-28,5.534
2020-03-29,5.534
2020-03-30,5.418
2020-03-31,5.384
2020-04-01,5.588
2020-04-02,5.488
2020-04-03,5.509
2020-04-04,5.509
2020-04-05,5.509
2020-04-06,5.127
2020-04-07,4.996
2020-04-08,4.872
2020-04-09,4.835
2020-04-10,4.835
2020-04-11,4.835
2020-04-12,4.835
2020-04-13,4.975
2020-04-14,4.919
2020-04-15,5.009
2020-04-16,5.024
2020-04-17,4.884
2020-04-18,4.884
2020-04-19,4.884
2020-04-20,4.987
2020-04-21,5.117
2020-04-22,5.027
2020-04-23,5.01
2020-04-24,4.931
2020-04-25,4.931
2020-04-26,4.931
2020-04-27,4.811
2020-04-28,4.523
2020-04-29,4.411
2020-04-30,4.456
2020-05-01,4.628
2020-05-02,4.628
2020-05-03,4.628
2020-05-04,4.733
2020-05-05,4.737
2020-05-06,4.742
2020-05-07,4.679
2020-05-08,4.518
2020-05-09,4.518
2020-05-10,4.518
2020-05-11,4.503
2020-05-12,4.743
2020-05-13,4.934
2020-05-14,4.685
2020-05-15,4.681
2020-05-16,4.681
2020-05-17,4.681
2020-05-18,4.497
2020-05-19,4.618
2020-05-20,4.502
2020-05-21,4.587
2020-05-22,4.662
2020-05-23,4.662
2020-05-24,4.662
2020-05-25,4.662
2020-05-26,4.325
2020-05-27,3.929
2020-05-28,3.971
2020-05-29,3.976
2020-05-30,3.976
2020-05-31,3.976
2020-06-01,3.97
2020-06-02,3.932
2020-06-03,3.854
2020-06-04,3.857
2020-06-05,3.746
2020-06-06,3.746
2020-06-07,3.746
2020-06-08,3.666
2020-06-09,3.71
2020-06-10,3.826
2020-06-11,4.053
2020-06-12,4.035
2020-06-13,4.035
2020-06-14,4.035
2020-06-15,3.986
2020-06-16,3.935
2020-06-17,3.933
2020-06-18,3.938
2020-06-19,3.869
2020-06-20,3.869
2020-06-21,3.869
2020-06-22,3.92
2020-06-23,3.91
2020-06-24,4.047
2020-06-25,3.973
2020-06-26,3.996
2020-06-27,3.996
2020-06-28,3.996
2020-06-29,3.896
2020-06-30,3.892
2020-07-01,3.944
2020-07-02,3.887
2020-07-03,3.887
2020-07-04,3.887
2020-07-05,3.887
2020-07-06,3.785
2020-07-07,3.84
2020-07-08,3.874
2020-07-09,3.916
2020-07-10,3.879
2020-07-11,3.879
2020-07-12,3.879
2020-07-13,3.867
2020-07-14,4.112
2020-07-15,4.035
2020-07-16,3.991
2020-07-17,4.004
2020-07-18,4.004
2020-07-19,4.004
2020-07-20,4.067
2020-07-21,3.938
2020-07-22,3.854
2020-07-23,3.86
2020-07-24,3.895
2020-07-25,3.895
2020-07-26,3.895
2020-07-27,3.84
2020-07-28,3.76
2020-07-29,3.687
2020-07-30,3.77
2020-07-31,3.794
2020-08-01,3.794
2020-08-02,3.794
2020-08-03,3.754
2020-08-04,3.799
2020-08-05,3.697
2020-08-06,3.737
2020-08-07,3.679
2020-08-08,3.679
2020-08-09,3.679
2020-08-10,3.489
2020-08-11,3.458
2020-08-12,3.439
2020-08-13,3.488
2020-08-14,3.434
2020-08-15,3.434
2020-08-16,3.434
2020-08-17,3.484
2020-08-18,3.493
2020-08-19,3.472
2020-08-20,3.486
2020-08-21,3.486
2020-08-22,3.486
2020-08-23,3.486
2020-08-24,3.451
2020-08-25,3.469
2020-08-26,3.484
2020-08-27,3.509
2020-08-28,3.491
2020-08-29,3.491
2020-08-30,3.491
2020-08-31,3.516
2020-09-01,3.452
2020-09-02,3.423
2020-09-03,3.562
2020-09-04,3.565
2020-09-05,3.565
2020-09-06,3.565
2020-09-07,3.565
2020-09-08,3.571
2020-09-09,3.436
2020-09-10,3.517
2020-09-11,3.505
2020-09-12,3.505
2020-09-13,3.505
2020-09-14,3.46
2020-09-15,3.468
2020-09-16,3.476
2020-09-17,3.462
2020-09-18,3.439
2020-09-19,3.439
2020-09-20,3.439
2020-09-21,3.574
2020-09-22,3.512
2020-09-23,3.534
2020-09-24,3.493
2020-09-25,3.439
2020-09-26,3.439
2020-09-27,3.439
2020-09-28,3.372
2020-09-29,3.37
2020-09-30,3.398
2020-10-01,3.465
2020-10-02,3.411
2020-10-03,3.411
2020-10-04,3.411
2020-10-05,3.293
2020-10-06,3.317
2020-10-07,3.239
2020-10-08,3.246
2020-10-09,3.213
2020-10-10,3.213
2020-10-11,3.213
2020-10-12,2.97
2020-10-13,2.987
2020-10-14,2.97
2020-10-15,2.961
2020-10-16,2.956
2020-10-17,2.956
2020-10-18,2.956
2020-10-19,2.978
2020-10-20,2.963
2020-10-21,3.128
2020-10-22,3.109
2020-10-23,3.073
2020-10-24,3.073
2020-10-25,3.073
2020-10-26,3.15
2020-10-27,3.163
2020-10-28,3.265
2020-10-29,3.102
2020-10-30,3.067
2020-10-31,3.067
2020-11-01,3.067
2020-11-02,2.962
2020-11-03,2.907
2020-11-04,3.027
2020-11-05,2.938
2020-11-06,2.945
2020-11-07,2.945
2020-11-08,2.945
2020-11-09,2.946
2020-11-10,2.884
2020-11-11,2.871
2020-11-12,2.893
2020-11-13,2.851
2020-11-14,2.851
2020-11-15,2.851
2020-11-16,2.909
2020-11-17,2.958
2020-11-18,2.928
2020-11-19,2.915
2020-11-20,2.946
2020-11-21,2.946
2020-11-22,2.946
2020-11-23,2.889
2020-11-24,2.896
2020-11-25,2.95
2020-11-26,2.95
2020-11-27,2.967
2020-11-28,2.967
2020-11-29,2.967
2020-11-30,2.94
2020-12-01,2.95
2020-12-02,2.991
2020-12-03,3.084
2020-12-04,3.09
2020-12-05,3.09
2020-12-06,3.09
2020-12-07,3.102
2020-12-08,3.074
2020-12-09,3.031
2020-12-10,3.095
2020-12-11,3.108
2020-12-12,3.108
2020-12-13,3.108
2020-12-14,3.14
2020-12-15,3.033
2020-12-16,3.05
2020-12-17,3.042
2020-12-18,3.03
2020-12-19,3.03
2020-12-20,3.03
2020-12-21,3.024
2020-12-22,3.04
2020-12-23,3.031
2020-12-24,3.0
2020-12-25,3.0
2020-12-26,3.0
2020-12-27,3.0
2020-12-28,3.032
2020-12-29,3.052
2020-12-30,3.02
2020-12-31,2.992
2021-01-01,2.992
2021-01-02,2.992
2021-01-03,2.992
2021-01-04,3.07
2021-01-05,3.066
2021-01-06,2.909
2021-01-07,2.841
2021-01-08,2.9
2021-01-09,2.9
2021-01-10,2.9
2021-01-11,2.871
2021-01-12,2.808
2021-01-13,2.821
2021-01-14,2.816
2021-01-15,2.865
2021-01-16,2.865
2021-01-17,2.865
2021-01-18,2.865
2021-01-19,2.851
2021-01-20,2.873
2021-01-21,2.74
2021-01-22,2.751
2021-01-23,2.751
2021-01-24,2.751
2021-01-25,2.756
2021-01-26,2.753
2021-01-27,2.842
2021-01-28,2.806
2021-01-29,2.899
2021-01-30,2.899
2021-01-31,2.899
2021-02-01,2.917
2021-02-02,2.905
2021-02-03,2.885
2021-02-04,2.928
2021-02-05,3.089
2021-02-06,3.089
2021-02-07,3.089
2021-02-08,2.973
2021-02-09,2.895
2021-02-10,2.894
2021-02-11,2.916
2021-02-12,2.919
2021-02-13,2.919
2021-02-14,2.919
2021-02-15,2.919
2021-02-16,2.913
2021-02-17,2.945
2021-02-18,2.931
2021-02-19,2.87
2021-02-20,2.87
2021-02-21,2.87
2021-02-22,2.841
2021-02-23,2.823
2021-02-24,2.733
2021-02-25,2.772
2021-02-26,2.797
2021-02-27,2.797
2021-02-28,2.797
2021-03-01,2.693
2021-03-02,2.749
2021-03-03,2.707
2021-03-04,2.739
2021-03-05,2.664
2021-03-06,2.664
2021-03-07,2.664
2021-03-08,2.635
2021-03-09,2.656
2021-03-10,2.593
2021-03-11,2.625
2021-03-12,2.586
2021-03-13,2.586
2021-03-14,2.586
2021-03-15,2.566
2021-03-16,2.653
2021-03-17,2.627
2021-03-18,2.64
2021-03-19,2.664
2021-03-20,2.664
2021-03-21,2.664
2021-03-22,2.688
2021-03-23,2.772
2021-03-24,2.748
2021-03-25,2.712
2021-03-26,2.699
2021-03-27,2.699
2021-03-28,2.699
