,SO US Equity
,BEST_DIV_YLD
2020-01-01,5.413
2020-01-02,5.507
2020-01-03,5.512
2020-01-04,5.512
2020-01-05,5.512
2020-01-06,5.49
2020-01-07,5.507
2020-01-08,5.508
2020-01-09,5.451
2020-01-10,5.417
2020-01-11,5.417
2020-01-12,5.417
2020-01-13,5.343
2020-01-14,5.312
2020-01-15,5.258
2020-01-16,5.177
2020-01-17,5.091
2020-01-18,5.091
2020-01-19,5.091
2020-01-20,5.091
2020-01-21,5.027
2020-01-22,5.014
2020-01-23,4.966
2020-01-24,4.932
2020-01-25,4.932
2020-01-26,4.932
2020-01-27,4.91
2020-01-28,4.889
2020-01-29,4.885
2020-01-30,4.833
2020-01-31,4.864
2020-02-01,4.864
2020-02-02,4.864
2020-02-03,4.844
2020-02-04,4.924
2020-02-05,4.961
2020-02-06,4.975
2020-02-07,5.008
2020-02-08,5.008
2020-02-09,5.008
2020-02-10,5.004
2020-02-11,4.993
2020-02-12,4.99
2020-02-13,4.924
2020-02-14,4.917
2020-02-15,4.917
2020-02-16,4.917
2020-02-17,4.917
2020-02-18,4.89
2020-02-19,4.947
2020-02-20,4.862
2020-02-21,4.919
2020-02-22,4.919
2020-02-23,4.919
2020-02-24,5.006
2020-02-25,5.076
2020-02-26,5.128
2020-02-27,5.397
2020-02-28,5.623
2020-02-29,5.623
2020-03-01,5.623
2020-03-02,5.309
2020-03-03,5.311
2020-03-04,5.006
2020-03-05,5.023
2020-03-06,5.075
2020-03-07,5.075
2020-03-08,5.075
2020-03-09,5.46
2020-03-10,5.472
2020-03-11,5.874
2020-03-12,6.548
2020-03-13,6.332
2020-03-14,6.332
2020-03-15,6.332
2020-03-16,7.177
2020-03-17,6.042
2020-03-18,6.111
2020-03-19,6.714
2020-03-20,7.372
2020-03-21,7.372
2020-03-22,7.372
2020-03-23,7.905
2020-03-24,6.969
2020-03-25,6.816
2020-03-26,6.198
2020-03-27,6.102
2020-03-28,6.102
2020-03-29,6.102
2020-03-30,5.893
2020-03-31,6.312
2020-04-01,6.816
2020-04-02,6.522
2020-04-03,6.798
2020-04-04,6.798
2020-04-05,6.798
2020-04-06,6.169
2020-04-07,6.2
2020-04-08,5.874
2020-04-09,5.665
2020-04-10,5.665
2020-04-11,5.665
2020-04-12,5.665
2020-04-13,5.921
2020-04-14,5.792
2020-04-15,6.115
2020-04-16,6.178
2020-04-17,5.947
2020-04-18,5.947
2020-04-19,5.947
2020-04-20,6.154
2020-04-21,6.158
2020-04-22,5.99
2020-04-23,6.017
2020-04-24,5.92
2020-04-25,5.92
2020-04-26,5.92
2020-04-27,5.743
2020-04-28,5.785
2020-04-29,5.854
2020-04-30,5.92
2020-05-01,6.173
2020-05-02,6.173
2020-05-03,6.173
2020-05-04,6.122
2020-05-05,6.044
2020-05-06,6.268
2020-05-07,6.2
2020-05-08,6.068
2020-05-09,6.068
2020-05-10,6.068
2020-05-11,6.024
2020-05-12,6.056
2020-05-13,6.25
2020-05-14,6.141
2020-05-15,6.324
2020-05-16,6.324
2020-05-17,6.324
2020-05-18,6.106
2020-05-19,6.203
2020-05-20,6.06
2020-05-21,6.173
2020-05-22,6.088
2020-05-23,6.088
2020-05-24,6.088
2020-05-25,6.088
2020-05-26,6.079
2020-05-27,6.04
2020-05-28,5.839
2020-05-29,5.822
2020-05-30,5.822
2020-05-31,5.822
2020-06-01,5.759
2020-06-02,5.729
2020-06-03,5.66
2020-06-04,5.734
2020-06-05,5.685
2020-06-06,5.685
2020-06-07,5.685
2020-06-08,5.513
2020-06-09,5.598
2020-06-10,5.613
2020-06-11,5.924
2020-06-12,5.916
2020-06-13,5.916
2020-06-14,5.916
2020-06-15,5.894
2020-06-16,5.915
2020-06-17,5.934
2020-06-18,5.926
2020-06-19,6.202
2020-06-20,6.202
2020-06-21,6.202
2020-06-22,6.082
2020-06-23,6.242
2020-06-24,6.348
2020-06-25,6.488
2020-06-26,6.53
2020-06-27,6.53
2020-06-28,6.53
2020-06-29,6.449
2020-06-30,6.413
2020-07-01,6.289
2020-07-02,6.299
2020-07-03,6.299
2020-07-04,6.299
2020-07-05,6.299
2020-07-06,6.32
2020-07-07,6.307
2020-07-08,6.267
2020-07-09,6.402
2020-07-10,6.247
2020-07-11,6.247
2020-07-12,6.247
2020-07-13,6.253
2020-07-14,6.194
2020-07-15,6.271
2020-07-16,6.187
2020-07-17,6.092
2020-07-18,6.092
2020-07-19,6.092
2020-07-20,6.124
2020-07-21,6.056
2020-07-22,5.957
2020-07-23,5.981
2020-07-24,6.058
2020-07-25,6.058
2020-07-26,6.058
2020-07-27,6.124
2020-07-28,6.011
2020-07-29,5.999
2020-07-30,6.015
2020-07-31,6.085
2020-08-01,6.085
2020-08-02,6.085
2020-08-03,6.152
2020-08-04,6.104
2020-08-05,6.223
2020-08-06,6.166
2020-08-07,6.076
2020-08-08,6.076
2020-08-09,6.076
2020-08-10,6.034
2020-08-11,6.132
2020-08-12,6.057
2020-08-13,6.04
2020-08-14,6.132
2020-08-15,6.132
2020-08-16,6.132
