,NGHC US Equity
,BEST_DIV_YLD
2020-01-01,1.083
2020-01-02,1.085
2020-01-03,1.078
2020-01-04,1.078
2020-01-05,1.078
2020-01-06,1.068
2020-01-07,1.078
2020-01-08,1.079
2020-01-09,1.08
2020-01-10,1.093
2020-01-11,1.093
2020-01-12,1.093
2020-01-13,1.077
2020-01-14,1.075
2020-01-15,1.078
2020-01-16,1.054
2020-01-17,1.051
2020-01-18,1.051
2020-01-19,1.051
2020-01-20,1.051
2020-01-21,1.057
2020-01-22,1.061
2020-01-23,1.065
2020-01-24,1.069
2020-01-25,1.069
2020-01-26,1.069
2020-01-27,1.078
2020-01-28,1.067
2020-01-29,1.083
2020-01-30,1.076
2020-01-31,1.1
2020-02-01,1.1
2020-02-02,1.1
2020-02-03,1.083
2020-02-04,1.082
2020-02-05,1.056
2020-02-06,1.07
2020-02-07,1.088
2020-02-08,1.088
2020-02-09,1.088
2020-02-10,1.078
2020-02-11,1.081
2020-02-12,1.09
2020-02-13,1.082
2020-02-14,1.094
2020-02-15,1.094
2020-02-16,1.094
2020-02-17,1.094
2020-02-18,1.092
2020-02-19,1.112
2020-02-20,1.118
2020-02-21,1.088
2020-02-22,1.088
2020-02-23,1.088
2020-02-24,1.106
2020-02-25,1.113
2020-02-26,1.137
2020-02-27,1.198
2020-02-28,1.229
2020-02-29,1.229
2020-03-01,1.229
2020-03-02,1.181
2020-03-03,1.228
2020-03-04,1.2
2020-03-05,1.228
2020-03-06,1.231
2020-03-07,1.231
2020-03-08,1.231
2020-03-09,1.355
2020-03-10,1.292
2020-03-11,1.392
2020-03-12,1.53
2020-03-13,1.427
2020-03-14,1.427
2020-03-15,1.427
2020-03-16,1.782
2020-03-17,1.682
2020-03-18,1.812
2020-03-19,1.736
2020-03-20,1.742
2020-03-21,1.742
2020-03-22,1.742
2020-03-23,1.71
2020-03-24,1.511
2020-03-25,1.577
2020-03-26,1.53
2020-03-27,1.597
2020-03-28,1.597
2020-03-29,1.597
2020-03-30,1.488
2020-03-31,1.442
2020-04-01,1.5
2020-04-02,1.475
2020-04-03,1.676
2020-04-04,1.676
2020-04-05,1.676
2020-04-06,1.554
2020-04-07,1.578
2020-04-08,1.549
2020-04-09,1.417
2020-04-10,1.417
2020-04-11,1.417
2020-04-12,1.417
2020-04-13,1.524
2020-04-14,1.502
2020-04-15,1.582
2020-04-16,1.618
2020-04-17,1.518
2020-04-18,1.518
2020-04-19,1.518
2020-04-20,1.501
2020-04-21,1.495
2020-04-22,1.511
2020-04-23,1.516
2020-04-24,1.51
2020-04-25,1.51
2020-04-26,1.51
2020-04-27,1.417
2020-04-28,1.387
2020-04-29,1.294
2020-04-30,1.311
2020-05-01,1.335
2020-05-02,1.335
2020-05-03,1.335
2020-05-04,1.352
2020-05-05,1.357
2020-05-06,1.366
2020-05-07,1.346
2020-05-08,1.305
2020-05-09,1.305
2020-05-10,1.305
2020-05-11,1.362
2020-05-12,1.43
2020-05-13,1.497
2020-05-14,1.475
2020-05-15,1.441
2020-05-16,1.441
2020-05-17,1.441
2020-05-18,1.333
2020-05-19,1.371
2020-05-20,1.331
2020-05-21,1.301
2020-05-22,1.293
2020-05-23,1.293
2020-05-24,1.293
2020-05-25,1.293
2020-05-26,1.251
