,ARCH US Equity
,BEST_DIV_YLD
2020-01-01,1.449
2020-01-02,1.415
2020-01-03,1.414
2020-01-04,1.414
2020-01-05,1.414
2020-01-06,1.437
2020-01-07,1.445
2020-01-08,1.47
2020-01-09,1.463
2020-01-10,1.486
2020-01-11,1.486
2020-01-12,1.486
2020-01-13,1.448
2020-01-14,1.494
2020-01-15,1.56
2020-01-16,1.512
2020-01-17,1.568
2020-01-18,1.568
2020-01-19,1.568
2020-01-20,1.568
2020-01-21,1.665
2020-01-22,1.706
2020-01-23,1.739
2020-01-24,1.817
2020-01-25,1.817
2020-01-26,1.817
2020-01-27,1.873
2020-01-28,1.891
2020-01-29,1.906
2020-01-30,1.921
2020-01-31,2.017
2020-02-01,2.017
2020-02-02,2.017
2020-02-03,2.018
2020-02-04,1.916
2020-02-05,1.774
2020-02-06,1.809
2020-02-07,1.867
2020-02-08,1.867
2020-02-09,1.867
2020-02-10,1.849
2020-02-11,1.802
2020-02-12,1.84
2020-02-13,1.826
2020-02-14,1.856
2020-02-15,1.856
2020-02-16,1.856
2020-02-17,1.856
2020-02-18,1.882
2020-02-19,1.879
2020-02-20,1.934
2020-02-21,2.021
2020-02-22,2.021
2020-02-23,2.021
2020-02-24,1.996
2020-02-25,2.052
2020-02-26,2.223
2020-02-27,2.131
2020-02-28,2.065
2020-02-29,2.065
2020-03-01,2.065
2020-03-02,2.191
2020-03-03,2.203
2020-03-04,2.181
2020-03-05,2.26
2020-03-06,2.321
2020-03-07,2.321
2020-03-08,2.321
2020-03-09,2.742
2020-03-10,2.766
2020-03-11,3.001
2020-03-12,3.262
2020-03-13,2.851
2020-03-14,2.851
2020-03-15,2.851
2020-03-16,2.937
2020-03-17,2.516
2020-03-18,3.16
2020-03-19,3.035
2020-03-20,3.093
2020-03-21,3.093
2020-03-22,3.093
2020-03-23,3.329
2020-03-24,3.283
2020-03-25,3.096
2020-03-26,3.33
2020-03-27,3.767
2020-03-28,3.767
2020-03-29,3.767
2020-03-30,3.759
2020-03-31,3.561
2020-04-01,3.373
2020-04-02,3.308
2020-04-03,3.329
2020-04-04,3.329
2020-04-05,3.329
