,ES US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,3.794
2020-01-16,3.775
2020-01-17,3.624
2020-01-18,3.624
2020-01-19,3.624
2020-01-20,3.624
2020-01-21,3.58
2020-01-22,3.574
2020-01-23,3.524
2020-01-24,3.502
2020-01-25,3.502
2020-01-26,3.502
2020-01-27,3.519
2020-01-28,3.503
2020-01-29,3.48
2020-01-30,3.449
2020-01-31,3.478
2020-02-01,3.478
2020-02-02,3.478
2020-02-03,3.479
2020-02-04,3.549
2020-02-05,3.553
2020-02-06,3.538
2020-02-07,3.55
2020-02-08,3.55
2020-02-09,3.55
2020-02-10,3.519
2020-02-11,3.526
2020-02-12,3.523
2020-02-13,3.477
2020-02-14,3.433
2020-02-15,3.433
2020-02-16,3.433
2020-02-17,3.433
2020-02-18,3.391
2020-02-19,3.409
2020-02-20,3.361
2020-02-21,3.351
2020-02-22,3.351
2020-02-23,3.351
2020-02-24,3.377
2020-02-25,3.443
2020-02-26,3.44
2020-02-27,3.592
2020-02-28,3.719
2020-02-29,3.719
2020-03-01,3.719
2020-03-02,3.434
2020-03-03,3.459
2020-03-04,3.243
2020-03-05,3.28
2020-03-06,3.316
2020-03-07,3.316
2020-03-08,3.316
2020-03-09,3.453
2020-03-10,3.506
2020-03-11,3.737
2020-03-12,3.971
2020-03-13,3.706
2020-03-14,3.706
2020-03-15,3.706
2020-03-16,4.251
2020-03-17,3.762
2020-03-18,3.804
2020-03-19,4.258
2020-03-20,4.801
2020-03-21,4.801
2020-03-22,4.801
2020-03-23,5.273
2020-03-24,4.593
2020-03-25,4.563
2020-03-26,4.167
2020-03-27,4.053
2020-03-28,4.053
2020-03-29,4.053
2020-03-30,3.922
2020-03-31,4.195
2020-04-01,4.318
2020-04-02,4.138
2020-04-03,4.371
2020-04-04,4.371
2020-04-05,4.371
2020-04-06,3.997
2020-04-07,4.113
2020-04-08,3.937
2020-04-09,3.642
2020-04-10,3.642
2020-04-11,3.642
2020-04-12,3.642
2020-04-13,3.784
2020-04-14,3.59
2020-04-15,3.69
2020-04-16,3.654
2020-04-17,3.584
2020-04-18,3.584
2020-04-19,3.584
2020-04-20,3.751
2020-04-21,3.776
2020-04-22,3.741
2020-04-23,3.804
2020-04-24,3.803
2020-04-25,3.803
2020-04-26,3.803
2020-04-27,3.848
2020-04-28,3.819
2020-04-29,3.949
2020-04-30,4.08
2020-05-01,4.122
2020-05-02,4.122
2020-05-03,4.122
2020-05-04,4.075
2020-05-05,4.065
2020-05-06,4.317
2020-05-07,4.241
2020-05-08,4.233
2020-05-09,4.233
2020-05-10,4.233
2020-05-11,4.275
2020-05-12,4.336
2020-05-13,4.281
2020-05-14,4.246
2020-05-15,4.295
2020-05-16,4.295
2020-05-17,4.295
2020-05-18,4.112
2020-05-19,4.183
2020-05-20,4.122
2020-05-21,4.152
2020-05-22,4.145
2020-05-23,4.145
2020-05-24,4.145
2020-05-25,4.145
2020-05-26,4.169
2020-05-27,4.198
2020-05-28,4.02
2020-05-29,3.885
2020-05-30,3.885
2020-05-31,3.885
2020-06-01,3.8
2020-06-02,3.792
2020-06-03,3.742
2020-06-04,3.802
2020-06-05,3.759
2020-06-06,3.759
2020-06-07,3.759
2020-06-08,3.706
2020-06-09,3.814
2020-06-10,3.769
2020-06-11,3.854
2020-06-12,3.856
2020-06-13,3.856
2020-06-14,3.856
2020-06-15,3.858
2020-06-16,3.862
2020-06-17,3.823
2020-06-18,3.837
2020-06-19,3.922
2020-06-20,3.922
2020-06-21,3.922
2020-06-22,3.862
2020-06-23,3.899
2020-06-24,3.944
2020-06-25,3.947
2020-06-26,3.972
2020-06-27,3.972
2020-06-28,3.972
2020-06-29,3.913
2020-06-30,3.904
2020-07-01,3.82
2020-07-02,3.84
2020-07-03,3.84
2020-07-04,3.84
2020-07-05,3.84
2020-07-06,3.877
2020-07-07,3.855
2020-07-08,3.818
2020-07-09,3.844
2020-07-10,3.805
2020-07-11,3.805
2020-07-12,3.805
2020-07-13,3.783
2020-07-14,3.762
2020-07-15,3.825
2020-07-16,3.789
2020-07-17,3.701
2020-07-18,3.701
2020-07-19,3.701
2020-07-20,3.755
2020-07-21,3.731
2020-07-22,3.628
2020-07-23,3.612
2020-07-24,3.634
2020-07-25,3.634
2020-07-26,3.634
2020-07-27,3.666
2020-07-28,3.608
2020-07-29,3.594
2020-07-30,3.59
2020-07-31,3.611
2020-08-01,3.611
2020-08-02,3.611
2020-08-03,3.634
2020-08-04,3.603
2020-08-05,3.688
2020-08-06,3.691
2020-08-07,3.653
2020-08-08,3.653
2020-08-09,3.653
2020-08-10,3.673
2020-08-11,3.778
2020-08-12,3.699
2020-08-13,3.699
2020-08-14,3.732
