,HON US Equity
,BEST_DIV_YLD
2020-01-01,2.295
2020-01-02,2.246
2020-01-03,2.271
2020-01-04,2.271
2020-01-05,2.271
2020-01-06,2.288
2020-01-07,2.287
2020-01-08,2.285
2020-01-09,2.268
2020-01-10,2.273
2020-01-11,2.273
2020-01-12,2.273
2020-01-13,2.241
2020-01-14,2.251
2020-01-15,2.247
2020-01-16,2.228
2020-01-17,2.217
2020-01-18,2.217
2020-01-19,2.217
2020-01-20,2.217
2020-01-21,2.245
2020-01-22,2.256
2020-01-23,2.262
2020-01-24,2.293
2020-01-25,2.293
2020-01-26,2.293
2020-01-27,2.34
2020-01-28,2.315
2020-01-29,2.312
2020-01-30,2.277
2020-01-31,2.345
2020-02-01,2.345
2020-02-02,2.345
2020-02-03,2.371
2020-02-04,2.318
2020-02-05,2.296
2020-02-06,2.303
2020-02-07,2.317
2020-02-08,2.317
2020-02-09,2.317
2020-02-10,2.295
2020-02-11,2.267
2020-02-12,2.242
2020-02-13,2.255
2020-02-14,2.246
2020-02-15,2.246
2020-02-16,2.246
2020-02-17,2.246
2020-02-18,2.264
2020-02-19,2.246
2020-02-20,2.248
2020-02-21,2.258
2020-02-22,2.258
2020-02-23,2.258
2020-02-24,2.317
2020-02-25,2.42
2020-02-26,2.429
2020-02-27,2.532
2020-02-28,2.491
2020-02-29,2.491
2020-03-01,2.491
2020-03-02,2.46
2020-03-03,2.495
2020-03-04,2.36
2020-03-05,2.449
2020-03-06,2.463
2020-03-07,2.463
2020-03-08,2.463
2020-03-09,2.643
2020-03-10,2.498
2020-03-11,2.633
2020-03-12,2.996
2020-03-13,2.704
2020-03-14,2.704
2020-03-15,2.704
2020-03-16,2.986
2020-03-17,3.065
2020-03-18,3.377
2020-03-19,3.396
2020-03-20,3.591
2020-03-21,3.591
2020-03-22,3.591
2020-03-23,3.889
2020-03-24,3.38
2020-03-25,3.116
2020-03-26,2.94
2020-03-27,3.077
2020-03-28,3.077
2020-03-29,3.077
2020-03-30,3.066
2020-03-31,3.019
2020-04-01,3.114
2020-04-02,3.042
2020-04-03,3.169
2020-04-04,3.169
2020-04-05,3.169
2020-04-06,3.015
2020-04-07,2.987
2020-04-08,2.901
2020-04-09,2.816
2020-04-10,2.816
2020-04-11,2.816
2020-04-12,2.816
2020-04-13,2.928
2020-04-14,2.873
2020-04-15,2.996
2020-04-16,3.053
2020-04-17,2.92
2020-04-18,2.92
2020-04-19,2.92
2020-04-20,2.977
2020-04-21,3.06
2020-04-22,3.037
2020-04-23,2.999
2020-04-24,2.981
2020-04-25,2.981
2020-04-26,2.981
2020-04-27,2.888
2020-04-28,2.83
2020-04-29,2.764
2020-04-30,2.847
2020-05-01,2.943
2020-05-02,2.943
2020-05-03,2.943
2020-05-04,2.988
2020-05-05,2.995
2020-05-06,3.036
2020-05-07,3.042
2020-05-08,2.95
2020-05-09,2.95
2020-05-10,2.95
2020-05-11,3.008
2020-05-12,3.166
2020-05-13,3.285
2020-05-14,3.156
2020-05-15,3.197
2020-05-16,3.197
2020-05-17,3.197
2020-05-18,3.447
2020-05-19,3.554
2020-05-20,3.447
2020-05-21,3.406
2020-05-22,3.369
2020-05-23,3.369
2020-05-24,3.369
2020-05-25,3.369
2020-05-26,3.235
2020-05-27,3.156
2020-05-28,3.178
2020-05-29,3.215
2020-05-30,3.215
2020-05-31,3.215
2020-06-01,3.208
2020-06-02,3.161
2020-06-03,3.058
2020-06-04,3.008
2020-06-05,2.906
2020-06-06,2.906
2020-06-07,2.906
2020-06-08,2.878
2020-06-09,2.966
2020-06-10,3.042
2020-06-11,3.269
2020-06-12,3.245
2020-06-13,3.245
2020-06-14,3.245
2020-06-15,3.198
2020-06-16,3.145
2020-06-17,3.161
2020-06-18,3.163
2020-06-19,3.226
2020-06-20,3.226
2020-06-21,3.226
2020-06-22,3.235
2020-06-23,3.237
2020-06-24,3.389
2020-06-25,3.291
2020-06-26,3.393
2020-06-27,3.393
2020-06-28,3.393
2020-06-29,3.274
2020-06-30,3.243
2020-07-01,3.254
2020-07-02,3.233
2020-07-03,3.233
2020-07-04,3.233
2020-07-05,3.233
2020-07-06,3.185
2020-07-07,3.235
2020-07-08,3.221
2020-07-09,3.317
2020-07-10,3.292
2020-07-11,3.292
2020-07-12,3.292
2020-07-13,3.268
2020-07-14,3.166
2020-07-15,3.086
2020-07-16,3.063
2020-07-17,3.025
2020-07-18,3.025
2020-07-19,3.025
2020-07-20,3.057
2020-07-21,3.03
2020-07-22,3.033
2020-07-23,3.05
2020-07-24,3.821
2020-07-25,3.821
2020-07-26,3.821
2020-07-27,3.787
2020-07-28,3.756
2020-07-29,3.694
2020-07-30,3.828
2020-07-31,3.823
2020-08-01,3.823
2020-08-02,3.823
2020-08-03,3.844
2020-08-04,3.876
2020-08-05,3.786
2020-08-06,3.761
2020-08-07,3.699
2020-08-08,3.699
2020-08-09,3.699
2020-08-10,3.599
2020-08-11,3.58
2020-08-12,3.595
2020-08-13,3.599
2020-08-14,3.57
2020-08-15,3.57
2020-08-16,3.57
2020-08-17,3.604
2020-08-18,3.636
2020-08-19,3.648
2020-08-20,3.664
2020-08-21,3.633
2020-08-22,3.633
2020-08-23,3.633
2020-08-24,3.59
2020-08-25,3.478
2020-08-26,3.461
2020-08-27,3.447
2020-08-28,3.398
2020-08-29,3.398
2020-08-30,3.398
2020-08-31,3.456
2020-09-01,3.406
2020-09-02,3.318
2020-09-03,3.441
2020-09-04,3.433
2020-09-05,3.433
2020-09-06,3.433
2020-09-07,3.433
2020-09-08,3.483
2020-09-09,3.452
2020-09-10,3.483
2020-09-11,3.437
2020-09-12,3.437
2020-09-13,3.437
2020-09-14,3.396
2020-09-15,3.4
2020-09-16,3.366
2020-09-17,3.359
2020-09-18,3.392
2020-09-19,3.392
2020-09-20,3.392
2020-09-21,3.546
2020-09-22,3.517
2020-09-23,3.603
2020-09-24,3.604
2020-09-25,3.543
2020-09-26,3.543
2020-09-27,3.543
2020-09-28,3.475
2020-09-29,3.478
2020-09-30,3.476
2020-10-01,3.496
2020-10-02,3.455
2020-10-03,3.455
2020-10-04,3.455
2020-10-05,3.413
2020-10-06,3.451
2020-10-07,3.357
2020-10-08,3.314
2020-10-09,3.303
2020-10-10,3.303
2020-10-11,3.303
2020-10-12,3.284
2020-10-13,3.357
2020-10-14,3.32
2020-10-15,3.337
2020-10-16,3.294
2020-10-17,3.294
2020-10-18,3.294
2020-10-19,3.453
2020-10-20,3.42
2020-10-21,3.428
2020-10-22,3.351
2020-10-23,3.376
2020-10-24,3.376
2020-10-25,3.376
2020-10-26,3.482
2020-10-27,3.553
2020-10-28,3.677
2020-10-29,3.6
2020-10-30,3.577
2020-10-31,3.577
2020-11-01,3.577
2020-11-02,3.219
2020-11-03,3.118
2020-11-04,3.123
2020-11-05,3.049
2020-11-06,3.032
2020-11-07,3.032
2020-11-08,3.032
2020-11-09,2.837
2020-11-10,2.766
2020-11-11,2.804
2020-11-12,2.82
2020-11-13,2.788
2020-11-14,2.788
2020-11-15,2.788
2020-11-16,2.694
2020-11-17,2.737
2020-11-18,2.794
2020-11-19,2.772
2020-11-20,2.782
2020-11-21,2.782
2020-11-22,2.782
2020-11-23,2.747
2020-11-24,2.703
2020-11-25,2.706
2020-11-26,2.706
2020-11-27,2.683
2020-11-28,2.683
2020-11-29,2.683
2020-11-30,2.756
2020-12-01,2.725
2020-12-02,2.702
2020-12-03,2.694
2020-12-04,2.637
2020-12-05,2.637
2020-12-06,2.637
2020-12-07,2.657
2020-12-08,2.645
2020-12-09,2.643
2020-12-10,2.646
2020-12-11,2.613
2020-12-12,2.613
2020-12-13,2.613
2020-12-14,2.647
2020-12-15,2.619
2020-12-16,2.667
2020-12-17,2.646
2020-12-18,2.67
2020-12-19,2.67
2020-12-20,2.67
2020-12-21,2.662
2020-12-22,2.697
2020-12-23,2.681
2020-12-24,2.687
2020-12-25,2.687
2020-12-26,2.687
2020-12-27,2.687
2020-12-28,2.682
2020-12-29,2.692
2020-12-30,2.669
2020-12-31,2.647
2021-01-01,2.647
2021-01-02,2.647
2021-01-03,2.647
2021-01-04,2.707
2021-01-05,2.701
2021-01-06,2.652
2021-01-07,2.648
2021-01-08,2.681
2021-01-09,2.681
2021-01-10,2.681
2021-01-11,2.702
2021-01-12,2.695
2021-01-13,2.72
2021-01-14,2.699
2021-01-15,2.733
2021-01-16,2.733
2021-01-17,2.733
2021-01-18,2.733
2021-01-19,2.723
2021-01-20,2.706
2021-01-21,2.743
2021-01-22,2.784
2021-01-23,2.784
2021-01-24,2.784
2021-01-25,2.789
2021-01-26,2.8
2021-01-27,2.824
2021-01-28,2.776
2021-01-29,2.894
2021-01-30,2.894
2021-01-31,2.894
2021-02-01,2.891
2021-02-02,2.827
2021-02-03,2.841
2021-02-04,2.821
2021-02-05,2.788
2021-02-06,2.788
2021-02-07,2.788
2021-02-08,2.775
2021-02-09,2.801
2021-02-10,2.799
2021-02-11,2.798
2021-02-12,2.779
2021-02-13,2.779
2021-02-14,2.779
2021-02-15,2.779
2021-02-16,2.781
2021-02-17,2.802
2021-02-18,2.78
2021-02-19,2.779
2021-02-20,2.779
2021-02-21,2.779
2021-02-22,2.779
2021-02-23,2.759
2021-02-24,2.681
2021-02-25,2.75
2021-02-26,2.784
2021-02-27,2.784
2021-02-28,2.784
2021-03-01,2.731
2021-03-02,2.639
2021-03-03,2.634
2021-03-04,2.687
2021-03-05,2.639
2021-03-06,2.639
2021-03-07,2.639
2021-03-08,2.625
2021-03-09,2.626
2021-03-10,2.561
2021-03-11,2.566
2021-03-12,2.543
2021-03-13,2.543
2021-03-14,2.543
2021-03-15,2.522
2021-03-16,2.574
