,EBAY US Equity
,BEST_DIV_YLD
2020-01-01,1.667
2020-01-02,1.659
2020-01-03,1.674
2020-01-04,1.674
2020-01-05,1.674
2020-01-06,1.683
2020-01-07,1.69
2020-01-08,1.692
2020-01-09,1.712
2020-01-10,1.726
2020-01-11,1.726
2020-01-12,1.726
2020-01-13,1.734
2020-01-14,1.703
2020-01-15,1.704
2020-01-16,1.676
2020-01-17,1.681
2020-01-18,1.681
2020-01-19,1.681
2020-01-20,1.681
2020-01-21,1.686
2020-01-22,1.678
2020-01-23,1.691
2020-01-24,1.703
2020-01-25,1.703
2020-01-26,1.703
2020-01-27,1.697
2020-01-28,1.663
2020-01-29,1.99
2020-01-30,1.963
2020-01-31,2.05
2020-02-01,2.05
2020-02-02,2.05
2020-02-03,2.001
2020-02-04,1.839
2020-02-05,1.854
2020-02-06,1.811
2020-02-07,1.901
2020-02-08,1.901
2020-02-09,1.901
2020-02-10,1.91
2020-02-11,1.889
2020-02-12,1.852
2020-02-13,1.85
2020-02-14,1.804
2020-02-15,1.804
2020-02-16,1.804
2020-02-17,1.804
2020-02-18,1.817
2020-02-19,1.834
2020-02-20,1.826
2020-02-21,1.801
2020-02-22,1.801
2020-02-23,1.801
2020-02-24,1.847
2020-02-25,1.887
2020-02-26,1.876
2020-02-27,1.964
2020-02-28,1.977
2020-02-29,1.977
2020-03-01,1.977
2020-03-02,1.905
2020-03-03,1.865
2020-03-04,1.78
2020-03-05,1.84
2020-03-06,1.882
2020-03-07,1.882
2020-03-08,1.882
2020-03-09,1.928
2020-03-10,1.901
2020-03-11,1.967
2020-03-12,2.074
2020-03-13,2.015
2020-03-14,2.015
2020-03-15,2.015
2020-03-16,2.125
2020-03-17,2.058
2020-03-18,2.188
2020-03-19,2.314
2020-03-20,2.484
2020-03-21,2.484
2020-03-22,2.484
2020-03-23,2.601
2020-03-24,2.476
2020-03-25,2.414
2020-03-26,2.271
2020-03-27,2.27
2020-03-28,2.27
2020-03-29,2.27
2020-03-30,2.196
2020-03-31,2.279
2020-04-01,2.38
2020-04-02,2.347
2020-04-03,2.329
2020-04-04,2.329
2020-04-05,2.329
2020-04-06,2.197
2020-04-07,2.166
2020-04-08,2.075
2020-04-09,2.025
2020-04-10,2.025
2020-04-11,2.025
2020-04-12,2.025
2020-04-13,1.971
2020-04-14,1.917
2020-04-15,1.893
2020-04-16,1.84
2020-04-17,1.829
2020-04-18,1.829
2020-04-19,1.829
2020-04-20,1.82
2020-04-21,1.821
2020-04-22,1.791
2020-04-23,1.807
2020-04-24,1.741
2020-04-25,1.741
2020-04-26,1.741
2020-04-27,1.728
2020-04-28,1.753
2020-04-29,1.755
2020-04-30,1.72
2020-05-01,1.745
2020-05-02,1.745
2020-05-03,1.745
2020-05-04,1.72
2020-05-05,1.699
2020-05-06,1.673
2020-05-07,1.656
2020-05-08,1.625
2020-05-09,1.625
2020-05-10,1.625
2020-05-11,1.626
2020-05-12,1.631
2020-05-13,1.647
2020-05-14,1.63
2020-05-15,1.627
2020-05-16,1.627
2020-05-17,1.627
2020-05-18,1.612
2020-05-19,1.616
2020-05-20,1.604
2020-05-21,1.613
2020-05-22,1.577
2020-05-23,1.577
2020-05-24,1.577
2020-05-25,1.577
2020-05-26,1.58
2020-05-27,1.552
2020-05-28,1.549
2020-05-29,1.499
2020-05-30,1.499
2020-05-31,1.499
2020-06-01,1.51
2020-06-02,1.484
2020-06-03,1.469
2020-06-04,1.383
2020-06-05,1.398
2020-06-06,1.398
2020-06-07,1.398
2020-06-08,1.401
2020-06-09,1.372
2020-06-10,1.386
2020-06-11,1.424
2020-06-12,1.432
2020-06-13,1.432
2020-06-14,1.432
2020-06-15,1.425
2020-06-16,1.418
2020-06-17,1.409
2020-06-18,1.409
2020-06-19,1.413
2020-06-20,1.413
2020-06-21,1.413
2020-06-22,1.388
2020-06-23,1.371
2020-06-24,1.399
2020-06-25,1.382
2020-06-26,1.341
2020-06-27,1.341
2020-06-28,1.341
2020-06-29,1.33
2020-06-30,1.301
2020-07-01,1.289
2020-07-02,1.256
2020-07-03,1.256
2020-07-04,1.256
2020-07-05,1.256
2020-07-06,1.215
2020-07-07,1.197
2020-07-08,1.171
2020-07-09,1.153
2020-07-10,1.152
2020-07-11,1.152
2020-07-12,1.152
2020-07-13,1.171
2020-07-14,1.155
2020-07-15,1.169
2020-07-16,1.164
2020-07-17,1.174
2020-07-18,1.174
2020-07-19,1.174
2020-07-20,1.167
2020-07-21,1.206
2020-07-22,1.211
2020-07-23,1.238
2020-07-24,1.238
2020-07-25,1.238
2020-07-26,1.238
2020-07-27,1.193
2020-07-28,1.211
2020-07-29,1.252
2020-07-30,1.247
2020-07-31,1.235
2020-08-01,1.235
2020-08-02,1.235
2020-08-03,1.206
2020-08-04,1.212
2020-08-05,1.205
2020-08-06,1.239
2020-08-07,1.236
2020-08-08,1.236
2020-08-09,1.236
2020-08-10,1.255
2020-08-11,1.257
2020-08-12,1.23
2020-08-13,1.213
2020-08-14,1.212
2020-08-15,1.212
2020-08-16,1.212
2020-08-17,1.19
2020-08-18,1.197
2020-08-19,1.183
2020-08-20,1.184
2020-08-21,1.173
2020-08-22,1.173
2020-08-23,1.173
2020-08-24,1.161
2020-08-25,1.176
2020-08-26,1.165
2020-08-27,1.212
2020-08-28,1.258
2020-08-29,1.258
2020-08-30,1.258
2020-08-31,1.242
2020-09-01,1.268
2020-09-02,1.235
2020-09-03,1.28
2020-09-04,1.295
2020-09-05,1.295
2020-09-06,1.295
2020-09-07,1.295
2020-09-08,1.321
2020-09-09,1.273
2020-09-10,1.301
2020-09-11,1.29
2020-09-12,1.29
2020-09-13,1.29
2020-09-14,1.301
2020-09-15,1.314
2020-09-16,1.35
2020-09-17,1.399
2020-09-18,1.4
2020-09-19,1.4
2020-09-20,1.4
2020-09-21,1.357
2020-09-22,1.336
2020-09-23,1.343
2020-09-24,1.314
2020-09-25,1.297
2020-09-26,1.297
2020-09-27,1.297
2020-09-28,1.259
2020-09-29,1.292
2020-09-30,1.306
2020-10-01,1.299
2020-10-02,1.317
2020-10-03,1.317
2020-10-04,1.317
2020-10-05,1.314
2020-10-06,1.37
2020-10-07,1.336
2020-10-08,1.307
2020-10-09,1.227
2020-10-10,1.227
2020-10-11,1.227
2020-10-12,1.229
2020-10-13,1.182
2020-10-14,1.205
2020-10-15,1.228
2020-10-16,1.219
2020-10-17,1.219
2020-10-18,1.219
2020-10-19,1.253
2020-10-20,1.256
2020-10-21,1.288
2020-10-22,1.301
2020-10-23,1.265
2020-10-24,1.265
2020-10-25,1.265
2020-10-26,1.276
2020-10-27,1.271
2020-10-28,1.278
2020-10-29,1.467
2020-10-30,1.518
2020-10-31,1.518
2020-11-01,1.518
2020-11-02,1.51
2020-11-03,1.478
2020-11-04,1.512
2020-11-05,1.463
2020-11-06,1.426
2020-11-07,1.426
2020-11-08,1.426
2020-11-09,1.496
2020-11-10,1.554
2020-11-11,1.515
2020-11-12,1.552
2020-11-13,1.486
2020-11-14,1.486
2020-11-15,1.486
2020-11-16,1.489
2020-11-17,1.496
2020-11-18,1.49
2020-11-19,1.452
2020-11-20,1.476
2020-11-21,1.476
2020-11-22,1.476
2020-11-23,1.449
2020-11-24,1.431
2020-11-25,1.433
2020-11-26,1.433
2020-11-27,1.408
2020-11-28,1.408
2020-11-29,1.408
2020-11-30,1.429
2020-12-01,1.427
2020-12-02,1.404
2020-12-03,1.433
2020-12-04,1.414
2020-12-05,1.414
2020-12-06,1.414
2020-12-07,1.441
2020-12-08,1.445
2020-12-09,1.456
2020-12-10,1.453
2020-12-11,1.467
2020-12-12,1.467
2020-12-13,1.467
2020-12-14,1.454
2020-12-15,1.384
2020-12-16,1.343
2020-12-17,1.359
2020-12-18,1.358
2020-12-19,1.358
2020-12-20,1.358
2020-12-21,1.398
2020-12-22,1.396
2020-12-23,1.41
2020-12-24,1.438
2020-12-25,1.438
2020-12-26,1.438
2020-12-27,1.438
2020-12-28,1.435
2020-12-29,1.417
2020-12-30,1.426
2020-12-31,1.434
2021-01-01,1.434
2021-01-02,1.434
2021-01-03,1.434
2021-01-04,1.4
2021-01-05,1.385
2021-01-06,1.354
2021-01-07,1.358
2021-01-08,1.323
2021-01-09,1.323
2021-01-10,1.323
2021-01-11,1.337
2021-01-12,1.286
2021-01-13,1.294
2021-01-14,1.304
2021-01-15,1.301
2021-01-16,1.301
2021-01-17,1.301
2021-01-18,1.301
2021-01-19,1.265
2021-01-20,1.283
2021-01-21,1.278
2021-01-22,1.277
2021-01-23,1.277
2021-01-24,1.277
2021-01-25,1.259
2021-01-26,1.218
2021-01-27,1.235
2021-01-28,1.277
2021-01-29,1.275
2021-01-30,1.275
2021-01-31,1.275
2021-02-01,1.233
2021-02-02,1.257
2021-02-03,1.242
2021-02-04,1.249
2021-02-05,1.226
2021-02-06,1.226
2021-02-07,1.226
2021-02-08,1.195
2021-02-09,1.226
2021-02-10,1.225
2021-02-11,1.225
2021-02-12,1.211
2021-02-13,1.211
2021-02-14,1.211
2021-02-15,1.211
2021-02-16,1.214
2021-02-17,1.21
2021-02-18,1.215
2021-02-19,1.231
2021-02-20,1.231
2021-02-21,1.231
2021-02-22,1.24
2021-02-23,1.244
2021-02-24,1.285
2021-02-25,1.339
2021-02-26,1.348
2021-02-27,1.348
2021-02-28,1.348
2021-03-01,1.301
2021-03-02,1.335
2021-03-03,1.393
2021-03-04,1.426
2021-03-05,1.415
2021-03-06,1.415
2021-03-07,1.415
2021-03-08,1.422
2021-03-09,1.354
2021-03-10,1.375
2021-03-11,1.353
2021-03-12,1.363
2021-03-13,1.363
2021-03-14,1.363
2021-03-15,1.319
2021-03-16,1.325
2021-03-17,1.289
2021-03-18,1.292
2021-03-19,1.274
2021-03-20,1.274
2021-03-21,1.274
2021-03-22,1.262
2021-03-23,1.261
2021-03-24,1.32
2021-03-25,1.31
2021-03-26,1.251
2021-03-27,1.251
2021-03-28,1.251
2021-03-29,1.271
2021-03-30,1.261
2021-03-31,1.242
2021-04-01,1.205
2021-04-02,1.205
2021-04-03,1.205
2021-04-04,1.205
2021-04-05,1.194
2021-04-06,1.217
2021-04-07,1.232
2021-04-08,1.223
2021-04-09,1.218
2021-04-10,1.218
2021-04-11,1.218
2021-04-12,1.215
2021-04-13,1.192
2021-04-14,1.212
2021-04-15,1.182
2021-04-16,1.172
2021-04-17,1.172
2021-04-18,1.172
2021-04-19,1.193
2021-04-20,1.231
2021-04-21,1.231
2021-04-22,1.252
2021-04-23,1.249
2021-04-24,1.249
2021-04-25,1.249
2021-04-26,1.235
2021-04-27,1.233
2021-04-28,1.221
2021-04-29,1.357
