,VZ US Equity
,BEST_DIV_YLD
2020-01-01,5.613
2020-01-02,5.645
2020-01-03,5.706
2020-01-04,5.706
2020-01-05,5.706
2020-01-06,5.718
2020-01-07,5.782
2020-01-08,5.772
2020-01-09,5.796
2020-01-10,5.782
2020-01-11,5.782
2020-01-12,5.782
2020-01-13,5.766
2020-01-14,5.777
2020-01-15,5.771
2020-01-16,5.716
2020-01-17,5.672
2020-01-18,5.672
2020-01-19,5.672
2020-01-20,5.672
2020-01-21,5.654
2020-01-22,5.639
2020-01-23,5.637
2020-01-24,5.658
2020-01-25,5.658
2020-01-26,5.658
2020-01-27,5.693
2020-01-28,5.619
2020-01-29,5.729
2020-01-30,5.746
2020-01-31,5.738
2020-02-01,5.738
2020-02-02,5.738
2020-02-03,5.875
2020-02-04,5.851
2020-02-05,5.768
2020-02-06,5.738
2020-02-07,5.69
2020-02-08,5.69
2020-02-09,5.69
2020-02-10,5.662
2020-02-11,5.811
2020-02-12,5.857
2020-02-13,5.815
2020-02-14,5.829
2020-02-15,5.829
2020-02-16,5.829
2020-02-17,5.829
2020-02-18,5.89
2020-02-19,5.858
2020-02-20,5.871
2020-02-21,5.86
2020-02-22,5.86
2020-02-23,5.86
2020-02-24,5.881
2020-02-25,5.971
2020-02-26,5.969
2020-02-27,6.194
2020-02-28,6.297
2020-02-29,6.297
2020-03-01,6.297
2020-03-02,5.95
2020-03-03,6.123
2020-03-04,5.868
2020-03-05,5.967
2020-03-06,5.997
2020-03-07,5.997
2020-03-08,5.997
2020-03-09,6.109
2020-03-10,6.034
2020-03-11,6.22
2020-03-12,6.661
2020-03-13,6.296
2020-03-14,6.296
2020-03-15,6.296
2020-03-16,6.689
2020-03-17,6.28
2020-03-18,6.279
2020-03-19,6.361
2020-03-20,6.584
2020-03-21,6.584
2020-03-22,6.584
2020-03-23,6.779
2020-03-24,6.823
2020-03-25,6.83
2020-03-26,6.37
2020-03-27,6.607
2020-03-28,6.607
2020-03-29,6.607
2020-03-30,6.366
2020-03-31,6.489
2020-04-01,6.588
2020-04-02,6.31
2020-04-03,6.374
2020-04-04,6.374
2020-04-05,6.374
2020-04-06,6.149
2020-04-07,5.975
2020-04-08,5.89
2020-04-09,5.864
2020-04-10,5.864
2020-04-11,5.864
2020-04-12,5.864
2020-04-13,5.943
2020-04-14,5.793
2020-04-15,5.916
2020-04-16,5.841
2020-04-17,5.761
2020-04-18,5.761
2020-04-19,5.761
2020-04-20,5.794
2020-04-21,5.928
2020-04-22,5.808
2020-04-23,5.848
2020-04-24,5.814
2020-04-25,5.814
2020-04-26,5.814
2020-04-27,5.826
