,PSX US Equity
,BEST_DIV_YLD
2020-01-01,5.329
2020-01-02,5.291
2020-01-03,5.472
2020-01-04,5.472
2020-01-05,5.472
2020-01-06,5.506
2020-01-07,5.49
2020-01-08,5.703
2020-01-09,5.621
2020-01-10,5.661
2020-01-11,5.661
2020-01-12,5.661
2020-01-13,5.638
2020-01-14,5.581
2020-01-15,5.66
2020-01-16,4.85
2020-01-17,4.872
2020-01-18,4.872
2020-01-19,4.872
2020-01-20,4.872
2020-01-21,4.918
2020-01-22,4.942
2020-01-23,4.931
2020-01-24,5.017
2020-01-25,5.017
2020-01-26,5.017
2020-01-27,5.193
2020-01-28,5.206
2020-01-29,5.254
2020-01-30,5.221
2020-01-31,5.509
2020-02-01,5.509
2020-02-02,5.509
2020-02-03,5.657
2020-02-04,5.673
2020-02-05,5.433
2020-02-06,5.579
2020-02-07,5.572
2020-02-08,5.572
2020-02-09,5.572
2020-02-10,5.577
2020-02-11,5.576
2020-02-12,5.523
2020-02-13,5.572
2020-02-14,5.57
2020-02-15,5.57
2020-02-16,5.57
2020-02-17,5.57
2020-02-18,5.663
2020-02-19,5.64
2020-02-20,5.525
2020-02-21,5.583
2020-02-22,5.583
2020-02-23,5.583
2020-02-24,5.757
2020-02-25,6.018
2020-02-26,6.204
2020-02-27,6.711
2020-02-28,6.657
2020-02-29,6.657
2020-03-01,6.657
2020-03-02,6.635
2020-03-03,6.84
2020-03-04,6.677
2020-03-05,6.923
2020-03-06,7.191
2020-03-07,7.191
2020-03-08,7.191
2020-03-09,8.026
2020-03-10,7.865
2020-03-11,9.036
2020-03-12,10.74
2020-03-13,9.167
2020-03-14,9.167
2020-03-15,9.167
2020-03-16,10.324
2020-03-17,10.678
2020-03-18,11.597
2020-03-19,10.909
2020-03-20,10.307
2020-03-21,10.307
2020-03-22,10.307
2020-03-23,11.84
2020-03-24,10.933
2020-03-25,9.868
2020-03-26,9.162
2020-03-27,9.525
2020-03-28,9.525
2020-03-29,9.525
2020-03-30,9.201
2020-03-31,9.288
2020-04-01,10.065
2020-04-02,9.635
2020-04-03,9.654
2020-04-04,9.654
2020-04-05,9.654
2020-04-06,8.679
2020-04-07,8.5
2020-04-08,7.823
2020-04-09,8.1
2020-04-10,8.1
2020-04-11,8.1
2020-04-12,8.1
2020-04-13,8.095
2020-04-14,8.16
2020-04-15,8.825
2020-04-16,9.309
2020-04-17,8.371
2020-04-18,8.371
2020-04-19,8.371
2020-04-20,8.574
2020-04-21,8.773
2020-04-22,8.565
2020-04-23,8.31
2020-04-24,8.233
2020-04-25,8.233
2020-04-26,8.233
2020-04-27,7.849
