,NFG US Equity
,BEST_DIV_YLD
2020-01-01,4.809
2020-01-02,4.99
2020-01-03,4.949
2020-01-04,4.949
2020-01-05,4.949
2020-01-06,4.895
2020-01-07,4.916
2020-01-08,4.971
2020-01-09,4.979
2020-01-10,4.981
2020-01-11,4.981
2020-01-12,4.981
2020-01-13,4.991
2020-01-14,4.991
2020-01-15,4.943
2020-01-16,4.943
2020-01-17,4.943
2020-01-18,4.943
2020-01-19,4.943
2020-01-20,4.943
2020-01-21,4.943
2020-01-22,4.943
2020-01-23,4.943
2020-01-24,4.943
2020-01-25,4.943
2020-01-26,4.943
2020-01-27,4.943
2020-01-28,4.943
2020-01-29,4.943
2020-01-30,4.943
2020-01-31,4.943
2020-02-01,4.943
2020-02-02,4.943
2020-02-03,4.943
2020-02-04,4.943
2020-02-05,4.943
2020-02-06,4.943
2020-02-07,4.943
2020-02-08,4.943
2020-02-09,4.943
2020-02-10,4.943
2020-02-11,4.943
2020-02-12,4.943
2020-02-13,4.943
2020-02-14,4.943
2020-02-15,4.943
2020-02-16,4.943
2020-02-17,4.943
2020-02-18,4.943
2020-02-19,4.943
2020-02-20,4.943
2020-02-21,4.943
2020-02-22,4.943
2020-02-23,4.943
2020-02-24,4.943
2020-02-25,4.943
2020-02-26,4.943
2020-02-27,4.943
2020-02-28,4.943
2020-02-29,4.943
2020-03-01,4.943
2020-03-02,4.943
2020-03-03,4.943
2020-03-04,4.943
2020-03-05,4.943
2020-03-06,4.943
2020-03-07,4.943
2020-03-08,4.943
2020-03-09,4.943
2020-03-10,4.943
2020-03-11,4.943
2020-03-12,4.943
2020-03-13,4.943
2020-03-14,4.943
2020-03-15,4.943
2020-03-16,4.943
2020-03-17,4.943
2020-03-18,6.365
2020-03-19,6.645
2020-03-20,6.584
2020-03-21,6.584
2020-03-22,6.584
2020-03-23,6.761
2020-03-24,6.194
2020-03-25,6.407
2020-03-26,5.967
2020-03-27,6.194
2020-03-28,6.194
2020-03-29,6.194
2020-03-30,5.791
2020-03-31,5.929
2020-04-01,6.246
2020-04-02,6.214
2020-04-03,6.218
2020-04-04,6.218
2020-04-05,6.218
2020-04-06,5.995
2020-04-07,5.945
2020-04-08,5.806
2020-04-09,5.641
2020-04-10,5.641
2020-04-11,5.641
2020-04-12,5.641
2020-04-13,5.745
2020-04-14,5.668
2020-04-15,5.564
2020-04-16,5.519
2020-04-17,5.322
2020-04-18,5.322
