,MUR US Equity
,BEST_DIV_YLD
2020-01-01,4.246
2020-01-02,4.286
2020-01-03,4.167
2020-01-04,4.167
2020-01-05,4.167
2020-01-06,4.15
2020-01-07,4.105
2020-01-08,4.201
2020-01-09,4.156
2020-01-10,4.193
2020-01-11,4.193
2020-01-12,4.193
2020-01-13,4.169
2020-01-14,4.064
2020-01-15,4.082
2020-01-16,4.324
2020-01-17,4.493
2020-01-18,4.493
2020-01-19,4.493
2020-01-20,4.493
2020-01-21,4.636
2020-01-22,4.617
2020-01-23,4.701
2020-01-24,4.782
2020-01-25,4.782
2020-01-26,4.782
2020-01-27,4.939
2020-01-28,4.893
2020-01-29,5.047
2020-01-30,5.363
2020-01-31,5.429
2020-02-01,5.429
2020-02-02,5.429
2020-02-03,5.35
2020-02-04,5.276
2020-02-05,5.038
2020-02-06,5.092
2020-02-07,5.185
2020-02-08,5.185
2020-02-09,5.185
2020-02-10,5.283
2020-02-11,5.206
2020-02-12,5.033
2020-02-13,5.087
2020-02-14,5.101
2020-02-15,5.101
2020-02-16,5.101
2020-02-17,5.101
2020-02-18,5.035
2020-02-19,5.033
2020-02-20,5.035
2020-02-21,5.115
2020-02-22,5.115
2020-02-23,5.115
2020-02-24,5.346
2020-02-25,5.652
2020-02-26,5.976
2020-02-27,6.322
2020-02-28,5.97
2020-02-29,5.97
2020-03-01,5.97
2020-03-02,5.904
2020-03-03,5.998
2020-03-04,5.929
2020-03-05,6.197
2020-03-06,7.095
2020-03-07,7.095
2020-03-08,7.095
2020-03-09,12.339
2020-03-10,12.061
2020-03-11,15.004
2020-03-12,17.528
2020-03-13,14.807
2020-03-14,14.807
2020-03-15,14.807
2020-03-16,17.154
2020-03-17,20.276
2020-03-18,24.045
2020-03-19,20.203
2020-03-20,20.423
2020-03-21,20.423
2020-03-22,20.423
2020-03-23,21.232
2020-03-24,17.976
2020-03-25,17.976
2020-03-26,17.474
2020-03-27,19.435
2020-03-28,19.435
2020-03-29,19.435
2020-03-30,19.708
2020-03-31,18.357
2020-04-01,20.095
2020-04-02,18.063
2020-04-03,18.881
2020-04-04,18.881
2020-04-05,18.881
2020-04-06,18.327
2020-04-07,17.024
2020-04-08,15.352
2020-04-09,14.226
2020-04-10,14.226
2020-04-11,14.226
2020-04-12,14.226
2020-04-13,13.79
2020-04-14,14.865
2020-04-15,15.248
2020-04-16,16.03
2020-04-17,14.173
2020-04-18,14.173
2020-04-19,14.173
2020-04-20,14.226
2020-04-21,14.372
2020-04-22,13.412
