,TERP US Equity
,BEST_DIV_YLD
2020-01-01,5.684
2020-01-02,5.699
2020-01-03,5.66
2020-01-04,5.66
2020-01-05,5.66
2020-01-06,5.699
2020-01-07,5.703
2020-01-08,5.658
2020-01-09,5.637
2020-01-10,5.608
2020-01-11,5.608
2020-01-12,5.608
2020-01-13,5.116
2020-01-14,5.107
2020-01-15,5.066
2020-01-16,5.088
2020-01-17,5.083
2020-01-18,5.083
2020-01-19,5.083
2020-01-20,5.083
2020-01-21,5.077
2020-01-22,5.101
2020-01-23,5.08
2020-01-24,5.077
2020-01-25,5.077
2020-01-26,5.077
2020-01-27,5.119
2020-01-28,5.019
2020-01-29,4.98
2020-01-30,4.899
2020-01-31,4.858
2020-02-01,4.858
2020-02-02,4.858
2020-02-03,4.816
2020-02-04,4.795
2020-02-05,4.702
2020-02-06,4.561
2020-02-07,4.535
2020-02-08,4.535
2020-02-09,4.535
2020-02-10,4.45
2020-02-11,4.403
2020-02-12,4.37
2020-02-13,4.321
2020-02-14,4.275
2020-02-15,4.275
2020-02-16,4.275
2020-02-17,4.275
2020-02-18,4.15
2020-02-19,4.117
2020-02-20,4.126
2020-02-21,4.155
2020-02-22,4.155
2020-02-23,4.155
2020-02-24,4.302
2020-02-25,4.498
2020-02-26,4.462
2020-02-27,4.7
2020-02-28,4.677
2020-02-29,4.677
2020-03-01,4.677
2020-03-02,4.468
2020-03-03,4.394
2020-03-04,4.332
2020-03-05,4.405
2020-03-06,4.441
2020-03-07,4.441
2020-03-08,4.441
2020-03-09,5.048
2020-03-10,4.968
2020-03-11,5.395
2020-03-12,6.51
2020-03-13,5.95
2020-03-14,5.95
2020-03-15,5.95
2020-03-16,7.318
2020-03-17,5.794
2020-03-18,6.557
2020-03-19,6.317
2020-03-20,6.153
2020-03-21,6.153
2020-03-22,6.153
2020-03-23,7.393
2020-03-24,6.369
2020-03-25,5.462
2020-03-26,5.277
2020-03-27,5.569
2020-03-28,5.569
2020-03-29,5.569
2020-03-30,5.476
2020-03-31,5.354
2020-04-01,5.748
2020-04-02,5.705
2020-04-03,5.74
2020-04-04,5.74
2020-04-05,5.74
2020-04-06,5.28
2020-04-07,5.218
2020-04-08,5.041
2020-04-09,4.975
2020-04-10,4.975
2020-04-11,4.975
2020-04-12,4.975
2020-04-13,5.014
2020-04-14,4.909
2020-04-15,5.074
2020-04-16,5.044
2020-04-17,4.822
2020-04-18,4.822
2020-04-19,4.822
2020-04-20,4.946
2020-04-21,5.205
2020-04-22,5.133
2020-04-23,5.164
2020-04-24,5.142
2020-04-25,5.142
2020-04-26,5.142
2020-04-27,4.938
2020-04-28,4.895
2020-04-29,4.733
2020-04-30,4.875
2020-05-01,5.02
2020-05-02,5.02
2020-05-03,5.02
2020-05-04,5.148
2020-05-05,5.011
2020-05-06,4.903
2020-05-07,4.786
2020-05-08,4.601
2020-05-09,4.601
2020-05-10,4.601
2020-05-11,4.437
2020-05-12,4.533
2020-05-13,4.666
2020-05-14,4.655
2020-05-15,4.748
2020-05-16,4.748
2020-05-17,4.748
2020-05-18,4.329
2020-05-19,4.559
2020-05-20,4.502
2020-05-21,4.546
2020-05-22,4.554
2020-05-23,4.554
2020-05-24,4.554
2020-05-25,4.554
2020-05-26,4.415
2020-05-27,4.544
2020-05-28,4.601
2020-05-29,4.516
2020-05-30,4.516
2020-05-31,4.516
2020-06-01,4.533
2020-06-02,4.47
2020-06-03,4.434
2020-06-04,4.553
2020-06-05,4.513
2020-06-06,4.513
2020-06-07,4.513
2020-06-08,4.357
2020-06-09,4.366
2020-06-10,4.406
2020-06-11,4.74
2020-06-12,4.705
2020-06-13,4.705
2020-06-14,4.705
2020-06-15,4.545
2020-06-16,4.516
2020-06-17,4.446
2020-06-18,4.455
2020-06-19,4.368
2020-06-20,4.368
2020-06-21,4.368
2020-06-22,4.348
2020-06-23,4.304
2020-06-24,4.533
2020-06-25,4.496
2020-06-26,4.593
2020-06-27,4.593
2020-06-28,4.593
2020-06-29,4.586
2020-06-30,4.501
2020-07-01,4.446
2020-07-02,4.341
2020-07-03,4.341
2020-07-04,4.341
2020-07-05,4.341
2020-07-06,4.321
2020-07-07,4.323
2020-07-08,4.274
2020-07-09,4.281
2020-07-10,4.314
2020-07-11,4.314
2020-07-12,4.314
2020-07-13,4.285
2020-07-14,4.097
2020-07-15,3.948
2020-07-16,3.994
2020-07-17,3.823
2020-07-18,3.823
2020-07-19,3.823
2020-07-20,3.839
2020-07-21,3.806
2020-07-22,3.853
2020-07-23,3.939
2020-07-24,4.101
2020-07-25,4.101
2020-07-26,4.101
2020-07-27,4.138
2020-07-28,4.205
2020-07-29,3.988
2020-07-30,4.289
2020-07-31,4.289
2020-08-01,4.289
2020-08-02,4.289
2020-08-03,4.289
2020-08-04,4.289
2020-08-05,4.289
2020-08-06,4.289
2020-08-07,4.289
2020-08-08,4.289
2020-08-09,4.289
2020-08-10,4.289
2020-08-11,4.289
2020-08-12,4.289
2020-08-13,4.289
2020-08-14,4.289
2020-08-15,4.289
2020-08-16,4.289
2020-08-17,4.289
2020-08-18,4.289
2020-08-19,4.289
2020-08-20,4.289
2020-08-21,4.289
2020-08-22,4.289
2020-08-23,4.289
2020-08-24,4.289
2020-08-25,4.289
2020-08-26,4.289
2020-08-27,4.289
2020-08-28,4.289
2020-08-29,4.289
2020-08-30,4.289
2020-08-31,4.289
2020-09-01,4.289
2020-09-02,4.289
2020-09-03,4.289
2020-09-04,4.289
2020-09-05,4.289
2020-09-06,4.289
2020-09-07,4.289
2020-09-08,4.289
2020-09-09,4.289
2020-09-10,4.289
2020-09-11,4.289
2020-09-12,4.289
2020-09-13,4.289
2020-09-14,4.289
2020-09-15,4.289
2020-09-16,4.289
2020-09-17,4.289
2020-09-18,4.289
2020-09-19,4.289
2020-09-20,4.289
2020-09-21,4.289
2020-09-22,4.289
2020-09-23,4.289
2020-09-24,4.289
2020-09-25,4.289
2020-09-26,4.289
2020-09-27,4.289
2020-09-28,4.289
2020-09-29,4.289
2020-09-30,4.289
2020-10-01,4.289
2020-10-02,4.289
2020-10-03,4.289
2020-10-04,4.289
2020-10-05,4.289
2020-10-06,4.289
2020-10-07,4.289
2020-10-08,4.289
2020-10-09,4.289
2020-10-10,4.289
2020-10-11,4.289
2020-10-12,4.289
2020-10-13,4.289
2020-10-14,4.289
2020-10-15,4.289
2020-10-16,4.289
2020-10-17,4.289
2020-10-18,4.289
2020-10-19,4.289
2020-10-20,4.289
2020-10-21,4.289
2020-10-22,4.289
2020-10-23,4.289
2020-10-24,4.289
2020-10-25,4.289
2020-10-26,4.289
2020-10-27,4.289
2020-10-28,4.289
2020-10-29,4.289
2020-10-30,4.289
2020-10-31,4.289
2020-11-01,4.289
2020-11-02,4.289
2020-11-03,4.289
2020-11-04,4.289
2020-11-05,4.289
2020-11-06,4.289
2020-11-07,4.289
2020-11-08,4.289
2020-11-09,4.289
2020-11-10,4.289
2020-11-11,4.289
2020-11-12,4.289
2020-11-13,4.289
2020-11-14,4.289
2020-11-15,4.289
2020-11-16,4.289
2020-11-17,4.289
2020-11-18,4.289
2020-11-19,4.289
2020-11-20,4.289
2020-11-21,4.289
2020-11-22,4.289
2020-11-23,4.289
2020-11-24,4.289
2020-11-25,4.289
2020-11-26,4.289
2020-11-27,4.289
2020-11-28,4.289
2020-11-29,4.289
2020-11-30,4.289
2020-12-01,4.289
2020-12-02,4.289
2020-12-03,4.289
2020-12-04,4.289
2020-12-05,4.289
2020-12-06,4.289
2020-12-07,4.289
2020-12-08,4.289
2020-12-09,4.289
2020-12-10,4.289
2020-12-11,4.289
2020-12-12,4.289
2020-12-13,4.289
2020-12-14,4.289
2020-12-15,4.289
2020-12-16,4.289
2020-12-17,4.289
2020-12-18,4.289
2020-12-19,4.289
2020-12-20,4.289
2020-12-21,4.289
2020-12-22,4.289
2020-12-23,4.289
2020-12-24,4.289
2020-12-25,4.289
2020-12-26,4.289
2020-12-27,4.289
2020-12-28,4.289
2020-12-29,4.289
2020-12-30,4.289
2020-12-31,4.289
2021-01-01,4.289
2021-01-02,4.289
2021-01-03,4.289
2021-01-04,4.289
2021-01-05,4.289
2021-01-06,4.289
2021-01-07,4.289
2021-01-08,4.289
2021-01-09,4.289
2021-01-10,4.289
2021-01-11,4.289
2021-01-12,4.289
2021-01-13,4.289
2021-01-14,4.289
2021-01-15,4.289
2021-01-16,4.289
2021-01-17,4.289
2021-01-18,4.289
2021-01-19,4.289
2021-01-20,4.289
2021-01-21,4.289
2021-01-22,4.289
2021-01-23,4.289
2021-01-24,4.289
2021-01-25,4.289
2021-01-26,4.289
2021-01-27,4.289
2021-01-28,4.289
2021-01-29,4.289
2021-01-30,4.289
2021-01-31,4.289
2021-02-01,4.289
2021-02-02,4.289
2021-02-03,4.289
2021-02-04,4.289
2021-02-05,4.289
2021-02-06,4.289
2021-02-07,4.289
2021-02-08,4.289
2021-02-09,4.289
2021-02-10,4.289
2021-02-11,4.289
2021-02-12,4.289
2021-02-13,4.289
2021-02-14,4.289
2021-02-15,4.289
2021-02-16,4.289
2021-02-17,4.289
2021-02-18,4.289
2021-02-19,4.289
2021-02-20,4.289
2021-02-21,4.289
2021-02-22,4.289
2021-02-23,4.289
2021-02-24,4.289
2021-02-25,4.289
2021-02-26,4.289
2021-02-27,4.289
2021-02-28,4.289
2021-03-01,4.289
2021-03-02,4.289
2021-03-03,4.289
2021-03-04,4.289
2021-03-05,4.289
2021-03-06,4.289
2021-03-07,4.289
2021-03-08,4.289
2021-03-09,4.289
2021-03-10,4.289
2021-03-11,4.289
2021-03-12,4.289
2021-03-13,4.289
2021-03-14,4.289
2021-03-15,4.289
2021-03-16,4.289
2021-03-17,4.289
2021-03-18,4.289
2021-03-19,4.289
2021-03-20,4.289
2021-03-21,4.289
2021-03-22,4.289
2021-03-23,4.289
2021-03-24,4.289
2021-03-25,4.289
2021-03-26,4.289
2021-03-27,4.289
2021-03-28,4.289
2021-03-29,4.289
2021-03-30,4.289
2021-03-31,4.289
2021-04-01,4.289
2021-04-02,4.289
2021-04-03,4.289
2021-04-04,4.289
2021-04-05,4.289
2021-04-06,4.289
2021-04-07,4.289
2021-04-08,4.289
2021-04-09,4.289
2021-04-10,4.289
2021-04-11,4.289
2021-04-12,4.289
2021-04-13,4.289
2021-04-14,4.289
2021-04-15,4.289
2021-04-16,4.289
2021-04-17,4.289
2021-04-18,4.289
2021-04-19,4.289
2021-04-20,4.289
2021-04-21,4.289
2021-04-22,4.289
2021-04-23,4.289
2021-04-24,4.289
2021-04-25,4.289
2021-04-26,4.289
2021-04-27,4.289
2021-04-28,4.289
2021-04-29,4.289
2021-04-30,4.289
2021-05-01,4.289
2021-05-02,4.289
2021-05-03,4.289
2021-05-04,4.289
2021-05-05,4.289
2021-05-06,4.289
2021-05-07,4.289
2021-05-08,4.289
2021-05-09,4.289
2021-05-10,4.289
2021-05-11,4.289
2021-05-12,4.289
2021-05-13,4.289
2021-05-14,4.289
2021-05-15,4.289
2021-05-16,4.289
2021-05-17,4.289
2021-05-18,4.289
2021-05-19,4.289
2021-05-20,4.289
2021-05-21,4.289
2021-05-22,4.289
2021-05-23,4.289
2021-05-24,4.289
2021-05-25,4.289
2021-05-26,4.289
2021-05-27,4.289
2021-05-28,4.289
2021-05-29,4.289
2021-05-30,4.289
2021-05-31,4.289
2021-06-01,4.289
2021-06-02,4.289
2021-06-03,4.289
2021-06-04,4.289
2021-06-05,4.289
2021-06-06,4.289
2021-06-07,4.289
2021-06-08,4.289
2021-06-09,4.289
2021-06-10,4.289
2021-06-11,4.289
2021-06-12,4.289
2021-06-13,4.289
2021-06-14,4.289
2021-06-15,4.289
2021-06-16,4.289
2021-06-17,4.289
2021-06-18,4.289
2021-06-19,4.289
2021-06-20,4.289
2021-06-21,4.289
2021-06-22,4.289
2021-06-23,4.289
2021-06-24,4.289
2021-06-25,4.289
2021-06-26,4.289
2021-06-27,4.289
2021-06-28,4.289
2021-06-29,4.289
2021-06-30,4.289
2021-07-01,4.289
2021-07-02,4.289
2021-07-03,4.289
2021-07-04,4.289
2021-07-05,4.289
2021-07-06,4.289
2021-07-07,4.289
2021-07-08,4.289
2021-07-09,4.289
2021-07-10,4.289
2021-07-11,4.289
2021-07-12,4.289
2021-07-13,4.289
2021-07-14,4.289
2021-07-15,4.289
2021-07-16,4.289
2021-07-17,4.289
2021-07-18,4.289
2021-07-19,4.289
2021-07-20,4.289
2021-07-21,4.289
2021-07-22,4.289
2021-07-23,4.289
2021-07-24,4.289
2021-07-25,4.289
2021-07-26,4.289
2021-07-27,4.289
2021-07-28,4.289
2021-07-29,4.289
2021-07-30,4.289
2021-07-31,4.289
2021-08-01,4.289
2021-08-02,4.289
2021-08-03,4.289
2021-08-04,4.289
2021-08-05,4.289
2021-08-06,4.289
2021-08-07,4.289
2021-08-08,4.289
2021-08-09,4.289
2021-08-10,4.289
2021-08-11,4.289
2021-08-12,4.289
2021-08-13,4.289
2021-08-14,4.289
2021-08-15,4.289
2021-08-16,4.289
2021-08-17,4.289
2021-08-18,4.289
2021-08-19,4.289
2021-08-20,4.289
2021-08-21,4.289
2021-08-22,4.289
2021-08-23,4.289
2021-08-24,4.289
2021-08-25,4.289
2021-08-26,4.289
2021-08-27,4.289
2021-08-28,4.289
2021-08-29,4.289
2021-08-30,4.289
2021-08-31,4.289
2021-09-01,4.289
2021-09-02,4.289
2021-09-03,4.289
2021-09-04,4.289
2021-09-05,4.289
2021-09-06,4.289
2021-09-07,4.289
2021-09-08,4.289
2021-09-09,4.289
2021-09-10,4.289
2021-09-11,4.289
2021-09-12,4.289
2021-09-13,4.289
2021-09-14,4.289
2021-09-15,4.289
2021-09-16,4.289
2021-09-17,4.289
2021-09-18,4.289
2021-09-19,4.289
2021-09-20,4.289
2021-09-21,4.289
2021-09-22,4.289
2021-09-23,4.289
2021-09-24,4.289
2021-09-25,4.289
2021-09-26,4.289
2021-09-27,4.289
2021-09-28,4.289
2021-09-29,4.289
2021-09-30,4.289
2021-10-01,4.289
2021-10-02,4.289
2021-10-03,4.289
2021-10-04,4.289
2021-10-05,4.289
2021-10-06,4.289
2021-10-07,4.289
2021-10-08,4.289
2021-10-09,4.289
2021-10-10,4.289
2021-10-11,4.289
2021-10-12,4.289
2021-10-13,4.289
2021-10-14,4.289
2021-10-15,4.289
2021-10-16,4.289
2021-10-17,4.289
2021-10-18,4.289
2021-10-19,4.289
2021-10-20,4.289
2021-10-21,4.289
2021-10-22,4.289
2021-10-23,4.289
2021-10-24,4.289
2021-10-25,4.289
2021-10-26,4.289
2021-10-27,4.289
2021-10-28,4.289
2021-10-29,4.289
2021-10-30,4.289
2021-10-31,4.289
2021-11-01,4.289
2021-11-02,4.289
2021-11-03,4.289
2021-11-04,4.289
2021-11-05,4.289
2021-11-06,4.289
2021-11-07,4.289
2021-11-08,4.289
2021-11-09,4.289
2021-11-10,4.289
2021-11-11,4.289
2021-11-12,4.289
2021-11-13,4.289
2021-11-14,4.289
2021-11-15,4.289
2021-11-16,4.289
2021-11-17,4.289
2021-11-18,4.289
2021-11-19,4.289
2021-11-20,4.289
2021-11-21,4.289
2021-11-22,4.289
2021-11-23,4.289
2021-11-24,4.289
2021-11-25,4.289
2021-11-26,4.289
2021-11-27,4.289
2021-11-28,4.289
2021-11-29,4.289
2021-11-30,4.289
2021-12-01,4.289
2021-12-02,4.289
2021-12-03,4.289
2021-12-04,4.289
2021-12-05,4.289
2021-12-06,4.289
2021-12-07,4.289
2021-12-08,4.289
2021-12-09,4.289
2021-12-10,4.289
2021-12-11,4.289
