,LPLA US Equity
,BEST_DIV_YLD
2020-01-01,1.12
2020-01-02,1.1
2020-01-03,1.118
2020-01-04,1.118
2020-01-05,1.118
2020-01-06,1.115
2020-01-07,1.091
2020-01-08,1.082
2020-01-09,1.065
2020-01-10,1.064
2020-01-11,1.064
2020-01-12,1.064
2020-01-13,1.049
2020-01-14,1.057
2020-01-15,1.058
2020-01-16,1.045
2020-01-17,1.052
2020-01-18,1.052
2020-01-19,1.052
2020-01-20,1.052
2020-01-21,1.064
2020-01-22,1.061
2020-01-23,1.064
2020-01-24,1.088
2020-01-25,1.088
2020-01-26,1.088
2020-01-27,1.113
2020-01-28,1.095
2020-01-29,1.096
2020-01-30,1.08
2020-01-31,1.121
2020-02-01,1.121
2020-02-02,1.121
2020-02-03,1.136
2020-02-04,1.113
2020-02-05,1.09
2020-02-06,1.099
2020-02-07,1.093
2020-02-08,1.093
2020-02-09,1.093
2020-02-10,1.103
2020-02-11,1.076
2020-02-12,1.079
2020-02-13,1.087
2020-02-14,1.091
2020-02-15,1.091
2020-02-16,1.091
2020-02-17,1.091
2020-02-18,1.094
2020-02-19,1.059
2020-02-20,1.045
2020-02-21,1.089
2020-02-22,1.089
2020-02-23,1.089
2020-02-24,1.179
2020-02-25,1.223
2020-02-26,1.24
2020-02-27,1.27
2020-02-28,1.299
2020-02-29,1.299
2020-03-01,1.299
2020-03-02,1.252
2020-03-03,1.37
2020-03-04,1.422
2020-03-05,1.559
2020-03-06,1.554
2020-03-07,1.554
2020-03-08,1.554
2020-03-09,1.84
2020-03-10,1.711
2020-03-11,1.782
2020-03-12,2.049
2020-03-13,1.728
2020-03-14,1.728
2020-03-15,1.728
2020-03-16,1.962
2020-03-17,2.062
2020-03-18,2.634
2020-03-19,2.275
2020-03-20,2.293
2020-03-21,2.293
2020-03-22,2.293
2020-03-23,2.476
2020-03-24,1.985
2020-03-25,1.905
2020-03-26,1.825
2020-03-27,1.943
2020-03-28,1.943
2020-03-29,1.943
2020-03-30,1.864
2020-03-31,1.888
2020-04-01,1.979
2020-04-02,2.0
2020-04-03,2.113
2020-04-04,2.113
2020-04-05,2.113
2020-04-06,1.928
2020-04-07,1.959
2020-04-08,1.888
2020-04-09,1.785
2020-04-10,1.785
2020-04-11,1.785
2020-04-12,1.785
2020-04-13,1.862
2020-04-14,1.83
2020-04-15,1.877
2020-04-16,1.927
2020-04-17,1.911
2020-04-18,1.911
2020-04-19,1.911
2020-04-20,1.966
2020-04-21,2.023
2020-04-22,1.991
2020-04-23,1.962
2020-04-24,1.924
2020-04-25,1.924
2020-04-26,1.924
2020-04-27,1.809
2020-04-28,1.768
2020-04-29,1.673
2020-04-30,1.707
2020-05-01,1.658
2020-05-02,1.658
2020-05-03,1.658
2020-05-04,1.665
2020-05-05,1.653
2020-05-06,1.642
2020-05-07,1.588
2020-05-08,1.554
2020-05-09,1.554
2020-05-10,1.554
2020-05-11,1.573
2020-05-12,1.67
2020-05-13,1.731
2020-05-14,1.67
2020-05-15,1.638
2020-05-16,1.638
2020-05-17,1.638
2020-05-18,1.503
2020-05-19,1.533
2020-05-20,1.476
2020-05-21,1.509
2020-05-22,1.516
2020-05-23,1.516
2020-05-24,1.516
2020-05-25,1.516
2020-05-26,1.415
2020-05-27,1.376
2020-05-28,1.414
2020-05-29,1.435
2020-05-30,1.435
2020-05-31,1.435
2020-06-01,1.396
2020-06-02,1.358
2020-06-03,1.305
2020-06-04,1.291
2020-06-05,1.248
2020-06-06,1.248
2020-06-07,1.248
2020-06-08,1.214
2020-06-09,1.198
2020-06-10,1.235
2020-06-11,1.338
2020-06-12,1.28
2020-06-13,1.28
2020-06-14,1.28
2020-06-15,1.265
2020-06-16,1.251
2020-06-17,1.237
2020-06-18,1.256
2020-06-19,1.267
2020-06-20,1.267
2020-06-21,1.267
2020-06-22,1.278
2020-06-23,1.278
2020-06-24,1.349
2020-06-25,1.323
2020-06-26,1.408
2020-06-27,1.408
2020-06-28,1.408
2020-06-29,1.34
2020-06-30,1.307
2020-07-01,1.335
2020-07-02,1.328
2020-07-03,1.328
2020-07-04,1.328
2020-07-05,1.328
2020-07-06,1.312
2020-07-07,1.358
2020-07-08,1.336
2020-07-09,1.382
2020-07-10,1.338
2020-07-11,1.338
2020-07-12,1.338
2020-07-13,1.347
2020-07-14,1.34
2020-07-15,1.292
2020-07-16,1.31
2020-07-17,1.322
2020-07-18,1.322
2020-07-19,1.322
2020-07-20,1.337
2020-07-21,1.311
2020-07-22,1.331
2020-07-23,1.347
2020-07-24,1.349
2020-07-25,1.349
2020-07-26,1.349
2020-07-27,1.322
2020-07-28,1.339
2020-07-29,1.264
2020-07-30,1.292
2020-07-31,1.296
2020-08-01,1.296
2020-08-02,1.296
2020-08-03,1.273
2020-08-04,1.281
2020-08-05,1.256
2020-08-06,1.238
2020-08-07,1.204
2020-08-08,1.204
2020-08-09,1.204
2020-08-10,1.22
2020-08-11,1.216
2020-08-12,1.214
2020-08-13,1.219
2020-08-14,1.222
2020-08-15,1.222
2020-08-16,1.222
2020-08-17,1.258
2020-08-18,1.272
2020-08-19,1.253
2020-08-20,1.276
2020-08-21,1.278
2020-08-22,1.278
2020-08-23,1.278
2020-08-24,1.256
2020-08-25,1.251
2020-08-26,1.26
2020-08-27,1.243
2020-08-28,1.24
2020-08-29,1.24
2020-08-30,1.24
2020-08-31,1.243
2020-09-01,1.233
2020-09-02,1.21
2020-09-03,1.224
2020-09-04,1.219
2020-09-05,1.219
2020-09-06,1.219
2020-09-07,1.219
2020-09-08,1.283
2020-09-09,1.27
2020-09-10,1.293
2020-09-11,1.3
2020-09-12,1.3
2020-09-13,1.3
2020-09-14,1.262
2020-09-15,1.267
2020-09-16,1.265
2020-09-17,1.294
2020-09-18,1.293
2020-09-19,1.293
2020-09-20,1.293
2020-09-21,1.335
2020-09-22,1.338
2020-09-23,1.368
2020-09-24,1.374
2020-09-25,1.356
2020-09-26,1.356
2020-09-27,1.356
2020-09-28,1.324
2020-09-29,1.343
2020-09-30,1.332
2020-10-01,1.332
2020-10-02,1.324
2020-10-03,1.324
2020-10-04,1.324
2020-10-05,1.285
2020-10-06,1.282
2020-10-07,1.278
2020-10-08,1.245
2020-10-09,1.233
2020-10-10,1.233
2020-10-11,1.233
2020-10-12,1.216
2020-10-13,1.253
2020-10-14,1.264
2020-10-15,1.247
2020-10-16,1.222
2020-10-17,1.222
2020-10-18,1.222
2020-10-19,1.232
2020-10-20,1.233
2020-10-21,1.253
2020-10-22,1.228
2020-10-23,1.228
2020-10-24,1.228
2020-10-25,1.228
2020-10-26,1.261
2020-10-27,1.283
2020-10-28,1.33
2020-10-29,1.315
2020-10-30,1.278
2020-10-31,1.278
2020-11-01,1.278
2020-11-02,1.268
2020-11-03,1.234
2020-11-04,1.302
2020-11-05,1.299
2020-11-06,1.341
2020-11-07,1.341
2020-11-08,1.341
2020-11-09,1.19
2020-11-10,1.159
2020-11-11,1.159
2020-11-12,1.176
2020-11-13,1.137
2020-11-14,1.137
2020-11-15,1.137
2020-11-16,1.115
2020-11-17,1.1
2020-11-18,1.111
2020-11-19,1.12
2020-11-20,1.131
2020-11-21,1.131
2020-11-22,1.131
2020-11-23,1.106
2020-11-24,1.074
2020-11-25,1.09
2020-11-26,1.09
2020-11-27,1.098
2020-11-28,1.098
2020-11-29,1.098
2020-11-30,1.122
2020-12-01,1.091
2020-12-02,1.07
2020-12-03,1.032
2020-12-04,1.004
2020-12-05,1.004
2020-12-06,1.004
2020-12-07,1.026
2020-12-08,1.038
2020-12-09,1.034
2020-12-10,1.039
2020-12-11,1.043
2020-12-12,1.043
2020-12-13,1.043
2020-12-14,1.042
2020-12-15,1.007
2020-12-16,0.998
2020-12-17,0.991
2020-12-18,0.983
2020-12-19,0.983
2020-12-20,0.983
2020-12-21,0.987
2020-12-22,0.983
2020-12-23,0.977
2020-12-24,0.981
2020-12-25,0.981
2020-12-26,0.981
2020-12-27,0.981
2020-12-28,0.977
2020-12-29,0.979
2020-12-30,0.979
2020-12-31,0.977
2021-01-01,0.977
2021-01-02,0.977
2021-01-03,0.977
2021-01-04,0.985
2021-01-05,0.988
2021-01-06,0.937
2021-01-07,0.908
2021-01-08,0.887
2021-01-09,0.887
2021-01-10,0.887
2021-01-11,0.872
2021-01-12,0.846
2021-01-13,0.86
