,CHRW US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,3.556
2020-01-28,3.583
2020-01-29,3.801
2020-01-30,3.857
2020-01-31,3.879
2020-02-01,3.879
2020-02-02,3.879
2020-02-03,3.891
2020-02-04,3.879
2020-02-05,3.852
2020-02-06,3.808
2020-02-07,3.767
2020-02-08,3.767
2020-02-09,3.767
2020-02-10,3.842
2020-02-11,3.853
2020-02-12,3.821
2020-02-13,3.884
2020-02-14,3.891
2020-02-15,3.891
2020-02-16,3.891
2020-02-17,3.891
2020-02-18,3.867
2020-02-19,3.813
2020-02-20,3.745
2020-02-21,3.758
2020-02-22,3.758
2020-02-23,3.758
2020-02-24,3.884
2020-02-25,3.899
2020-02-26,3.91
2020-02-27,4.01
2020-02-28,4.066
2020-02-29,4.066
2020-03-01,4.066
2020-03-02,3.997
2020-03-03,4.104
2020-03-04,3.958
2020-03-05,4.19
2020-03-06,4.209
2020-03-07,4.209
2020-03-08,4.209
2020-03-09,4.438
2020-03-10,4.294
2020-03-11,4.339
2020-03-12,4.627
2020-03-13,4.46
2020-03-14,4.46
2020-03-15,4.46
2020-03-16,4.555
2020-03-17,4.306
2020-03-18,4.289
2020-03-19,4.342
2020-03-20,4.352
2020-03-21,4.352
2020-03-22,4.352
2020-03-23,4.398
2020-03-24,4.377
2020-03-25,4.465
2020-03-26,4.221
2020-03-27,4.45
2020-03-28,4.45
2020-03-29,4.45
2020-03-30,4.267
2020-03-31,4.202
2020-04-01,4.178
2020-04-02,4.036
2020-04-03,4.081
2020-04-04,4.081
2020-04-05,4.081
2020-04-06,3.842
2020-04-07,3.872
2020-04-08,3.82
2020-04-09,3.799
2020-04-10,3.799
2020-04-11,3.799
2020-04-12,3.799
2020-04-13,3.903
2020-04-14,3.918
2020-04-15,3.922
2020-04-16,3.748
2020-04-17,3.747
2020-04-18,3.747
2020-04-19,3.747
2020-04-20,3.846
2020-04-21,3.92
2020-04-22,3.886
2020-04-23,3.947
2020-04-24,3.848
2020-04-25,3.848
2020-04-26,3.848
2020-04-27,3.848
2020-04-28,3.848
2020-04-29,3.848
2020-04-30,3.848
2020-05-01,3.848
2020-05-02,3.848
2020-05-03,3.848
2020-05-04,3.848
2020-05-05,3.848
2020-05-06,3.848
2020-05-07,3.848
2020-05-08,3.848
2020-05-09,3.848
2020-05-10,3.848
2020-05-11,3.848
2020-05-12,3.848
2020-05-13,3.848
2020-05-14,3.848
2020-05-15,3.848
2020-05-16,3.848
2020-05-17,3.848
2020-05-18,3.848
2020-05-19,3.848
2020-05-20,3.848
2020-05-21,3.848
2020-05-22,3.848
2020-05-23,3.848
2020-05-24,3.848
2020-05-25,3.848
2020-05-26,3.848
2020-05-27,3.848
2020-05-28,3.848
2020-05-29,3.848
2020-05-30,3.848
2020-05-31,3.848
2020-06-01,3.848
2020-06-02,3.848
2020-06-03,3.848
2020-06-04,3.848
2020-06-05,3.848
2020-06-06,3.848
2020-06-07,3.848
2020-06-08,3.848
2020-06-09,3.848
2020-06-10,3.848
2020-06-11,3.848
2020-06-12,3.848
2020-06-13,3.848
2020-06-14,3.848
2020-06-15,3.848
2020-06-16,3.848
2020-06-17,3.848
2020-06-18,3.848
2020-06-19,3.848
2020-06-20,3.848
2020-06-21,3.848
2020-06-22,3.848
2020-06-23,3.848
2020-06-24,3.848
2020-06-25,3.848
2020-06-26,3.848
2020-06-27,3.848
2020-06-28,3.848
2020-06-29,3.848
2020-06-30,3.848
2020-07-01,3.848
2020-07-02,3.848
2020-07-03,3.848
2020-07-04,3.848
2020-07-05,3.848
2020-07-06,3.848
2020-07-07,3.848
2020-07-08,3.848
2020-07-09,3.848
2020-07-10,3.848
2020-07-11,3.848
2020-07-12,3.848
2020-07-13,3.848
2020-07-14,3.848
2020-07-15,3.848
2020-07-16,3.848
2020-07-17,3.848
2020-07-18,3.848
2020-07-19,3.848
2020-07-20,3.848
2020-07-21,3.848
2020-07-22,3.848
2020-07-23,3.848
2020-07-24,3.848
2020-07-25,3.848
2020-07-26,3.848
2020-07-27,3.848
2020-07-28,3.848
2020-07-29,3.372
2020-07-30,3.235
2020-07-31,3.23
2020-08-01,3.23
2020-08-02,3.23
2020-08-03,3.236
2020-08-04,3.171
2020-08-05,3.169
2020-08-06,3.181
2020-08-07,3.16
2020-08-08,3.16
2020-08-09,3.16
2020-08-10,3.132
2020-08-11,3.176
2020-08-12,3.164
2020-08-13,3.182
2020-08-14,3.183
2020-08-15,3.183
2020-08-16,3.183
2020-08-17,3.177
