,ROST US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,1.407
2020-01-10,1.423
2020-01-11,1.423
2020-01-12,1.423
2020-01-13,1.432
2020-01-14,1.444
2020-01-15,1.459
2020-01-16,1.455
2020-01-17,1.46
2020-01-18,1.46
2020-01-19,1.46
2020-01-20,1.46
2020-01-21,1.459
2020-01-22,1.463
2020-01-23,1.454
2020-01-24,1.484
2020-01-25,1.484
2020-01-26,1.484
2020-01-27,1.496
2020-01-28,1.501
2020-01-29,1.504
2020-01-30,1.505
2020-01-31,1.531
2020-02-01,1.531
2020-02-02,1.531
2020-02-03,1.509
2020-02-04,1.477
2020-02-05,1.447
2020-02-06,1.454
2020-02-07,1.463
2020-02-08,1.463
2020-02-09,1.463
2020-02-10,1.453
2020-02-11,1.435
2020-02-12,1.431
2020-02-13,1.425
2020-02-14,1.411
2020-02-15,1.411
2020-02-16,1.411
2020-02-17,1.411
2020-02-18,1.403
2020-02-19,1.398
2020-02-20,1.388
2020-02-21,1.394
2020-02-22,1.394
2020-02-23,1.394
2020-02-24,1.413
2020-02-25,1.472
2020-02-26,1.441
2020-02-27,1.535
2020-02-28,1.58
2020-02-29,1.58
2020-03-01,1.58
2020-03-02,1.534
2020-03-03,1.773
2020-03-04,1.711
2020-03-05,1.843
2020-03-06,1.828
2020-03-07,1.828
2020-03-08,1.828
2020-03-09,1.977
2020-03-10,1.84
2020-03-11,1.902
2020-03-12,2.052
2020-03-13,2.019
2020-03-14,2.019
2020-03-15,2.019
2020-03-16,2.528
2020-03-17,2.686
2020-03-18,3.116
2020-03-19,2.742
2020-03-20,2.789
2020-03-21,2.789
2020-03-22,2.789
2020-03-23,2.833
2020-03-24,2.49
2020-03-25,2.193
2020-03-26,2.082
2020-03-27,2.159
2020-03-28,2.159
2020-03-29,2.159
2020-03-30,2.1
2020-03-31,2.05
2020-04-01,2.198
2020-04-02,2.245
2020-04-03,2.385
2020-04-04,2.385
2020-04-05,2.385
2020-04-06,2.045
2020-04-07,2.102
2020-04-08,1.862
2020-04-09,1.868
2020-04-10,1.868
2020-04-11,1.868
2020-04-12,1.868
2020-04-13,1.906
2020-04-14,1.822
2020-04-15,1.872
2020-04-16,1.901
2020-04-17,1.808
2020-04-18,1.808
2020-04-19,1.808
2020-04-20,1.916
2020-04-21,2.005
2020-04-22,1.977
2020-04-23,2.006
2020-04-24,1.939
2020-04-25,1.939
2020-04-26,1.939
2020-04-27,1.825
2020-04-28,1.792
2020-04-29,1.708
2020-04-30,1.815
2020-05-01,1.864
2020-05-02,1.864
2020-05-03,1.864
2020-05-04,1.876
2020-05-05,1.868
2020-05-06,1.866
2020-05-07,1.845
2020-05-08,1.813
2020-05-09,1.813
2020-05-10,1.813
2020-05-11,1.827
2020-05-12,1.914
2020-05-13,1.98
2020-05-14,1.962
2020-05-15,1.943
2020-05-16,1.943
2020-05-17,1.943
2020-05-18,1.829
2020-05-19,1.844
2020-05-20,1.824
2020-05-21,1.565
2020-05-22,1.644
2020-05-23,1.644
2020-05-24,1.644
2020-05-25,1.644
2020-05-26,1.632
2020-05-27,1.6
2020-05-28,1.571
2020-05-29,1.592
2020-05-30,1.592
2020-05-31,1.592
2020-06-01,1.588
2020-06-02,1.562
2020-06-03,1.542
2020-06-04,1.56
2020-06-05,1.506
2020-06-06,1.506
2020-06-07,1.506
2020-06-08,1.502
2020-06-09,1.52
2020-06-10,1.543
2020-06-11,1.636
2020-06-12,1.669
2020-06-13,1.669
2020-06-14,1.669
2020-06-15,1.69
2020-06-16,1.581
2020-06-17,1.597
2020-06-18,1.671
2020-06-19,1.654
2020-06-20,1.654
2020-06-21,1.654
2020-06-22,1.702
2020-06-23,1.688
2020-06-24,1.773
2020-06-25,1.832
2020-06-26,1.843
2020-06-27,1.843
2020-06-28,1.843
2020-06-29,1.811
2020-06-30,1.811
2020-07-01,1.77
2020-07-02,1.743
2020-07-03,1.743
2020-07-04,1.743
2020-07-05,1.743
2020-07-06,1.713
2020-07-07,1.787
2020-07-08,1.795
2020-07-09,1.826
2020-07-10,1.782
2020-07-11,1.782
2020-07-12,1.782
2020-07-13,1.824
2020-07-14,1.929
2020-07-15,1.849
2020-07-16,1.829
2020-07-17,1.803
2020-07-18,1.803
2020-07-19,1.803
2020-07-20,1.824
2020-07-21,1.788
2020-07-22,1.742
2020-07-23,1.763
2020-07-24,1.795
2020-07-25,1.795
2020-07-26,1.795
2020-07-27,1.817
2020-07-28,1.801
2020-07-29,1.749
2020-07-30,1.739
2020-07-31,1.725
2020-08-01,1.725
2020-08-02,1.725
2020-08-03,1.76
2020-08-04,1.75
2020-08-05,1.744
2020-08-06,1.779
2020-08-07,1.729
2020-08-08,1.729
2020-08-09,1.729
2020-08-10,1.672
2020-08-11,1.653
2020-08-12,1.644
