,BMY US Equity
,BEST_DIV_YLD
2020-01-01,3.621
2020-01-02,3.644
2020-01-03,3.676
2020-01-04,3.676
2020-01-05,3.676
2020-01-06,3.665
2020-01-07,3.61
2020-01-08,3.614
2020-01-09,3.526
2020-01-10,3.538
2020-01-11,3.538
2020-01-12,3.538
2020-01-13,3.489
2020-01-14,3.474
2020-01-15,3.467
2020-01-16,3.456
2020-01-17,3.459
2020-01-18,3.459
2020-01-19,3.459
2020-01-20,3.459
2020-01-21,3.423
2020-01-22,3.423
2020-01-23,3.451
2020-01-24,3.597
2020-01-25,3.597
2020-01-26,3.597
2020-01-27,3.623
2020-01-28,3.561
2020-01-29,3.598
2020-01-30,3.617
2020-01-31,3.666
2020-02-01,3.666
2020-02-02,3.666
2020-02-03,3.63
2020-02-04,3.59
2020-02-05,3.519
2020-02-06,3.44
2020-02-07,3.484
2020-02-08,3.484
2020-02-09,3.484
2020-02-10,3.449
2020-02-11,3.445
2020-02-12,3.445
2020-02-13,3.493
2020-02-14,3.477
2020-02-15,3.477
2020-02-16,3.477
2020-02-17,3.477
2020-02-18,3.493
2020-02-19,3.512
2020-02-20,3.542
2020-02-21,3.517
2020-02-22,3.517
2020-02-23,3.517
2020-02-24,3.608
2020-02-25,4.271
2020-02-26,4.278
2020-02-27,4.455
2020-02-28,4.494
2020-02-29,4.494
2020-03-01,4.494
2020-03-02,4.399
2020-03-03,4.483
2020-03-04,4.317
2020-03-05,4.387
2020-03-06,4.401
2020-03-07,4.401
2020-03-08,4.401
2020-03-09,4.603
2020-03-10,4.582
2020-03-11,4.697
2020-03-12,5.032
2020-03-13,4.827
2020-03-14,4.827
2020-03-15,4.827
2020-03-16,5.193
2020-03-17,4.907
2020-03-18,5.283
2020-03-19,5.44
2020-03-20,5.484
2020-03-21,5.484
2020-03-22,5.484
2020-03-23,5.72
2020-03-24,5.39
2020-03-25,5.378
2020-03-26,5.08
2020-03-27,5.028
2020-03-28,5.028
2020-03-29,5.028
2020-03-30,4.88
2020-03-31,4.762
2020-04-01,4.842
2020-04-02,4.768
2020-04-03,4.741
2020-04-04,4.741
2020-04-05,4.741
2020-04-06,4.549
2020-04-07,4.626
2020-04-08,4.519
2020-04-09,4.469
2020-04-10,4.469
2020-04-11,4.469
2020-04-12,4.469
2020-04-13,4.468
2020-04-14,4.384
2020-04-15,4.427
2020-04-16,4.42
2020-04-17,4.344
2020-04-18,4.344
2020-04-19,4.344
2020-04-20,4.268
2020-04-21,4.345
2020-04-22,4.32
2020-04-23,4.319
2020-04-24,4.229
2020-04-25,4.229
2020-04-26,4.229
2020-04-27,4.208
2020-04-28,4.236
2020-04-29,4.271
2020-04-30,4.329
2020-05-01,4.368
2020-05-02,4.368
2020-05-03,4.368
2020-05-04,4.375
2020-05-05,4.29
2020-05-06,4.306
2020-05-07,4.313
2020-05-08,4.312
2020-05-09,4.312
2020-05-10,4.312
2020-05-11,4.201
2020-05-12,4.155
2020-05-13,4.161
2020-05-14,4.128
2020-05-15,4.107
2020-05-16,4.107
2020-05-17,4.107
2020-05-18,4.139
2020-05-19,4.198
2020-05-20,4.268
2020-05-21,4.306
2020-05-22,4.33
2020-05-23,4.33
2020-05-24,4.33
2020-05-25,4.33
2020-05-26,4.364
2020-05-27,4.358
2020-05-28,4.401
2020-05-29,4.408
2020-05-30,4.408
2020-05-31,4.408
2020-06-01,4.366
2020-06-02,4.34
2020-06-03,4.372
2020-06-04,4.323
2020-06-05,4.292
2020-06-06,4.292
2020-06-07,4.292
2020-06-08,4.285
2020-06-09,4.32
