,EBSB US Equity
,BEST_DIV_YLD
2020-01-01,1.815
2020-01-02,1.831
2020-01-03,1.839
2020-01-04,1.839
2020-01-05,1.839
2020-01-06,1.858
2020-01-07,1.875
2020-01-08,1.871
2020-01-09,1.948
2020-01-10,1.96
2020-01-11,1.96
2020-01-12,1.96
2020-01-13,1.939
2020-01-14,1.944
2020-01-15,1.949
2020-01-16,1.927
2020-01-17,1.94
2020-01-18,1.94
2020-01-19,1.94
2020-01-20,1.94
2020-01-21,1.971
2020-01-22,1.966
2020-01-23,1.958
2020-01-24,1.966
2020-01-25,1.966
2020-01-26,1.966
2020-01-27,1.962
2020-01-28,1.951
2020-01-29,2.085
2020-01-30,2.065
2020-01-31,2.102
2020-02-01,2.102
2020-02-02,2.102
2020-02-03,2.075
2020-02-04,2.105
2020-02-05,2.092
2020-02-06,2.093
2020-02-07,2.113
2020-02-08,2.113
2020-02-09,2.113
2020-02-10,2.119
2020-02-11,2.103
2020-02-12,2.092
2020-02-13,2.067
2020-02-14,2.093
2020-02-15,2.093
2020-02-16,2.093
2020-02-17,2.093
2020-02-18,2.098
2020-02-19,2.089
2020-02-20,2.089
2020-02-21,2.118
2020-02-22,2.118
2020-02-23,2.118
2020-02-24,2.14
2020-02-25,2.194
2020-02-26,2.192
2020-02-27,2.254
2020-02-28,2.291
2020-02-29,2.291
2020-03-01,2.291
2020-03-02,2.201
2020-03-03,2.288
2020-03-04,2.262
2020-03-05,2.306
2020-03-06,2.334
2020-03-07,2.334
2020-03-08,2.334
2020-03-09,2.585
2020-03-10,2.533
2020-03-11,2.68
2020-03-12,2.959
2020-03-13,2.799
2020-03-14,2.799
2020-03-15,2.799
2020-03-16,3.232
2020-03-17,2.943
2020-03-18,3.667
2020-03-19,3.445
2020-03-20,3.871
2020-03-21,3.871
2020-03-22,3.871
2020-03-23,3.74
2020-03-24,3.522
2020-03-25,3.343
2020-03-26,3.068
2020-03-27,3.238
2020-03-28,3.238
2020-03-29,3.238
2020-03-30,3.215
2020-03-31,3.23
2020-04-01,3.488
2020-04-02,3.505
2020-04-03,3.631
2020-04-04,3.631
2020-04-05,3.631
2020-04-06,3.511
2020-04-07,3.511
2020-04-08,3.303
2020-04-09,3.04
2020-04-10,3.04
2020-04-11,3.04
2020-04-12,3.04
2020-04-13,3.23
2020-04-14,3.315
2020-04-15,3.581
2020-04-16,3.635
