,CTRA US Equity
,BEST_DIV_YLD
2020-01-01,2.87
2020-01-02,2.9
2020-01-03,2.892
2020-01-04,2.892
2020-01-05,2.892
2020-01-06,2.869
2020-01-07,2.852
2020-01-08,2.966
2020-01-09,2.895
2020-01-10,2.857
2020-01-11,2.857
2020-01-12,2.857
2020-01-13,2.907
2020-01-14,2.854
2020-01-15,2.882
2020-01-16,2.877
2020-01-17,2.973
2020-01-18,2.973
2020-01-19,2.973
2020-01-20,2.973
2020-01-21,3.22
2020-01-22,3.239
2020-01-23,3.26
2020-01-24,3.391
2020-01-25,3.391
2020-01-26,3.391
2020-01-27,3.443
2020-01-28,3.375
2020-01-29,3.467
2020-01-30,3.47
2020-01-31,3.524
2020-02-01,3.524
2020-02-02,3.524
2020-02-03,3.506
2020-02-04,3.446
2020-02-05,3.339
2020-02-06,3.362
2020-02-07,3.391
2020-02-08,3.391
2020-02-09,3.391
2020-02-10,3.389
2020-02-11,3.364
2020-02-12,3.319
2020-02-13,3.295
2020-02-14,3.355
2020-02-15,3.355
2020-02-16,3.355
2020-02-17,3.355
2020-02-18,3.245
2020-02-19,3.183
2020-02-20,3.235
2020-02-21,3.334
2020-02-22,3.334
2020-02-23,3.334
2020-02-24,3.299
2020-02-25,3.401
2020-02-26,3.387
2020-02-27,3.675
2020-02-28,3.564
2020-02-29,3.564
2020-03-01,3.564
2020-03-02,3.412
2020-03-03,3.357
2020-03-04,3.323
2020-03-05,3.328
2020-03-06,3.033
2020-03-07,3.033
2020-03-08,3.033
2020-03-09,2.94
2020-03-10,2.931
2020-03-11,3.063
2020-03-12,3.095
2020-03-13,2.703
2020-03-14,2.703
2020-03-15,2.703
2020-03-16,2.902
2020-03-17,2.601
2020-03-18,2.684
2020-03-19,2.936
2020-03-20,3.328
2020-03-21,3.328
2020-03-22,3.328
2020-03-23,3.511
2020-03-24,3.037
2020-03-25,3.016
2020-03-26,2.943
2020-03-27,3.057
2020-03-28,3.057
2020-03-29,3.057
2020-03-30,2.836
2020-03-31,2.888
2020-04-01,2.984
2020-04-02,2.973
2020-04-03,2.862
2020-04-04,2.862
2020-04-05,2.862
2020-04-06,2.716
2020-04-07,2.701
