,UNP US Equity
,BEST_DIV_YLD
2020-01-01,3.326
2020-01-02,3.299
2020-01-03,3.322
2020-01-04,3.322
2020-01-05,3.322
2020-01-06,3.351
2020-01-07,3.377
2020-01-08,3.34
2020-01-09,3.357
2020-01-10,3.379
2020-01-11,3.379
2020-01-12,3.379
2020-01-13,3.342
2020-01-14,3.326
2020-01-15,3.326
2020-01-16,3.269
2020-01-17,3.244
2020-01-18,3.244
2020-01-19,3.244
2020-01-20,3.244
2020-01-21,3.295
2020-01-22,3.323
2020-01-23,3.212
2020-01-24,3.238
2020-01-25,3.238
2020-01-26,3.238
2020-01-27,3.369
2020-01-28,3.347
2020-01-29,3.308
2020-01-30,3.284
2020-01-31,3.351
2020-02-01,3.351
2020-02-02,3.351
2020-02-03,3.335
2020-02-04,3.281
2020-02-05,3.248
2020-02-06,3.231
2020-02-07,3.271
2020-02-08,3.271
2020-02-09,3.271
2020-02-10,3.256
2020-02-11,3.28
2020-02-12,3.252
2020-02-13,3.256
2020-02-14,3.268
2020-02-15,3.268
2020-02-16,3.268
2020-02-17,3.268
2020-02-18,3.302
2020-02-19,3.277
2020-02-20,3.278
2020-02-21,3.309
2020-02-22,3.309
2020-02-23,3.309
2020-02-24,3.401
2020-02-25,3.518
2020-02-26,3.627
2020-02-27,3.745
2020-02-28,3.74
2020-02-29,3.74
2020-03-01,3.74
2020-03-02,3.728
2020-03-03,3.799
2020-03-04,3.686
2020-03-05,3.857
2020-03-06,3.829
2020-03-07,3.829
2020-03-08,3.829
2020-03-09,4.4
2020-03-10,4.071
2020-03-11,4.222
2020-03-12,4.527
2020-03-13,4.155
2020-03-14,4.155
2020-03-15,4.155
2020-03-16,4.778
2020-03-17,4.647
2020-03-18,5.194
2020-03-19,4.914
2020-03-20,5.072
2020-03-21,5.072
2020-03-22,5.072
2020-03-23,5.241
2020-03-24,4.638
2020-03-25,4.497
2020-03-26,4.195
2020-03-27,4.299
2020-03-28,4.299
2020-03-29,4.299
2020-03-30,4.263
2020-03-31,4.238
2020-04-01,4.379
2020-04-02,4.215
2020-04-03,4.314
2020-04-04,4.314
2020-04-05,4.314
2020-04-06,4.043
2020-04-07,4.101
2020-04-08,3.995
2020-04-09,4.019
2020-04-10,4.019
2020-04-11,4.019
2020-04-12,4.019
2020-04-13,4.069
2020-04-14,4.012
2020-04-15,4.076
2020-04-16,4.151
2020-04-17,3.988
2020-04-18,3.988
2020-04-19,3.988
2020-04-20,4.077
2020-04-21,4.139
2020-04-22,4.063
2020-04-23,3.925
2020-04-24,3.829
2020-04-25,3.829
2020-04-26,3.829
2020-04-27,3.76
2020-04-28,3.704
2020-04-29,3.666
2020-04-30,3.741
2020-05-01,3.816
2020-05-02,3.816
2020-05-03,3.816
2020-05-04,3.861
2020-05-05,3.822
2020-05-06,3.874
2020-05-07,3.826
2020-05-08,3.777
2020-05-09,3.777
2020-05-10,3.777
2020-05-11,3.811
2020-05-12,4.101
2020-05-13,4.135
2020-05-14,4.143
2020-05-15,4.176
2020-05-16,4.176
2020-05-17,4.176
2020-05-18,3.969
2020-05-19,3.966
2020-05-20,3.804
2020-05-21,3.861
2020-05-22,3.824
2020-05-23,3.824
2020-05-24,3.824
2020-05-25,3.824
2020-05-26,3.717
2020-05-27,3.633
2020-05-28,3.683
2020-05-29,3.697
2020-05-30,3.697
2020-05-31,3.697
2020-06-01,3.705
2020-06-02,3.674
2020-06-03,3.527
2020-06-04,3.56
2020-06-05,3.398
2020-06-06,3.398
2020-06-07,3.398
2020-06-08,3.457
2020-06-09,3.525
2020-06-10,3.58
2020-06-11,3.846
2020-06-12,3.779
2020-06-13,3.779
2020-06-14,3.779
2020-06-15,3.74
2020-06-16,3.673
2020-06-17,3.669
2020-06-18,3.397
2020-06-19,3.457
2020-06-20,3.457
2020-06-21,3.457
2020-06-22,3.45
2020-06-23,3.426
2020-06-24,3.505
2020-06-25,3.474
2020-06-26,3.535
2020-06-27,3.535
2020-06-28,3.535
2020-06-29,3.473
2020-06-30,3.4
2020-07-01,3.445
2020-07-02,3.4
2020-07-03,3.4
2020-07-04,3.4
2020-07-05,3.4
2020-07-06,3.339
2020-07-07,3.386
2020-07-08,3.401
2020-07-09,3.463
2020-07-10,3.455
2020-07-11,3.455
2020-07-12,3.455
2020-07-13,3.398
2020-07-14,3.344
2020-07-15,3.296
2020-07-16,3.25
2020-07-17,3.172
2020-07-18,3.172
2020-07-19,3.172
2020-07-20,3.241
2020-07-21,3.218
2020-07-22,3.205
2020-07-23,3.285
2020-07-24,3.264
2020-07-25,3.264
2020-07-26,3.264
2020-07-27,3.251
2020-07-28,3.296
2020-07-29,3.23
2020-07-30,3.327
2020-07-31,3.316
2020-08-01,3.316
2020-08-02,3.316
2020-08-03,3.341
2020-08-04,3.31
2020-08-05,3.239
2020-08-06,3.201
2020-08-07,3.143
2020-08-08,3.143
2020-08-09,3.143
2020-08-10,3.077
2020-08-11,3.02
2020-08-12,2.997
2020-08-13,3.03
2020-08-14,2.995
2020-08-15,2.995
2020-08-16,2.995
2020-08-17,2.965
2020-08-18,3.015
2020-08-19,3.011
2020-08-20,3.027
2020-08-21,3.001
2020-08-22,3.001
2020-08-23,3.001
2020-08-24,2.985
2020-08-25,2.95
2020-08-26,2.958
2020-08-27,2.957
2020-08-28,2.931
2020-08-29,2.931
2020-08-30,2.931
2020-08-31,2.972
2020-09-01,2.921
2020-09-02,2.914
2020-09-03,3.002
2020-09-04,2.993
2020-09-05,2.993
2020-09-06,2.993
2020-09-07,2.993
