,MSM US Equity
,BEST_DIV_YLD
2020-01-01,7.678
2020-01-02,7.648
2020-01-03,7.753
2020-01-04,7.753
2020-01-05,7.753
2020-01-06,7.869
2020-01-07,7.935
2020-01-08,7.249
2020-01-09,7.341
2020-01-10,7.289
2020-01-11,7.289
2020-01-12,7.289
2020-01-13,7.194
2020-01-14,7.137
2020-01-15,7.16
2020-01-16,7.024
2020-01-17,7.165
2020-01-18,7.165
2020-01-19,7.165
2020-01-20,7.165
2020-01-21,7.156
2020-01-22,7.127
2020-01-23,7.03
2020-01-24,7.091
2020-01-25,7.091
2020-01-26,7.091
2020-01-27,7.164
2020-01-28,7.15
2020-01-29,7.241
2020-01-30,7.234
2020-01-31,7.488
2020-02-01,7.488
2020-02-02,7.488
2020-02-03,7.413
2020-02-04,7.207
2020-02-05,7.077
2020-02-06,7.115
2020-02-07,7.255
2020-02-08,7.255
2020-02-09,7.255
2020-02-10,7.298
2020-02-11,7.193
2020-02-12,7.092
2020-02-13,7.113
2020-02-14,7.085
2020-02-15,7.085
2020-02-16,7.085
2020-02-17,7.085
2020-02-18,7.162
2020-02-19,7.176
2020-02-20,7.078
2020-02-21,7.153
2020-02-22,7.153
2020-02-23,7.153
2020-02-24,7.327
2020-02-25,7.706
2020-02-26,7.766
2020-02-27,8.012
2020-02-28,8.246
2020-02-29,8.246
2020-03-01,8.246
2020-03-02,7.968
2020-03-03,7.997
2020-03-04,7.859
2020-03-05,8.35
2020-03-06,8.499
2020-03-07,8.499
2020-03-08,8.499
2020-03-09,9.512
2020-03-10,9.482
2020-03-11,9.553
2020-03-12,9.698
2020-03-13,9.565
2020-03-14,9.565
2020-03-15,9.565
2020-03-16,9.474
2020-03-17,8.609
2020-03-18,9.232
2020-03-19,9.751
2020-03-20,10.252
2020-03-21,10.252
2020-03-22,10.252
2020-03-23,10.549
2020-03-24,9.694
2020-03-25,9.906
2020-03-26,9.586
2020-03-27,9.486
2020-03-28,9.486
2020-03-29,9.486
2020-03-30,9.119
2020-03-31,8.962
2020-04-01,9.089
2020-04-02,8.9
2020-04-03,9.069
2020-04-04,9.069
2020-04-05,9.069
2020-04-06,8.644
2020-04-07,8.486
2020-04-08,7.968
2020-04-09,8.101
2020-04-10,8.101
2020-04-11,8.101
2020-04-12,8.101
2020-04-13,8.441
2020-04-14,8.037
2020-04-15,8.164
2020-04-16,8.211
2020-04-17,8.185
2020-04-18,8.185
2020-04-19,8.185
2020-04-20,8.372
2020-04-21,8.49
2020-04-22,8.39
2020-04-23,8.346
2020-04-24,8.452
2020-04-25,8.452
2020-04-26,8.452
2020-04-27,8.079
2020-04-28,7.856
2020-04-29,7.741
2020-04-30,8.076
2020-05-01,8.171
2020-05-02,8.171
2020-05-03,8.171
2020-05-04,8.349
2020-05-05,8.151
2020-05-06,8.243
2020-05-07,8.2
2020-05-08,7.952
2020-05-09,7.952
2020-05-10,7.952
2020-05-11,7.791
2020-05-12,8.218
2020-05-13,8.201
2020-05-14,8.199
2020-05-15,7.985
2020-05-16,7.985
2020-05-17,7.985
2020-05-18,7.33
2020-05-19,7.501
2020-05-20,7.239
2020-05-21,7.38
2020-05-22,7.368
2020-05-23,7.368
2020-05-24,7.368
2020-05-25,7.368
2020-05-26,6.956
2020-05-27,6.83
2020-05-28,6.819
2020-05-29,6.946
2020-05-30,6.946
2020-05-31,6.946
2020-06-01,6.981
2020-06-02,6.736
2020-06-03,6.662
2020-06-04,6.675
2020-06-05,6.491
2020-06-06,6.491
2020-06-07,6.491
2020-06-08,6.426
2020-06-09,6.55
2020-06-10,6.616
2020-06-11,7.043
2020-06-12,7.004
2020-06-13,7.004
2020-06-14,7.004
2020-06-15,6.875
2020-06-16,6.685
2020-06-17,6.687
2020-06-18,6.758
2020-06-19,6.819
2020-06-20,6.819
2020-06-21,6.819
2020-06-22,6.843
2020-06-23,6.887
2020-06-24,7.09
2020-06-25,6.926
2020-06-26,7.024
2020-06-27,7.024
2020-06-28,7.024
2020-06-29,6.871
2020-06-30,6.715
2020-07-01,6.825
2020-07-02,6.688
2020-07-03,6.688
2020-07-04,6.688
2020-07-05,6.688
2020-07-06,6.53
2020-07-07,6.631
2020-07-08,7.24
2020-07-09,7.688
2020-07-10,7.788
2020-07-11,7.788
2020-07-12,7.788
2020-07-13,7.668
2020-07-14,7.6
2020-07-15,7.543
2020-07-16,7.455
2020-07-17,7.46
2020-07-18,7.46
2020-07-19,7.46
2020-07-20,7.575
2020-07-21,7.458
