,LYB US Equity
,BEST_DIV_YLD
2020-01-01,7.275
2020-01-02,7.323
2020-01-03,7.508
2020-01-04,7.508
2020-01-05,7.508
2020-01-06,7.528
2020-01-07,7.56
2020-01-08,7.592
2020-01-09,7.59
2020-01-10,7.686
2020-01-11,7.686
2020-01-12,7.686
2020-01-13,7.537
2020-01-14,7.477
2020-01-15,7.538
2020-01-16,7.512
2020-01-17,7.472
2020-01-18,7.472
2020-01-19,7.472
2020-01-20,7.472
2020-01-21,7.69
2020-01-22,7.934
2020-01-23,7.971
2020-01-24,8.092
2020-01-25,8.092
2020-01-26,8.092
2020-01-27,8.371
2020-01-28,8.289
2020-01-29,8.198
2020-01-30,8.237
2020-01-31,8.828
2020-02-01,8.828
2020-02-02,8.828
2020-02-03,8.721
2020-02-04,8.411
2020-02-05,8.175
2020-02-06,8.244
2020-02-07,8.372
2020-02-08,8.372
2020-02-09,8.372
2020-02-10,8.39
2020-02-11,8.186
2020-02-12,8.029
2020-02-13,8.233
2020-02-14,8.322
2020-02-15,8.322
2020-02-16,8.322
2020-02-17,8.322
2020-02-18,8.453
2020-02-19,8.388
2020-02-20,8.247
2020-02-21,8.291
2020-02-22,8.291
2020-02-23,8.291
2020-02-24,8.63
2020-02-25,9.115
2020-02-26,9.24
2020-02-27,9.695
2020-02-28,9.477
2020-02-29,9.477
2020-03-01,9.477
2020-03-02,9.088
2020-03-03,9.374
2020-03-04,9.002
2020-03-05,9.163
2020-03-06,9.407
2020-03-07,9.407
2020-03-08,9.407
2020-03-09,11.361
2020-03-10,11.336
2020-03-11,12.541
2020-03-12,14.699
2020-03-13,14.458
2020-03-14,14.458
2020-03-15,14.458
2020-03-16,19.404
2020-03-17,16.232
2020-03-18,16.692
2020-03-19,15.665
2020-03-20,16.124
2020-03-21,16.124
2020-03-22,16.124
2020-03-23,16.725
2020-03-24,14.953
2020-03-25,12.998
2020-03-26,12.557
2020-03-27,13.709
2020-03-28,13.709
2020-03-29,13.709
2020-03-30,13.659
2020-03-31,13.645
2020-04-01,15.039
2020-04-02,14.747
2020-04-03,14.69
2020-04-04,14.69
2020-04-05,14.69
2020-04-06,13.577
2020-04-07,13.111
2020-04-08,11.057
2020-04-09,10.408
2020-04-10,10.408
2020-04-11,10.408
2020-04-12,10.408
2020-04-13,10.567
2020-04-14,10.459
2020-04-15,11.638
2020-04-16,12.403
2020-04-17,11.752
2020-04-18,11.752
2020-04-19,11.752
2020-04-20,12.669
2020-04-21,13.153
2020-04-22,12.748
2020-04-23,12.423
2020-04-24,12.254
2020-04-25,12.254
2020-04-26,12.254
2020-04-27,11.702
2020-04-28,11.017
2020-04-29,10.234
2020-04-30,10.584
2020-05-01,11.119
2020-05-02,11.119
2020-05-03,11.119
2020-05-04,11.285
2020-05-05,11.182
2020-05-06,11.77
2020-05-07,11.415
2020-05-08,10.865
2020-05-09,10.865
2020-05-10,10.865
2020-05-11,10.94
2020-05-12,10.979
2020-05-13,11.662
2020-05-14,11.509
2020-05-15,11.442
2020-05-16,11.442
2020-05-17,11.442
2020-05-18,10.33
2020-05-19,10.562
2020-05-20,10.156
2020-05-21,10.178
2020-05-22,10.151
2020-05-23,10.151
2020-05-24,10.151
2020-05-25,10.151
2020-05-26,9.057
2020-05-27,9.112
2020-05-28,9.524
2020-05-29,9.619
2020-05-30,9.619
2020-05-31,9.619
2020-06-01,9.387
2020-06-02,8.968
2020-06-03,8.699
2020-06-04,8.294
2020-06-05,8.075
2020-06-06,8.075
2020-06-07,8.075
2020-06-08,7.915
2020-06-09,7.955
2020-06-10,8.218
2020-06-11,9.462
2020-06-12,9.077
2020-06-13,9.077
2020-06-14,9.077
2020-06-15,8.986
2020-06-16,8.755
2020-06-17,9.047
2020-06-18,9.032
2020-06-19,9.086
2020-06-20,9.086
2020-06-21,9.086
2020-06-22,9.063
2020-06-23,9.162
2020-06-24,9.97
2020-06-25,9.447
2020-06-26,9.541
2020-06-27,9.541
2020-06-28,9.541
2020-06-29,9.309
2020-06-30,9.2
2020-07-01,9.215
2020-07-02,9.029
2020-07-03,9.029
2020-07-04,9.029
2020-07-05,9.029
2020-07-06,8.859
2020-07-07,8.958
2020-07-08,9.182
2020-07-09,9.58
2020-07-10,9.296
2020-07-11,9.296
2020-07-12,9.296
2020-07-13,9.253
2020-07-14,9.029
2020-07-15,8.778
2020-07-16,8.78
