,EQT US Equity
,BEST_DIV_YLD
2020-01-01,6.705
2020-01-02,7.054
2020-01-03,7.068
2020-01-04,7.068
2020-01-05,7.068
2020-01-06,6.987
2020-01-07,7.102
2020-01-08,8.005
2020-01-09,8.111
2020-01-10,8.267
2020-01-11,8.267
2020-01-12,8.267
2020-01-13,8.732
2020-01-14,8.488
2020-01-15,8.639
2020-01-16,8.548
2020-01-17,8.869
2020-01-18,8.869
2020-01-19,8.869
2020-01-20,8.869
2020-01-21,9.516
2020-01-22,9.876
2020-01-23,10.264
2020-01-24,10.99
2020-01-25,10.99
2020-01-26,10.99
2020-01-27,11.09
2020-01-28,10.941
2020-01-29,12.0
2020-01-30,11.807
2020-01-31,12.08
2020-02-01,12.08
2020-02-02,12.08
2020-02-03,12.387
2020-02-04,12.777
2020-02-05,12.18
2020-02-06,13.434
2020-02-07,13.789
2020-02-08,13.789
2020-02-09,13.789
2020-02-10,14.302
2020-02-11,14.246
2020-02-12,13.841
2020-02-13,13.432
2020-02-14,13.737
2020-02-15,13.737
2020-02-16,13.737
2020-02-17,13.737
2020-02-18,12.794
2020-02-19,12.296
2020-02-20,12.091
2020-02-21,12.507
2020-02-22,12.507
2020-02-23,12.507
2020-02-24,13.188
2020-02-25,14.083
2020-02-26,14.651
2020-02-27,13.507
2020-02-28,12.379
2020-02-29,12.379
2020-03-01,12.379
2020-03-02,11.952
2020-03-03,11.816
2020-03-04,11.893
2020-03-05,11.444
2020-03-06,11.372
2020-03-07,11.372
2020-03-08,11.372
2020-03-09,10.293
2020-03-10,10.293
2020-03-11,10.562
2020-03-12,10.471
2020-03-13,7.625
2020-03-14,7.625
2020-03-15,7.625
2020-03-16,8.362
2020-03-17,7.722
2020-03-18,8.362
2020-03-19,8.994
2020-03-20,9.754
2020-03-21,9.754
2020-03-22,9.754
2020-03-23,11.991
2020-03-24,10.023
2020-03-25,9.401
2020-03-26,10.441
2020-03-27,10.532
2020-03-28,10.532
2020-03-29,10.532
2020-03-30,10.411
2020-03-31,10.278
2020-04-01,9.954
2020-04-02,9.21
2020-04-03,8.286
2020-04-04,8.286
2020-04-05,8.286
2020-04-06,7.445
2020-04-07,6.76
2020-04-08,6.704
2020-04-09,6.716
2020-04-10,6.716
2020-04-11,6.716
2020-04-12,6.716
2020-04-13,5.846
2020-04-14,5.651
2020-04-15,5.568
2020-04-16,5.673
2020-04-17,5.435
2020-04-18,5.435
2020-04-19,5.435
2020-04-20,4.67
2020-04-21,4.667
2020-04-22,5.099
2020-04-23,5.813
2020-04-24,5.427
2020-04-25,5.427
2020-04-26,5.427
2020-04-27,5.27
2020-04-28,5.427
2020-04-29,5.157
2020-04-30,4.981
2020-05-01,5.057
2020-05-02,5.057
2020-05-03,5.057
2020-05-04,4.91
2020-05-05,5.071
2020-05-06,5.331
2020-05-07,5.335
2020-05-08,5.194
2020-05-09,5.194
2020-05-10,5.194
2020-05-11,5.518
2020-05-12,5.74
2020-05-13,5.841
2020-05-14,5.795
2020-05-15,5.704
2020-05-16,5.704
2020-05-17,5.704
2020-05-18,5.642
2020-05-19,5.677
2020-05-20,5.451
2020-05-21,5.518
2020-05-22,5.289
2020-05-23,5.289
2020-05-24,5.289
2020-05-25,5.289
2020-05-26,4.927
2020-05-27,5.128
2020-05-28,5.435
2020-05-29,5.447
2020-05-30,5.447
2020-05-31,5.447
2020-06-01,5.646
2020-06-02,5.427
2020-06-03,5.239
2020-06-04,5.082
2020-06-05,4.835
2020-06-06,4.835
2020-06-07,4.835
2020-06-08,4.302
2020-06-09,4.477
2020-06-10,4.79
2020-06-11,4.953
2020-06-12,4.907
2020-06-13,4.907
2020-06-14,4.907
2020-06-15,5.05
2020-06-16,5.161
2020-06-17,5.183
2020-06-18,5.312
2020-06-19,5.624
2020-06-20,5.624
2020-06-21,5.624
2020-06-22,5.884
2020-06-23,5.932
2020-06-24,6.061
2020-06-25,6.386
2020-06-26,6.823
2020-06-27,6.823
2020-06-28,6.823
2020-06-29,6.57
2020-06-30,6.107
2020-07-01,6.352
2020-07-02,5.735
2020-07-03,5.735
2020-07-04,5.735
2020-07-05,5.735
2020-07-06,5.343
2020-07-07,5.165
2020-07-08,5.46
2020-07-09,5.518
2020-07-10,5.581
2020-07-11,5.581
2020-07-12,5.581
2020-07-13,5.818
2020-07-14,5.763
2020-07-15,5.699
2020-07-16,5.74
2020-07-17,5.823
2020-07-18,5.823
2020-07-19,5.823
2020-07-20,5.874
2020-07-21,5.439
2020-07-22,5.577
2020-07-23,5.107
2020-07-24,5.128
2020-07-25,5.128
2020-07-26,5.128
2020-07-27,5.419
2020-07-28,5.258
2020-07-29,5.015
2020-07-30,5.103
2020-07-31,5.005
2020-08-01,5.005
2020-08-02,5.005
2020-08-03,4.631
2020-08-04,4.547
2020-08-05,4.442
2020-08-06,4.447
2020-08-07,4.232
2020-08-08,4.232
2020-08-09,4.232
2020-08-10,4.235
2020-08-11,4.477
2020-08-12,4.439
2020-08-13,4.545
2020-08-14,4.285
2020-08-15,4.285
2020-08-16,4.285
2020-08-17,4.247
2020-08-18,4.396
2020-08-19,4.37
2020-08-20,4.582
2020-08-21,4.53
2020-08-22,4.53
2020-08-23,4.53
2020-08-24,4.436
2020-08-25,4.439
2020-08-26,4.634
2020-08-27,4.5
2020-08-28,4.536
2020-08-29,4.536
2020-08-30,4.536
2020-08-31,4.579
2020-09-01,4.658
2020-09-02,4.825
2020-09-03,4.753
2020-09-04,4.731
2020-09-05,4.731
2020-09-06,4.731
2020-09-07,4.731
2020-09-08,5.012
2020-09-09,4.92
2020-09-10,5.165
2020-09-11,5.179
2020-09-12,5.179
2020-09-13,5.179
2020-09-14,5.107
2020-09-15,5.099
2020-09-16,4.923
2020-09-17,4.984
2020-09-18,4.8
2020-09-19,4.8
2020-09-20,4.8
2020-09-21,4.703
2020-09-22,4.94
2020-09-23,5.05
2020-09-24,5.018
2020-09-25,5.239
2020-09-26,5.239
2020-09-27,5.239
2020-09-28,5.194
2020-09-29,5.659
2020-09-30,5.62
2020-10-01,5.731
2020-10-02,5.708
2020-10-03,5.708
2020-10-04,5.708
2020-10-05,5.308
2020-10-06,5.399
2020-10-07,5.143
2020-10-08,5.012
2020-10-09,4.947
2020-10-10,4.947
2020-10-11,4.947
2020-10-12,4.719
2020-10-13,4.765
2020-10-14,4.893
2020-10-15,4.812
2020-10-16,4.94
2020-10-17,4.94
2020-10-18,4.94
2020-10-19,4.957
2020-10-20,4.835
2020-10-21,4.9
2020-10-22,4.599
2020-10-23,4.5
2020-10-24,4.5
2020-10-25,4.5
2020-10-26,4.649
2020-10-27,4.497
2020-10-28,4.605
2020-10-29,4.667
2020-10-30,4.8
2020-10-31,4.8
2020-11-01,4.8
