,D US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,7.001
2020-01-18,7.001
2020-01-19,7.001
2020-01-20,7.001
2020-01-21,7.002
2020-01-22,7.031
2020-01-23,6.999
2020-01-24,7.005
2020-01-25,7.005
2020-01-26,7.005
2020-01-27,7.062
2020-01-28,6.962
2020-01-29,6.891
2020-01-30,6.804
2020-01-31,6.862
2020-02-01,6.862
2020-02-02,6.862
2020-02-03,6.855
2020-02-04,6.958
2020-02-05,6.929
2020-02-06,6.901
2020-02-07,6.938
2020-02-08,6.938
2020-02-09,6.938
2020-02-10,6.956
2020-02-11,6.905
2020-02-12,6.859
2020-02-13,6.823
2020-02-14,6.728
2020-02-15,6.728
2020-02-16,6.728
2020-02-17,6.728
2020-02-18,6.613
2020-02-19,6.699
2020-02-20,6.593
2020-02-21,6.583
2020-02-22,6.583
2020-02-23,6.583
2020-02-24,5.527
2020-02-25,5.653
2020-02-26,5.72
2020-02-27,6.04
2020-02-28,6.28
2020-02-29,6.28
2020-03-01,6.28
2020-03-02,5.832
2020-03-03,5.888
2020-03-04,5.514
2020-03-05,5.632
2020-03-06,5.663
2020-03-07,5.663
2020-03-08,5.663
2020-03-09,6.036
2020-03-10,5.899
2020-03-11,6.218
2020-03-12,6.885
2020-03-13,6.271
2020-03-14,6.271
2020-03-15,6.271
2020-03-16,7.151
2020-03-17,6.1
2020-03-18,6.117
2020-03-19,6.833
2020-03-20,7.304
2020-03-21,7.304
2020-03-22,7.304
2020-03-23,8.266
2020-03-24,7.476
2020-03-25,7.291
2020-03-26,6.777
2020-03-27,6.719
2020-03-28,6.719
2020-03-29,6.719
2020-03-30,6.392
2020-03-31,6.801
2020-04-01,7.02
2020-04-02,6.909
2020-04-03,7.059
2020-04-04,7.059
2020-04-05,7.059
2020-04-06,6.625
2020-04-07,6.685
2020-04-08,6.276
2020-04-09,6.017
2020-04-10,6.017
2020-04-11,6.017
2020-04-12,6.017
2020-04-13,6.173
2020-04-14,5.986
2020-04-15,6.153
2020-04-16,6.288
2020-04-17,6.023
2020-04-18,6.023
2020-04-19,6.023
2020-04-20,6.023
2020-04-21,6.023
2020-04-22,6.023
2020-04-23,6.023
2020-04-24,6.023
2020-04-25,6.023
2020-04-26,6.023
2020-04-27,6.023
2020-04-28,6.023
2020-04-29,6.023
2020-04-30,6.023
2020-05-01,6.023
2020-05-02,6.023
2020-05-03,6.023
2020-05-04,6.023
2020-05-05,6.023
2020-05-06,6.023
2020-05-07,6.023
2020-05-08,6.023
2020-05-09,6.023
2020-05-10,6.023
2020-05-11,6.023
2020-05-12,6.023
2020-05-13,6.023
2020-05-14,6.023
2020-05-15,6.023
2020-05-16,6.023
2020-05-17,6.023
2020-05-18,6.023
2020-05-19,6.023
2020-05-20,6.023
2020-05-21,6.023
2020-05-22,6.023
2020-05-23,6.023
2020-05-24,6.023
2020-05-25,6.023
2020-05-26,6.023
2020-05-27,6.023
2020-05-28,6.023
2020-05-29,6.023
2020-05-30,6.023
2020-05-31,6.023
2020-06-01,6.023
2020-06-02,6.023
2020-06-03,6.023
2020-06-04,6.023
2020-06-05,6.023
2020-06-06,6.023
2020-06-07,6.023
2020-06-08,6.023
2020-06-09,6.023
2020-06-10,6.023
2020-06-11,6.023
2020-06-12,6.023
2020-06-13,6.023
2020-06-14,6.023
2020-06-15,5.778
2020-06-16,5.718
2020-06-17,5.771
2020-06-18,5.745
2020-06-19,5.942
2020-06-20,5.942
2020-06-21,5.942
2020-06-22,5.833
2020-06-23,5.865
2020-06-24,5.88
2020-06-25,5.985
2020-06-26,6.094
2020-06-27,6.094
2020-06-28,6.094
2020-06-29,6.024
2020-06-30,5.982
2020-07-01,5.897
2020-07-02,5.873
2020-07-03,5.873
2020-07-04,5.873
2020-07-05,5.873
2020-07-06,4.77
2020-07-07,4.709
2020-07-08,4.647
2020-07-09,4.738
2020-07-10,4.75
2020-07-11,4.75
2020-07-12,4.75
2020-07-13,4.744
2020-07-14,4.728
2020-07-15,4.632
2020-07-16,4.542
2020-07-17,4.448
2020-07-18,4.448
2020-07-19,4.448
2020-07-20,4.507
2020-07-21,4.469
2020-07-22,4.394
2020-07-23,4.337
2020-07-24,4.347
2020-07-25,4.347
2020-07-26,4.347
2020-07-27,4.347
2020-07-28,4.249
2020-07-29,4.239
2020-07-30,4.277
2020-07-31,4.303
2020-08-01,4.303
2020-08-02,4.303
2020-08-03,4.341
2020-08-04,4.311
2020-08-05,4.375
2020-08-06,4.379
2020-08-07,4.325
2020-08-08,4.325
2020-08-09,4.325
2020-08-10,4.352
2020-08-11,4.439
2020-08-12,4.382
2020-08-13,4.397
2020-08-14,4.422
2020-08-15,4.422
