,BMTC US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,4.227
2020-04-18,4.227
2020-04-19,4.227
2020-04-20,4.514
2020-04-21,4.616
2020-04-22,4.196
2020-04-23,4.206
2020-04-24,4.152
2020-04-25,4.152
2020-04-26,4.152
2020-04-27,3.819
2020-04-28,3.754
2020-04-29,3.571
2020-04-30,3.747
2020-05-01,3.899
2020-05-02,3.899
2020-05-03,3.899
2020-05-04,3.945
2020-05-05,4.08
2020-05-06,4.201
2020-05-07,4.232
2020-05-08,4.011
2020-05-09,4.011
2020-05-10,4.011
2020-05-11,4.117
2020-05-12,4.345
2020-05-13,4.551
2020-05-14,4.578
2020-05-15,4.536
2020-05-16,4.536
2020-05-17,4.536
2020-05-18,4.123
2020-05-19,4.374
2020-05-20,4.154
2020-05-21,4.183
2020-05-22,4.153
2020-05-23,4.153
2020-05-24,4.153
2020-05-25,4.153
2020-05-26,3.955
2020-05-27,3.744
2020-05-28,3.788
2020-05-29,3.928
2020-05-30,3.928
2020-05-31,3.928
2020-06-01,4.049
2020-06-02,4.057
2020-06-03,3.913
2020-06-04,3.863
2020-06-05,3.645
2020-06-06,3.645
2020-06-07,3.645
2020-06-08,3.57
2020-06-09,3.597
2020-06-10,3.824
2020-06-11,4.237
2020-06-12,4.103
2020-06-13,4.103
2020-06-14,4.103
2020-06-15,4.054
2020-06-16,3.888
2020-06-17,4.066
2020-06-18,4.04
2020-06-19,4.081
2020-06-20,4.081
2020-06-21,4.081
2020-06-22,4.066
2020-06-23,4.09
2020-06-24,4.224
2020-06-25,4.066
2020-06-26,4.178
2020-06-27,4.178
2020-06-28,4.178
2020-06-29,4.052
2020-06-30,3.944
2020-07-01,4.135
2020-07-02,4.159
2020-07-03,4.159
2020-07-04,4.159
2020-07-05,4.159
2020-07-06,4.18
2020-07-07,4.31
2020-07-08,4.36
2020-07-09,4.546
2020-07-10,4.326
2020-07-11,4.326
2020-07-12,4.326
2020-07-13,4.248
2020-07-14,4.287
2020-07-15,4.098
2020-07-16,4.054
2020-07-17,4.152
2020-07-18,4.152
2020-07-19,4.152
2020-07-20,4.217
2020-07-21,3.822
2020-07-22,3.976
2020-07-23,3.882
2020-07-24,3.92
2020-07-25,3.92
2020-07-26,3.92
2020-07-27,4.063
2020-07-28,4.057
2020-07-29,3.968
2020-07-30,4.072
2020-07-31,4.147
2020-08-01,4.147
2020-08-02,4.147
2020-08-03,4.116
2020-08-04,4.134
2020-08-05,4.022
2020-08-06,4.015
2020-08-07,3.831
2020-08-08,3.831
2020-08-09,3.831
2020-08-10,3.799
2020-08-11,3.758
2020-08-12,3.775
2020-08-13,3.835
2020-08-14,3.832
2020-08-15,3.832
2020-08-16,3.832
2020-08-17,3.897
2020-08-18,3.992
2020-08-19,3.959
2020-08-20,4.034
2020-08-21,4.077
2020-08-22,4.077
2020-08-23,4.077
2020-08-24,3.937
2020-08-25,3.921
2020-08-26,3.986
2020-08-27,3.916
2020-08-28,3.916
2020-08-29,3.916
2020-08-30,3.916
2020-08-31,3.979
2020-09-01,3.964
2020-09-02,3.918
2020-09-03,3.894
2020-09-04,3.839
2020-09-05,3.839
2020-09-06,3.839
2020-09-07,3.839
2020-09-08,3.951
