,HII US Equity
,BEST_DIV_YLD
2020-01-01,2.471
2020-01-02,2.423
2020-01-03,2.352
2020-01-04,2.352
2020-01-05,2.352
2020-01-06,2.339
2020-01-07,2.317
2020-01-08,2.305
2020-01-09,2.246
2020-01-10,2.288
2020-01-11,2.288
2020-01-12,2.288
2020-01-13,2.255
2020-01-14,2.284
2020-01-15,2.261
2020-01-16,2.241
2020-01-17,2.231
2020-01-18,2.231
2020-01-19,2.231
2020-01-20,2.231
2020-01-21,2.225
2020-01-22,2.248
2020-01-23,2.237
2020-01-24,2.242
2020-01-25,2.242
2020-01-26,2.242
2020-01-27,2.261
2020-01-28,2.26
2020-01-29,2.345
2020-01-30,2.332
2020-01-31,2.375
2020-02-01,2.375
2020-02-02,2.375
2020-02-03,2.372
2020-02-04,2.338
2020-02-05,2.299
2020-02-06,2.311
2020-02-07,2.303
2020-02-08,2.303
2020-02-09,2.303
2020-02-10,2.305
2020-02-11,2.312
2020-02-12,2.295
2020-02-13,2.476
2020-02-14,2.518
2020-02-15,2.518
2020-02-16,2.518
2020-02-17,2.518
2020-02-18,2.61
2020-02-19,2.63
2020-02-20,2.611
2020-02-21,2.626
2020-02-22,2.626
2020-02-23,2.626
2020-02-24,2.639
2020-02-25,2.782
2020-02-26,2.821
2020-02-27,2.866
2020-02-28,3.002
2020-02-29,3.002
2020-03-01,3.002
2020-03-02,2.943
2020-03-03,2.972
2020-03-04,2.81
2020-03-05,2.942
2020-03-06,3.02
2020-03-07,3.02
2020-03-08,3.02
2020-03-09,3.166
2020-03-10,2.946
2020-03-11,3.117
2020-03-12,3.492
2020-03-13,3.454
2020-03-14,3.454
2020-03-15,3.454
2020-03-16,3.938
2020-03-17,3.829
2020-03-18,3.579
2020-03-19,3.64
2020-03-20,3.872
2020-03-21,3.872
2020-03-22,3.872
2020-03-23,4.007
2020-03-24,3.73
2020-03-25,3.477
2020-03-26,3.159
2020-03-27,3.324
2020-03-28,3.324
2020-03-29,3.324
2020-03-30,3.255
2020-03-31,3.386
2020-04-01,3.563
2020-04-02,3.415
2020-04-03,3.408
2020-04-04,3.408
2020-04-05,3.408
2020-04-06,3.185
2020-04-07,3.218
2020-04-08,3.157
2020-04-09,3.207
2020-04-10,3.207
2020-04-11,3.207
2020-04-12,3.207
2020-04-13,3.17
2020-04-14,3.131
2020-04-15,3.23
2020-04-16,3.205
2020-04-17,3.148
2020-04-18,3.148
2020-04-19,3.148
2020-04-20,3.209
2020-04-21,3.345
2020-04-22,3.313
2020-04-23,3.303
2020-04-24,3.344
2020-04-25,3.344
2020-04-26,3.344
2020-04-27,3.277
2020-04-28,3.225
